frame,phase,update_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.101301,5.763492,0.527957,11.572174,19.964925,0.527785,0.190918,1.712426,0.180288,0.195282,0.410326,10,2528,0,0
121,0,2.101417,5.827599,0.529558,11.505042,19.963616,0.551154,0.190199,1.829871,0.180525,0.194889,0.516418,10,2528,0,0
122,0,2.103655,5.749596,0.530073,11.580068,19.963392,0.407830,0.190226,1.799218,0.222782,0.198079,0.523241,10,2528,0,0
123,0,2.094072,5.782088,0.534481,11.553233,19.963874,0.450161,0.187144,1.826155,0.182275,0.158478,0.458015,10,2528,0,0
124,0,2.101783,5.598270,0.528480,11.735124,19.963657,0.409417,0.246921,1.672109,0.224464,0.162211,0.390723,10,2528,0,0
125,0,2.103573,5.806481,0.529721,11.523719,19.963494,0.445316,0.226946,1.814450,0.181081,0.198086,0.579203,10,2528,0,0
126,0,2.102970,5.780195,0.528486,11.552032,19.963684,0.439863,0.190948,1.816481,0.180613,0.158268,0.455065,10,2528,0,0
127,0,2.098534,5.652713,0.529131,11.654741,19.935120,0.409214,0.192213,1.739393,0.181875,0.194539,0.497945,10,2528,0,0
128,0,2.102922,5.806847,0.529517,11.524512,19.963799,0.412208,0.343479,1.721161,0.181034,0.228987,0.453552,10,2528,0,0
129,0,2.089881,5.786102,0.529985,11.550710,19.956679,0.476529,0.186540,1.834652,0.246599,0.156084,0.455994,10,2528,0,0
130,0,2.102434,5.688256,0.531145,11.641673,19.963508,0.448049,0.258562,1.727105,0.223033,0.184577,0.463481,10,2528,0,0
131,0,2.098596,5.763818,0.533708,11.540036,19.936157,0.404870,0.228010,1.827376,0.183699,0.157705,0.452426,10,2528,0,0
132,0,2.102115,5.672326,0.530033,11.631012,19.935486,0.449480,0.259189,1.736989,0.181135,0.160380,0.495300,10,2528,0,0
133,0,2.104123,5.772261,0.529538,11.557872,19.963793,0.496986,0.189704,1.733561,0.182349,0.158613,0.408200,10,2528,0,0
134,0,2.101783,5.772241,0.529843,11.560516,19.964383,0.473450,0.229594,1.765540,0.223711,0.157393,0.406637,10,2528,0,0
135,0,2.099748,5.716658,0.528337,11.618832,19.963576,0.477743,0.191691,1.766347,0.217950,0.162062,0.460212,10,2528,0,0
136,0,2.101600,5.772200,0.528907,11.579444,19.982151,0.407525,0.190491,1.830268,0.182593,0.157881,0.500061,10,2528,0,0
137,0,2.101071,5.604455,0.532433,11.706696,19.944655,0.445916,0.190538,1.736359,0.181698,0.161268,0.496345,10,2528,0,0
138,0,2.100013,5.748091,0.530724,11.584686,19.963515,0.452833,0.274390,1.671909,0.179040,0.158837,0.447340,10,2528,0,0
139,0,2.101661,5.795047,0.536502,11.530345,19.963555,0.519314,0.188463,1.857422,0.180898,0.195329,0.516927,10,2528,0,0
140,0,2.102393,5.721663,0.530480,11.608999,19.963535,0.416328,0.232619,1.751221,0.220985,0.209785,0.461989,10,2528,0,0
141,0,2.099118,5.791609,0.528642,11.550635,19.970005,0.409349,0.233934,1.784970,0.182254,0.158417,0.458950,10,2528,0,0
142,0,2.109209,5.660851,0.533708,11.653290,19.957058,0.407895,0.236443,1.760773,0.223826,0.161608,0.409868,10,2528,0,0
