frame,phase,update_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.095218,8.391340,0.529755,8.948442,19.964756,0.416911,0.328830,4.503282,0.615058,0.372016,2.890411,21,10297,0,0
121,0,2.106055,8.333832,0.529110,8.994564,19.963562,0.446560,0.321503,4.449168,0.427745,0.341532,3.063572,21,10297,0,0
122,0,2.126726,8.331119,0.533851,8.972178,19.963874,0.414442,0.327521,4.450439,0.425676,0.377631,3.033000,21,10297,0,0
123,0,2.147786,8.299418,0.528439,8.988013,19.963657,0.415453,0.322099,4.434357,0.427405,0.341458,3.053148,21,10297,0,0
124,0,2.106971,8.381575,0.529666,8.945994,19.964206,0.414056,0.326470,4.473009,0.505612,0.363349,2.985168,21,10297,0,0
125,0,2.105933,8.363183,0.528968,8.965268,19.963352,0.491258,0.328464,4.445475,0.449310,0.342563,2.993028,21,10297,0,0
126,0,2.107174,8.393578,0.537147,8.932085,19.969984,0.417511,0.329495,4.498549,0.436554,0.342421,3.004086,21,10297,0,0
127,0,2.106930,8.410953,0.528975,8.903636,19.950494,0.414510,0.369700,4.525682,0.453603,0.372654,3.066817,21,10297,0,0
128,0,2.106706,8.432376,0.529544,8.916290,19.984918,0.410224,0.324402,4.549235,0.455217,0.373393,3.050378,21,10297,0,0
129,0,2.104489,8.428287,0.531348,8.877784,19.941908,0.409546,0.322381,4.574337,0.436595,0.339851,3.081068,21,10297,0,0
130,0,2.119381,8.421804,0.559736,8.884132,19.985053,0.411462,0.324988,4.519779,0.434221,0.341017,3.114400,21,10297,0,0
131,0,2.120812,8.401371,0.528649,8.892080,19.942912,0.409397,0.362386,4.536557,0.433529,0.339993,3.103278,21,10297,0,0
132,0,2.107134,8.305708,0.529517,9.020742,19.963101,0.467624,0.358863,4.331285,0.591353,0.338589,2.701681,21,10297,0,0
133,0,2.130246,8.299544,0.529802,9.004839,19.964430,0.459781,0.325914,4.413808,0.510529,0.337572,2.845008,21,10297,0,0
134,0,2.131002,8.307251,0.529260,8.996246,19.963759,0.417440,0.362891,4.398339,0.561154,0.339674,2.801741,21,10297,0,0
135,0,2.106727,8.344669,0.533057,8.979570,19.964023,0.449544,0.326972,4.443061,0.514428,0.361484,2.944604,21,10297,0,0
136,0,2.108476,8.318932,0.535824,9.000119,19.963352,0.416728,0.323381,4.415524,0.462833,0.340922,2.957821,21,10297,0,0
137,0,2.106157,8.382226,0.529280,8.945818,19.963481,0.451901,0.330760,4.440979,0.548537,0.339918,2.898749,21,10297,0,0
138,0,2.124081,8.321394,0.532793,8.985836,19.964105,0.493540,0.327464,4.400845,0.429175,0.373657,2.971405,21,10297,0,0
139,0,2.122982,8.353377,0.555247,8.957679,19.989285,0.491709,0.331540,4.388475,0.432756,0.371514,2.913588,21,10297,0,0
140,0,2.102108,8.327437,0.529165,8.979102,19.937812,0.447137,0.322432,4.448015,0.428640,0.340888,3.016764,21,10297,0,0
141,0,2.106381,8.356449,0.555579,8.945452,19.963860,0.452640,0.326487,4.431803,0.432187,0.339742,3.012007,21,10297,0,0
142,0,2.106259,8.355072,0.531538,8.970842,19.963711,0.483249,0.321740,4.431339,0.427066,0.340915,3.046539,21,10297,0,0
143,0,2.105669,8.388635,0.529355,8.948259,19.971917,0.446808,0.364383,4.409776,0.428877,0.339769,3.017768,21,10297,0,0
144,0,2.109148,8.404402,0.529483,8.912201,19.955234,0.416267,0.362820,4.495378,0.465702,0.340346,3.035051,21,10297,0,0
145,0,2.107012,8.455448,0.528656,8.872528,19.963643,0.413974,0.362922,4.522949,0.437402,0.341973,3.104648,21,10297,0,0
146,0,2.120948,8.442346,0.529436,8.843401,19.936130,0.413110,0.332940,4.597900,0.431597,0.379130,3.076419,21,10297,0,0
