frame,phase,update_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.104333,6.028259,0.529439,11.304281,19.966312,0.504846,0.252367,2.019969,0.256378,0.176215,0.594082,11,2528,0,0
121,0,2.101342,6.046651,0.530986,11.286560,19.965539,0.509850,0.173323,2.080427,0.341834,0.178253,0.558512,11,2528,0,0
122,0,2.104028,6.140361,0.531487,11.189562,19.965437,0.522610,0.169644,2.104129,0.252563,0.211039,0.657850,11,2528,0,0
123,0,2.117462,5.968567,0.534648,11.317830,19.938507,0.437408,0.208574,2.065009,0.326179,0.175720,0.562497,11,2528,0,0
124,0,2.102583,6.005188,0.531535,11.325806,19.965112,0.469744,0.212026,2.064365,0.250254,0.212026,0.661045,11,2528,0,0
125,0,2.103499,6.006246,0.530199,11.325467,19.965410,0.464074,0.168711,2.171329,0.414246,0.174147,0.585154,11,2528,0,0
126,0,2.101464,5.957845,0.526835,11.379333,19.965478,0.536482,0.171892,1.991845,0.287462,0.216265,0.587345,11,2528,0,0
127,0,2.103702,6.025635,0.531494,11.304260,19.965091,0.505059,0.251573,2.065769,0.299798,0.173791,0.593079,11,2528,0,0
128,0,2.101912,6.039734,0.531040,11.293335,19.966020,0.512478,0.212891,2.057109,0.371023,0.177934,0.555088,11,2528,0,0
129,0,2.105899,6.024089,0.531548,11.297370,19.958906,0.524750,0.169257,2.014442,0.258864,0.176229,0.569434,11,2528,0,0
130,0,2.101078,5.960632,0.535929,11.329936,19.927575,0.438161,0.169688,2.096748,0.285055,0.177090,0.603719,11,2528,0,0
131,0,2.102095,6.020772,0.532654,11.309875,19.965396,0.481608,0.171112,2.064253,0.254584,0.177734,0.647715,11,2528,0,0
132,0,2.102570,5.987040,0.529026,11.346300,19.964935,0.434035,0.206421,2.132463,0.290927,0.306488,0.585551,11,2528,0,0
133,0,2.102054,5.972921,0.528931,11.361776,19.965681,0.439202,0.171485,2.049266,0.289568,0.178606,0.605479,11,2528,0,0
134,0,2.105004,6.019572,0.532003,11.308899,19.965478,0.470805,0.252485,2.056519,0.334985,0.173367,0.555556,11,2528,0,0
135,0,2.102631,6.036357,0.531915,11.294217,19.965118,0.550442,0.211327,2.062578,0.334435,0.178891,0.595276,11,2528,0,0
136,0,2.104109,6.021423,0.529806,11.310425,19.965763,0.476827,0.209422,2.026984,0.256310,0.177792,0.603889,11,2528,0,0
137,0,2.123864,5.954305,0.534180,11.327555,19.939904,0.436859,0.168864,2.102973,0.311215,0.174981,0.582265,11,2528,0,0
138,0,2.097924,6.087280,0.531718,11.248739,19.965661,0.543816,0.170315,2.083513,0.253676,0.210978,0.633131,11,2528,0,0
139,0,2.098948,5.953064,0.528904,11.357876,19.938792,0.514757,0.200989,2.004595,0.252787,0.212955,0.585602,11,2528,0,0
140,0,2.103099,6.027954,0.529480,11.325968,19.986501,0.465417,0.211155,2.070306,0.250356,0.210873,0.667772,11,2528,0,0
141,0,2.101485,5.998393,0.528483,11.315186,19.943546,0.469503,0.170000,2.164191,0.377848,0.173021,0.566586,11,2528,0,0
142,0,2.102298,6.020487,0.528341,11.321940,19.973067,0.476037,0.170685,2.115940,0.252238,0.214274,0.671929,11,2528,0,0
143,0,2.103458,5.962280,0.529887,11.362284,19.957909,0.463189,0.202955,2.016802,0.251811,0.213928,0.600810,11,2528,0,0
144,0,2.101891,6.031413,0.528707,11.278442,19.940453,0.444767,0.172468,2.064016,0.251139,0.179440,0.643989,11,2528,0,0
145,0,2.102787,6.001282,0.533881,11.327318,19.965268,0.469011,0.208520,2.112311,0.258586,0.177507,0.575582,11,2528,0,0
146,0,2.099572,5.960754,0.532410,11.372986,19.965722,0.441281,0.211402,2.002129,0.291039,0.178504,0.582536,11,2528,0,0
147,0,2.091414,6.030314,0.530497,11.312826,19.965051,0.474186,0.240780,2.028419,0.256436,0.174917,0.601552,11,2528,0,0
148,0,2.098168,5.973328,0.530592,11.363607,19.965695,0.496958,0.172845,2.050778,0.250237,0.214332,0.631894,11,2528,0,0
149,0,2.104984,6.040670,0.528456,11.291389,19.965498,0.434526,0.212179,2.117259,0.252923,0.221222,0.666738,11,2528,0,0
150,0,2.102502,5.918315,0.528408,11.407966,19.957191,0.462012,0.169027,2.058506,0.326643,0.175971,0.570014,11,2528,0,0
151,0,2.103234,6.027262,0.527100,11.312378,19.969974,0.515164,0.171126,2.087375,0.256768,0.176283,0.673238,11,2528,0,0
152,0,2.100494,5.972107,0.532077,11.338854,19.943532,0.500851,0.207458,2.083072,0.252903,0.251723,0.630944,11,2528,0,0
153,0,2.101444,6.021810,0.529887,11.323466,19.976607,0.441823,0.171770,2.094625,0.355835,0.177199,0.612186,11,2528,0,0
154,0,2.104251,6.014058,0.529968,11.299500,19.947778,0.471988,0.172173,2.079817,0.335907,0.175100,0.580895,11,2528,0,0
155,0,2.101776,5.995463,0.527513,11.340603,19.965356,0.474698,0.175076,2.051643,0.254991,0.212735,0.633362,11,2528,0,0
156,0,2.102115,6.045125,0.529846,11.288066,19.965152,0.529287,0.172855,2.171736,0.258898,0.177300,0.587368,11,2528,0,0
157,0,2.092675,5.965556,0.531182,11.392707,19.982120,0.443851,0.170644,2.004567,0.289686,0.180301,0.629581,11,2528,0,0
158,0,2.103295,6.070190,0.528666,11.246134,19.948286,0.518277,0.171037,2.035177,0.254096,0.175537,0.601427,11,2528,0,0
159,0,2.125878,5.902934,0.533936,11.403158,19.965905,0.440701,0.211806,2.015466,0.333255,0.178647,0.548611,11,2528,0,0
160,0,2.102258,6.051941,0.530599,11.280599,19.965396,0.438941,0.208154,2.122521,0.292335,0.178718,0.667369,11,2528,0,0
161,0,2.102298,6.010111,0.531474,11.297750,19.941633,0.438599,0.204458,2.085585,0.334334,0.173292,0.520131,11,2528,0,0
162,0,2.101627,6.023966,0.528097,11.319112,19.972802,0.518131,0.174130,2.074561,0.295325,0.213609,0.621511,11,2528,0,0
163,0,2.103112,6.077922,0.529053,11.248393,19.958479,0.433116,0.274726,2.181505,0.291490,0.176117,0.588267,11,2528,0,0
164,0,2.102013,5.993306,0.527785,11.342434,19.965539,0.477383,0.210215,2.028968,0.249617,0.236647,0.642046,11,2528,0,0
165,0,2.104333,6.045614,0.527717,11.287645,19.965308,0.465193,0.199276,2.167379,0.296621,0.209520,0.589983,11,2528,0,0
166,0,2.095951,5.967326,0.529582,11.372701,19.965559,0.513167,0.171661,2.021322,0.249576,0.181373,0.690694,11,2528,0,0
167,0,2.109480,6.009440,0.536336,11.309998,19.965254,0.465986,0.207347,2.131093,0.298550,0.176232,0.591943,11,2528,0,0
168,0,2.101810,5.962402,0.532260,11.369242,19.965715,0.441149,0.171980,2.041355,0.288639,0.178931,0.628347,11,2528,0,0
169,0,2.104618,6.011943,0.527954,11.321330,19.965844,0.551724,0.224769,1.969035,0.257270,0.174876,0.544854,11,2528,0,0
170,0,2.099816,6.016093,0.531067,11.318400,19.965376,0.478614,0.172506,2.111576,0.293901,0.177419,0.628282,11,2528,0,0
171,0,2.103356,6.023295,0.530416,11.308573,19.965641,0.432132,0.247135,2.061846,0.259094,0.208828,0.562995,11,2528,0,0
172,0,2.099653,6.051188,0.528897,11.285285,19.965023,0.471754,0.170166,2.121589,0.254784,0.213247,0.619982,11,2528,0,0
173,0,2.102624,6.081685,0.530945,11.250183,19.965437,0.473311,0.170098,2.153252,0.291155,0.174438,0.658647,11,2528,0,0
174,0,2.099104,5.946248,0.534770,11.359314,19.939436,0.501604,0.171739,2.079261,0.254584,0.179833,0.574955,11,2528,0,0
175,0,2.098663,6.019796,0.527493,11.319404,19.965356,0.442227,0.210378,2.047448,0.253143,0.214403,0.631805,11,2528,0,0
176,0,2.103214,5.977315,0.529683,11.355693,19.965905,0.480492,0.168474,2.093591,0.333971,0.175934,0.561683,11,2528,0,0
177,0,2.101403,6.008870,0.528992,11.326111,19.965376,0.508297,0.172095,2.029321,0.251929,0.179833,0.630208,11,2528,0,0
178,0,2.103872,6.048665,0.528097,11.284770,19.965403,0.484636,0.228621,2.130395,0.260122,0.208086,0.589105,11,2528,0,0
179,0,2.100366,6.012065,0.529968,11.323507,19.965905,0.442593,0.204627,2.049096,0.250404,0.216292,0.635661,11,2528,0,0
180,0,2.102705,6.074483,0.531392,11.249919,19.958499,0.478146,0.170607,2.120911,0.253374,0.209530,0.631951,11,2528,0,0
181,0,2.100962,5.987976,0.534220,11.342000,19.965159,0.483653,0.207194,2.012651,0.333561,0.178836,0.589366,11,2528,0,0
182,0,2.102949,6.030924,0.530301,11.301053,19.965227,0.485352,0.173421,2.004076,0.256477,0.208028,0.550632,11,2528,0,0
183,0,2.100854,5.978312,0.531189,11.355103,19.965457,0.442179,0.211317,2.015866,0.290751,0.178172,0.555349,11,2528,0,0
184,0,2.102705,6.071370,0.534159,11.257345,19.965580,0.523695,0.175581,2.092824,0.254635,0.175096,0.642873,11,2528,0,0
185,0,2.099660,6.020549,0.529955,11.287727,19.937890,0.478224,0.170953,2.095896,0.260122,0.203705,0.580204,11,2528,0,0
