frame,phase,update_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.101939,9.487590,0.524333,7.851807,19.965668,0.557844,0.331146,5.461924,0.630459,0.418932,3.885993,21,10297,0,0
121,0,2.123457,9.462036,0.528727,7.872965,19.987186,0.530996,0.290490,5.547401,0.631792,0.374634,3.936018,21,10297,0,0
122,0,2.099369,9.431132,0.525954,7.885525,19.941979,0.569390,0.289124,5.472894,0.584327,0.391391,3.931017,21,10297,0,0
123,0,2.141239,9.471700,0.524692,7.827074,19.964705,0.464823,0.284478,5.599341,0.730476,0.346585,3.962640,21,10297,0,0
124,0,2.119347,9.404500,0.525472,7.915161,19.964481,0.462121,0.284821,5.560170,0.768623,0.345405,3.926388,21,10297,0,0
125,0,2.101891,9.550863,0.524285,7.787849,19.964888,0.465257,0.285814,5.618089,0.718611,0.348151,3.990797,21,10297,0,0
126,0,2.102753,9.484945,0.526245,7.850586,19.964528,0.512095,0.286574,5.620395,0.674896,0.372409,3.970008,21,10297,0,0
127,0,2.102502,9.416850,0.528402,7.916728,19.964481,0.495121,0.287021,5.498610,0.712830,0.346880,3.874742,21,10297,0,0
128,0,2.100549,9.399292,0.529555,7.935432,19.964827,0.503086,0.329644,5.505727,0.593231,0.348836,3.878384,21,10297,0,0
129,0,2.100854,9.424500,0.525567,7.879096,19.930016,0.460514,0.322188,5.500916,0.667087,0.347900,3.921078,21,10297,0,0
130,0,2.101688,9.453288,0.525248,7.884460,19.964684,0.501763,0.290487,5.559943,0.674944,0.363810,3.879133,21,10297,0,0
131,0,2.118900,9.505676,0.525065,7.835612,19.985253,0.496338,0.291606,5.595554,0.718272,0.379381,3.888618,21,10297,0,0
132,0,2.117252,9.431396,0.527507,7.868103,19.944258,0.502557,0.325117,5.534088,0.668189,0.346334,3.952922,21,10297,0,0
133,0,2.096480,9.431458,0.530958,7.925117,19.984012,0.467899,0.326545,5.519786,0.635349,0.349304,3.893826,21,10297,0,0
134,0,2.122603,9.444194,0.525594,7.853292,19.945682,0.502092,0.382931,5.497735,0.631290,0.349345,3.920858,21,10297,0,0
135,0,2.101546,9.438049,0.525567,7.918932,19.984094,0.504388,0.369497,5.457167,0.595856,0.349352,3.889906,21,10297,0,0
136,0,2.101383,9.469503,0.526849,7.847276,19.945011,0.459608,0.326843,5.592967,0.624651,0.381850,3.954366,21,10297,0,0
137,0,2.101159,9.495117,0.526123,7.842285,19.964684,0.554165,0.288296,5.543060,0.669891,0.386420,3.920217,21,10297,0,0
138,0,2.128747,9.479553,0.525506,7.830594,19.964400,0.468804,0.335354,5.617381,0.595350,0.350179,3.922272,21,10297,0,0
139,0,2.120182,9.409119,0.530131,7.905192,19.964623,0.467373,0.287950,5.542677,0.671570,0.347527,3.880313,21,10297,0,0
140,0,2.121992,9.469889,0.529860,7.843411,19.965152,0.463253,0.287991,5.617615,0.732452,0.346083,3.977149,21,10297,0,0
141,0,2.099063,9.440084,0.525994,7.899604,19.964745,0.462880,0.288096,5.575351,0.731238,0.345018,3.976522,21,10297,0,0
142,0,2.102868,9.427022,0.525709,7.909085,19.964684,0.464179,0.291046,5.562561,0.751845,0.347432,3.865835,21,10297,0,0
143,0,2.102420,9.422058,0.525323,7.915371,19.965173,0.494236,0.409200,5.423635,0.590196,0.356327,3.894321,21,10297,0,0
144,0,2.099531,9.446187,0.525085,7.894023,19.964827,0.656501,0.299313,5.389235,0.634667,0.350789,3.828288,21,10297,0,0
145,0,2.101790,9.451497,0.526137,7.861782,19.941206,0.542887,0.296695,5.471890,0.720228,0.350352,3.843713,21,10297,0,0
146,0,2.098575,9.432841,0.528992,7.904154,19.964562,0.540799,0.293654,5.410326,0.590495,0.350396,3.946462,21,10297,0,0
147,0,2.142317,9.447571,0.530029,7.844849,19.964766,0.470917,0.319719,5.551381,0.633752,0.348019,3.933044,21,10297,0,0
148,0,2.116825,9.393026,0.525391,7.929423,19.964664,0.536709,0.373088,5.386902,0.590888,0.350349,3.877502,21,10297,0,0
149,0,2.100732,9.502808,0.524882,7.837158,19.965580,0.468441,0.329529,5.562185,0.676100,0.374763,3.914242,21,10297,0,0
150,0,2.100854,9.436056,0.526998,7.901042,19.964949,0.464355,0.312958,5.498515,0.760888,0.346266,3.862810,21,10297,0,0
151,0,2.100813,9.514282,0.524489,7.825141,19.964725,0.464315,0.289717,5.593641,0.671984,0.381192,3.952633,21,10297,0,0
152,0,2.086368,9.396464,0.529575,7.952603,19.965010,0.502126,0.328691,5.507253,0.627211,0.349419,3.928301,21,10297,0,0
153,0,2.100976,9.420573,0.528558,7.914903,19.965010,0.466380,0.325497,5.491662,0.635952,0.349562,3.904802,21,10297,0,0
154,0,2.125797,9.443766,0.524862,7.863668,19.958093,0.491815,0.288215,5.567118,0.630971,0.381266,3.991665,21,10297,0,0
155,0,2.118208,9.470662,0.525302,7.851061,19.965234,0.524868,0.282966,5.493727,0.673197,0.348090,3.906874,21,10297,0,0
156,0,2.115421,9.457397,0.530551,7.861518,19.964888,0.531660,0.399055,5.440362,0.582862,0.374071,3.954980,21,10297,0,0
157,0,2.100060,9.473124,0.525452,7.866394,19.965030,0.465722,0.285309,5.537204,0.671278,0.347782,3.931305,21,10297,0,0
158,0,2.101525,9.438110,0.525160,7.899584,19.964379,0.499152,0.319387,5.557505,0.645321,0.372647,3.869005,21,10297,0,0
