frame,phase,update_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.103207,8.095666,0.532501,9.233951,19.965325,0.354126,0.316538,4.455160,0.432397,0.354858,2.953932,21,10297,0,0
121,0,2.102787,8.075585,0.536204,9.249637,19.964213,0.419274,0.349504,4.441284,0.439880,0.353973,2.956445,21,10297,0,0
122,0,2.119144,8.113346,0.543888,9.187185,19.963562,0.356466,0.320814,4.500763,0.477868,0.353634,2.889106,21,10297,0,0
123,0,2.100827,8.137902,0.531742,9.193532,19.964003,0.387360,0.317271,4.530924,0.443549,0.354285,3.039215,21,10297,0,0
124,0,2.102434,8.187524,0.535200,9.158681,19.983839,0.389157,0.321971,4.524984,0.437266,0.353349,2.991655,21,10297,0,0
125,0,2.102434,8.151635,0.532711,9.157915,19.944695,0.348924,0.312103,4.620758,0.440274,0.353438,3.051412,21,10297,0,0
126,0,2.091943,8.187361,0.532216,9.152795,19.964315,0.350298,0.317128,4.584734,0.433038,0.391927,3.018083,21,10297,0,0
127,0,2.103295,8.120182,0.537506,9.203169,19.964152,0.387885,0.311578,4.555216,0.438524,0.380598,3.046132,21,10297,0,0
128,0,2.104129,8.204634,0.536991,9.131500,19.977254,0.350033,0.317603,4.595859,0.482517,0.352037,3.024272,21,10297,0,0
129,0,2.100460,8.175479,0.532481,9.135522,19.943943,0.385047,0.314863,4.540232,0.443149,0.354092,3.050110,21,10297,0,0
130,0,2.118791,8.222944,0.531233,9.090871,19.963840,0.350508,0.354940,4.588175,0.488325,0.353180,3.002197,21,10297,0,0
131,0,2.148848,8.217350,0.531559,9.066050,19.963806,0.348819,0.318661,4.683272,0.438802,0.389113,3.067407,21,10297,0,0
132,0,2.103112,8.050012,0.533064,9.278412,19.964600,0.358717,0.317593,4.450395,0.524502,0.351868,2.844031,21,10297,0,0
133,0,2.100020,8.101464,0.529076,9.205794,19.936354,0.358582,0.319438,4.491801,0.532871,0.350901,2.917952,21,10297,0,0
134,0,2.097083,8.108320,0.537560,9.220815,19.963779,0.392365,0.316501,4.528666,0.438826,0.412042,2.946876,21,10297,0,0
135,0,2.100589,8.121707,0.533580,9.207971,19.963847,0.393612,0.316671,4.465630,0.441325,0.375244,2.916755,21,10297,0,0
136,0,2.109541,8.087691,0.532379,9.234033,19.963643,0.436317,0.313585,4.471673,0.431166,0.352454,2.999688,21,10297,0,0
137,0,2.103390,8.165327,0.532908,9.162377,19.964003,0.352458,0.356435,4.500214,0.438124,0.383287,2.985555,21,10297,0,0
138,0,2.117862,8.129846,0.551069,9.187388,19.986165,0.389523,0.313605,4.563460,0.436042,0.352434,3.013529,21,10297,0,0
139,0,2.099131,8.203854,0.557071,9.105086,19.965142,0.351159,0.354214,4.561571,0.444207,0.350722,3.023682,21,10297,0,0
140,0,2.101037,8.185449,0.538049,9.115326,19.939860,0.351702,0.353292,4.589447,0.436418,0.350501,3.065284,21,10297,0,0
141,0,2.101444,8.254459,0.536469,9.071170,19.963542,0.352732,0.322259,4.618462,0.442505,0.388977,3.083527,21,10297,0,0
142,0,2.125166,8.226078,0.532888,9.079573,19.963704,0.425476,0.321879,4.609992,0.430847,0.350430,3.089613,21,10297,0,0
143,0,2.100725,8.078332,0.533702,9.251204,19.963962,0.357622,0.342984,4.481340,0.540422,0.404541,2.719723,21,10297,0,0
144,0,2.100155,8.157311,0.532461,9.186527,19.976454,0.353994,0.388187,4.425195,0.534651,0.400065,2.628499,21,10297,0,0
145,0,2.104631,8.046227,0.531762,9.267914,19.950534,0.353987,0.308095,4.464871,0.592980,0.352888,2.794763,21,10297,0,0
146,0,2.121992,8.104455,0.549401,9.188100,19.963949,0.350552,0.354095,4.472249,0.486545,0.348891,2.765811,21,10297,0,0
147,0,2.102929,8.042402,0.533715,9.284617,19.963664,0.355228,0.309479,4.476095,0.437324,0.354028,2.969567,21,10297,0,0
148,0,2.104245,8.147546,0.532494,9.180532,19.964817,0.353739,0.311757,4.512275,0.529104,0.350342,2.778887,21,10297,0,0
149,0,2.101362,8.101423,0.533125,9.228071,19.963982,0.393517,0.349104,4.501441,0.485684,0.355381,2.927195,21,10297,0,0
150,0,2.101952,8.186934,0.532067,9.162099,19.983053,0.352129,0.323781,4.579905,0.440643,0.351898,3.006263,21,10297,0,0
151,0,2.102637,8.183170,0.532603,9.125573,19.943983,0.349474,0.320899,4.645199,0.441240,0.353075,3.068702,21,10297,0,0
152,0,2.102054,8.025475,0.537506,9.298547,19.963582,0.354258,0.391608,4.335503,0.506110,0.351861,2.621419,21,10297,0,0
153,0,2.095374,8.216434,0.537689,9.086938,19.936435,0.347816,0.356259,4.627102,0.442824,0.388190,3.051822,21,10297,0,0
154,0,2.118913,8.054813,0.531660,9.258148,19.963535,0.394145,0.386563,4.328851,0.487457,0.352068,2.666239,21,10297,0,0
155,0,2.128842,8.207543,0.531986,9.088755,19.957126,0.347761,0.312625,4.683831,0.437927,0.353533,3.118710,21,10297,0,0
156,0,2.103967,8.043318,0.533586,9.282956,19.963826,0.356523,0.311147,4.458611,0.520518,0.350467,2.855832,21,10297,0,0
157,0,2.103641,8.088871,0.532623,9.238712,19.963847,0.357832,0.313148,4.499295,0.529982,0.350210,2.930366,21,10297,0,0
158,0,2.102726,8.038435,0.537160,9.285628,19.963949,0.355065,0.312703,4.471632,0.484090,0.352644,2.921675,21,10297,0,0
159,0,2.102115,8.117598,0.535227,9.208744,19.963684,0.356503,0.354119,4.473480,0.446940,0.408986,2.882107,21,10297,0,0
160,0,2.103573,8.088138,0.532481,9.239526,19.963718,0.356849,0.338701,4.460927,0.434770,0.352634,2.977722,21,10297,0,0
161,0,2.101973,8.159020,0.532806,9.169356,19.963155,0.356415,0.318075,4.529853,0.441182,0.384057,2.963786,21,10297,0,0
162,0,2.121809,8.101647,0.545047,9.195302,19.963806,0.390154,0.314535,4.528371,0.475396,0.384884,2.978631,21,10297,0,0
163,0,2.099687,8.151676,0.532739,9.180064,19.964166,0.349284,0.354730,4.515269,0.445828,0.349603,2.980947,21,10297,0,0
164,0,2.124712,8.082808,0.535790,9.221670,19.964979,0.390062,0.313870,4.517829,0.433977,0.352373,3.044196,21,10297,0,0
165,0,2.104557,8.173242,0.536407,9.149377,19.963582,0.351783,0.351841,4.526045,0.443563,0.352254,2.995273,21,10297,0,0
166,0,2.101579,8.153100,0.532908,9.176354,19.963942,0.419220,0.316481,4.521949,0.433546,0.353041,3.043545,21,10297,0,0
167,0,2.102251,8.207462,0.532644,9.121321,19.963677,0.384142,0.357408,4.540629,0.442362,0.350026,3.006677,21,10297,0,0
168,0,2.099240,8.201765,0.532990,9.103071,19.937066,0.350311,0.358354,4.632677,0.435031,0.351691,3.096771,21,10297,0,0
169,0,2.102380,8.047916,0.556271,9.280182,19.986749,0.390567,0.315501,4.426432,0.576833,0.352119,2.771844,21,10297,0,0
170,0,2.120243,8.106530,0.530446,9.183089,19.940308,0.355574,0.345534,4.472829,0.572896,0.347711,2.653113,21,10297,0,0
171,0,2.104713,8.085290,0.536380,9.237030,19.963413,0.355255,0.316189,4.506595,0.439446,0.353505,3.021386,21,10297,0,0
172,0,2.099369,8.152835,0.532399,9.180016,19.964620,0.357808,0.320187,4.430349,0.437758,0.354112,2.942274,21,10297,0,0
173,0,2.089888,8.148848,0.532481,9.192976,19.964193,0.403944,0.313514,4.567980,0.444621,0.353309,3.033905,21,10297,0,0
174,0,2.103166,8.169152,0.532684,9.158878,19.963881,0.350203,0.314782,4.573530,0.492720,0.353421,3.029911,21,10297,0,0
175,0,2.103010,8.159529,0.532359,9.168562,19.963460,0.377743,0.352576,4.560811,0.435852,0.354808,3.075667,21,10297,0,0
176,0,2.105242,8.199751,0.532494,9.145498,19.982985,0.350149,0.320431,4.597256,0.476081,0.370917,3.043742,21,10297,0,0
177,0,2.101932,8.178877,0.537113,9.126109,19.944031,0.349002,0.394294,4.569706,0.440721,0.353092,3.074124,21,10297,0,0
178,0,2.121707,8.225508,0.531803,9.085317,19.964335,0.349291,0.321103,4.616957,0.438104,0.353909,3.034804,21,10297,0,0
179,0,2.147424,8.227380,0.531213,9.057607,19.963623,0.350549,0.320072,4.660455,0.442539,0.354312,3.119646,21,10297,0,0
180,0,2.101274,8.061161,0.533600,9.260847,19.956882,0.355798,0.398566,4.389303,0.481384,0.351339,2.819400,21,10297,0,0
181,0,2.103906,8.119958,0.532420,9.206872,19.963155,0.359514,0.318607,4.514035,0.617913,0.349596,2.813629,21,10297,0,0
182,0,2.097877,8.098819,0.532867,9.234033,19.963596,0.392459,0.356316,4.476156,0.479241,0.402510,2.899160,21,10297,0,0
183,0,2.103227,8.106611,0.537323,9.217390,19.964552,0.355520,0.315335,4.456909,0.445435,0.351698,2.925903,21,10297,0,0
184,0,2.103329,8.079939,0.547550,9.233205,19.964023,0.388841,0.312676,4.487050,0.434194,0.351952,3.010959,21,10297,0,0
185,0,2.103295,8.147566,0.532983,9.179962,19.963806,0.355601,0.314948,4.496758,0.438897,0.391337,2.978773,21,10297,0,0
186,0,2.119754,8.113203,0.542748,9.187897,19.963603,0.393951,0.318960,4.539252,0.473985,0.374878,2.997345,21,10297,0,0
187,0,2.099755,8.153853,0.555423,9.150157,19.959188,0.382755,0.318899,4.532182,0.439602,0.351284,3.000444,21,10297,0,0
188,0,2.100440,8.180993,0.538171,9.121857,19.941461,0.350800,0.356181,4.581913,0.433255,0.351315,3.101501,21,10297,0,0
189,0,2.103031,8.228824,0.543976,9.088159,19.963989,0.388763,0.324849,4.555250,0.443312,0.350498,3.059275,21,10297,0,0
190,0,2.096602,8.197798,0.533573,9.109094,19.937066,0.388584,0.317034,4.626970,0.474172,0.383277,3.039625,21,10297,0,0
191,0,2.090519,8.053897,0.533966,9.285526,19.963908,0.375590,0.311140,4.412055,0.572527,0.385050,2.634382,21,10297,0,0
192,0,2.099104,8.099002,0.532033,9.218163,19.948303,0.411774,0.388302,4.344147,0.486328,0.349413,2.682488,21,10297,0,0
193,0,2.101281,8.053552,0.531748,9.264611,19.951192,0.355004,0.309336,4.468140,0.565779,0.352224,2.781796,21,10297,0,0
194,0,2.121925,8.102481,0.553429,9.186208,19.964044,0.352403,0.352414,4.475342,0.492496,0.348918,2.761464,21,10297,0,0
195,0,2.102481,8.057763,0.531823,9.271413,19.963481,0.353797,0.309804,4.460375,0.436673,0.355025,2.983822,21,10297,0,0
196,0,2.101749,8.154829,0.532501,9.175622,19.964701,0.355442,0.314518,4.509176,0.519708,0.352149,2.948866,21,10297,0,0
197,0,2.104672,8.163944,0.532928,9.161645,19.963189,0.390700,0.317152,4.551490,0.477403,0.373183,3.006873,21,10297,0,0
198,0,2.102665,8.217573,0.531728,9.112349,19.964315,0.353444,0.323069,4.589813,0.437249,0.392263,3.057804,21,10297,0,0
199,0,2.101647,8.213220,0.533308,9.087535,19.935710,0.351318,0.320719,4.671946,0.443434,0.389608,3.050890,21,10297,0,0
200,0,2.103329,8.023319,0.538055,9.298954,19.963657,0.358524,0.314758,4.453332,0.585999,0.348168,2.739980,21,10297,0,0
201,0,2.101423,8.130395,0.537303,9.194461,19.963582,0.395718,0.358188,4.425154,0.579149,0.348022,2.675429,21,10297,0,0
202,0,2.106645,8.071699,0.531986,9.253184,19.963515,0.359561,0.315633,4.480455,0.527445,0.384020,2.878821,21,10297,0,0
203,0,2.100996,8.108646,0.532372,9.221731,19.963745,0.354363,0.353268,4.469825,0.450107,0.398380,2.890856,21,10297,0,0
204,0,2.103126,8.093713,0.532522,9.235314,19.964674,0.390533,0.312368,4.505079,0.433075,0.351634,3.032552,21,10297,0,0
205,0,2.102210,8.143009,0.532583,9.179406,19.957208,0.354516,0.359060,4.494690,0.439826,0.351702,2.993120,21,10297,0,0
206,0,2.100854,8.122684,0.537038,9.203718,19.964294,0.390795,0.315494,4.537655,0.470968,0.351315,3.021257,21,10297,0,0
207,0,2.102861,8.200260,0.537031,9.123240,19.963392,0.350705,0.356286,4.574314,0.459405,0.350610,3.058275,21,10297,0,0
208,0,2.098446,8.215213,0.532522,9.089908,19.936089,0.353200,0.320635,4.644484,0.476454,0.350152,3.078430,21,10297,0,0
209,0,2.102990,8.085432,0.533641,9.241886,19.963949,0.356238,0.348745,4.462145,0.496006,0.390093,2.723351,21,10297,0,0
210,0,2.119022,8.101952,0.547706,9.195302,19.963982,0.359646,0.323897,4.487864,0.438527,0.392181,2.957906,21,10297,0,0
211,0,2.103356,8.128645,0.533145,9.198761,19.963908,0.431878,0.318960,4.510264,0.438348,0.353753,3.018422,21,10297,0,0
212,0,2.090349,8.173852,0.537323,9.162499,19.964023,0.348796,0.314948,4.583906,0.439907,0.352349,3.008457,21,10297,0,0
213,0,2.103784,8.128157,0.536469,9.195214,19.963623,0.349243,0.350013,4.558662,0.484884,0.353634,3.027435,21,10297,0,0
214,0,2.102536,8.178552,0.532352,9.170135,19.983575,0.349104,0.314097,4.555484,0.437381,0.351997,3.026947,21,10297,0,0
215,0,2.103288,8.154626,0.532847,9.153893,19.944655,0.350942,0.352665,4.587992,0.474087,0.376750,3.045373,21,10297,0,0
216,0,2.103478,8.235660,0.531993,9.092187,19.963318,0.350128,0.320560,4.627906,0.436367,0.391422,3.061279,21,10297,0,0
217,0,2.099063,8.085737,0.532759,9.217601,19.935160,0.390805,0.313243,4.426853,0.492981,0.350627,2.718981,21,10297,0,0
218,0,2.120928,8.030399,0.535302,9.276622,19.963250,0.387299,0.312317,4.454146,0.488024,0.373186,2.740729,21,10297,0,0
219,0,2.103173,8.104028,0.537662,9.218719,19.963582,0.357198,0.319261,4.496090,0.570716,0.349857,2.840834,21,10297,0,0
220,0,2.104143,8.092797,0.532684,9.235090,19.964715,0.358907,0.316650,4.469401,0.436608,0.351664,2.989902,21,10297,0,0
221,0,2.104007,8.159549,0.532901,9.169830,19.966288,0.356455,0.321486,4.510437,0.442573,0.352163,2.974932,21,10297,0,0
222,0,2.109846,8.134789,0.532705,9.184065,19.961405,0.350694,0.354346,4.564084,0.476929,0.383623,3.008345,21,10297,0,0
223,0,2.101010,8.184370,0.532291,9.165009,19.982680,0.352359,0.317135,4.584510,0.441040,0.351284,3.053948,21,10297,0,0
224,0,2.101993,9.689802,0.540680,7.612247,19.944722,0.349881,0.353502,4.577386,0.434343,0.370985,3.079169,21,10297,0,0
225,0,2.101952,8.240197,0.536611,9.084883,19.963643,0.349596,0.317905,4.614590,0.437086,0.351013,3.089189,21,10297,0,0
226,0,2.119219,8.178836,0.532366,9.107941,19.938361,0.415629,0.317841,4.542755,0.432115,0.351868,3.066756,21,10297,0,0
227,0,2.122399,8.236128,0.532555,9.072235,19.963318,0.350399,0.321648,4.632151,0.439060,0.351267,3.055501,21,10297,0,0
228,0,2.102271,8.139143,0.532359,9.190250,19.964023,0.423974,0.354933,4.383586,0.493754,0.375404,2.646271,21,10297,0,0
229,0,2.100833,8.039880,0.532725,9.289880,19.963318,0.359568,0.318475,4.467302,0.493696,0.353624,2.923201,21,10297,0,0
230,0,2.120507,8.056074,0.537160,9.250451,19.964193,0.358636,0.319299,4.488193,0.564273,0.351261,2.880948,21,10297,0,0
231,0,2.097517,8.070106,0.536814,9.252445,19.956882,0.409207,0.352000,4.435560,0.484612,0.353244,2.903412,21,10297,0,0
232,0,2.101952,8.107242,0.532461,9.222293,19.963949,0.355720,0.335954,4.459276,0.434428,0.354214,2.899085,21,10297,0,0
233,0,2.101423,8.117069,0.533200,9.211829,19.963521,0.389381,0.345272,4.502129,0.443780,0.353261,3.013852,21,10297,0,0
234,0,2.120989,8.133548,0.535973,9.173350,19.963860,0.429986,0.318570,4.451853,0.439307,0.379100,2.937890,21,10297,0,0
235,0,2.119510,8.154443,0.530806,9.159231,19.963989,0.388201,0.354075,4.543928,0.437212,0.355181,3.054884,21,10297,0,0
236,0,2.125715,8.184696,0.531904,9.122528,19.964844,0.351078,0.319963,4.548119,0.436388,0.352180,3.015350,21,10297,0,0
237,0,2.101925,8.183984,0.537832,9.113895,19.937636,0.349786,0.319824,4.641998,0.438402,0.353051,3.111494,21,10297,0,0
238,0,2.101179,8.236698,0.532074,9.093835,19.963786,0.349247,0.359148,4.570285,0.437826,0.353143,3.075517,21,10297,0,0
239,0,2.097571,8.191369,0.532562,9.114587,19.936089,0.385922,0.314904,4.590051,0.485111,0.352909,3.020830,21,10297,0,0
240,0,2.099959,8.053511,0.533885,9.276452,19.963806,0.393205,0.373874,4.391181,0.572557,0.382307,2.647658,21,10297,0,0
241,0,2.126977,8.093163,0.532637,9.211416,19.964193,0.419203,0.415137,4.339945,0.491774,0.391883,2.595181,21,10297,0,0
242,0,2.119300,7.995711,2.076291,7.748118,19.939419,0.399723,0.351522,4.376434,0.609131,0.350169,2.688205,21,10297,0,0
243,0,2.146807,8.082503,0.536143,9.197452,19.962904,0.391001,0.353207,4.394060,0.498617,0.348172,2.694068,21,10297,0,0
244,0,2.102922,8.068017,0.533620,9.259891,19.964450,0.385325,0.311391,4.449531,0.481839,0.351101,2.871663,21,10297,0,0
245,0,2.109155,8.113407,0.532657,9.208425,19.963643,0.358754,0.353078,4.424723,0.440647,0.390269,2.906748,21,10297,0,0
246,0,2.102888,8.146061,0.532949,9.182295,19.964193,0.390483,0.318214,4.570180,0.437832,0.351529,3.000675,21,10297,0,0
247,0,2.104529,8.231652,0.532216,9.094811,19.963209,0.355672,0.325558,4.612583,0.477081,0.383006,3.047997,21,10297,0,0
248,0,2.099959,8.072208,0.532338,9.231571,19.936076,0.436378,0.352488,4.385685,0.493612,0.351434,2.599718,21,10297,0,0
249,0,2.095300,8.060591,0.537750,9.268721,19.962362,0.356171,0.315816,4.463755,0.574070,0.350026,2.804542,21,10297,0,0
250,0,2.104902,8.142785,0.536299,9.180695,19.964681,0.356920,0.317264,4.520315,0.611545,0.350732,2.864780,21,10297,0,0
251,0,2.099450,8.092085,0.531070,9.241201,19.963806,0.407555,0.310659,4.504157,0.484619,0.353797,2.933584,21,10297,0,0
252,0,2.103031,8.144128,0.532108,9.185306,19.964572,0.351732,0.368059,4.476630,0.435615,0.353088,2.996233,21,10297,0,0
253,0,2.104740,8.133853,0.532522,9.192447,19.963562,0.385742,0.312595,4.538337,0.440091,0.355004,3.052304,21,10297,0,0
254,0,2.101885,8.180566,0.531993,9.159468,19.973911,0.349925,0.316040,4.585219,0.521434,0.352329,2.979451,21,10297,0,0
255,0,2.103309,8.162194,0.534821,9.153446,19.953769,0.349372,0.352522,4.610301,0.439969,0.377594,3.052422,21,10297,0,0
256,0,2.103417,8.218998,0.561228,9.102461,19.986104,0.350650,0.321543,4.597263,0.479099,0.353007,3.061025,21,10297,0,0
257,0,2.103817,8.188948,0.533607,9.108348,19.934720,0.349491,0.351949,4.572008,0.439006,0.353427,3.039286,21,10297,0,0
258,0,2.117903,8.202783,0.532657,9.110830,19.964172,0.350026,0.357039,4.522976,0.508063,0.352817,2.959218,21,10297,0,0
259,0,2.118147,8.132124,0.531396,9.156464,19.938131,0.349050,0.313277,4.605754,0.442346,0.353675,3.075897,21,10297,0,0
260,0,2.102848,8.197737,0.532372,9.151845,19.984802,0.380714,0.318068,4.545081,0.432458,0.355157,3.054979,21,10297,0,0
261,0,2.101301,8.150536,0.536550,9.154890,19.943278,0.349433,0.391798,4.559689,0.440993,0.352651,3.065796,21,10297,0,0
262,0,2.101708,8.220544,0.532562,9.108646,19.963460,0.351383,0.320658,4.616387,0.436469,0.392005,3.037557,21,10297,0,0
263,0,2.102454,8.195316,0.532420,9.107181,19.937371,0.350749,0.354899,4.588101,0.442064,0.353882,3.089230,21,10297,0,0
264,0,2.101627,8.047916,0.533688,9.280046,19.963277,0.399957,0.354068,4.321499,0.509003,0.351525,2.640561,21,10297,0,0
265,0,2.126143,8.091149,0.532298,9.214644,19.964233,0.391517,0.356435,4.397675,0.447218,0.352122,2.695007,21,10297,0,0
266,0,2.115299,8.057458,0.533613,9.257456,19.963826,0.386264,0.359907,4.375414,0.487223,0.351915,2.679494,21,10297,0,0
267,0,2.127079,8.084415,0.536658,9.215851,19.964003,0.428423,0.400058,4.384020,0.487868,0.383348,2.694116,21,10297,0,0
268,0,2.107914,8.052799,0.533939,9.269135,19.963786,0.397071,0.348823,4.385783,0.490258,0.351135,2.727095,21,10297,0,0
269,0,2.126529,8.233931,0.533091,9.070051,19.963603,0.380178,0.317501,4.634437,0.443481,0.389262,3.061106,21,10297,0,0
270,0,2.102251,8.072656,0.534475,9.254479,19.963860,0.386661,0.312609,4.482635,0.567844,0.368781,2.778625,21,10297,0,0
271,0,2.102970,8.115685,0.532745,9.212792,19.964193,0.388594,0.321845,4.474345,0.526686,0.368710,2.846785,21,10297,0,0
272,0,2.103397,8.069360,0.532644,9.258223,19.963623,0.357788,0.319139,4.490807,0.434299,0.353000,2.982720,21,10297,0,0
273,0,2.121382,8.092824,0.537276,9.212345,19.963826,0.356300,0.319648,4.496399,0.569611,0.350210,2.883304,21,10297,0,0
274,0,2.116743,8.055098,0.535309,9.255700,19.962850,0.353539,0.311137,4.480977,0.482357,0.351379,2.918250,21,10297,0,0
