frame,phase,update_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.107568,8.442691,0.535756,8.878272,19.964288,0.402930,0.314250,4.575263,0.488085,0.341871,3.078708,21,10297,0,0
121,0,2.130734,8.324609,0.535600,8.972816,19.963759,0.344215,0.387366,4.448205,0.523743,0.340271,2.806356,21,10297,0,0
122,0,2.107947,8.329308,0.535926,8.990292,19.963474,0.378493,0.305454,4.483527,0.438941,0.365811,3.035075,21,10297,0,0
123,0,2.108476,8.371891,0.535953,8.946991,19.963311,0.379428,0.344825,4.477058,0.447296,0.342068,3.002485,21,10297,0,0
124,0,2.128374,8.379256,0.530019,8.925391,19.963040,0.377313,0.308556,4.589166,0.442101,0.363810,3.087555,21,10297,0,0
125,0,2.107276,8.421878,0.536882,8.897905,19.963942,0.336256,0.315016,4.618154,0.453033,0.340529,3.114905,21,10297,0,0
126,0,2.104984,8.457957,0.536964,8.834483,19.934387,0.342360,0.312951,4.657166,0.459140,0.341044,3.121809,21,10297,0,0
127,0,2.107764,8.351973,0.535309,8.960873,19.955919,0.346829,0.347850,4.523716,0.530460,0.366007,2.777924,21,10297,0,0
128,0,2.108029,8.327803,0.535377,8.992693,19.963901,0.347890,0.348433,4.445787,0.477817,0.343662,2.971120,21,10297,0,0
129,0,2.107520,8.378259,0.535180,8.942047,19.963006,0.409709,0.312466,4.565186,0.445757,0.340495,3.123566,21,10297,0,0
130,0,2.131080,8.424754,0.536116,8.871436,19.963386,0.336799,0.347453,4.576026,0.488834,0.342285,3.078525,21,10297,0,0
131,0,2.104326,8.489648,0.535906,8.806576,19.936456,0.340481,0.312856,4.684096,0.442647,0.376146,3.167386,21,10297,0,0
132,0,2.127825,8.322696,0.534522,8.978994,19.964037,0.378994,0.346273,4.391944,0.520223,0.342360,2.720364,21,10297,0,0
133,0,2.108314,8.528263,0.555606,8.771271,19.963454,0.376166,0.314897,4.687222,0.443203,0.410204,3.133287,21,10297,0,0
134,0,2.105608,8.322696,0.535512,8.999223,19.963040,0.346903,0.332364,4.501787,0.517056,0.341634,2.994554,21,10297,0,0
135,0,2.106055,8.352461,0.535438,8.970110,19.964064,0.387180,0.315481,4.458561,0.444702,0.342706,3.014594,21,10297,0,0
136,0,2.107357,8.378014,0.530501,8.947601,19.963474,0.378798,0.311313,4.583900,0.444122,0.340759,3.101186,21,10297,0,0
137,0,2.092750,8.466332,0.535390,8.869076,19.963548,0.339166,0.314006,4.657990,0.448554,0.410821,3.092434,21,10297,0,0
138,0,2.100976,8.322988,0.537018,8.975522,19.936503,0.382277,0.347446,4.419824,0.482585,0.340278,2.782572,21,10297,0,0
139,0,2.103370,8.361616,0.534956,8.963064,19.963006,0.351780,0.310455,4.518595,0.599555,0.371765,2.900770,21,10297,0,0
140,0,2.120744,8.370019,0.534882,8.937598,19.963243,0.347487,0.349036,4.536472,0.649838,0.370911,2.865858,21,10297,0,0
141,0,2.103573,8.332543,0.534624,8.992754,19.963494,0.377970,0.305545,4.549513,0.440033,0.340800,3.122504,21,10297,0,0
142,0,2.107357,8.361942,0.535126,8.959612,19.964037,0.358636,0.345747,4.512166,0.439084,0.343065,3.076104,21,10297,0,0
143,0,2.106564,8.370283,0.535302,8.950918,19.963067,0.379008,0.343211,4.540670,0.445411,0.342000,3.102281,21,10297,0,0
144,0,2.108212,8.421512,0.531464,8.902239,19.963426,0.339491,0.311846,4.617438,0.487539,0.341125,3.082906,21,10297,0,0
145,0,2.106706,8.429935,0.535682,8.864560,19.936883,0.340264,0.344449,4.604136,0.483971,0.365336,3.100288,21,10297,0,0
146,0,2.108314,8.500064,0.535648,8.820079,19.964105,0.337402,0.316338,4.687476,0.445580,0.378574,3.120924,21,10297,0,0
147,0,2.132321,8.331424,0.536062,8.963294,19.963101,0.375373,0.344384,4.489909,0.485908,0.340705,2.772013,21,10297,0,0
148,0,2.128394,8.280114,0.536536,9.018551,19.963596,0.350091,0.345334,4.450819,0.439755,0.341912,2.988848,21,10297,0,0
149,0,2.105852,8.324446,0.533695,8.972565,19.936557,0.348504,0.310550,4.524489,0.485711,0.378432,2.972887,21,10297,0,0
150,0,2.107459,8.400211,0.533783,8.921404,19.962857,0.396627,0.310367,4.560479,0.441389,0.341092,3.124084,21,10297,0,0
151,0,2.107073,8.417891,0.562005,8.903398,19.990367,0.345072,0.313802,4.590953,0.492103,0.340597,3.101739,21,10297,0,0
152,0,2.105465,8.430023,0.535458,8.859039,19.929986,0.344374,0.349084,4.556576,0.443281,0.340936,3.114095,21,10297,0,0
153,0,2.106991,8.310652,0.535383,9.010305,19.963331,0.383077,0.349596,4.418206,0.525560,0.340908,2.775865,21,10297,0,0
154,0,2.091183,8.373010,0.534108,8.965125,19.963426,0.411750,0.351098,4.456651,0.443732,0.376234,2.829420,21,10297,0,0
155,0,2.109880,8.305044,0.535980,9.011837,19.962741,0.347670,0.306956,4.493476,0.482619,0.341119,2.948120,21,10297,0,0
156,0,2.125648,8.356062,0.536116,8.946381,19.964206,0.346130,0.304657,4.546075,0.510478,0.339335,2.861633,21,10297,0,0
157,0,2.110043,8.288686,0.535485,9.029110,19.963325,0.345805,0.305383,4.506700,0.441308,0.341166,3.080451,21,10297,0,0
158,0,2.111040,8.374861,0.554569,8.945180,19.985650,0.346497,0.306413,4.543498,0.436605,0.391758,3.067830,21,10297,0,0
