frame,phase,update_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.107897,11.495412,0.533719,5.827681,19.964708,0.357486,0.335354,8.168660,1.000336,0.586046,2.989641,33,12312,0,0
121,0,2.109199,11.538239,0.534566,5.781511,19.963515,0.396528,0.336897,8.148322,0.844350,0.611433,3.050364,33,12312,0,0
122,0,2.108039,11.498159,0.534342,5.822893,19.963433,0.358110,0.372331,8.047448,0.968865,0.551110,2.794040,33,12312,0,0
123,0,2.109178,11.537587,0.533902,5.783166,19.963833,0.360881,0.376567,8.104872,0.996355,0.553263,2.894311,33,12312,0,0
124,0,2.109178,11.609690,0.532260,5.712257,19.963386,0.397359,0.333371,8.239000,0.925808,0.551490,3.096622,33,12312,0,0
125,0,2.127204,11.495005,0.537503,5.803958,19.963671,0.356500,0.371202,8.081499,0.871986,0.589874,2.651303,33,12312,0,0
126,0,2.128567,11.528758,0.534112,5.771549,19.962986,0.359216,0.375475,8.139879,1.085544,0.551724,2.844930,33,12312,0,0
127,0,2.134762,11.504578,0.533868,5.790917,19.964125,0.358995,0.329088,8.128262,0.843343,0.622813,3.090457,33,12312,0,0
128,0,2.110074,11.639008,0.533644,5.674964,19.957689,0.402917,0.382979,8.175839,0.924208,0.591899,3.087253,33,12312,0,0
129,0,2.109972,11.548431,0.534824,5.770165,19.963392,0.437958,0.376784,8.023929,1.050893,0.587199,2.695275,33,12312,0,0
130,0,2.109321,11.583527,0.533413,5.737593,19.963854,0.398570,0.337660,8.213548,0.958350,0.550066,3.081862,33,12312,0,0
131,0,2.109850,11.489655,0.537143,5.826840,19.963487,0.399709,0.379232,8.063351,0.969025,0.555993,2.710164,33,12312,0,0
132,0,2.108731,11.527557,0.533895,5.792742,19.962925,0.361304,0.333964,8.144497,0.998271,0.586310,3.036018,33,12312,0,0
133,0,2.155748,11.524872,0.529168,5.754133,19.963921,0.391500,0.329631,8.152642,0.955044,0.589427,3.086589,33,12312,0,0
134,0,2.129157,11.650889,0.534248,5.649845,19.964138,0.355299,0.341349,8.237088,0.922024,0.595100,3.143921,33,12312,0,0
135,0,2.109138,11.738393,0.534024,5.581770,19.963325,0.356398,0.332286,8.327203,0.958201,0.629432,3.165419,33,12312,0,0
