frame,phase,rsTotal_ms,rsHead_ms,rsEnvProbe_ms,rsPortal_ms,rsSky_ms,rsTerrain_ms,rsTerrainDraw_ms,rsBatches_ms,rsProc_ms,rsObjects_ms,rsObjSubmit_ms,rsWheels_ms,rsWheelSubmit_ms,rsAnim_ms,rsDecorate_ms,rsLightFx_ms,rsHighlight_ms,rsParticles_ms,dmPost_ms,dmHud_ms,spRender_ms,spHead_ms,spTail_ms,spCalls,spCulled,spPkgr_ms,spTex_ms,spProg_ms,spLight_ms,spBlss_ms,spObjData_ms,spGifWait_ms,bdSize_ms,bdProg_ms,bdSizeCalc_ms,bdXform_ms,bdCache_ms,bdPlanes_ms,bdMain_ms,bbHit,bbRecalc,bbFresh,bbProbe,bbEntries,bbFrameEnd_ms,bbRecalcT_ms,dsRetain_ms,dsDirect_ms,dsCreate_ms,dsClassify_ms,dsRender_ms,dsFlush_ms,dsDirectBags,dsPartialBags,dsPackages,dsMergeParts,dsMaskCalls
120,0,14.183085,1.496267,1.495416,0.000041,0.130700,0.947089,0.943410,1.178663,1.271267,4.871219,4.731537,2.971683,0.977536,0.000064,0.000034,1.241825,0.000003,0.073822,0.000448,0.064992,9.501326,0.073096,0.105082,245,122,0.295854,0.182017,0.010427,0.080777,0.002031,0.562707,0.017137,0.269589,0.087460,0.069363,0.353882,0.734246,0.138177,0.222761,234,11,0,352,220,0.010546,0.613217,0.175893,1.177395,1.859856,1.483348,1.192627,1.951077,61,62,601,1378,294
121,0,12.745748,0.000810,0.000000,0.000041,0.129208,0.965207,0.961528,1.184028,1.256273,4.924747,4.785065,2.967577,0.976661,0.000064,0.000034,1.243527,0.000003,0.073822,0.000448,0.049784,8.112040,0.061985,0.075595,208,106,0.265133,0.180230,0.008647,0.088355,0.001678,0.454553,0.013787,0.210039,0.063883,0.048665,0.316664,0.710578,0.119951,0.204902,198,10,0,286,220,0.010546,0.608751,0.146162,0.904782,1.733802,1.318949,0.982201,1.550720,46,56,544,1272,244
122,0,14.150279,1.523258,1.522407,0.000041,0.130700,0.945560,0.941881,1.201463,1.234433,4.946221,4.806539,2.970245,0.993961,0.000064,0.000034,1.124027,0.000003,0.073822,0.000448,0.051887,9.479780,0.095473,0.059408,245,122,0.297770,0.177304,0.010427,0.080777,0.002031,0.540395,0.017137,0.265021,0.075287,0.076969,0.353882,0.731971,0.160553,0.241326,234,11,0,352,220,0.010546,0.610942,0.193014,1.157410,1.825161,1.503655,1.245582,1.928446,61,62,601,1378,294
123,0,12.816935,0.000810,0.000000,0.000041,0.144748,0.928650,0.924971,1.206180,1.253109,4.909658,4.769975,2.981286,1.005510,0.000064,0.000034,1.318122,0.000003,0.073822,0.000448,0.048716,8.152757,0.061985,0.104163,208,106,0.284695,0.194600,0.008647,0.065979,0.001678,0.451840,0.013787,0.210039,0.063883,0.048665,0.300273,0.722276,0.145769,0.189467,198,10,0,286,220,0.024373,0.620449,0.165972,0.886325,1.750224,1.351671,0.945143,1.567620,46,56,544,1272,244
124,0,14.230116,1.488508,1.487657,0.000041,0.148899,0.923102,0.919423,1.182946,1.235280,4.955105,4.815423,2.960181,1.006090,0.000064,0.000034,1.261722,0.000003,0.073822,0.000448,0.058244,9.479513,0.073096,0.084432,245,122,0.312032,0.202159,0.010427,0.101254,0.002031,0.526669,0.017137,0.245375,0.075287,0.057322,0.399794,0.801802,0.167552,0.222761,234,11,0,352,220,0.010546,0.665337,0.175893,1.123528,1.863288,1.522454,1.161469,1.892120,61,62,601,1378,294
125,0,12.929433,0.000810,0.000000,0.000041,0.142795,0.924140,0.920461,1.201592,1.235348,4.946954,4.807271,2.954190,0.998996,0.000064,0.000034,1.427022,0.000003,0.096032,0.000448,0.051327,8.257114,0.061985,0.134020,208,106,0.265133,0.222480,0.008647,0.083082,0.001678,0.477827,0.013787,0.210039,0.063883,0.048665,0.342346,0.734555,0.142405,0.189467,198,10,0,286,220,0.010546,0.632728,0.146162,0.900048,1.755439,1.334429,0.938900,1.546838,46,56,544,1272,244
126,0,14.426117,1.613932,1.613081,0.000041,0.153154,0.945838,0.942159,1.172872,1.234514,4.947815,4.788564,2.967519,1.038588,0.000064,0.000034,1.297211,0.000003,0.092712,0.000448,0.060194,9.537771,0.073096,0.094655,245,122,0.295854,0.221788,0.010427,0.101786,0.002031,0.549123,0.017137,0.245375,0.075287,0.057322,0.356028,0.778059,0.138177,0.245138,234,11,0,352,220,0.010546,0.629439,0.214430,1.185109,1.818587,1.459320,1.158956,1.935320,61,62,601,1378,294
127,0,13.157233,0.000810,0.000000,0.000041,0.144575,0.949568,0.945889,1.174130,1.234677,4.914185,4.774502,2.968269,1.029772,0.000064,0.000034,1.696648,0.000003,0.073822,0.000448,0.058244,8.163428,0.061985,0.095398,208,106,0.265133,0.203318,0.008647,0.065979,0.001678,0.438195,0.013787,0.229150,0.063883,0.048665,0.298102,0.733015,0.119951,0.189467,198,10,0,286,220,0.010546,0.631188,0.164907,0.938070,1.741743,1.305447,0.949897,1.543803,46,56,544,1272,244
128,0,14.390330,1.507833,1.506982,0.000041,0.130700,0.963406,0.959727,1.166996,1.244158,4.946632,4.806949,2.964891,1.006154,0.000064,0.000034,1.391344,0.000003,0.073822,0.000448,0.060923,9.576148,0.073096,0.121314,245,122,0.295854,0.231676,0.010427,0.080777,0.002031,0.526669,0.017137,0.247291,0.075287,0.057322,0.368225,0.748803,0.171258,0.244280,234,11,0,352,220,0.010546,0.627774,0.175893,1.211538,1.849460,1.455719,1.154836,1.948890,61,62,601,1378,294
129,0,12.702176,0.000810,0.000000,0.000041,0.129208,0.944285,0.940606,1.179979,1.237274,4.940250,4.761071,2.963901,1.007728,0.000064,0.000034,1.232096,0.000003,0.073822,0.000448,0.079068,8.139523,0.084354,0.112790,208,106,0.293084,0.224745,0.008647,0.065979,0.001678,0.460019,0.013787,0.212348,0.063883,0.048665,0.298102,0.724297,0.119951,0.201579,198,10,0,286,220,0.010546,0.622470,0.165198,0.941196,1.681525,1.280290,0.922729,1.525238,46,56,544,1272,244
