frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.361728,1.469242,14.818085,0.569773,2.227332,19.976919,1.771823,1.154666,6.380415,1.476661,1.221561,0.237786,133,45724,0,0
121,0,2.365848,1.472209,13.372413,0.569756,3.667708,19.975725,1.607273,1.015889,5.337714,1.170403,0.964311,0.196303,107,35280,0,0
122,0,2.401733,1.486267,14.776109,0.553185,2.244704,19.975732,1.805922,1.129557,6.373179,1.339088,1.244961,0.248461,133,45724,0,0
123,0,2.364027,1.470924,13.441071,0.583154,3.578929,19.967180,1.612963,1.024733,5.335331,1.151845,0.999349,0.178101,107,35280,0,0
124,0,2.378001,1.478550,14.865289,0.587552,2.133304,19.964145,1.890452,1.175425,6.239865,1.338677,1.206746,0.239332,133,45724,0,0
125,0,2.355988,1.463884,13.557343,0.569756,3.487698,19.970785,1.663951,1.076141,5.307434,1.161587,1.002960,0.177928,107,35280,0,0
126,0,2.355008,1.463216,15.058360,0.566186,1.996155,19.975708,1.815945,1.201864,6.335968,1.409420,1.209795,0.254123,133,45724,0,0
127,0,2.356361,1.464735,13.786194,0.570177,3.263007,19.975739,1.614824,1.000244,5.377394,1.165514,0.985094,0.172017,107,35280,0,0
128,0,2.359711,1.448341,15.051598,0.566189,1.996158,19.973657,1.833025,1.168287,6.364183,1.392595,1.243849,0.252784,133,45724,0,0
129,0,2.357385,1.464216,13.389326,0.588657,3.640367,19.975735,1.601417,1.071445,5.255934,1.187351,0.975182,0.177036,107,35280,0,0
130,0,2.377285,1.468530,17.303443,0.582713,19.712267,39.975708,1.851423,1.175802,6.274879,1.338470,1.254869,0.256975,133,45724,0,0
131,0,2.364098,1.480438,13.602251,0.572774,3.436605,19.975728,1.740187,0.987244,5.355289,1.211416,0.990445,0.177928,107,35280,0,0
132,0,1.873064,1.472663,15.183617,0.555332,2.363698,19.975711,1.865102,1.170017,6.350267,1.384793,1.188070,0.286692,133,45724,0,0
133,0,1.876770,1.482252,13.454159,0.566467,4.078318,19.975715,1.653266,1.044613,5.339067,1.225437,0.991374,0.165992,107,35280,0,0
134,0,1.870775,1.470320,14.837758,0.573792,2.693410,19.975735,1.808804,1.165663,6.349518,1.507826,1.212853,0.255347,133,45724,0,0
135,0,1.880422,1.487681,13.387115,0.566186,4.142002,19.975725,1.603356,1.001004,5.360433,1.149611,0.962138,0.177928,107,35280,0,0
136,0,1.858802,1.458598,14.836317,0.566630,2.713976,19.975725,1.759983,1.178318,6.341746,1.507219,1.172143,0.247230,133,45724,0,0
137,0,1.859982,1.461409,13.324215,0.562761,4.228753,19.975711,1.645352,0.991974,5.332764,1.187724,0.976176,0.177928,107,35280,0,0
138,0,1.861030,1.463121,14.902910,0.571604,2.641405,19.976949,1.815504,1.114648,6.323954,1.324504,1.210052,0.262570,133,45724,0,0
