frame,phase,rsTotal_ms,rsHead_ms,rsEnvProbe_ms,rsPortal_ms,rsSky_ms,rsTerrain_ms,rsTerrainDraw_ms,rsBatches_ms,rsProc_ms,rsObjects_ms,rsObjSubmit_ms,rsWheels_ms,rsWheelSubmit_ms,rsAnim_ms,rsDecorate_ms,rsLightFx_ms,rsHighlight_ms,rsParticles_ms,dmPost_ms,dmHud_ms,spRender_ms,spHead_ms,spTail_ms,spCalls,spCulled,spPkgr_ms,spTex_ms,spProg_ms,spLight_ms,spBlss_ms,spObjData_ms,spGifWait_ms,bdSize_ms,bdProg_ms,bdSizeCalc_ms,bdXform_ms,bdCache_ms,bdPlanes_ms,bdMain_ms,bbHit,bbRecalc,bbFresh,bbProbe,bbEntries,bbFrameEnd_ms,bbRecalcT_ms,dsRetain_ms,dsDirect_ms,dsCreate_ms,dsClassify_ms,dsRender_ms,dsFlush_ms,dsDirectBags,dsPartialBags,dsPackages,dsMergeParts,dsMaskCalls
120,0,14.381137,1.613539,1.612688,0.000041,0.149485,0.951382,0.947703,1.186401,1.255507,4.911001,4.771318,2.984494,1.027062,0.000064,0.000034,1.254957,0.000003,0.073822,0.000448,0.062754,9.552022,0.073096,0.106920,245,122,0.309214,0.212491,0.010427,0.080777,0.002031,0.526669,0.017137,0.263102,0.075287,0.075050,0.371819,0.767734,0.138177,0.222761,234,11,0,352,220,0.026140,0.646705,0.198347,1.133403,1.829824,1.507775,1.219635,1.971764,61,62,601,1378,294
121,0,12.735341,0.000810,0.000000,0.000041,0.142870,0.946730,0.943051,1.186439,1.253930,4.914744,4.775062,2.995297,0.997867,0.000064,0.000034,1.220150,0.000003,0.073822,0.000448,0.067468,8.150004,0.061985,0.105079,208,106,0.265133,0.201467,0.008647,0.065979,0.001678,0.475905,0.013787,0.225430,0.079274,0.048665,0.298102,0.712345,0.119951,0.189467,198,10,0,286,220,0.010546,0.610518,0.146162,0.903463,1.740078,1.341526,0.957845,1.575226,46,56,544,1272,244
122,0,14.323897,1.507189,1.506337,0.000041,0.150363,0.926178,0.922499,1.207520,1.237885,4.926256,4.786574,2.980804,1.000797,0.000064,0.000034,1.313331,0.000003,0.073822,0.000448,0.068671,9.552348,0.073096,0.086619,245,122,0.295854,0.214535,0.010427,0.080777,0.002031,0.545034,0.017137,0.245375,0.075287,0.057322,0.393314,0.735138,0.138177,0.267592,234,11,0,352,220,0.010546,0.614109,0.213047,1.170702,1.923028,1.544590,1.130368,1.913405,61,62,601,1378,294
123,0,12.737074,0.000810,0.000000,0.000041,0.148190,0.946482,0.942803,1.185625,1.244476,4.929230,4.789547,2.974209,1.014126,0.000064,0.000034,1.233680,0.000003,0.073822,0.000448,0.048716,8.191898,0.061985,0.097348,208,106,0.265133,0.161489,0.008647,0.065979,0.001678,0.454475,0.013787,0.210039,0.063883,0.048665,0.298102,0.755032,0.119951,0.211921,198,10,0,286,220,0.010546,0.632589,0.211151,0.914181,1.781698,1.383145,0.923553,1.553474,46,56,544,1272,244
124,0,17.884715,2.697133,2.696282,0.000041,0.130700,0.962362,0.958683,1.165890,1.280565,4.904907,4.765225,2.982442,0.975057,0.000064,0.000034,3.686344,0.000003,0.073822,0.000448,0.064260,9.510566,0.073096,0.094662,245,122,0.316230,0.187256,0.010427,0.080777,0.002031,0.587413,0.017137,0.257585,0.075287,0.057322,0.372291,0.714745,0.138177,0.222761,234,11,0,352,220,0.010546,0.591732,0.177809,1.147017,1.903653,1.549262,1.159264,1.951541,61,62,601,1378,294
125,0,13.057638,0.282555,0.000000,0.000041,0.167413,0.943319,0.939640,1.182953,1.242245,4.925778,4.786096,2.963531,0.996579,0.000064,0.000034,1.275472,0.000003,0.073822,0.000448,0.066026,8.149858,0.061985,0.075697,208,106,0.265133,0.174272,0.008647,0.065979,0.001678,0.438195,0.013787,0.253055,0.063883,0.071042,0.327637,0.743334,0.133606,0.189467,197,11,0,286,220,0.010546,0.641534,0.146393,0.889008,1.773298,1.342336,0.952745,1.553667,46,56,544,1272,244
126,0,14.889906,1.840685,1.544410,0.000041,0.145081,0.944468,0.940789,1.193397,1.256924,4.934252,4.792386,2.970645,0.990475,0.000064,0.000034,1.530084,0.000003,0.073822,0.000448,0.071028,9.689178,0.073096,0.134769,245,122,0.312971,0.270528,0.010427,0.080777,0.002031,0.590105,0.032589,0.247498,0.077410,0.057322,0.388329,0.784614,0.138177,0.222761,233,12,0,352,220,0.010546,0.663612,0.176124,1.153622,1.881809,1.502804,1.139099,1.968611,61,62,601,1378,294
127,0,12.635776,0.000810,0.000000,0.000041,0.129208,0.968319,0.964640,1.166501,1.276489,4.915287,4.775604,2.965529,0.974918,0.000064,0.000034,1.139262,0.000003,0.073822,0.000448,0.065854,8.154093,0.064307,0.068509,208,106,0.265133,0.168644,0.008647,0.065979,0.001678,0.438195,0.013787,0.210039,0.063883,0.048665,0.319288,0.689969,0.155446,0.189467,198,10,0,286,220,0.010546,0.588142,0.164608,0.961378,1.801351,1.380344,0.940620,1.544773,46,56,544,1272,244
128,0,14.468635,1.508274,1.507423,0.000041,0.130700,0.967611,0.963932,1.166202,1.279989,4.879435,4.739753,2.979980,0.976647,0.000064,0.000034,1.482073,0.000003,0.073822,0.000448,0.079081,9.527435,0.073096,0.115526,245,122,0.315982,0.197588,0.010427,0.080777,0.002031,0.578193,0.017137,0.245375,0.075287,0.057322,0.356120,0.712762,0.176466,0.222761,234,11,0,352,220,0.010546,0.591732,0.175893,1.196242,1.894104,1.531328,1.168677,1.891585,61,62,601,1378,294
129,0,12.786241,0.000810,0.000000,0.000041,0.129208,0.960463,0.956784,1.162496,1.271267,4.903832,4.741696,2.983198,0.998349,0.000064,0.000034,1.300595,0.000003,0.073822,0.000448,0.067027,8.181766,0.061985,0.114699,208,106,0.279168,0.177002,0.008647,0.065979,0.001678,0.477017,0.013787,0.222080,0.075924,0.048665,0.298102,0.712345,0.119951,0.189467,198,10,0,286,220,0.010546,0.610518,0.146162,0.936554,1.748288,1.330851,0.977288,1.549293,46,56,544,1272,244
