frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.374997,1.478153,15.018005,0.595001,2.004534,19.992537,1.816762,1.162462,6.376539,1.363244,1.253557,0.257473,133,45724,0,0
121,0,2.353984,1.476986,13.379411,0.574921,3.655792,19.964108,1.590434,1.036102,5.342821,1.165449,0.991309,0.177928,107,35280,0,0
122,0,2.351098,1.479821,14.962928,0.577118,2.058136,19.949280,1.832764,1.169512,6.374115,1.389275,1.211155,0.252784,133,45724,0,0
123,0,2.379852,1.480401,13.357334,0.595120,3.643419,19.975725,1.640184,0.974694,5.404104,1.186900,0.961734,0.177928,107,35280,0,0
124,0,2.373074,1.484158,18.538598,0.566145,18.497894,39.975711,1.758728,1.204987,6.362851,1.324504,1.258460,0.253231,133,45724,0,0
125,0,2.341858,1.443641,13.717356,0.566867,3.349653,19.975735,1.692237,0.971198,5.335158,1.167799,1.002835,0.165771,107,35280,0,0
126,0,1.868815,1.457150,15.532077,0.556295,2.016473,19.973660,1.834547,1.287693,6.342831,1.393121,1.194597,0.252784,133,45724,0,0
127,0,1.868066,1.470652,13.271695,0.565501,4.270460,19.975722,1.609348,0.965569,5.432777,1.221785,0.985128,0.172373,107,35280,0,0
128,0,1.876289,1.480018,15.120422,0.567678,2.411329,19.975718,1.766652,1.205851,6.350067,1.386431,1.232635,0.251706,133,45724,0,0
129,0,1.886281,1.485826,13.429884,0.570184,4.089389,19.975739,1.587084,1.026784,5.377631,1.194366,0.961151,0.172831,107,35280,0,0
130,0,1.866113,1.473290,15.065498,0.566525,2.477587,19.975722,1.861142,1.184506,6.365200,1.381914,1.232737,0.240712,133,45724,0,0
131,0,1.873101,1.474101,13.567942,0.559862,3.974813,19.975718,1.621351,1.009518,5.340522,1.268860,0.971785,0.184960,107,35280,0,0
132,0,1.877007,1.482534,14.784142,0.568919,2.745636,19.975705,1.810659,1.157779,6.360521,1.368883,1.219971,0.247230,133,45724,0,0
133,0,1.882216,1.482964,13.392270,0.580082,4.121172,19.975739,1.621043,1.043030,5.314558,1.205441,1.007433,0.177928,107,35280,0,0
134,0,1.882141,1.487834,15.343723,0.566189,2.183668,19.975722,1.787479,1.184580,6.323344,1.393277,1.172143,0.252784,133,45724,0,0
135,0,1.865241,1.487162,13.362820,0.570991,4.183143,19.982195,1.630524,1.036058,5.297139,1.185791,0.975586,0.165992,107,35280,0,0
136,0,1.838162,1.460083,15.357496,0.568200,2.192793,19.956651,1.811215,1.162516,6.347521,1.359463,1.207699,0.260037,133,45724,0,0
137,0,1.856734,1.456200,13.334415,0.577308,4.207265,19.975722,1.621117,1.036387,5.325256,1.195238,1.010210,0.175486,107,35280,0,0
138,0,1.852251,1.460439,15.643165,0.561052,1.919261,19.975728,1.851956,1.131134,6.263421,1.364329,1.205950,0.259664,133,45724,0,0
139,0,1.859982,1.458645,13.324219,0.565525,4.225993,19.975718,1.659892,0.983388,5.356449,1.166066,1.009203,0.177928,107,35280,0,0
140,0,1.862749,1.466431,15.104838,0.564575,2.443549,19.975711,1.787815,1.160916,6.338335,1.386675,1.250851,0.270891,133,45724,0,0
141,0,1.884986,1.464484,13.358259,0.570177,4.162309,19.975732,1.639008,1.037401,5.280501,1.173258,1.038076,0.179576,107,35280,0,0
142,0,1.894409,1.497464,15.320794,0.567695,2.192813,19.975711,1.818949,1.200972,6.337836,1.384457,1.225671,0.252784,133,45724,0,0
143,0,1.881080,1.480625,13.763014,0.566111,3.765533,19.975739,1.564707,1.159329,5.358554,1.174561,0.964023,0.177928,107,35280,0,0
144,0,1.879032,1.484541,15.117669,0.564599,2.414408,19.975708,1.844343,1.168742,6.272427,1.324504,1.221090,0.254364,133,45724,0,0
145,0,1.876736,1.479248,13.533183,0.567980,3.997833,19.975732,1.571733,1.031165,5.393311,1.189860,1.026086,0.185018,107,35280,0,0
146,0,1.878845,1.482954,14.930352,0.587704,2.578813,19.975715,1.747047,1.183102,6.446733,1.413751,1.253489,0.249912,133,45724,0,0
147,0,1.882914,1.481459,13.353383,0.577111,4.162316,19.975725,1.595642,1.006958,5.343730,1.171997,0.999407,0.192264,107,35280,0,0
