frame,phase,rsTotal_ms,rsHead_ms,rsEnvProbe_ms,rsPortal_ms,rsSky_ms,rsTerrain_ms,rsTerrainDraw_ms,rsBatches_ms,rsProc_ms,rsObjects_ms,rsObjSubmit_ms,rsWheels_ms,rsWheelSubmit_ms,rsAnim_ms,rsDecorate_ms,rsLightFx_ms,rsHighlight_ms,rsParticles_ms,dmPost_ms,dmHud_ms,spRender_ms,spHead_ms,spTail_ms,spCalls,spCulled,spPkgr_ms,spTex_ms,spProg_ms,spLight_ms,spBlss_ms,spObjData_ms,spGifWait_ms,bdSize_ms,bdProg_ms,bdSizeCalc_ms,bdXform_ms,bdCache_ms,bdPlanes_ms,bdMain_ms,bbHit,bbRecalc,bbFresh,bbProbe,bbEntries,bbFrameEnd_ms,bbRecalcT_ms,dsRetain_ms,dsDirect_ms,dsCreate_ms,dsClassify_ms,dsRender_ms,dsFlush_ms,dsDirectBags,dsPartialBags,dsPackages,dsMergeParts,dsMaskCalls
120,0,14.585954,1.571869,1.571018,0.000041,0.149533,0.997552,0.993873,1.236094,1.348551,4.969845,4.816437,2.990011,0.978685,0.000064,0.000034,1.248152,0.000003,0.073798,0.000448,0.063551,9.833995,0.073096,0.077667,245,122,0.298089,0.263424,0.010427,0.099406,0.002031,0.526669,0.017137,0.641866,0.088959,0.069699,0.353882,0.730804,0.138177,0.242476,234,11,0,352,220,0.026140,0.609775,0.175893,1.140771,1.765784,1.445604,1.213949,1.965752,61,62,601,1378,294
121,0,13.062751,0.000810,0.000000,0.000041,0.144453,1.006022,1.002343,1.226674,1.375688,4.997019,4.857337,2.968411,1.013451,0.000064,0.000034,1.269324,0.000003,0.073798,0.000448,0.081523,8.461816,0.061985,0.089973,208,106,0.265133,0.187453,0.008647,0.078115,0.001678,0.473229,0.013787,0.544888,0.082465,0.069685,0.298102,0.708862,0.119951,0.189467,198,10,0,286,220,0.010546,0.607035,0.161523,0.934570,1.688277,1.289724,0.924221,1.629679,46,56,544,1272,244
122,0,14.568217,1.557973,1.557122,0.000041,0.150282,1.003703,1.000024,1.232185,1.370941,4.940236,4.800554,2.990434,1.000732,0.000064,0.000034,1.248115,0.000003,0.073798,0.000448,0.063924,9.854499,0.073096,0.075345,245,122,0.295854,0.208025,0.010427,0.080777,0.002031,0.551805,0.017137,0.612488,0.075287,0.057322,0.374596,0.755046,0.138177,0.222761,234,11,0,352,220,0.010546,0.634016,0.177965,1.198446,1.920563,1.506399,1.136349,1.906918,61,62,601,1378,294
123,0,13.008375,0.000810,0.000000,0.000041,0.149750,0.999529,0.995850,1.226702,1.368500,4.974002,4.834320,2.972514,1.009749,0.000064,0.000034,1.242221,0.000003,0.073798,0.000448,0.058889,8.501682,0.061985,0.087769,208,106,0.265133,0.177595,0.008647,0.065979,0.001678,0.484606,0.013787,0.507968,0.063883,0.051348,0.300096,0.730669,0.119951,0.203128,198,10,0,286,220,0.010546,0.616330,0.172197,0.949917,1.764075,1.339728,0.941759,1.562466,46,56,544,1272,244
124,0,14.807821,1.752401,1.751550,0.000041,0.130656,0.996616,0.992937,1.227502,1.374254,5.000621,4.860938,2.985233,1.014828,0.000064,0.000034,1.266191,0.000003,0.073798,0.000448,0.082614,9.861803,0.073096,0.101624,245,122,0.295854,0.220815,0.010427,0.103421,0.002031,0.557719,0.017137,0.617245,0.075287,0.059316,0.367845,0.762058,0.138177,0.222761,234,11,0,352,220,0.010546,0.628642,0.175893,1.133843,1.861962,1.521128,1.116723,1.986477,61,62,601,1378,294
125,0,13.067590,0.000810,0.000000,0.000041,0.130792,0.998711,0.995032,1.231503,1.369253,4.967170,4.825192,2.960876,0.989078,0.000064,0.000034,1.316922,0.000003,0.091003,0.000448,0.067485,8.410129,0.061985,0.094838,208,106,0.265133,0.190674,0.008647,0.065979,0.001678,0.452783,0.013787,0.542474,0.063883,0.048665,0.312717,0.720045,0.119951,0.201816,198,10,0,286,220,0.027985,0.616302,0.146162,0.920112,1.678226,1.279673,0.963660,1.567186,46,56,544,1272,244
126,0,14.714105,1.599640,1.598789,0.000041,0.130656,0.981520,0.977841,1.252614,1.366831,4.996358,4.856676,2.990231,1.030487,0.000064,0.000034,1.321906,0.000003,0.073798,0.000448,0.075833,9.906416,0.073096,0.096286,245,122,0.313948,0.194444,0.010427,0.098935,0.002031,0.543491,0.017137,0.664252,0.075287,0.057322,0.375532,0.744276,0.150428,0.242055,234,11,0,352,220,0.010546,0.623247,0.175893,1.125593,1.862586,1.521752,1.152856,1.966454,61,62,601,1378,294
127,0,13.354655,0.000810,0.000000,0.000041,0.130792,0.988298,0.984619,1.238393,1.371843,4.992116,4.852434,3.002126,1.000580,0.000064,0.000034,1.555929,0.000003,0.073798,0.000448,0.083015,8.834262,0.061985,0.444214,208,106,0.302361,0.183577,0.008647,0.065979,0.001678,0.456679,0.013787,0.536570,0.063883,0.048665,0.298102,0.707255,0.133209,0.189467,198,10,0,286,220,0.010546,0.605428,0.146162,0.905555,1.759376,1.335765,0.958191,1.579193,46,56,544,1272,244
128,0,14.546258,1.560276,1.559425,0.000041,0.130656,0.990204,0.986525,1.250115,1.349491,5.005480,4.865797,2.969028,1.014170,0.000064,0.000034,1.216661,0.000003,0.073798,0.000448,0.053463,9.852498,0.073096,0.072767,245,122,0.314701,0.190460,0.010427,0.080777,0.002031,0.528707,0.017137,0.595208,0.075287,0.057322,0.353882,0.747236,0.159108,0.240729,234,11,0,352,220,0.010546,0.612586,0.224752,1.153300,1.808753,1.447320,1.160031,2.022702,61,62,601,1378,294
129,0,13.720723,0.000810,0.000000,0.000041,0.130792,0.980584,0.976905,1.243093,1.374261,4.992591,4.852909,2.991970,1.022441,0.000064,0.000034,1.909899,0.000003,0.096174,0.000448,0.081523,9.117445,0.064117,0.147329,208,106,0.267815,0.815511,0.008647,0.065979,0.001678,0.460649,0.013787,0.548513,0.082184,0.048665,0.351078,0.732849,0.119951,0.207750,198,10,0,286,220,0.010546,0.629079,0.146162,0.886325,1.733527,1.334975,0.921004,1.542497,46,56,544,1272,244
