frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.375092,1.478248,15.223524,0.582174,1.811734,19.992523,2.160373,1.220900,6.285716,1.361481,1.260413,0.241716,133,45724,0,0
121,0,2.354011,1.477013,13.720862,0.569160,3.320099,19.964132,1.906409,1.031548,5.358317,1.231852,1.021718,0.177928,107,35280,0,0
122,0,2.351206,1.480170,15.204003,0.577135,1.839386,19.971731,2.156236,1.169773,6.363807,1.384939,1.190443,0.249729,133,45724,0,0
123,0,2.356242,1.479245,13.640452,0.563249,3.415765,19.975708,1.906952,1.020932,5.410461,1.199164,1.014716,0.177928,107,35280,0,0
124,0,2.348056,1.475732,15.466003,0.572306,1.589362,19.975728,2.161255,1.211121,6.298465,1.399723,1.236182,0.253523,133,45724,0,0
125,0,2.357666,1.488502,13.720310,0.595466,3.317664,19.991106,1.942142,1.002187,5.295393,1.227821,0.994751,0.179779,107,35280,0,0
126,0,2.377482,1.465976,15.363746,0.575802,1.641249,19.958279,2.229713,1.184130,6.306949,1.346873,1.240122,0.251706,133,45724,0,0
127,0,2.385668,1.482157,14.013818,0.577783,2.998447,19.975715,1.909743,1.036214,5.368523,1.187741,1.028246,0.177928,107,35280,0,0
128,0,2.390923,1.481713,15.168298,0.563161,1.853346,19.975728,2.149333,1.147956,6.393104,1.419254,1.239373,0.271088,133,45724,0,0
129,0,2.367577,1.460276,14.379127,0.579861,2.649153,19.975718,2.005280,1.637573,5.249563,1.132480,0.991550,0.177928,107,35280,0,0
130,0,2.381192,1.459642,15.444261,0.571313,1.578973,19.975739,2.129496,1.122782,6.351332,1.424981,1.207421,0.228082,133,45724,0,0
131,0,2.366815,1.461348,13.619470,0.595995,3.393443,19.975722,1.889615,1.040409,5.377920,1.204980,1.039432,0.166111,107,35280,0,0
132,0,2.368198,1.457770,15.406264,0.576820,1.624437,19.975718,2.126461,1.177202,6.388136,1.414944,1.218811,0.251706,133,45724,0,0
133,0,2.375977,1.482591,13.698744,0.569780,3.331207,19.975708,2.012248,1.003130,5.253594,1.132480,0.989173,0.184960,107,35280,0,0
134,0,2.372715,1.482283,15.457330,0.566196,1.579495,19.975735,2.242120,1.138146,6.320397,1.382426,1.229909,0.251706,133,45724,0,0
135,0,2.378079,1.485742,13.877435,0.578729,3.141469,19.975711,1.898309,1.035882,5.304498,1.180593,1.013038,0.165059,107,35280,0,0
136,0,2.363580,1.486582,15.777357,0.585961,1.255296,19.982195,2.199680,1.219432,6.243974,1.390849,1.172143,0.247715,133,45724,0,0
137,0,2.354482,1.480567,13.800249,0.587585,3.214342,19.956658,1.906274,1.000990,5.435883,1.250370,0.996311,0.176541,107,35280,0,0
138,0,2.353692,1.480960,15.226339,0.576948,1.818743,19.975722,2.119246,1.210683,6.324337,1.377513,1.188619,0.252045,133,45724,0,0
139,0,2.355119,1.486837,13.672831,0.563243,3.384518,19.975711,1.927304,1.003710,5.398966,1.209717,0.996565,0.177928,107,35280,0,0
140,0,2.358660,1.481971,15.227763,0.587819,1.819529,19.993771,2.183641,1.196964,6.326881,1.429409,1.266734,0.239465,133,45724,0,0
141,0,2.349528,1.459652,14.921543,0.578668,2.107941,19.957679,1.905562,2.062778,5.313809,1.187710,0.980428,0.175652,107,35280,0,0
142,0,2.398380,1.464023,15.443251,0.559330,1.574755,19.975715,2.219018,1.169122,6.359412,1.377418,1.272736,0.264560,133,45724,0,0
143,0,2.407949,1.480520,13.640852,0.573652,3.353265,19.975718,1.926954,1.048835,5.298557,1.168877,0.960748,0.177928,107,35280,0,0
144,0,2.374278,1.460999,15.674530,0.567661,1.359270,19.975739,2.172163,1.210036,6.336836,1.383657,1.243462,0.251706,133,45724,0,0
145,0,2.366075,1.459815,13.639991,0.557339,3.412303,19.975708,1.963240,0.988213,5.342336,1.154914,0.993527,0.177928,107,35280,0,0
146,0,2.369052,1.461151,15.211002,0.587541,1.808136,19.975732,2.208723,1.177470,6.315742,1.403453,1.286624,0.251706,133,45724,0,0
147,0,2.367869,1.461870,13.699402,0.582201,3.326243,19.975715,1.973836,1.026842,5.317349,1.174957,1.036777,0.177928,107,35280,0,0
148,0,2.377777,1.484385,15.323103,0.612532,1.662313,19.975725,2.177216,1.125821,6.338454,1.432115,1.188822,0.260505,133,45724,0,0
149,0,2.376112,1.484558,13.702820,0.567813,3.328966,19.975711,1.946031,1.072191,5.296176,1.150692,0.992978,0.190182,107,35280,0,0
150,0,2.137075,1.452359,15.300608,0.588138,1.949917,19.975739,2.151089,1.157600,6.364631,1.343116,1.210266,0.265459,133,45724,0,0
151,0,2.139445,1.479268,14.374210,0.568532,2.891469,19.973657,1.920129,1.096232,5.334544,1.152249,0.978716,0.177928,107,35280,0,0
