frame,phase,rsTotal_ms,rsHead_ms,rsEnvProbe_ms,rsPortal_ms,rsSky_ms,rsTerrain_ms,rsTerrainDraw_ms,rsBatches_ms,rsProc_ms,rsObjects_ms,rsObjSubmit_ms,rsWheels_ms,rsWheelSubmit_ms,rsAnim_ms,rsDecorate_ms,rsLightFx_ms,rsHighlight_ms,rsParticles_ms,dmPost_ms,dmHud_ms,spRender_ms,spHead_ms,spTail_ms,spCalls,spCulled,spPkgr_ms,spTex_ms,spProg_ms,spLight_ms,spBlss_ms,spObjData_ms,spGifWait_ms,bdSize_ms,bdProg_ms,bdSizeCalc_ms,bdXform_ms,bdCache_ms,bdPlanes_ms,bdMain_ms,bbHit,bbRecalc,bbFresh,bbProbe,bbEntries,bbFrameEnd_ms,bbRecalcT_ms,dsRetain_ms,dsDirect_ms,dsCreate_ms,dsClassify_ms,dsRender_ms,dsFlush_ms,dsDirectBags,dsPartialBags,dsPackages,dsMergeParts,dsMaskCalls
120,0,14.257796,1.626326,1.625475,0.000041,0.127747,0.919586,0.915907,1.139743,1.225850,4.815498,4.675815,2.980204,0.978702,0.000064,0.000034,1.349623,0.000003,0.072669,0.000448,0.058872,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
121,0,12.698602,0.000810,0.000000,0.000041,0.126255,0.946811,0.943132,1.123949,1.218872,4.833937,4.694255,2.976386,0.981510,0.000064,0.000034,1.398363,0.000003,0.072669,0.000448,0.067061,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
122,0,14.160299,1.601349,1.600498,0.000041,0.127747,0.932888,0.929209,1.169668,1.191766,4.819272,4.679589,2.970059,0.971724,0.000064,0.000034,1.274333,0.000003,0.072669,0.000448,0.074249,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
123,0,12.492282,0.000810,0.000000,0.000041,0.126255,0.938856,0.935177,1.123179,1.224019,4.815545,4.661669,2.987006,0.996002,0.000064,0.000034,1.182939,0.000003,0.093123,0.000448,0.084286,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
124,0,14.243880,1.627397,1.626546,0.000041,0.147142,0.913561,0.909882,1.133155,1.183899,4.868005,4.728322,2.955115,0.996229,0.000064,0.000034,1.342387,0.000003,0.072669,0.000448,0.057312,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
125,0,12.494805,0.000810,0.000000,0.000041,0.144945,0.897166,0.893487,1.147990,1.197883,4.816376,4.676693,2.967112,0.973779,0.000064,0.000034,1.249305,0.000003,0.072669,0.000448,0.154612,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
126,0,14.226562,1.687971,1.687120,0.000041,0.127747,0.921719,0.918040,1.143755,1.184462,4.871097,4.731415,2.960626,1.000953,0.000064,0.000034,1.255968,0.000003,0.072669,0.000448,0.061839,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
127,0,12.646705,0.000810,0.000000,0.000041,0.139906,0.905792,0.902113,1.172702,1.182529,4.866309,4.712196,2.945601,1.010105,0.000064,0.000034,1.359836,0.000003,0.072669,0.000448,0.082659,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
128,0,14.001380,1.474640,1.473789,0.000041,0.146044,0.910173,0.906494,1.147736,1.201297,4.816803,4.677121,2.992191,0.993242,0.000064,0.000034,1.239278,0.000003,0.072669,0.000448,0.068264,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
129,0,12.530236,0.000810,0.000000,0.000041,0.126255,0.920919,0.917240,1.133169,1.187412,4.839583,4.697740,2.955760,0.993530,0.000064,0.000034,1.293111,0.000003,0.072669,0.000448,0.152527,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
130,0,14.009762,1.493734,1.492883,0.000041,0.127747,0.945828,0.942149,1.123508,1.202532,4.864312,4.702179,2.962552,0.972002,0.000064,0.000034,1.198415,0.000003,0.090586,0.000448,0.064772,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
131,0,12.556424,0.000810,0.000000,0.000041,0.148705,0.920525,0.916846,1.148509,1.184872,4.869690,4.709205,2.963121,1.015327,0.000064,0.000034,1.246972,0.000003,0.072669,0.000448,0.061822,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
132,0,14.459191,1.867194,1.866343,0.000041,0.146600,0.946543,0.942864,1.126512,1.204295,4.837270,4.695333,2.970523,1.002750,0.000064,0.000034,1.287035,0.000003,0.072669,0.000448,0.051412,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
