frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.357934,1.469706,14.609907,0.569675,2.440498,19.978014,1.651696,1.193068,6.251519,1.368073,1.230096,0.265791,133,45724,0,0
121,0,2.372182,1.479865,13.230286,0.566633,3.808139,19.977241,1.618344,0.978746,5.240448,1.194695,0.979967,0.165788,107,35280,0,0
122,0,2.389116,1.474945,14.748271,0.569706,2.270155,19.977247,1.634823,1.195248,6.362657,1.413367,1.237088,0.254547,133,45724,0,0
123,0,2.378971,1.467017,13.237379,0.556390,3.804508,19.977247,1.498098,0.975257,5.304742,1.221924,0.979224,0.161404,107,35280,0,0
124,0,2.400085,1.482398,15.046082,0.581892,1.949181,19.977241,1.644897,1.109151,6.353475,1.416429,1.244327,0.260064,133,45724,0,0
125,0,2.371446,1.459717,13.271230,0.568088,3.766466,19.977230,1.509345,0.993991,5.265150,1.168467,0.964915,0.178850,107,35280,0,0
126,0,2.361284,1.455831,14.741177,0.589183,2.301202,19.992845,1.656165,1.109904,6.292681,1.440080,1.223504,0.254547,133,45724,0,0
127,0,2.363356,1.465352,13.298899,0.557319,3.744999,19.964572,1.542969,1.027232,5.265991,1.217940,0.996809,0.178046,107,35280,0,0
128,0,2.354743,1.464678,14.700890,0.566976,2.349647,19.972256,1.665782,1.108575,6.290198,1.390903,1.217292,0.256734,133,45724,0,0
129,0,2.350067,1.475240,13.179491,0.566630,3.881042,19.977230,1.514791,1.000509,5.249610,1.154931,0.958296,0.190982,107,35280,0,0
130,0,2.346534,1.477203,14.839023,0.563426,2.228271,19.977254,1.676385,1.213701,6.220347,1.345123,1.206611,0.254547,133,45724,0,0
131,0,2.348684,1.474358,13.267666,0.566806,3.794088,19.977244,1.484823,1.059469,5.297123,1.230489,0.998925,0.178928,107,35280,0,0
132,0,2.352214,1.461077,14.833591,0.593306,2.198130,19.977241,1.646851,1.204742,6.237528,1.367113,1.249864,0.254547,133,45724,0,0
133,0,2.361379,1.460419,13.305128,0.572032,3.738702,19.977241,1.485925,1.076742,5.215380,1.168355,0.943010,0.178928,107,35280,0,0
134,0,2.373593,1.474277,14.998515,0.567813,2.037313,19.977234,1.734419,1.135725,6.231466,1.360491,1.189904,0.254720,133,45724,0,0
135,0,2.380768,1.489020,13.298075,0.577196,3.721202,19.977241,1.502407,0.992293,5.295912,1.192468,0.993896,0.178928,107,35280,0,0
136,0,2.374047,1.478105,14.747220,0.579115,2.276855,19.977237,1.678352,1.146128,6.340156,1.396552,1.269965,0.255208,133,45724,0,0
137,0,2.375953,1.485894,13.205678,0.566630,3.828979,19.977241,1.505497,1.012516,5.317563,1.247416,0.965461,0.193390,107,35280,0,0
138,0,2.398912,1.492401,15.377180,0.564748,1.636414,19.977254,1.653005,1.169952,6.327928,1.362661,1.268599,0.262322,133,45724,0,0
