frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.371701,1.483483,15.064874,0.563992,1.977454,19.978021,2.128727,1.123169,6.263892,1.453118,1.194363,0.252842,133,45724,0,0
121,0,2.366859,1.474552,13.610592,0.837470,3.162316,19.977237,1.820767,0.973497,5.260410,1.195669,0.945692,0.178928,107,35280,0,0
122,0,2.360823,1.468892,15.460412,0.567034,1.588972,19.977241,2.050052,1.143840,6.267724,1.373057,1.248264,0.246646,133,45724,0,0
123,0,2.370473,1.480849,13.492415,0.566664,3.547689,19.977241,1.806542,1.037404,5.270142,1.167891,0.958584,0.178928,107,35280,0,0
124,0,2.361894,1.466722,15.073910,0.566637,1.974803,19.977244,2.108748,1.118100,6.236911,1.362535,1.203010,0.253055,133,45724,0,0
125,0,2.371138,1.481961,13.418823,0.563175,3.624098,19.977234,1.816996,0.995378,5.255998,1.154382,0.995724,0.184828,107,35280,0,0
126,0,2.368161,1.477614,15.251682,0.593496,1.797716,20.011054,2.074144,1.146166,6.249671,1.390598,1.210843,0.253055,133,45724,0,0
127,0,2.350386,1.480971,14.016697,0.642673,2.936601,19.946357,1.851447,1.239475,5.303874,1.154382,1.031898,0.178928,107,35280,0,0
128,0,2.377252,1.487094,15.328813,0.602570,1.663625,19.972260,2.038923,1.157752,6.306410,1.432156,1.267890,0.255269,133,45724,0,0
129,0,2.368846,1.475064,13.587792,0.563168,3.457442,19.977247,1.810445,1.038205,5.280697,1.178155,0.965383,0.178928,107,35280,0,0
130,0,2.337670,1.461612,14.985063,0.565128,2.089383,19.977244,2.024580,1.143962,6.302917,1.392073,1.229533,0.254896,133,45724,0,0
131,0,2.353672,1.461127,13.686296,0.629293,3.307983,19.977244,1.850776,0.985392,5.255320,1.190294,0.960086,0.196401,107,35280,0,0
132,0,2.346083,1.440606,18.307343,0.569682,18.754130,39.977237,2.057529,1.166918,6.229601,1.371453,1.222151,0.253055,133,45724,0,0
133,0,2.362434,1.478923,13.958784,0.556213,3.099809,19.977241,1.818393,1.020535,5.316789,1.233497,0.972287,0.178928,107,35280,0,0
134,0,1.873149,1.480323,15.303290,0.567993,2.232808,19.977241,2.091315,1.130063,6.242059,1.341868,1.284807,0.264618,133,45724,0,0
135,0,1.874956,1.475932,13.423404,0.568668,4.110209,19.977237,1.798882,0.971025,5.293623,1.169779,0.960371,0.178928,107,35280,0,0
136,0,1.878425,1.487288,15.869880,0.590949,1.637984,19.977237,2.022586,1.397251,6.339237,1.342756,1.201440,0.253055,133,45724,0,0
137,0,1.880127,1.481103,13.512638,0.578902,4.005591,19.977258,1.794891,0.954783,5.316664,1.174920,0.982507,0.178928,107,35280,0,0
138,0,1.870517,1.477817,15.002767,0.578020,2.525937,19.977241,2.045583,1.201219,6.263855,1.337619,1.226217,0.258440,133,45724,0,0
139,0,1.881178,1.484914,13.405318,0.580536,4.110206,19.977237,1.875200,0.972090,5.243300,1.176754,0.945333,0.178928,107,35280,0,0
140,0,1.872338,1.462355,15.125627,0.604089,2.391476,19.993530,2.116808,1.163350,6.209513,1.337674,1.258263,0.253055,133,45724,0,0
141,0,1.833530,1.456879,13.527547,0.599355,3.995643,19.956075,1.830329,0.998003,5.290093,1.171580,0.999142,0.178928,107,35280,0,0
142,0,1.855618,1.464301,14.928216,0.565304,2.609467,19.958605,2.020311,1.186985,6.262729,1.426076,1.234945,0.240323,133,45724,0,0
143,0,1.846110,1.454773,13.757175,0.565816,3.808156,19.977258,1.843445,1.080922,5.282766,1.191861,1.002994,0.178928,107,35280,0,0
144,0,1.872135,1.495483,15.224274,0.563005,2.317824,19.977237,2.032827,1.183129,6.277547,1.357340,1.249519,0.249264,133,45724,0,0
145,0,1.853536,1.476885,13.457255,0.577074,4.089376,19.977241,1.797675,0.966817,5.316996,1.215193,1.025686,0.163856,107,35280,0,0
146,0,1.852922,1.463298,15.187039,0.567610,2.369659,19.977230,2.013611,1.118134,6.358473,1.383501,1.221951,0.247501,133,45724,0,0
147,0,1.876834,1.459303,14.038150,0.681383,3.380887,19.977254,1.786082,1.002482,5.237335,1.163767,0.973707,0.173069,107,35280,0,0
148,0,1.872359,1.477821,16.042596,0.559696,1.502587,19.977237,2.070716,1.126289,6.245670,1.324025,1.224647,0.253055,133,45724,0,0
149,0,1.879588,1.485389,13.700480,0.590569,3.806607,19.977244,1.810381,1.062005,5.262109,1.167952,0.970483,0.192095,107,35280,0,0
150,0,1.880887,1.486030,14.967621,0.556166,2.572557,19.977230,2.075748,1.173133,6.230950,1.408837,1.229258,0.260396,133,45724,0,0
151,0,1.877238,1.480954,13.815504,0.560754,3.723745,19.977241,1.794786,1.134844,5.291144,1.181474,0.965461,0.173374,107,35280,0,0
152,0,1.876078,1.481001,15.122223,0.597738,2.381205,19.977244,2.061059,1.172682,6.210934,1.384440,1.210476,0.254676,133,45724,0,0
153,0,1.879551,1.488288,13.991706,1.222897,2.881046,19.975199,1.758908,0.997108,5.305179,1.169915,0.943010,0.178928,107,35280,0,0
