frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,6.706645,2.012017,34.450640,0.993978,17.805881,59.957143,2.711694,2.981639,22.545356,2.975606,3.012912,6.272213,159,50551,0,0
121,0,6.978773,1.992845,30.621355,1.017422,1.343323,39.960873,2.399007,2.502936,19.657498,2.736081,2.425737,5.393087,133,40029,0,0
122,0,2.857463,1.968703,34.655250,1.020610,1.428155,39.961477,2.791565,3.217428,22.241618,3.024590,3.105255,6.208971,159,50551,0,0
123,0,2.826579,1.994134,30.393653,1.023227,5.718947,39.962406,2.235545,2.684252,19.787604,2.896976,2.392558,5.220337,133,40029,0,0
124,0,2.814284,1.951938,34.623376,1.016201,1.507548,39.961409,2.757067,3.020460,22.380466,3.198975,2.832469,6.330288,159,50551,0,0
125,0,19.742669,1.951809,30.020281,1.016418,9.181532,59.960900,2.277483,2.446686,19.386804,2.706791,2.371124,5.056254,133,40029,0,0
126,0,2.880188,2.017910,34.590369,1.043389,1.446587,39.960534,2.656158,3.205939,22.313738,3.127719,2.845049,6.397169,159,50551,0,0
127,0,2.900777,2.012722,30.366838,1.016635,5.677504,39.961755,2.305155,2.422641,19.672139,2.829003,2.415195,5.236023,133,40029,0,0
128,0,2.881734,1.997179,34.489560,1.024753,1.564935,39.960982,2.832591,2.982754,22.429786,3.216912,2.870934,6.371402,159,50551,0,0
129,0,11.102885,2.010227,30.269630,0.992900,17.596185,59.961599,2.277829,2.606957,19.668715,2.738247,2.458784,5.231089,133,40029,0,0
130,0,2.883152,1.994588,34.508060,1.015828,1.553806,39.960846,2.660845,2.896003,22.405253,3.131290,2.960164,6.223182,159,50551,0,0
131,0,2.848735,1.985562,30.711890,1.018758,5.375726,39.955109,2.218862,2.432899,20.111176,2.753259,2.479997,5.176554,133,40029,0,0
132,0,2.848755,1.989265,34.502987,1.014926,1.594293,39.960961,2.707825,2.765537,22.719181,3.091112,2.874308,6.492917,159,50551,0,0
133,0,6.483500,1.992981,30.247270,1.049276,2.207757,39.987803,2.233415,2.502784,19.831295,2.707109,2.506483,5.445631,133,40029,0,0
134,0,2.829386,2.000380,34.486772,1.069194,1.572686,39.958038,2.727105,2.863658,22.497545,3.101122,2.868927,6.407657,159,50551,0,0
135,0,2.829156,2.000570,30.287879,1.041640,5.774733,39.933407,2.291053,2.521671,19.745195,2.667226,2.654629,5.327555,133,40029,0,0
136,0,2.854228,1.995850,34.503564,1.043552,1.534763,39.936106,2.639269,3.043877,22.521139,3.124318,2.904355,6.439107,159,50551,0,0
137,0,120.184625,2.018792,30.137183,1.014689,8.593641,159.930138,2.375997,2.589552,19.493530,2.794030,2.534451,5.066288,133,40029,0,0
138,0,2.852614,1.953668,34.608049,1.044495,1.477756,39.982914,2.790039,2.954024,22.599833,3.061751,3.131914,6.130710,159,50551,0,0
139,0,2.831075,1.968391,30.523597,1.017449,5.567234,39.939355,2.264696,2.399953,19.868985,2.955929,2.387705,5.247752,133,40029,0,0
140,0,2.901855,2.012383,34.547889,1.012139,1.499627,39.961511,2.680898,3.052046,22.365909,2.983270,3.097805,6.130283,159,50551,0,0
141,0,32.845208,2.014418,30.093774,1.016635,16.002984,79.958601,2.331753,2.466312,19.610569,2.722477,2.444316,5.409173,133,40029,0,0
142,0,2.841777,1.989129,34.718014,1.015869,1.382521,39.958181,2.640503,3.059363,22.618493,3.056763,2.886932,6.377265,159,50551,0,0
143,0,2.827840,1.998474,30.640113,1.024245,5.478916,39.971113,2.187266,2.426595,19.982625,2.874118,2.622297,5.251865,133,40029,0,0
144,0,2.811768,1.980489,34.675412,1.016900,1.446628,39.950707,2.709496,2.956194,22.640283,3.209812,2.860057,6.236352,159,50551,0,0
145,0,10.941671,1.991435,30.215247,0.996338,17.808322,59.961578,2.255313,2.661150,19.640144,2.781647,2.446669,5.319468,133,40029,0,0
146,0,2.836928,2.004700,34.708683,1.017253,1.398756,39.961619,2.808729,3.101078,22.396671,3.073151,2.901801,6.084632,159,50551,0,0
147,0,2.875549,2.015652,30.619666,1.017673,5.448134,39.961022,2.321337,2.470910,19.615397,2.728004,2.408403,5.392883,133,40029,0,0
148,0,2.848816,1.985189,34.667274,1.019206,1.426527,39.961823,2.598172,3.059068,22.561988,3.028819,3.134654,6.325304,159,50551,0,0
149,0,7.180298,2.017721,30.330665,1.016005,1.434869,39.961836,2.298648,2.594215,19.647742,2.709961,2.570194,5.239797,133,40029,0,0
150,0,15.961751,2.002299,34.514767,1.016351,8.469333,59.962202,2.687544,3.107134,22.319814,3.060523,2.918779,6.418355,159,50551,0,0
151,0,2.832194,1.998250,30.563677,1.013909,5.550761,39.960541,2.203681,2.542731,19.800069,2.670166,2.558862,5.270915,133,40029,0,0
152,0,2.920736,1.992323,34.536353,1.013441,1.484490,39.955020,2.754486,3.010637,22.479024,3.036743,3.079902,6.059645,159,50551,0,0
153,0,6.643853,2.030863,30.212162,1.019694,2.085931,39.961639,2.344893,2.493846,19.613603,2.930396,2.401333,5.024899,133,40029,0,0
154,0,6.787292,2.011658,34.367489,1.014872,17.791355,59.961009,2.772634,2.782247,22.572713,3.189446,2.878530,6.080963,159,50551,0,0
155,0,2.865540,1.928012,30.454892,1.078342,5.562514,39.961287,2.282149,2.517019,19.619473,2.893914,2.357069,5.381697,133,40029,0,0
156,0,2.870972,2.009135,34.649512,1.019972,1.420770,39.961226,2.796553,2.985467,22.435459,3.115797,2.867279,6.563290,159,50551,0,0
157,0,6.607483,2.004415,30.243649,1.021159,2.089756,39.962046,2.109266,2.609623,19.883491,2.799652,2.479214,5.126472,133,40029,0,0
158,0,2.860528,1.997240,34.466407,1.014764,1.618747,39.960446,2.542263,3.155548,22.310754,3.115590,2.979384,6.168006,159,50551,0,0
159,0,2.920295,1.993720,30.372562,1.022176,5.646274,39.961307,2.328234,2.687195,19.516279,2.832526,2.379411,5.050747,133,40029,0,0
160,0,2.860413,1.995951,34.606605,1.039096,1.454685,39.960798,2.646444,3.079508,22.541595,2.997345,3.203135,6.246524,159,50551,0,0
161,0,6.846917,2.032789,30.059770,1.013258,2.042759,39.962704,2.256741,2.525611,19.571021,2.770654,2.434913,5.145501,133,40029,0,0
162,0,66.308553,1.983073,34.468177,0.993585,18.191155,119.961470,2.811161,2.900828,22.484117,3.214647,3.009786,6.244561,159,50551,0,0
163,0,2.822957,1.990648,30.632362,2.560086,3.938321,39.953725,2.249593,2.717360,19.700063,2.714779,2.600610,5.100427,133,40029,0,0
164,0,2.828288,1.996596,34.637387,1.017815,1.478061,39.961551,2.730465,3.018724,22.483307,3.142080,2.954424,6.060452,159,50551,0,0
165,0,7.468933,1.998081,30.111284,1.016215,1.365085,39.961517,2.189846,2.494910,19.672228,2.695051,2.393639,5.418335,133,40029,0,0
166,0,6.909546,1.999654,34.650265,1.014791,17.393955,59.968557,2.656257,3.191240,22.392619,2.962480,2.826626,6.234765,159,50551,0,0
167,0,2.826518,1.994385,30.556515,1.019118,5.552850,39.955000,2.372002,2.522956,19.716254,2.735748,2.505422,5.155263,133,40029,0,0
168,0,2.899923,1.972087,34.583493,1.018473,1.458896,39.960785,2.810187,2.990044,22.294545,3.057302,2.952566,6.240048,159,50551,0,0
169,0,6.747247,1.989543,30.248030,1.015191,1.951145,39.961612,2.247220,2.539873,19.614017,2.851661,2.420702,5.332947,133,40029,0,0
170,0,6.969645,1.988254,34.648780,1.004978,17.338270,59.961673,2.763818,3.090007,22.638824,3.057434,2.991682,6.253377,159,50551,0,0
171,0,2.831665,1.969333,30.610185,1.019158,5.500278,39.961287,2.402293,2.482269,19.661414,2.846269,2.429081,5.228777,133,40029,0,0
172,0,2.884786,1.970940,34.658424,1.011800,1.406670,39.961680,2.803396,3.115353,22.373447,2.977136,2.972877,6.435584,159,50551,0,0
173,0,7.202576,1.991299,30.219316,1.016452,1.523044,39.961388,2.274933,2.617015,19.610196,2.729428,2.544532,5.082560,133,40029,0,0
174,0,2.855686,1.957024,34.583452,1.028198,1.494134,39.961470,2.622145,3.041321,22.602515,3.185218,2.824853,6.207455,159,50551,0,0
175,0,15.538310,2.008355,30.099993,1.014954,13.301446,59.954702,2.213331,2.564355,19.571072,2.631259,2.516507,5.395677,133,40029,0,0
176,0,2.855401,1.993144,34.623491,1.046115,1.466526,39.991533,2.695126,3.219147,22.473307,2.976027,3.165073,6.445268,159,50551,0,0
177,0,6.876282,1.982429,30.533281,1.017293,1.504266,39.931122,2.185513,2.633586,19.755700,2.745704,2.297526,5.420441,133,40029,0,0
178,0,2.879408,2.003974,34.571184,1.010044,1.501994,39.962630,2.671488,3.060306,22.379035,3.224352,3.018188,6.267354,159,50551,0,0
