frame,phase,rsTotal_ms,rsHead_ms,rsEnvProbe_ms,rsPortal_ms,rsSky_ms,rsTerrain_ms,rsTerrainDraw_ms,rsBatches_ms,rsProc_ms,rsObjects_ms,rsObjSubmit_ms,rsWheels_ms,rsWheelSubmit_ms,rsAnim_ms,rsDecorate_ms,rsLightFx_ms,rsHighlight_ms,rsParticles_ms,dmPost_ms,dmHud_ms,spRender_ms,spHead_ms,spTail_ms,spCalls,spCulled,spPkgr_ms,spTex_ms,spProg_ms,spLight_ms,spBlss_ms,spObjData_ms,spGifWait_ms,bdSize_ms,bdProg_ms,bdSizeCalc_ms,bdXform_ms,bdCache_ms,bdPlanes_ms,bdMain_ms,bbHit,bbRecalc,bbFresh,bbProbe,bbEntries,bbFrameEnd_ms,bbRecalcT_ms,dsRetain_ms,dsDirect_ms,dsCreate_ms,dsClassify_ms,dsRender_ms,dsFlush_ms,dsDirectBags,dsPartialBags,dsPackages,dsMergeParts,dsMaskCalls
120,0,30.305128,4.674462,4.669620,0.000502,0.340420,2.476624,2.465851,3.042297,3.458082,11.811734,11.427724,1.289941,1.240634,0.001136,0.000183,2.980537,0.000220,0.226664,0.002652,0.083703,25.454953,0.363881,0.232812,245,122,0.547926,0.550198,0.068688,0.297635,0.002964,1.732524,0.042806,1.027276,0.377282,0.243147,0.517266,0.603984,0.381449,0.489227,237,8,0,376,220,0.020179,0.120558,0.768507,2.121334,2.462650,1.914564,2.345608,10.573703,61,62,601,1379,296
121,0,25.967726,0.264601,0.000000,0.000777,0.366550,2.500956,2.490092,3.154358,3.366876,11.868964,11.397651,1.287662,1.198371,0.001156,0.000183,2.927612,0.000200,0.225464,0.002672,0.083988,21.255778,0.377401,0.189789,208,106,0.532491,0.542684,0.055593,0.288106,0.002374,1.500532,0.033800,0.802789,0.268192,0.167152,0.438243,0.744734,0.292616,0.411869,200,8,0,307,220,0.020186,0.209045,0.618663,1.687012,2.310564,1.583937,1.840491,8.331258,46,56,540,1267,242
122,0,30.406650,4.702267,4.436415,0.000481,0.266900,2.469177,2.457987,3.163127,3.473036,11.856595,11.424191,1.310876,1.227966,0.001278,0.000264,2.974860,0.000214,0.185282,0.002591,0.083818,25.327827,0.366838,0.196286,245,122,0.603855,0.590878,0.068844,0.342075,0.002608,1.730286,0.042369,1.019650,0.373088,0.201416,0.551442,0.658444,0.448741,0.457381,236,9,0,376,220,0.020145,0.140666,0.731276,2.128493,2.377112,1.749817,2.243700,10.365028,61,62,601,1379,296
123,0,25.587029,0.004178,0.000000,0.000559,0.306729,2.513814,2.503370,3.045736,3.461745,11.844306,11.414452,1.248101,1.196581,0.001211,0.000170,2.971029,0.000220,0.186544,0.002692,0.083845,21.176778,0.305871,0.186313,208,106,0.449693,0.453929,0.055328,0.255958,0.002530,1.544749,0.034939,0.811517,0.311452,0.163740,0.491170,0.514028,0.327627,0.372660,201,7,0,307,220,0.020287,0.073585,0.576806,1.671929,2.402147,1.700667,1.856191,8.537448,46,56,540,1267,242
124,0,30.255758,4.695804,4.691213,0.000468,0.265984,2.543498,2.532322,3.090352,3.449110,11.826301,11.437768,1.251143,1.200406,0.001197,0.000251,2.943915,0.000220,0.185187,0.002570,0.083744,25.307844,0.490604,0.193926,245,122,0.509125,0.611284,0.068512,0.307051,0.002780,1.740685,0.042046,1.039629,0.333655,0.238651,0.476654,0.607869,0.422496,0.458872,237,8,0,376,220,0.020186,0.084934,0.728478,2.149448,2.599206,1.928975,2.225369,10.263099,61,62,601,1379,296
125,0,25.570591,0.004137,0.000000,0.000614,0.268100,2.492452,2.482137,3.077026,3.517531,11.810323,11.348514,1.247097,1.196682,0.001197,0.000251,2.924255,0.000220,0.224976,0.002631,0.083764,21.164751,0.354072,0.186300,208,106,0.490557,0.454003,0.055200,0.212718,0.002760,1.490909,0.034817,0.906484,0.362328,0.209730,0.400940,0.518612,0.361898,0.372294,201,7,0,307,220,0.052246,0.075951,0.619639,1.776947,2.380076,1.663208,1.815450,8.480882,46,56,540,1267,242
126,0,30.243225,4.706282,4.440274,0.000481,0.264594,2.503499,2.492425,3.095968,3.466933,11.753913,11.363430,1.324371,1.197510,0.001211,0.000285,2.898275,0.000220,0.224894,0.002625,0.084049,25.145708,0.369659,0.197269,245,122,0.511593,0.513262,0.067162,0.299523,0.002764,1.690684,0.043427,1.012699,0.372715,0.199792,0.520206,0.785153,0.420447,0.457079,236,9,0,376,220,0.020043,0.218977,0.727319,2.210409,2.624149,1.988990,2.136787,10.246874,61,62,601,1379,296
127,0,25.998610,0.265435,0.000000,0.000614,0.370822,2.391439,2.380598,3.186483,3.489597,11.823941,11.406514,1.305200,1.255961,0.001156,0.000183,2.938165,0.000214,0.223063,0.002652,0.083764,21.442936,0.337972,0.185343,208,106,0.485867,0.451857,0.054755,0.295268,0.002658,1.464810,0.033518,0.804935,0.269725,0.203769,0.437046,0.570852,0.313833,0.370592,200,8,0,307,220,0.020125,0.130771,0.621541,1.815409,2.368561,1.688110,1.865533,8.624149,46,56,540,1267,242
128,0,30.072645,4.586667,4.582184,0.000468,0.303718,2.493164,2.482096,3.130493,3.342889,11.830166,11.366862,1.293888,1.243212,0.001136,0.000183,2.862651,0.000220,0.224548,0.002713,0.084415,25.274258,0.406559,0.194509,245,122,0.546377,0.627696,0.068339,0.260922,0.002879,1.687961,0.082123,1.017497,0.332567,0.243028,0.576002,0.603326,0.341085,0.493513,237,8,0,376,220,0.020226,0.084944,0.772295,2.169047,2.543172,1.874936,2.242706,10.386787,61,62,601,1379,296
129,0,25.571710,0.003893,0.000000,0.000498,0.306464,2.455383,2.445116,3.147563,3.494724,11.863776,11.475345,1.249352,1.199917,0.000953,0.000231,2.861070,0.000336,0.185147,0.002577,0.083778,21.229051,0.335314,0.245517,208,106,0.484205,0.563439,0.054932,0.216003,0.002547,1.423811,0.034153,0.850254,0.274072,0.168064,0.419925,0.558333,0.367876,0.372586,201,7,0,307,220,0.020125,0.073866,0.575860,1.573568,2.536167,1.763746,1.778188,8.526794,46,56,540,1267,242
