frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,13.999132,2.003940,31.069956,1.018612,13.874691,59.962392,3.157403,3.250427,18.378713,2.179983,2.333320,5.984745,133,45638,0,0
121,0,8.102576,1.974399,26.698585,1.023800,4.133358,39.958320,2.784844,2.964796,14.881344,1.690613,1.841193,4.840817,107,35186,0,0
122,0,2.777910,1.957262,31.168650,1.021020,4.991350,39.958930,3.280602,3.418562,17.993351,1.972168,2.471653,5.941071,133,45638,0,0
123,0,2.801022,2.012200,26.349667,1.018958,9.789018,39.958666,2.646406,2.843296,15.136793,1.630870,1.940681,4.961582,107,35186,0,0
124,0,2.853845,1.963440,30.982697,1.021033,5.100766,39.958340,3.156518,3.290253,18.072350,1.957845,2.343960,5.768121,133,45638,0,0
125,0,32.087338,2.005127,26.330299,1.029327,0.535600,59.982564,2.652025,2.747935,15.166138,1.644914,1.874949,4.956184,107,35186,0,0
126,0,2.794776,1.962592,31.011308,1.021745,5.100074,39.927904,3.303521,3.134942,18.069478,1.964166,2.243296,5.794067,133,45638,0,0
127,0,2.827287,2.005296,26.772112,1.020057,9.338681,39.958137,2.588799,2.842078,15.430450,1.778802,1.969849,4.889343,107,35186,0,0
128,0,2.772661,1.953722,30.876156,1.025319,5.284604,39.958740,3.138743,3.244578,18.218330,2.090539,2.283603,5.958238,133,45638,0,0
129,0,15.307329,1.995856,26.296790,1.040809,17.313839,59.958767,2.713979,2.794973,15.083252,1.578963,1.922085,4.922862,107,35186,0,0
130,0,2.811751,1.954122,31.142202,1.052453,4.951914,39.958320,3.274438,3.303307,18.236857,2.096127,2.377536,5.802724,133,45638,0,0
131,0,2.762061,1.941969,26.724443,1.018389,9.453590,39.958483,2.680735,2.755202,15.410055,1.700050,1.790887,5.064158,107,35186,0,0
132,0,2.803484,1.982897,31.009030,1.019792,5.126441,39.958747,3.170241,3.214013,18.166341,2.105638,2.274323,5.682278,133,45638,0,0
133,0,9.330441,1.933797,26.351573,1.016707,3.259376,39.958096,2.633430,2.848192,15.074816,1.702067,1.941311,4.696523,107,35186,0,0
134,0,2.818848,2.005880,30.964149,1.052941,5.090118,39.926056,3.206061,3.177192,18.229462,2.038303,2.387502,5.876570,133,45638,0,0
135,0,2.813107,1.994134,26.254798,1.052534,9.859609,39.980048,2.684224,2.677904,15.211636,1.613610,1.984226,4.987959,107,35186,0,0
136,0,2.780555,1.995422,30.926795,1.085012,5.178077,39.970439,3.189690,3.185676,18.230557,1.980838,2.207282,5.933177,133,45638,0,0
