frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.177158,2.116360,37.530060,1.012570,14.215213,59.935001,2.849552,3.584520,24.798845,2.985514,1.521888,5.647508,133,45638,0,0
121,0,8.054233,2.111993,31.868534,0.994904,19.059418,59.977088,2.259925,3.170034,20.386749,2.359348,1.140859,4.630351,107,35186,0,0
122,0,2.906901,2.116021,37.430037,0.994253,18.613597,59.944787,2.547879,3.769324,24.889947,2.617591,1.380585,5.739204,133,45638,0,0
123,0,2.945068,2.091383,31.309187,1.015391,4.691396,39.961043,2.161180,3.011898,20.491096,2.332587,1.076084,4.718285,107,35186,0,0
124,0,2.966485,2.140191,37.320058,0.989478,18.678185,59.954207,2.625475,3.602546,24.555006,2.880754,1.271478,5.638702,133,45638,0,0
125,0,25.021559,2.082981,31.654300,1.064843,2.250186,59.990889,2.137014,3.103329,20.351447,2.261800,1.145203,4.623416,107,35186,0,0
126,0,2.893311,2.103183,37.235009,0.989275,18.813114,59.930708,2.529704,3.671129,24.645806,2.706787,1.459941,5.583232,133,45638,0,0
127,0,2.951999,2.110345,31.344289,1.025726,4.638784,39.960798,2.113034,3.122959,20.373810,2.441654,1.091136,4.616909,107,35186,0,0
128,0,2.984131,2.118795,37.294661,0.993913,18.688609,59.961314,2.522885,3.898254,24.425435,2.675137,1.395447,5.433194,133,45638,0,0
129,0,10.917738,2.131795,31.854055,1.043820,16.165253,59.980865,2.289001,3.251797,20.373661,2.333059,1.157203,4.795268,107,35186,0,0
130,0,2.929708,2.111098,37.289452,0.993161,18.728587,59.940908,2.590010,3.737410,24.593486,2.911136,1.428636,5.654894,133,45638,0,0
131,0,2.942749,2.113200,31.575504,1.017229,4.425398,39.960880,2.256568,3.221568,20.136644,2.436059,1.115085,4.607513,107,35186,0,0
132,0,2.969889,2.109762,37.256270,1.024126,18.711043,59.961327,2.781748,3.547184,24.547590,2.704868,1.384755,5.556766,133,45638,0,0
133,0,7.352193,2.099270,31.857547,1.021054,19.723229,59.954024,2.335514,3.011837,20.474908,2.459076,1.074968,4.578301,107,35186,0,0
134,0,2.941386,2.116428,37.252648,1.051680,18.744978,59.990692,2.628462,3.769073,24.594350,2.972500,1.335876,5.615519,133,45638,0,0
135,0,2.873698,2.083632,31.350060,1.079146,4.659814,39.962718,2.183211,3.272369,20.138570,2.328169,1.151994,4.478095,107,35186,0,0
136,0,2.922485,2.112488,37.483931,0.989383,18.532881,59.928680,2.742520,3.682048,24.727983,2.688544,1.312710,5.698646,133,45638,0,0
137,0,75.025018,2.085666,32.004337,1.016761,11.914839,119.960954,2.260193,3.015666,20.704770,2.491326,1.034288,4.700331,107,35186,0,0
138,0,2.961731,2.102051,37.262353,1.022600,18.714501,59.961185,2.855842,3.465546,24.427700,2.744554,1.348385,5.583761,133,45638,0,0
139,0,2.899129,2.106805,31.742476,1.050066,4.269460,39.961131,2.210086,3.180661,20.221978,2.388482,1.180793,4.568119,107,35186,0,0
140,0,2.911764,2.100518,37.116031,1.034854,18.929121,59.991770,2.706431,3.607432,24.360307,2.957150,1.468075,5.468821,133,45638,0,0
141,0,14.718058,2.088582,31.677331,1.014340,12.513187,59.922916,2.284678,3.016825,20.410329,2.215291,1.121731,4.772793,107,35186,0,0
142,0,2.918918,2.095045,37.023651,0.995019,19.023665,59.961253,2.516337,3.732751,24.398661,2.797319,1.348104,5.544508,133,45638,0,0
143,0,2.964315,2.113159,31.374719,1.049001,4.573090,39.961124,2.294613,3.002594,20.300181,2.384118,1.038534,4.661207,107,35186,0,0
144,0,2.933960,2.107788,37.499068,0.990285,18.537364,59.960676,2.617757,3.668230,24.819790,2.689029,1.379215,5.652198,133,45638,0,0
145,0,10.507548,2.101868,31.683306,1.073591,16.696971,59.961416,2.214952,3.218486,20.015601,2.256558,1.109809,4.686015,107,35186,0,0
146,0,2.940267,2.113241,37.151981,0.992937,18.875905,59.961090,2.589057,3.655623,24.413581,2.735555,1.312788,5.541962,133,45638,0,0
147,0,2.873352,2.081455,31.539859,1.019392,4.528622,39.961226,2.270070,3.120911,20.389615,2.349002,1.174201,4.826640,107,35186,0,0
148,0,2.976976,2.111003,37.158437,0.993608,18.832482,59.961504,2.647664,3.526954,24.621901,2.790168,1.311005,5.746490,133,45638,0,0
149,0,7.134949,2.103902,31.844099,0.994110,19.987762,59.960921,2.280226,3.061340,20.559285,2.369490,1.202867,4.715814,107,35186,0,0
150,0,20.535034,2.106337,37.260318,1.008636,1.157155,59.961144,2.804966,3.696791,24.558011,2.689433,1.491258,5.700385,133,45638,0,0
151,0,2.948059,2.122762,31.371782,1.052914,4.599986,39.972741,2.331994,2.887394,20.276930,2.474742,1.175496,4.608131,107,35186,0,0
152,0,2.930698,2.140991,37.444238,0.996843,18.537689,59.909468,2.740387,3.707425,24.799852,2.603204,1.346212,5.789303,133,45638,0,0
153,0,7.506877,2.112644,31.854374,0.995256,19.605147,59.961653,2.264709,3.021807,20.692725,2.365743,1.109829,4.802100,107,35186,0,0
154,0,8.035990,2.111308,37.226891,1.049733,13.648305,59.960921,2.608443,3.707333,24.377055,2.734911,1.383752,5.684462,133,45638,0,0
155,0,2.973572,2.121107,31.442325,1.050317,4.495121,39.961334,2.226156,3.085717,20.376116,2.387380,1.109138,4.653609,107,35186,0,0
156,0,2.936320,2.110718,37.321516,0.991669,18.711497,59.961002,2.656748,3.756517,24.379564,2.618384,1.355716,5.585398,133,45638,0,0
157,0,7.373149,2.114292,31.723270,0.993852,19.870555,59.960826,2.302802,3.114794,20.175771,2.505568,1.074744,4.448734,107,35186,0,0
158,0,2.896077,2.104160,37.325687,0.992015,18.747508,59.961287,2.750875,3.722555,24.555125,2.571550,1.421807,5.802734,133,45638,0,0
159,0,2.894057,2.102980,31.623389,1.014306,4.429406,39.961158,2.071082,3.260505,20.709022,2.275374,1.171427,4.787086,107,35186,0,0
160,0,2.924127,2.098022,37.279470,0.993384,18.764347,59.961327,2.686056,3.654751,24.595886,2.758467,1.434879,5.710792,133,45638,0,0
161,0,9.081136,2.104079,31.736881,0.992950,18.113658,59.924625,2.239685,3.123627,20.141103,2.350016,1.074639,4.564762,107,35186,0,0
162,0,66.821065,2.111464,37.168582,1.015472,14.955963,119.961083,2.706946,3.528256,24.639442,2.727176,1.422384,5.641168,133,45638,0,0
163,0,2.943970,2.089478,31.921349,1.018843,4.077471,39.961633,2.500793,2.906674,20.415175,2.236806,1.142666,4.659481,107,35186,0,0
164,0,2.926351,2.096748,37.414575,0.990034,18.598229,59.929189,2.692457,3.697110,24.683017,2.687917,1.414619,5.703993,133,45638,0,0
165,0,7.863302,2.085544,31.594506,1.027869,19.475386,59.961063,2.321730,3.002323,20.224694,2.451145,1.112047,4.521532,107,35186,0,0
166,0,7.455953,2.099813,37.200728,1.047441,14.256758,59.960880,2.641557,3.771908,24.497962,2.809411,1.413150,5.641629,133,45638,0,0
167,0,2.934733,2.108765,31.510013,1.017799,4.498545,39.961090,2.237745,3.136702,20.216746,2.320302,1.206479,4.601549,107,35186,0,0
168,0,2.970886,2.096307,37.397871,1.018667,18.573964,59.961388,2.616099,3.626112,24.823012,3.009206,1.366848,5.740550,133,45638,0,0
169,0,7.750671,2.100111,31.776330,0.992815,19.441430,59.961246,2.248925,3.320652,20.281514,2.180776,1.112308,4.630473,107,35186,0,0
170,0,7.423211,2.112400,37.149845,1.022580,14.301456,59.897091,2.727814,3.653029,24.475206,2.874502,1.303196,5.591149,133,45638,0,0
171,0,2.938517,2.112135,31.425968,1.049659,4.547061,39.961205,2.127967,3.125478,20.245867,2.353661,1.145905,4.670698,107,35186,0,0
172,0,2.912272,2.088114,37.573408,0.993113,18.482107,59.960900,2.569139,3.832330,24.829030,2.567257,1.375573,5.827108,133,45638,0,0
173,0,7.879028,2.110508,31.716658,1.025062,19.339793,59.960541,2.194756,3.238715,20.116530,2.348921,1.178141,4.549123,107,35186,0,0
174,0,2.936483,2.109545,37.130659,1.000688,18.892710,59.960541,2.674920,3.613139,24.585052,2.625797,1.402195,5.553124,133,45638,0,0
175,0,17.201681,2.122247,31.327030,1.016429,10.416168,59.961307,2.136278,3.351888,20.109975,2.272915,1.113495,4.672740,107,35186,0,0
176,0,2.898600,2.104282,37.310672,1.022417,18.756616,59.988305,2.697201,3.599633,24.746572,2.748105,1.447177,5.798448,133,45638,0,0
177,0,7.423462,2.108073,31.490482,0.996009,0.054894,39.964847,2.265632,3.232798,20.238044,2.450463,1.261997,4.591871,107,35186,0,0
178,0,2.926405,2.136020,37.351349,0.991933,18.660187,59.929874,2.748471,3.623647,24.727919,2.653507,1.435269,5.716231,133,45638,0,0
179,0,7.442179,2.097195,31.794783,0.996124,19.720612,59.953698,2.199283,3.237257,20.394942,2.361898,1.112556,4.688032,107,35186,0,0
180,0,2.934835,2.093445,37.091699,0.993500,18.941233,59.961266,2.619113,3.636054,24.297950,2.765171,1.420441,5.507653,133,45638,0,0
181,0,7.560683,2.132541,31.430064,1.022335,19.947784,59.960866,2.195126,3.272020,20.165771,2.454244,1.152896,4.628316,107,35186,0,0
182,0,2.967461,2.110168,36.989709,0.992015,19.011892,59.961077,2.513784,3.632290,24.513672,2.655955,1.335415,5.787140,133,45638,0,0
183,0,2.923584,2.057448,31.480472,1.021074,4.536157,39.961287,2.198771,3.000705,20.552700,2.311954,1.136091,4.757551,107,35186,0,0
184,0,2.929457,2.103631,37.112654,0.993669,18.925642,59.961422,2.656596,3.557095,24.526459,2.927185,1.266914,5.581526,133,45638,0,0
185,0,7.677951,2.107015,31.905345,0.992611,19.385583,59.961490,2.170007,3.284095,20.532247,2.175493,1.228014,4.800995,107,35186,0,0
186,0,2.894748,2.102105,37.318464,0.995256,18.772078,59.980547,2.756761,3.707465,24.590817,2.724057,1.345388,5.773390,133,45638,0,0
187,0,69.628147,2.100233,31.218455,0.993100,18.101084,119.940786,2.154548,3.009545,20.174422,2.300741,1.079451,4.639086,107,35186,0,0
188,0,2.943604,2.119466,37.294091,1.026506,18.723419,59.987620,2.688948,3.687887,24.651245,2.879727,1.481832,5.683126,133,45638,0,0
189,0,7.229611,2.092258,31.647468,0.991818,0.081689,39.950585,2.473609,3.058614,20.183506,2.268667,1.253889,4.606656,107,35186,0,0
190,0,2.919576,2.128967,37.383019,1.000404,18.635440,59.938439,2.661245,3.778236,24.627953,2.794261,1.348514,5.742628,133,45638,0,0
191,0,7.009888,2.135274,31.772708,1.007728,0.171458,39.961782,2.170115,3.123277,20.459354,2.168542,1.161001,4.775601,107,35186,0,0
192,0,2.939473,2.115940,37.572920,0.991384,18.456858,59.960636,2.702891,3.642073,24.818997,2.678507,1.398651,5.684384,133,45638,0,0
193,0,7.150940,2.123637,31.871992,0.989166,19.949717,59.961816,2.297078,3.147393,20.449297,2.355408,1.038089,4.650411,107,35186,0,0
194,0,2.938043,2.104533,37.283457,0.991452,18.748260,59.961212,2.813165,3.619680,24.402642,2.846724,1.273858,5.593408,133,45638,0,0
195,0,7.417460,2.092224,31.563460,0.990089,19.981693,59.952701,2.141761,3.222100,20.465590,2.605971,1.073591,4.657155,107,35186,0,0
196,0,2.871399,2.081353,37.409549,0.991391,18.689212,59.961551,2.613342,3.726973,24.866859,2.698039,1.384576,5.826291,133,45638,0,0
197,0,7.161825,2.127787,31.522729,0.991994,0.277293,39.953840,2.354682,3.027605,20.426402,2.619639,1.069926,4.684143,107,35186,0,0
198,0,2.973796,2.118368,37.146793,0.992265,18.847931,59.960785,2.691939,3.790738,24.092258,2.894521,1.353021,5.403988,133,45638,0,0
199,0,2.902072,2.109606,31.685109,1.053484,4.320967,39.961633,2.421461,3.057241,20.105611,2.327074,1.085192,4.473389,107,35186,0,0
200,0,16.321337,2.130100,37.349721,1.016130,5.273685,59.960873,2.657762,3.711622,24.702806,2.944902,1.429386,5.482012,133,45638,0,0
201,0,7.060384,2.096944,31.932641,1.024099,19.944143,59.961266,2.324405,3.008647,20.509033,2.275499,1.181369,4.747359,107,35186,0,0
202,0,2.972270,2.117282,37.121870,0.991045,18.876061,59.961246,2.625014,3.677792,24.386319,2.875112,1.372169,5.567936,133,45638,0,0
203,0,2.939467,2.107971,31.489166,1.017921,4.514353,39.960907,2.271071,3.183112,20.190077,2.443166,1.036228,4.594177,107,35186,0,0
204,0,6.911316,2.122050,37.352583,1.017487,14.679881,59.961266,2.777032,3.624244,24.656121,2.813646,1.301103,5.720703,133,45638,0,0
205,0,6.737549,2.063565,31.856123,0.990624,0.377343,39.961639,2.344289,3.106561,20.523353,2.408268,1.072367,4.710286,107,35186,0,0
206,0,2.904717,2.114217,37.434696,0.995541,18.625471,59.960425,2.576599,3.739444,24.848307,2.689623,1.423031,5.754727,133,45638,0,0
207,0,2.945068,2.093438,31.760827,1.047652,4.200809,39.954356,2.225667,3.021566,20.521657,2.264269,1.210487,4.752129,107,35186,0,0
208,0,2.963860,2.138204,37.585005,0.991831,18.420400,59.961097,2.725332,3.730825,24.599921,2.700453,1.463742,5.663161,133,45638,0,0
209,0,7.038330,2.118998,31.999495,0.985348,19.938324,59.961497,2.363308,3.191952,20.609311,2.515601,1.189941,4.708950,107,35186,0,0
210,0,2.938856,2.105794,37.307383,0.990550,18.743622,59.980411,2.690948,3.739237,24.563165,2.684682,1.387349,5.722660,133,45638,0,0
211,0,2.931430,2.107171,31.508311,1.019663,4.482147,39.941552,2.291005,2.981337,20.624251,2.473056,1.169756,4.699799,107,35186,0,0
212,0,66.405721,2.103814,37.320133,1.018436,15.235986,119.980275,2.535773,3.827599,24.735114,2.751421,1.439843,5.742235,133,45638,0,0
213,0,7.004415,2.102593,31.734256,1.030643,0.206038,39.975352,2.218106,3.137936,20.287852,2.405836,1.034966,4.606595,107,35186,0,0
214,0,2.896464,2.105876,37.454485,0.994531,18.581465,59.926944,2.793660,3.565752,24.701569,3.071381,1.337911,5.640835,133,45638,0,0
215,0,2.958740,2.106927,31.745975,1.024099,4.232045,39.960860,2.259159,2.957201,20.551212,2.464915,1.136163,4.592217,107,35186,0,0
216,0,7.506239,2.098850,37.252506,1.015316,14.180288,59.954349,2.620806,3.745107,24.271583,2.780033,1.381022,5.524611,133,45638,0,0
