frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.210687,1.997911,29.960792,1.015713,1.775981,39.963172,2.629835,3.065118,18.081028,1.992689,2.389313,6.016764,133,45638,0,0
121,0,7.160583,2.007731,25.607459,1.017327,6.175700,39.961070,2.282091,2.631982,15.010935,1.767259,1.990495,4.921278,107,35186,0,0
122,0,2.911024,2.011827,29.965702,1.047092,6.037130,39.960948,2.571852,3.048075,18.004812,1.906501,2.343753,6.120148,133,45638,0,0
123,0,2.907389,1.991482,25.609982,1.050897,10.421672,39.989939,2.329881,2.611508,14.937554,1.773261,1.911346,4.809279,107,35186,0,0
124,0,2.894199,2.002001,30.235294,1.042080,5.784932,39.956506,2.845452,2.922336,18.196211,2.011746,2.453152,5.941850,133,45638,0,0
125,0,20.445923,2.008321,25.780575,1.016127,12.694397,59.937022,2.188402,2.804223,14.873135,1.599070,1.910872,5.032359,107,35186,0,0
126,0,2.874966,1.997864,30.162784,1.043606,5.872172,39.953529,2.699426,3.168447,17.835297,1.930610,2.419610,6.097738,133,45638,0,0
127,0,2.860311,1.994812,25.917803,1.016310,10.166260,39.960683,2.270074,2.518378,15.231415,1.678212,1.908037,5.085995,107,35186,0,0
128,0,2.890849,1.992839,29.947934,1.052619,6.069173,39.960575,2.581729,2.980720,18.012370,1.942162,2.572683,5.875953,133,45638,0,0
129,0,10.618510,1.978394,25.535173,1.042657,2.789124,39.985463,2.254954,2.613946,14.851657,1.575687,1.994025,4.772054,107,35186,0,0
130,0,2.856405,1.995253,30.092960,1.032803,5.955078,39.937246,2.704251,3.045661,18.010437,2.239844,2.402144,5.796173,133,45638,0,0
131,0,2.865682,2.004008,25.751116,1.014716,10.329549,39.961063,2.188775,2.832262,15.176398,1.777100,1.966047,5.067803,107,35186,0,0
132,0,2.917379,1.994493,30.089149,1.035739,5.918396,39.960663,2.505842,3.171410,18.164893,2.026055,2.568108,5.927063,133,45638,0,0
133,0,6.982151,1.925123,25.615970,1.075921,6.342509,40.016551,2.103387,2.550198,15.189284,1.858175,1.905677,4.926025,107,35186,0,0
134,0,2.864848,2.005059,30.257931,1.039727,5.768229,39.930735,2.676636,3.047984,18.244958,2.021057,2.472005,6.043877,133,45638,0,0
135,0,2.886102,1.994710,25.985653,1.017388,10.047139,39.936283,2.250027,2.611643,15.210812,1.828586,2.010271,4.973534,107,35186,0,0
136,0,2.859009,1.994236,30.126014,1.015917,5.959595,39.960534,2.605031,2.990024,18.328447,1.872945,2.489855,6.059184,133,45638,0,0
137,0,65.928548,2.011325,25.712867,1.022780,7.296814,99.961009,2.249556,2.588681,15.232290,1.695312,1.965268,4.992662,107,35186,0,0
138,0,2.907206,2.009928,30.210507,1.039130,5.820353,39.977197,2.864889,3.032562,18.051229,2.069746,2.584605,5.938341,133,45638,0,0
139,0,2.909098,1.995504,26.046160,1.051378,9.962952,39.969588,2.372572,2.695133,14.875078,1.664500,1.938500,4.919732,107,35186,0,0
140,0,2.865682,1.976190,30.207618,1.047397,5.836731,39.957428,2.782138,3.248210,17.898844,2.082448,2.534926,5.861067,133,45638,0,0
141,0,10.970215,2.010871,25.654212,1.016690,2.291890,39.933007,2.253777,2.611871,15.061462,1.703501,1.975359,4.827850,107,35186,0,0
142,0,2.868225,2.003764,30.169491,1.013848,5.909037,39.960602,2.779348,3.033780,18.067318,1.990116,2.519541,5.912255,133,45638,0,0
143,0,2.901062,1.989773,25.606584,1.024773,10.429172,39.961592,2.144341,2.704447,15.098884,1.800873,1.897980,5.001234,107,35186,0,0
144,0,2.888529,1.989766,29.946428,1.016717,6.109090,39.960765,2.678446,3.008470,18.063568,2.103970,2.717712,5.868676,133,45638,0,0
145,0,10.133803,1.974358,25.582421,1.018582,3.245951,39.980757,2.203128,2.553701,15.150519,1.780416,2.052860,5.015350,107,35186,0,0
146,0,2.883830,1.995463,30.139869,1.013821,5.904073,39.941593,2.755300,2.953759,17.962294,2.061140,2.445438,5.759328,133,45638,0,0
147,0,2.893982,2.010267,25.693966,1.038696,10.334852,39.961497,2.193336,2.701938,14.921153,1.750078,1.869632,5.049428,107,35186,0,0
148,0,2.891391,1.954217,30.031735,1.042040,5.995422,39.960588,2.575521,3.015127,18.174866,2.032820,2.410055,5.922865,133,45638,0,0
149,0,7.072327,2.012573,25.572649,1.025465,6.290853,39.961294,2.230452,2.602153,15.090719,1.699778,2.063151,5.033261,107,35186,0,0
150,0,16.005812,1.955885,30.081234,1.013177,12.829285,59.929508,2.714284,3.116245,18.058489,1.947415,2.479492,6.009030,133,45638,0,0
