frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.835639,2.002740,28.374074,1.018097,7.736111,39.963921,2.653615,3.025058,16.543206,1.984877,2.350538,6.152795,133,45638,0,0
121,0,2.835612,2.022536,24.169376,1.066152,11.930712,40.001851,2.200931,2.578386,13.658196,1.734894,1.901744,4.996334,107,35186,0,0
122,0,2.776822,2.001736,28.257450,1.025014,7.882331,39.941616,2.464023,3.097911,16.482520,2.210490,2.324300,6.178921,133,45638,0,0
123,0,2.813605,1.970927,24.027184,1.019569,12.079135,39.939494,2.196320,2.597249,13.651516,1.673404,1.941379,5.024963,107,35186,0,0
124,0,2.766412,1.986545,28.376394,1.037120,7.781216,39.961141,2.552816,3.099423,16.621036,2.077352,2.490319,6.105286,133,45638,0,0
125,0,2.828342,2.016303,23.958567,1.024119,12.149319,39.960347,2.217482,2.642470,13.584568,1.631924,1.917626,5.096449,107,35186,0,0
126,0,2.810052,1.938700,28.381276,1.027734,7.741509,39.960571,2.507331,3.406067,16.411394,2.078281,2.308726,6.170122,133,45638,0,0
127,0,2.791273,2.011278,24.172048,1.022837,11.974860,39.961019,2.078712,2.776272,13.720513,1.744893,1.823558,5.114570,107,35186,0,0
128,0,2.828810,1.965007,28.290693,1.026004,7.815525,39.961032,2.379690,3.361016,16.252899,2.103326,2.330095,6.032203,133,45638,0,0
129,0,2.824558,1.969225,24.005747,1.082062,12.081529,39.993896,2.199053,2.615821,13.546882,1.785078,1.820909,4.889218,107,35186,0,0
130,0,2.765327,1.988539,28.354577,1.021325,7.786513,39.927741,2.473819,3.107866,16.419756,2.098253,2.375712,6.134755,133,45638,0,0
131,0,2.850098,2.002814,24.136749,1.022607,11.953139,39.962592,2.286784,2.725471,13.672906,1.770579,1.970995,5.119914,107,35186,0,0
132,0,2.759155,1.983270,28.285777,1.022430,7.884386,39.951748,2.586612,3.308177,16.247399,2.122833,2.334276,5.972514,133,45638,0,0
133,0,2.796238,2.022536,24.066559,1.020708,12.077935,39.961439,2.106001,2.568698,13.709188,1.639516,1.830370,5.020169,107,35186,0,0
134,0,2.802789,2.002272,28.227631,1.057424,7.872606,39.960449,2.540551,3.101654,16.454034,2.032644,2.337575,6.096405,133,45638,0,0
135,0,2.787903,2.012051,23.985179,1.024743,12.162815,39.960639,2.033464,2.738173,13.564243,1.860345,1.816023,4.932254,107,35186,0,0
136,0,2.787611,2.006788,28.407705,1.023414,7.742527,39.961256,2.530077,3.090434,16.381270,2.073300,2.214623,6.193403,133,45638,0,0
137,0,2.813755,1.967516,24.159292,1.019236,11.968859,39.961141,2.124824,2.629184,13.751706,1.745246,1.945458,5.116353,107,35186,0,0
138,0,2.819865,1.962741,28.412628,1.024438,7.703600,39.960531,2.623298,3.307007,16.206984,2.002818,2.290317,6.046139,133,45638,0,0
139,0,2.818481,1.964308,24.212962,1.020389,11.908861,39.960693,2.010664,2.698876,13.774109,1.661621,1.859416,5.151513,107,35186,0,0
140,0,2.837179,2.001390,28.342397,1.017480,7.764194,39.961249,2.678304,3.230106,16.285048,2.055596,2.217675,6.133809,133,45638,0,0
141,0,2.832167,2.015944,24.161774,1.021155,11.945143,39.960239,2.210419,2.592953,13.703871,1.788710,2.008409,4.963749,107,35186,0,0
142,0,2.781969,2.005622,28.344777,1.027069,7.773810,39.927626,2.544362,3.058275,16.478994,2.047007,2.418271,6.144813,133,45638,0,0
143,0,2.786940,1.984158,24.121830,1.022620,11.994622,39.926012,2.247447,2.625339,13.639852,1.647071,1.977386,5.028866,107,35186,0,0
144,0,2.784871,2.009915,28.286611,1.048899,7.857327,39.977709,2.665046,3.193505,16.162669,2.127794,2.260654,6.005374,133,45638,0,0
145,0,2.769531,1.993808,23.999678,1.021406,12.145420,39.936035,2.185564,2.611996,13.685296,1.748128,1.858398,5.019694,107,35186,0,0
146,0,2.820231,2.004584,28.214142,1.056556,7.869785,39.960714,2.434052,3.212802,16.469567,2.109080,2.508792,6.092360,133,45638,0,0
147,0,2.783813,2.006504,24.155406,1.040863,12.005215,39.985297,2.210069,2.666216,13.611372,1.636532,1.958421,4.978821,107,35186,0,0
148,0,2.792684,2.012967,28.588918,1.029293,7.526747,39.937642,2.494656,3.086300,16.511288,2.177216,2.326179,6.009013,133,45638,0,0
149,0,2.786987,2.007317,24.225698,1.021610,11.925890,39.960185,2.182983,2.557265,13.927694,1.721683,1.941355,5.191922,107,35186,0,0
150,0,2.780328,1.964749,28.533193,1.027225,7.620395,39.961141,2.558492,3.354218,16.304392,2.075694,2.249508,6.064752,133,45638,0,0
151,0,2.862298,1.979953,24.154449,1.027212,11.917060,39.961019,2.267517,2.761447,13.499027,1.723962,1.922136,4.993269,107,35186,0,0
152,0,2.833394,2.018792,28.333988,1.023156,7.782586,39.973124,2.642700,3.128808,16.200965,2.286906,2.458126,5.834025,133,45638,0,0
153,0,2.833089,2.016364,24.129296,1.024112,11.966261,39.952759,2.232134,2.523210,13.836534,1.707367,1.952993,5.078990,107,35186,0,0
154,0,2.799839,1.998501,28.298045,1.019663,7.855333,39.972880,2.666704,3.288673,16.195207,2.086263,2.556847,5.993778,133,45638,0,0
155,0,2.786214,2.009644,24.079315,1.053816,12.053026,39.972371,2.243900,2.663222,13.511085,1.754659,1.831804,5.000726,107,35186,0,0
156,0,2.794827,2.016290,28.114200,1.023041,8.001316,39.933384,2.511000,2.989522,16.439840,2.148258,2.262475,6.118896,133,45638,0,0
157,0,2.826986,2.012234,24.197072,1.023888,11.906203,39.954149,2.093194,2.776038,13.811964,1.817145,1.932722,5.067142,107,35186,0,0
158,0,2.778961,1.997687,28.444122,1.026120,7.711663,39.960866,2.576836,3.289147,16.340152,2.290107,2.177602,6.173099,133,45638,0,0
159,0,2.834374,2.021756,24.052500,1.023868,12.050266,39.961009,2.236338,2.628716,13.725552,1.808272,1.858354,5.100589,107,35186,0,0
160,0,2.835917,1.928880,28.394928,1.028954,7.701179,39.960978,2.617150,3.015561,16.541687,2.144809,2.482483,6.049727,133,45638,0,0
161,0,2.825473,1.967794,24.237356,1.023590,11.874437,39.960856,2.086019,2.659156,13.676432,1.743171,1.787279,5.126258,107,35186,0,0
162,0,2.795620,1.983710,28.287771,1.033424,7.817885,39.934699,2.402422,3.168311,16.233849,2.173750,2.328230,5.988251,133,45638,0,0
163,0,2.776618,1.999112,24.080353,1.022356,12.041904,39.921231,2.143931,2.861721,13.587511,1.766218,1.867991,5.116611,107,35186,0,0
164,0,2.784749,2.009779,28.250682,1.022329,7.903205,39.960965,2.739610,3.189494,16.269107,2.197191,2.258308,5.977525,133,45638,0,0
165,0,2.821676,2.009549,24.025380,1.055511,12.058153,39.960720,2.133653,2.593035,13.638736,1.688588,1.861830,4.961595,107,35186,0,0
166,0,2.784804,2.005547,28.184255,1.026879,7.965508,39.961446,2.412879,3.280785,16.527785,2.207550,2.460999,6.013448,133,45638,0,0
167,0,2.793003,2.012668,24.258046,1.022512,11.887336,39.960897,2.008623,2.829865,13.753754,1.719988,1.835354,5.242727,107,35186,0,0
168,0,2.794108,1.941867,28.349043,1.022376,7.795078,39.960605,2.479468,3.128387,16.392690,2.020253,2.326491,6.148905,133,45638,0,0
169,0,2.788249,1.972480,24.099721,1.023183,12.049974,39.961127,2.067240,2.627431,13.906982,1.848165,2.025238,5.174215,107,35186,0,0
170,0,2.799235,1.983270,28.401499,1.023278,7.729865,39.953878,2.693878,3.247898,16.134562,1.976980,2.322788,6.150296,133,45638,0,0
171,0,2.873345,2.024143,24.171153,1.019745,11.896288,39.960531,2.049483,2.616947,13.544291,1.749173,1.968367,5.007463,107,35186,0,0
172,0,2.808241,1.998298,28.348012,1.018768,7.786282,39.961304,2.579546,3.187361,16.441694,2.165195,2.352217,6.047146,133,45638,0,0
173,0,2.820157,2.006578,24.161530,1.024831,11.963284,39.969801,2.078969,2.794400,13.586504,1.712806,1.853132,5.050123,107,35186,0,0
