
== garage-day   (baseline: ctl1)
metric                          ctl1        ctl2    ctlquiet          a1          a2          b2          b1      attrib      d ctl2  d ctlquiet        d a1        d a2        d b2        d b1    d attrib
work_ms                       36.512      36.377      30.071      39.107      41.103      44.064      42.973      41.766      -0.135      -6.441      +2.595      +4.591      +7.552      +6.461      +5.254
total_ms                      43.457      43.124      39.957      45.041      45.874      57.957      56.375      49.205      -0.333      -3.500      +1.584      +2.417     +14.500     +12.918      +5.747
update_ms                      7.594       7.421       2.804       8.329       7.609       7.553       7.487      11.997      -0.173      -4.791      +0.734      +0.014      -0.042      -0.107      +4.403
submit_ms                     27.893      27.930      26.234      29.748      32.469      35.498      34.474      28.740      +0.037      -1.659      +1.855      +4.575      +7.605      +6.581      +0.847
finish_ms                      1.024       1.026       1.033       1.030       1.026       1.012       1.012       1.029      +0.001      +0.009      +0.005      +0.001      -0.012      -0.013      +0.005
present_ms                     6.945       6.747       9.886       5.934       4.772      13.894      13.403       7.438      -0.198      +2.941      -1.011      -2.174      +6.949      +6.458      +0.493
bounds_included_ms             2.461       2.457       2.352       2.471       2.495       2.503       2.456       2.921      -0.004      -0.109      +0.010      +0.034      +0.041      -0.005      +0.460
prepare_included_ms            2.839       2.859       2.924       2.842       2.788       3.457       3.393       3.020      +0.020      +0.085      +0.003      -0.051      +0.618      +0.554      +0.181
dispatch_included_ms          16.586      16.599      15.041      18.410      21.087      23.416      22.475      16.723      +0.012      -1.545      +1.824      +4.500      +6.829      +5.888      +0.137
packet_included_ms             1.861       1.863       1.931       2.104       2.940       2.546       2.568       1.884      +0.002      +0.070      +0.243      +1.079      +0.684      +0.707      +0.023
dma_included_ms                2.235       2.233       2.137       2.286       2.702       2.102       1.260       2.107      -0.002      -0.098      +0.051      +0.467      -0.133      -0.975      -0.128
vif_wait_included_ms           5.476       5.474       5.557       6.568       5.759       5.128       5.147       5.394      -0.001      +0.081      +1.092      +0.283      -0.348      -0.329      -0.082
flushes                      120.000     120.000     120.000     125.000     146.000     120.000     120.000     120.000      +0.000      +0.000      +5.000     +26.000      +0.000      +0.000      +0.000
triangles                  40412.000   40412.000   40412.000   48799.500   45290.000   40412.000   40412.000   40412.000      +0.000      +0.000   +8387.500   +4878.000      +0.000      +0.000      +0.000
