frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.904324,2.028178,26.747291,1.040504,9.239370,39.931488,2.487840,3.175015,14.869636,1.244486,2.220591,6.202199,120,46247,0,0
121,0,2.935588,2.028734,22.684709,1.043494,13.297943,39.961734,2.160366,2.786228,12.201535,0.971252,1.774234,5.014442,98,35675,0,0
122,0,2.951843,2.014594,26.622515,1.041453,9.365557,39.981367,2.604858,3.236284,14.682983,1.174523,2.065182,6.205258,120,46247,0,0
123,0,2.907233,2.027507,22.759138,1.069868,13.233944,39.970184,2.003710,2.782383,12.453827,1.021498,1.721680,5.199843,98,35675,0,0
124,0,2.928467,2.019023,26.678585,1.075985,9.285878,39.968916,2.484460,3.325551,14.828016,1.135542,2.215135,6.299076,120,46247,0,0
125,0,2.903849,2.000570,22.867618,1.043955,13.115082,39.930505,2.135410,2.771298,12.488447,1.049696,1.833564,5.106808,98,35675,0,0
126,0,2.924615,1.975952,26.774336,1.043779,9.239838,39.982568,2.494758,3.220198,14.902110,1.202844,2.221157,6.327806,120,46247,0,0
127,0,2.946696,2.037354,22.858395,1.071788,13.065630,39.942508,2.150231,2.753048,12.331702,1.053413,1.723741,5.192627,98,35675,0,0
128,0,2.974792,1.999213,26.842912,1.040843,9.105058,39.963606,2.533468,3.208632,14.984141,1.130134,2.200134,6.402781,120,46247,0,0
129,0,2.913045,2.001506,22.842207,1.047563,13.180634,39.983449,2.265815,2.778788,12.208418,1.046224,1.809374,5.082174,98,35675,0,0
130,0,2.910414,2.031114,26.742252,1.041128,9.248166,39.941959,2.508748,3.366326,14.593377,1.242798,2.121531,6.172438,120,46247,0,0
131,0,2.982978,2.043260,22.944678,1.040504,12.989003,39.957163,2.057936,2.727773,12.485582,1.036516,1.761017,5.162394,98,35675,0,0
132,0,2.921875,2.011047,26.610165,1.043271,9.387034,39.962345,2.494425,3.273224,14.835049,1.129649,2.136681,6.319394,120,46247,0,0
133,0,2.909349,2.029243,22.914934,1.054860,13.083045,39.962189,2.067420,2.874963,12.391490,1.133803,1.774102,5.110053,98,35675,0,0
134,0,2.963928,2.022569,26.672692,1.072527,9.285248,39.994395,2.423123,3.226841,14.851864,1.167080,2.172234,6.362885,120,46247,0,0
135,0,2.880656,2.005032,22.873105,1.038381,13.140316,39.932458,2.067437,2.875844,12.402100,1.093113,1.709232,5.253092,98,35675,0,0
136,0,2.939324,2.026347,26.639754,1.040646,9.341827,39.961551,2.427907,3.235731,14.716851,1.054199,2.153368,6.127703,120,46247,0,0
137,0,2.965027,2.023966,22.904741,1.042192,13.051910,39.963871,2.080634,2.821523,12.536021,1.004883,1.806349,5.119144,98,35675,0,0
138,0,2.897746,2.017578,26.838131,1.042369,9.184119,39.962365,2.447320,3.172129,14.934380,1.122226,2.267137,6.319614,120,46247,0,0
139,0,2.938117,1.987230,22.825884,1.067400,13.156464,39.987864,2.230391,2.878004,12.279728,1.075311,1.798828,4.956451,98,35675,0,0
140,0,2.940959,2.032010,26.735572,1.038727,9.223243,39.938500,2.596622,3.095018,14.827732,1.167619,2.130659,6.198415,120,46247,0,0
141,0,2.885057,2.006348,23.012916,1.041982,13.022844,39.962799,2.161896,2.925459,12.340312,1.080048,1.778392,5.091956,98,35675,0,0
142,0,2.941182,2.030585,26.608768,1.067393,9.364003,39.981347,2.411865,3.234616,14.806834,1.237318,2.130870,6.378828,120,46247,0,0
143,0,2.953369,2.043274,22.757606,1.042328,13.190284,39.943587,2.074398,2.756670,12.398153,0.975376,1.785404,5.237528,98,35675,0,0
144,0,2.959276,2.020142,26.700843,1.044668,9.251685,39.956472,2.446309,3.188755,14.899784,1.254015,2.096707,6.475993,120,46247,0,0
145,0,2.925673,2.015137,22.887197,1.042118,13.107947,39.962935,2.084364,2.891449,12.417701,1.041880,1.816349,5.143887,98,35675,0,0
146,0,2.964878,1.987467,26.765750,1.042274,9.189972,39.962874,2.572215,3.251963,14.867357,1.091258,2.253120,6.228936,120,46247,0,0
147,0,2.964010,1.989814,22.972395,1.072940,12.954119,39.963464,2.061852,2.825707,12.565453,1.083567,1.874213,5.195733,98,35675,0,0
148,0,2.903219,2.023919,26.772132,1.040972,9.245270,39.961592,2.502099,3.294125,14.789920,1.171807,2.154588,6.196401,120,46247,0,0
149,0,2.966519,2.031433,22.859717,1.067651,13.094682,39.988569,2.201504,2.701545,12.332815,1.005873,1.783061,5.002282,98,35675,0,0
150,0,2.936435,2.025031,26.877289,1.041548,9.083635,39.938907,2.489132,3.165422,14.904900,1.162265,2.291501,6.279232,120,46247,0,0
151,0,2.898376,2.020569,23.059384,1.038239,12.966285,39.962284,2.093825,2.933465,12.323052,0.978719,1.878760,5.008308,98,35675,0,0
152,0,2.942037,2.020101,26.620500,1.043922,9.372264,39.978722,2.580855,3.196621,14.803070,1.211955,2.116960,6.295966,120,46247,0,0
153,0,2.931098,2.020772,22.788327,1.071991,13.156084,39.947500,2.133664,2.757494,12.450144,1.097046,1.755324,5.071526,98,35675,0,0
154,0,2.952420,2.040568,26.669986,1.098175,9.296844,40.017426,2.600647,3.236040,14.868073,1.242245,2.201799,6.495870,120,46247,0,0
155,0,2.895406,2.016093,23.303708,1.040660,12.668698,39.908471,2.116628,2.763709,12.511766,1.037767,1.851064,5.223009,98,35675,0,0
156,0,2.980408,2.040548,26.764014,1.071828,9.146196,39.962446,2.622491,3.124871,14.979631,1.155494,2.256297,6.264357,120,46247,0,0
157,0,2.942952,2.032620,22.928504,1.068804,13.044993,39.985253,2.147502,2.836904,12.446272,0.969001,1.821699,5.228804,98,35675,0,0
158,0,2.941684,1.993008,26.696028,1.041968,9.254100,39.933780,2.491055,3.303352,14.720635,1.194465,2.147739,6.222439,120,46247,0,0
159,0,2.962646,2.023519,22.998023,1.041582,12.961273,39.963525,2.205953,2.847212,12.340084,0.969021,1.736084,5.136834,98,35675,0,0
160,0,2.906352,2.026028,26.839678,1.038774,9.193980,39.978784,2.489329,3.235240,14.809937,1.118883,2.129496,6.248949,120,46247,0,0
161,0,2.931966,1.982998,22.761553,1.064158,13.214901,39.972578,2.029287,2.788723,12.404738,1.001204,1.844537,4.977566,98,35675,0,0
162,0,2.912252,2.024618,26.901384,1.040626,9.083262,39.937524,2.409427,3.119571,14.878086,1.187351,2.121568,6.278910,120,46247,0,0
163,0,2.908386,2.028124,22.744795,1.076318,13.233436,39.962935,2.121324,2.825477,12.328061,1.081604,1.699795,5.064331,98,35675,0,0
164,0,2.937181,2.025553,26.612891,1.045041,9.382640,39.977753,2.479248,3.269833,14.851732,1.201491,2.040955,6.417955,120,46247,0,0
165,0,2.935649,2.032518,22.906674,1.039276,13.066830,39.948429,2.198544,2.782484,12.390530,1.043437,1.775109,5.090675,98,35675,0,0
166,0,2.932712,2.019287,26.668033,1.067034,9.320546,39.988325,2.427165,3.152228,14.925422,1.162279,2.299662,6.291948,120,46247,0,0
167,0,2.914591,2.037720,22.761661,1.042531,13.217946,39.936730,2.135339,2.800652,12.376662,0.970103,1.699253,5.218028,98,35675,0,0
168,0,2.958272,2.016710,26.702491,1.041724,9.259878,39.962365,2.532366,3.378764,14.634725,1.078803,2.148146,6.342662,120,46247,0,0
169,0,2.900153,2.022909,22.872209,1.042457,13.116201,39.931020,2.119843,2.963209,12.397030,1.089718,1.710951,5.152276,98,35675,0,0
170,0,2.941983,1.991333,26.654660,1.067115,9.292430,39.956187,2.603346,3.176337,14.812812,1.032569,2.232490,6.350922,120,46247,0,0
171,0,2.969991,2.028415,22.892534,1.044939,13.055511,39.962975,2.205471,2.810286,12.442468,1.010406,1.935011,5.304365,98,35675,0,0
172,0,2.924622,1.958049,26.795793,1.038971,9.203305,39.962691,2.548777,3.392066,14.761559,1.146834,2.071750,6.375112,120,46247,0,0
173,0,2.953227,2.041036,22.893843,1.045522,13.086639,39.979231,2.170213,2.847439,12.240278,1.012641,1.807522,4.987698,98,35675,0,0
174,0,2.952352,2.043199,26.819495,1.041758,9.132687,39.946292,2.601688,3.333323,14.595893,1.175517,2.168145,6.277768,120,46247,0,0
175,0,2.939446,1.954183,22.978275,1.039296,13.006649,39.963667,2.149506,2.733361,12.488858,0.927297,1.756361,5.072283,98,35675,0,0
176,0,2.904975,2.027954,26.566444,1.041453,9.414710,39.927582,2.613336,3.219048,14.756107,1.152303,2.015337,6.318583,120,46247,0,0
177,0,2.947144,2.038194,22.715525,1.043013,13.257300,39.962982,2.177029,2.764075,12.289890,0.970269,1.729462,5.062951,98,35675,0,0
178,0,2.958252,2.022427,26.656409,1.065874,9.307851,39.988386,2.366140,3.457882,14.750302,1.113152,2.115207,6.337257,120,46247,0,0
179,0,2.902323,2.025547,22.818824,1.044545,13.171139,39.936832,2.244259,2.923832,12.245826,1.005937,1.810574,5.166050,98,35675,0,0
180,0,2.941800,2.030402,26.727536,1.042925,9.219859,39.932119,2.532759,3.238600,14.910770,1.116848,2.239258,6.440630,120,46247,0,0
181,0,2.944682,2.008443,22.924150,1.043901,13.050323,39.963057,2.257938,2.840023,12.349318,1.078135,1.795681,5.157138,98,35675,0,0
182,0,2.880981,1.971985,26.828223,1.073015,9.206777,39.988997,2.532813,3.384284,14.604791,1.114895,2.193115,6.143416,120,46247,0,0
183,0,2.931851,2.021145,22.878069,1.039134,13.080502,39.929555,2.016659,2.858151,12.402937,0.952755,1.842523,5.045763,98,35675,0,0
184,0,2.933492,2.022888,26.930403,1.044512,9.054352,39.962758,2.804274,3.096463,14.879157,1.194692,2.215925,6.260257,120,46247,0,0
185,0,2.925564,1.975674,22.838518,1.037730,13.161353,39.963165,2.079739,2.763655,12.498732,0.966919,1.847527,5.074175,98,35675,0,0
186,0,2.916809,2.041077,26.561398,1.045102,9.407745,39.931054,2.512855,3.199548,14.736233,1.112189,2.204556,6.333381,120,46247,0,0
187,0,2.914951,2.009162,22.912601,1.041290,13.094479,39.963321,1.961968,2.767280,12.345049,1.174333,1.726583,5.178067,98,35675,0,0
188,0,2.928189,2.016181,26.641402,1.070777,9.347226,39.987593,2.532806,3.362339,14.696682,1.150041,2.092862,6.387468,120,46247,0,0
189,0,2.914625,2.035116,22.760868,1.042986,13.217926,39.936405,2.128974,2.781684,12.457421,1.040337,1.661207,5.194302,98,35675,0,0
190,0,2.960958,2.017727,26.680376,1.073700,9.279802,39.994836,2.539425,3.249363,14.766330,1.079732,2.255575,6.271440,120,46247,0,0
191,0,2.895447,2.018717,22.861779,1.041209,13.133453,39.931888,2.005056,2.844913,12.449382,1.015174,1.808462,5.187059,98,35675,0,0
192,0,2.938341,2.025092,26.653927,1.045156,9.324968,39.962392,2.462263,3.214572,14.736915,1.142839,2.126322,6.209113,120,46247,0,0
193,0,2.963433,2.023465,22.882612,1.039771,13.077932,39.963749,2.118968,2.897966,12.389689,1.047635,1.786411,5.137204,98,35675,0,0
194,0,2.895677,1.984606,26.755449,1.041372,9.269589,39.962087,2.429521,3.169474,14.954088,1.154836,2.155111,6.192088,120,46247,0,0
195,0,2.955831,2.042684,22.964840,1.067169,12.996355,39.984195,2.208859,2.900035,12.286177,1.085398,1.772658,5.049181,98,35675,0,0
196,0,2.952298,2.043742,26.767453,1.039792,9.174917,39.934458,2.597887,3.343350,14.566515,1.111742,2.157810,6.144077,120,46247,0,0
197,0,2.897875,1.987508,24.550045,1.036753,11.478431,39.963104,2.053830,2.875061,12.439541,1.047340,1.812341,5.058984,98,35675,0,0
198,0,2.937019,2.027262,26.626502,1.096629,9.323564,39.983714,2.573663,3.176866,14.794644,1.080102,2.063059,6.457143,120,46247,0,0
199,0,2.952176,2.043647,22.777564,1.074331,13.136878,39.940948,2.007107,2.903625,12.336731,1.053504,1.813772,5.150299,98,35675,0,0
200,0,2.953403,1.988614,26.602644,1.042870,9.363183,39.962101,2.543637,3.340505,14.560394,1.152259,2.090224,6.134935,120,46247,0,0
201,0,2.920919,2.010030,22.880693,1.049354,13.113007,39.963972,2.119510,2.827108,12.370036,1.078284,1.740058,5.075368,98,35675,0,0
202,0,2.958503,2.021735,26.755042,1.042959,9.205868,39.962372,2.554925,3.260481,14.771301,1.126529,2.057739,6.222609,120,46247,0,0
203,0,2.967102,2.015103,22.922197,1.042511,13.031348,39.963159,2.003042,2.676192,12.680074,0.969903,1.846402,5.203281,98,35675,0,0
204,0,2.905870,2.025764,26.777462,1.042050,9.237518,39.962901,2.469686,3.055294,14.948157,1.037235,2.306274,6.263587,120,46247,0,0
205,0,2.941169,2.019877,22.929460,1.077104,13.050079,39.997813,2.123325,2.950707,12.158905,0.962392,1.755018,5.059096,98,35675,0,0
206,0,2.936361,1.991014,26.697344,1.047516,9.247270,39.928491,2.491092,3.230279,14.878672,1.142721,2.345296,6.163608,120,46247,0,0
207,0,2.930447,1.991435,22.693336,1.043162,13.295590,39.962535,2.239065,2.750793,12.219225,1.047645,1.724921,5.014869,98,35675,0,0
208,0,2.953050,2.014411,26.649411,1.105445,9.276499,39.984406,2.574761,3.495063,14.606171,1.205468,2.133501,6.176402,120,46247,0,0
209,0,2.904561,2.026896,22.781002,1.073558,13.203996,39.963118,1.997206,2.747928,12.579790,1.020518,1.800568,5.216936,98,35675,0,0
210,0,2.940362,2.028605,26.698537,1.045291,9.249793,39.933984,2.511251,3.293413,14.808516,1.083839,2.180983,6.433607,120,46247,0,0
211,0,2.946004,2.008158,22.898515,1.041595,13.076575,39.962691,2.160668,2.693088,12.424672,1.043525,1.821167,5.238285,98,35675,0,0
212,0,2.889879,1.977810,26.856727,1.068315,9.170848,39.985769,2.710154,3.262529,14.621311,1.075172,2.117930,6.228190,120,46247,0,0
213,0,2.939860,2.025614,22.856849,1.039968,13.104041,39.940718,2.114085,2.722972,12.337623,1.048943,1.815186,5.054237,98,35675,0,0
214,0,2.934882,2.023627,26.876299,1.039202,9.111460,39.961843,2.535746,3.211355,14.959239,1.151601,2.082845,6.270416,120,46247,0,0
215,0,2.929118,1.977627,22.827796,1.094432,13.143836,39.995182,2.083310,2.804525,12.334547,1.045580,1.767327,5.014452,98,35675,0,0
216,0,2.917806,2.025275,26.690141,1.041799,9.280575,39.930322,2.534346,3.167080,14.825016,1.196584,2.251292,6.185760,120,46247,0,0
217,0,2.907030,2.026761,22.867957,1.047807,13.140778,39.963572,2.201335,2.845371,12.351583,1.125400,1.773868,5.065063,98,35675,0,0
218,0,2.969238,2.027547,26.613319,1.067698,9.334652,39.984907,2.580553,3.104804,14.730998,1.081238,2.099887,6.245975,120,46247,0,0
219,0,2.900370,2.020650,22.825585,1.044383,13.169708,39.940047,2.075768,2.764896,12.410129,1.027242,1.742001,5.123549,98,35675,0,0
220,0,2.941711,2.029989,26.655168,1.044118,9.321509,39.962507,2.449873,3.320760,14.798604,1.278948,2.089067,6.337718,120,46247,0,0
221,0,2.940803,2.033712,22.832625,1.043325,13.112498,39.929250,2.042508,2.840074,12.494727,1.089155,1.809292,5.219286,98,35675,0,0
222,0,2.945441,1.989868,26.627031,1.042755,9.342302,39.957530,2.611762,3.164724,14.692400,1.235436,2.161638,6.160733,120,46247,0,0
223,0,2.938185,2.026021,22.992157,1.068403,12.989315,39.988061,2.325297,2.863471,12.375580,1.010620,1.775506,5.089037,98,35675,0,0
224,0,2.946479,2.039456,26.890825,1.039073,9.059872,39.936249,2.513977,3.206794,14.928714,1.143422,2.178948,6.354557,120,46247,0,0
225,0,2.908997,2.028442,22.937985,1.037872,13.078976,39.963830,1.998664,2.773139,12.743235,1.058316,1.796543,5.220903,98,35675,0,0
226,0,2.911011,1.998962,26.686500,1.076426,9.314694,39.988631,2.561357,3.152222,14.912164,1.152544,2.182451,6.419763,120,46247,0,0
227,0,2.942810,2.034749,22.798052,1.045976,13.149038,39.935876,2.036801,2.898373,12.385647,1.004832,1.849179,5.167518,98,35675,0,0
228,0,2.941223,1.988525,26.699195,1.040239,9.283030,39.963687,2.417881,3.291504,14.783535,1.137573,2.219774,6.268968,120,46247,0,0
229,0,2.915643,2.003011,22.925541,1.043488,13.077328,39.961999,2.189046,2.886827,12.442291,1.009559,1.770718,5.104462,98,35675,0,0
230,0,2.919739,2.024889,26.798784,1.047007,9.197567,39.963097,2.486538,3.173591,14.644670,1.078203,2.071262,6.161869,120,46247,0,0
231,0,2.942593,1.991842,22.875220,1.038055,13.107052,39.962921,2.187137,2.834032,12.358592,1.058577,1.736254,5.048408,98,35675,0,0
232,0,2.911872,2.035034,26.720598,1.055674,9.244402,39.932546,2.373715,3.144514,15.034712,1.201586,2.216522,6.231781,120,46247,0,0
233,0,2.948398,2.041490,22.893965,1.040293,13.080441,39.963097,2.036567,3.075480,12.250444,1.053243,1.727332,5.073368,98,35675,0,0
234,0,2.932970,2.022257,26.647444,1.040395,9.360667,39.981476,2.409271,3.253961,14.971371,1.161282,2.218641,6.347955,120,46247,0,0
235,0,2.915317,2.036804,22.752791,1.068288,13.201189,39.937585,2.000502,2.902632,12.448313,0.986325,1.753689,5.180037,98,35675,0,0
236,0,2.962972,2.023458,26.660865,1.072215,9.294593,39.990645,2.717868,3.195296,14.601366,1.116062,2.150635,6.332052,120,46247,0,0
237,0,2.900574,2.024726,22.848202,1.041697,13.143592,39.934065,2.111348,2.755134,12.392015,1.011614,1.751458,5.162862,98,35675,0,0
238,0,2.947225,2.033569,26.654605,1.067427,9.293881,39.963138,2.410997,3.289425,14.796027,1.072666,2.171360,6.353000,120,46247,0,0
239,0,2.972310,2.028673,22.889930,1.042701,13.058014,39.962955,2.198517,2.858181,12.410892,1.013601,1.887980,5.337277,98,35675,0,0
240,0,2.949134,1.956889,26.757935,1.040361,9.215017,39.962446,2.425337,3.409244,14.891602,1.152903,2.128757,6.328868,120,46247,0,0
241,0,2.960110,2.048442,22.902096,1.048072,13.060577,39.970856,2.137048,2.885885,12.342085,1.010671,1.805786,5.022725,98,35675,0,0
242,0,2.956278,2.045580,26.775286,1.039995,9.183604,39.955163,2.606011,3.148688,14.763140,1.154711,2.197300,6.286363,120,46247,0,0
243,0,2.943319,1.951009,22.919634,1.063188,13.063914,39.990055,2.169864,2.733917,12.318678,1.045420,1.749783,5.023499,98,35675,0,0
244,0,2.881599,2.004910,26.795414,1.043345,9.215200,39.935557,2.580377,3.185482,14.944068,1.272732,2.227220,6.309072,120,46247,0,0
245,0,2.930155,1.991435,22.907020,1.041473,13.085141,39.963789,2.008009,2.991536,12.245816,1.010125,1.739003,5.126146,98,35675,0,0
246,0,2.966960,2.029873,26.609026,1.042436,9.362681,39.981103,2.524906,3.378323,14.608066,1.154517,2.101101,6.311208,120,46247,0,0
247,0,2.898702,2.018514,22.936032,1.056251,13.054026,39.945011,2.229540,2.756629,12.438151,1.091685,1.732680,5.118015,98,35675,0,0
248,0,2.947842,2.021918,26.651771,1.068329,9.312680,39.980621,2.453515,3.327118,14.714908,1.190742,2.196845,6.335276,120,46247,0,0
249,0,2.950324,2.033088,22.773821,1.542172,13.169688,40.436005,2.198415,2.678569,12.373091,0.973433,1.771874,5.126634,98,35675,0,0
250,0,2.936727,2.026042,26.753354,1.035221,8.732866,39.458167,2.577793,3.177297,14.848867,1.081404,2.286967,6.305501,120,46247,0,0
251,0,2.944994,2.019945,23.308007,1.037438,12.671865,39.962304,2.153249,3.010322,12.151221,1.169932,1.733419,5.060693,98,35675,0,0
252,0,2.945821,2.028625,26.957102,1.037818,9.022600,39.963342,2.523827,3.397146,14.974738,1.200290,2.124390,6.290487,120,46247,0,0
253,0,2.937195,1.986837,22.998105,1.034590,12.993181,39.963070,1.983931,2.834863,12.355611,1.092099,1.687744,4.982842,98,35675,0,0
254,0,2.907111,2.007060,26.758155,1.030623,9.234209,39.930098,2.717255,3.272970,14.761427,1.129842,2.189470,6.187531,120,46247,0,0
255,0,2.932129,2.021328,23.103492,1.051266,12.895640,39.982527,2.101295,2.691227,12.540538,0.981764,1.868137,5.216692,98,35675,0,0
256,0,2.932170,2.021810,26.675473,1.068946,9.298411,39.974999,2.605933,3.216265,14.785709,1.124878,2.141975,6.424730,120,46247,0,0
257,0,2.917358,2.017395,22.827776,1.031192,13.153683,39.930010,1.955926,2.939969,12.412425,0.977787,1.840369,5.142493,98,35675,0,0
258,0,2.929484,2.017151,26.765113,1.036197,9.232134,39.962928,2.494154,3.298848,14.886074,1.044257,2.241286,6.213843,120,46247,0,0
259,0,2.938626,2.026571,22.843706,1.047184,13.133419,39.962935,2.028239,2.944956,12.503374,1.057702,1.755853,5.151913,98,35675,0,0
260,0,2.930461,1.992520,26.891374,1.032908,9.108415,39.963159,2.388933,3.268921,15.086487,1.163944,2.266025,6.402093,120,46247,0,0
261,0,2.927233,2.016039,22.781613,1.034393,13.213450,39.956689,2.051588,2.770125,12.481957,1.042040,1.884623,4.918477,98,35675,0,0
262,0,2.905884,2.027730,26.486630,1.034760,9.534922,39.962196,2.554732,3.194024,14.565650,1.111922,2.094021,6.197801,120,46247,0,0
263,0,2.948235,1.969238,22.851973,1.030073,13.132402,39.962684,2.119880,2.761634,12.381070,1.008572,1.791470,5.013858,98,35675,0,0
264,0,2.900194,2.024292,26.551348,1.039290,9.438555,39.929386,2.510200,3.260790,14.786652,1.039191,2.109850,6.290344,120,46247,0,0
265,0,2.903035,2.025194,22.953569,1.031335,13.075599,39.963538,2.051802,2.878913,12.392500,1.018009,1.797401,5.051581,98,35675,0,0
266,0,2.963372,2.022542,26.636790,1.072547,9.313982,39.986691,2.364271,3.375905,14.789391,1.145491,2.189307,6.294220,120,46247,0,0
267,0,2.902439,2.022563,22.874556,1.074968,13.086551,39.938514,2.059509,2.768843,12.471425,0.981466,1.826094,5.016283,98,35675,0,0
