frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.821947,2.045369,28.200809,1.015310,7.902781,39.940847,2.736945,3.023651,16.249485,1.947506,2.337830,6.180471,133,46247,0,0
121,0,2.808438,2.030518,23.981747,1.018836,12.154104,39.963125,2.243703,2.627462,13.463111,1.741543,1.873023,5.098094,107,35675,0,0
122,0,2.823371,2.045288,28.377343,1.019046,7.743934,39.963694,2.633121,2.970930,16.406850,2.085548,2.477020,6.123077,133,46247,0,0
123,0,2.835151,2.032694,24.097368,1.020118,12.010935,39.963572,2.329386,2.484704,13.589210,1.737101,1.869364,4.943481,107,35675,0,0
124,0,2.850850,2.039252,28.299598,1.019691,7.792714,39.962853,2.850667,2.914846,16.186791,1.958252,2.327881,6.198944,133,46247,0,0
125,0,2.812683,2.032633,24.084897,1.046017,11.987823,39.931420,2.339691,2.529585,13.424140,1.693892,1.958954,5.096907,107,35675,0,0
126,0,2.855713,2.050476,28.082245,1.021250,8.003774,39.962982,2.628459,2.854455,16.306959,2.191467,2.286329,6.058990,133,46247,0,0
127,0,2.827298,2.049357,24.167097,1.021386,11.947812,39.963593,2.232317,2.494575,13.470401,1.602370,1.881005,5.143307,107,35675,0,0
128,0,2.875434,2.039313,28.334212,1.022308,7.731700,39.963654,2.833130,3.100888,16.175839,1.916751,2.313883,6.137743,133,46247,0,0
129,0,2.875963,2.064168,24.236454,1.016788,11.844459,39.973663,2.494002,2.410224,13.642141,1.732869,2.119290,5.003225,107,35675,0,0
130,0,2.846829,2.042358,28.153731,1.019494,7.932939,39.952993,2.544763,2.979299,16.308977,2.126055,2.364071,6.078054,133,46247,0,0
131,0,2.859809,2.044454,24.122582,1.021311,11.952647,39.956350,2.363274,2.524475,13.636017,1.813544,1.937653,5.052660,107,35675,0,0
132,0,2.817390,2.038737,28.522871,1.015981,7.607147,39.963389,2.752051,2.941355,16.537455,2.032277,2.603634,6.179131,133,46247,0,0
133,0,2.875576,2.004089,24.017093,1.021617,12.049205,39.963491,2.281131,2.518826,13.629639,1.649055,1.880046,5.069224,107,35675,0,0
134,0,2.881782,2.034281,28.265805,1.045915,7.798370,39.991872,2.641802,2.958079,16.372267,2.176134,2.276638,6.192525,133,46247,0,0
135,0,2.801907,2.025635,24.258440,1.016924,11.857208,39.934479,2.285377,2.424710,13.999298,1.910305,1.918304,5.267263,107,35675,0,0
136,0,2.860664,2.055773,28.319848,1.021020,7.761776,39.963308,2.701074,2.894738,16.548113,2.401323,2.391368,6.136824,133,46247,0,0
137,0,2.822774,2.044400,24.050785,1.046065,12.043474,39.963097,2.226373,2.446635,13.760986,1.726427,1.991523,5.133565,107,35675,0,0
138,0,2.838447,2.028605,28.498837,1.033729,7.592682,39.963694,2.806630,2.846229,16.394324,2.094832,2.374969,6.319882,133,46247,0,0
139,0,2.880317,2.037781,24.058109,1.017019,12.007579,39.963023,2.238254,2.582387,13.532498,1.688137,1.951016,5.082489,107,35675,0,0
140,0,2.814521,2.037394,28.186886,1.018687,7.943437,39.963531,2.693193,3.027778,16.208927,2.002370,2.447076,6.051873,133,46247,0,0
141,0,2.837450,2.061083,24.024614,1.012217,12.089006,39.963287,2.283454,2.371887,13.702474,1.715447,1.919383,5.077593,107,35675,0,0
142,0,2.824246,2.046346,28.483578,1.022295,7.633006,39.963125,2.640076,3.022051,16.276991,2.078800,2.388957,6.133816,133,46247,0,0
143,0,2.851590,2.002360,24.168867,1.020715,11.922441,39.963613,2.139791,2.544328,13.761573,1.806322,2.013730,5.069916,107,35675,0,0
144,0,2.847378,2.035529,28.296709,1.021230,7.791378,39.956696,2.573527,2.974620,16.462429,2.212772,2.508318,6.121097,133,46247,0,0
145,0,2.806363,2.028490,24.271461,1.018633,11.835765,39.932220,2.335500,2.547594,13.936601,1.647831,2.052094,5.215522,107,35675,0,0
146,0,2.857992,2.049873,28.282915,1.046322,7.776255,39.963484,2.771946,2.877350,16.393673,2.089176,2.447611,6.101132,133,46247,0,0
147,0,2.799506,2.023770,24.119748,1.015350,12.028093,39.962697,2.224108,2.501946,13.769904,1.752787,1.996765,5.063677,107,35675,0,0
