frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,4.692128,1.486335,29.199629,0.564287,5.522688,39.978733,4.360999,1.255964,12.126733,2.815579,1.671234,0.158786,183,32680,0,0
121,0,2.145179,1.477400,26.243181,0.563215,11.026910,39.978485,4.027578,1.171705,10.521979,2.364448,1.487061,0.145335,157,27801,0,0
122,0,2.442427,1.474565,29.642714,0.654683,7.238661,39.978485,4.305189,1.387400,12.062659,2.773081,1.701701,0.153622,183,32680,0,0
123,0,2.188714,1.486474,25.771417,0.565101,11.453254,39.978485,4.131076,1.074571,10.475087,2.348979,1.394714,0.145335,157,27801,0,0
124,0,2.711945,1.484283,29.441125,0.559353,7.250658,39.963081,4.282803,1.308041,12.094472,2.766917,1.683139,0.169366,183,32680,0,0
125,0,2.153910,1.487108,26.327064,0.564341,10.933173,39.978488,4.051782,1.231815,10.461802,2.351844,1.424137,0.145335,157,27801,0,0
126,0,4.689429,1.488861,29.719825,0.578220,4.990997,39.978472,4.342529,1.186615,12.061388,2.905473,1.652818,0.173930,183,32680,0,0
127,0,2.193871,1.493656,25.505859,0.586212,11.692552,39.978495,4.132728,1.061900,10.406928,2.298211,1.489115,0.145335,157,27801,0,0
128,0,2.494191,1.480248,29.837474,0.557393,7.089410,39.978468,4.365092,1.221690,12.129500,2.793850,1.691132,0.155860,183,32680,0,0
129,0,2.145782,1.476173,25.939348,0.575212,11.318142,39.978485,4.138085,1.043559,10.449436,2.357927,1.442742,0.145335,157,27801,0,0
130,0,2.710144,1.452939,29.809024,0.640757,6.818559,39.978485,4.323602,1.342241,12.082960,2.789513,1.643500,0.152934,183,32680,0,0
131,0,2.179223,1.485084,26.045648,0.578817,11.172750,39.976437,4.162859,1.067112,10.485626,2.303409,1.430179,0.145335,157,27801,0,0
132,0,4.669396,1.483894,29.640961,0.561825,5.084988,39.957170,4.343753,1.275977,11.997833,2.827833,1.638373,0.145213,183,32680,0,0
133,0,2.156674,1.486399,25.803460,0.564782,11.453569,39.978485,4.133735,1.139774,10.428711,2.320062,1.482798,0.145335,157,27801,0,0
134,0,2.448073,1.476468,29.010997,0.583401,7.936005,39.978475,4.370992,1.220527,12.057366,2.755503,1.674171,0.165995,183,32680,0,0
135,0,2.195265,1.495792,26.052656,0.630734,11.099830,39.978485,4.200551,1.045854,10.508355,2.466810,1.392510,0.142409,157,27801,0,0
136,0,2.752391,1.498776,28.102013,0.567271,8.556803,39.978478,4.372755,1.231411,12.121036,2.870036,1.682393,0.152985,183,32680,0,0
137,0,2.153341,1.476698,26.119293,0.574768,11.131087,39.978488,4.092204,1.029999,10.521362,2.363583,1.446459,0.145335,157,27801,0,0
138,0,4.643456,1.470283,29.181274,0.566576,5.587175,39.978482,4.339203,1.255266,12.069194,2.868259,1.660455,0.150638,183,32680,0,0
139,0,2.198364,1.493727,26.044552,0.639187,11.110236,39.992340,4.144942,1.151137,10.451711,2.342828,1.434801,0.145335,157,27801,0,0
140,0,2.454373,1.502252,30.175937,0.557990,6.776326,39.964627,4.295749,1.345920,12.095066,2.793284,1.706682,0.158786,183,32680,0,0
141,0,2.165053,1.491235,25.868008,0.565067,11.380347,39.978475,4.190684,1.059994,10.417921,2.382111,1.423804,0.141561,157,27801,0,0
142,0,2.743710,1.501624,29.754635,0.588691,6.891446,39.978482,4.331312,1.186425,12.202121,2.841739,1.705024,0.158786,183,32680,0,0
143,0,2.164554,1.472202,26.170580,0.585185,11.058173,39.978492,4.091715,1.124786,10.492510,2.323497,1.479299,0.137187,157,27801,0,0
144,0,4.696811,1.491147,29.473077,0.575924,5.230611,39.976423,4.376346,1.208937,12.090942,2.827711,1.666680,0.156131,183,32680,0,0
