frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.135718,2.219455,51.186283,0.975969,0.667657,59.965627,8.184486,3.321540,27.507267,3.740933,3.156813,10.416745,183,32680,0,0
121,0,7.191294,2.143277,45.867347,0.999624,5.908244,59.966509,7.374142,2.859626,23.935089,3.090491,2.648644,9.091946,157,27801,0,0
122,0,2.994388,2.166267,51.078203,0.997426,4.895630,59.965647,8.145789,3.303548,27.378089,3.625831,3.163985,10.331943,183,32680,0,0
123,0,3.033580,2.167352,45.892615,0.998159,10.041504,59.965858,7.381931,2.884793,23.775340,3.182624,2.691735,8.804026,157,27801,0,0
124,0,2.933360,2.146796,51.197588,1.007124,4.796719,59.934791,7.928470,3.362739,27.498783,3.642541,3.265021,10.213464,183,32680,0,0
125,0,20.315840,2.131090,45.884952,1.002153,12.763136,79.966081,7.288883,2.886664,24.013187,3.173425,2.748237,8.973450,157,27801,0,0
126,0,3.023753,2.167101,51.175920,0.997372,4.761610,59.958655,7.960195,3.405735,27.519830,3.643080,3.225722,10.405043,183,32680,0,0
127,0,3.014408,2.222371,46.436744,1.000532,9.514452,59.966136,7.472066,3.001984,23.912055,2.947906,2.667721,9.155962,157,27801,0,0
128,0,2.984317,2.137383,51.156477,0.999922,4.824571,59.965288,8.026598,3.256761,27.479696,3.563989,3.206340,10.514848,183,32680,0,0
129,0,10.881500,2.187751,45.843421,1.028982,2.211405,59.965308,7.530484,2.877652,23.498779,2.970344,2.705414,8.808611,157,27801,0,0
130,0,2.993466,2.174371,51.422692,0.997399,4.552002,59.965559,8.191145,3.403090,27.508426,3.586355,3.191389,10.360704,183,32680,0,0
131,0,2.951263,2.163723,45.979468,0.994680,10.039937,59.965349,7.331540,2.933499,23.910288,3.069333,2.832598,8.966834,157,27801,0,0
132,0,3.035133,2.243625,50.999108,1.026350,4.917589,59.978180,8.019735,3.240078,27.421082,3.719113,3.211660,10.264258,183,32680,0,0
133,0,7.112295,2.168206,45.944800,1.001726,5.894850,59.953671,7.365485,2.901394,23.920966,2.974664,2.718597,9.243839,157,27801,0,0
134,0,2.963036,2.142551,50.923018,0.999386,5.079746,59.965186,7.849599,3.354947,27.432522,3.667050,3.272946,10.445536,183,32680,0,0
135,0,2.983524,2.167467,45.848372,0.997962,10.096897,59.926754,7.361681,2.872552,23.667914,3.153198,2.566901,8.811995,157,27801,0,0
136,0,2.952213,2.161940,51.159041,1.028554,4.826070,59.965878,8.040429,3.597032,27.079888,3.457058,3.157033,10.341560,183,32680,0,0
137,0,73.776581,2.161655,45.714474,0.994890,19.479607,139.965552,7.186564,3.029290,23.796424,2.999068,2.743361,8.943322,157,27801,0,0
138,0,2.983164,2.161682,51.375383,1.004859,4.602308,59.965715,8.007036,3.512919,27.272135,3.566583,3.167799,10.129123,183,32680,0,0
139,0,2.965213,2.178806,46.158959,0.997250,9.844550,59.965973,7.502526,2.930861,23.769677,2.916731,2.741353,9.009637,157,27801,0,0
140,0,3.024845,2.168267,51.197147,0.997155,4.746345,59.965491,8.057163,3.311964,27.692234,3.383565,3.317078,10.558997,183,32680,0,0
141,0,10.886892,2.194309,46.075755,1.000037,2.002340,59.965023,7.327532,2.879435,24.075470,3.381127,2.589345,8.879066,157,27801,0,0
142,0,3.008033,2.155511,51.148258,0.998851,4.804464,59.959605,7.883111,3.490526,27.597724,3.651852,3.385861,10.398275,183,32680,0,0
143,0,2.960948,2.132779,45.621782,1.027924,10.354980,59.965634,7.298703,2.919196,23.692929,3.184916,2.613692,8.766852,157,27801,0,0
144,0,3.034776,2.177497,51.307556,0.996979,4.626336,59.965647,8.014638,3.512675,27.546244,3.639601,3.339488,10.410743,183,32680,0,0
145,0,12.882355,2.224948,46.032447,0.977264,0.072998,59.965064,7.262729,3.036092,23.968842,3.139394,2.608429,8.931641,157,27801,0,0
146,0,3.014699,2.185744,51.226661,0.999115,4.725932,59.966407,7.937968,3.395582,27.586277,3.572374,3.271308,10.588528,183,32680,0,0
147,0,3.018870,2.192288,45.795549,0.994015,10.157464,59.965898,7.287357,2.855611,23.866062,3.117350,2.825290,8.934909,157,27801,0,0
148,0,2.968672,2.147122,51.162899,0.998267,4.835992,59.965830,7.766557,3.268419,27.949005,3.892782,3.429111,10.263533,183,32680,0,0
149,0,7.129276,2.147217,45.911251,1.025347,5.868442,59.934316,7.140920,2.956184,24.039344,3.424096,2.722649,8.808604,157,27801,0,0
150,0,16.492788,2.144653,51.274512,0.999366,11.198927,79.965593,8.220483,3.209825,27.546716,3.570838,3.035750,10.547899,183,32680,0,0
151,0,2.951643,2.165758,46.131270,0.998552,9.877719,59.959184,7.483120,3.008199,23.745449,3.173330,2.789395,8.972426,157,27801,0,0
152,0,3.020233,2.159153,51.203508,1.002377,4.739536,59.965654,8.123627,3.345486,27.426487,3.726078,3.097985,10.425995,183,32680,0,0
153,0,7.421105,2.221788,46.119707,1.014245,5.410590,59.965647,7.567047,2.752591,23.905073,3.028856,2.818658,9.119843,157,27801,0,0
154,0,7.378767,2.171726,51.246911,0.975664,0.364556,59.965898,7.935252,3.474908,27.485721,3.600864,3.186947,10.476186,183,32680,0,0
155,0,2.979177,2.159030,46.101315,1.014584,9.870538,59.965613,7.340725,2.920444,24.043433,3.174923,2.677765,8.861888,157,27801,0,0
156,0,3.029151,2.202101,51.321231,1.002268,4.612732,59.965383,8.064138,3.396193,27.653843,3.821008,3.089206,10.391564,183,32680,0,0
157,0,7.435435,2.135145,45.953264,1.033580,5.543416,59.965695,7.352217,2.943983,23.890062,3.250559,2.696476,8.894026,157,27801,0,0
158,0,3.020315,2.157010,51.075741,1.000458,4.869303,59.965817,7.871318,3.285339,27.605353,3.447215,3.150825,10.494731,183,32680,0,0
159,0,3.006012,2.146661,45.722531,0.996504,10.262255,59.987301,7.308512,2.824951,23.923248,3.263679,2.881185,8.925015,157,27801,0,0
160,0,2.938161,2.151299,50.959164,0.996457,5.052422,59.946204,7.889336,3.317369,27.451972,3.605136,3.266937,10.357639,183,32680,0,0
161,0,7.503855,2.167589,45.777808,1.003537,5.671685,59.956885,7.280168,2.952555,23.916460,3.196577,2.864146,8.865502,157,27801,0,0
162,0,75.360314,2.187609,51.374678,1.006609,12.226861,139.968462,8.071777,3.474664,27.534729,3.426700,3.238647,10.704790,183,32680,0,0
163,0,2.939768,2.153429,46.283342,0.999278,9.740458,59.962847,7.450687,2.925510,23.992991,3.143134,2.670180,9.091309,157,27801,0,0
164,0,3.046580,2.221883,51.050371,1.019101,4.849684,59.965736,7.827755,3.361898,27.466400,3.975772,3.206455,10.340980,183,32680,0,0
165,0,8.421390,2.166029,45.871646,1.002343,4.670458,59.965837,7.447167,2.881178,23.735267,3.140103,2.676134,8.852091,157,27801,0,0
166,0,7.559146,2.189141,51.220137,0.971866,0.213854,59.965003,8.219557,3.186347,27.713667,3.631470,3.224369,10.607235,183,32680,0,0
167,0,3.016815,2.159417,45.920020,1.004628,10.025167,59.966631,7.308946,2.861348,24.007345,3.249671,2.738105,8.959045,157,27801,0,0
168,0,2.958750,2.172614,51.095903,1.003801,4.900445,59.958900,7.829780,3.281616,27.675429,3.688629,3.193915,10.234233,183,32680,0,0
169,0,7.226837,2.220425,45.918372,0.994585,5.825229,59.965023,7.219927,2.961514,23.967255,3.204664,2.635474,9.008399,157,27801,0,0
170,0,6.829030,2.208788,50.959673,1.024363,1.152181,59.965247,7.846456,3.436842,27.364651,3.657857,3.158332,10.389787,183,32680,0,0
171,0,3.023468,2.160726,45.860979,1.004330,10.077610,59.966387,7.423062,2.976447,23.831580,3.014581,2.720964,9.217180,157,27801,0,0
172,0,2.975996,2.153863,51.013635,1.001780,4.974569,59.965980,7.901527,3.523465,27.309621,3.593570,3.235928,10.277578,183,32680,0,0
173,0,7.597497,2.172011,45.960934,1.031972,5.343933,59.934336,7.451755,2.715814,24.118276,3.058153,2.763550,9.038479,157,27801,0,0
174,0,2.952443,2.161072,51.144202,1.028005,4.840800,59.965451,7.938636,3.424377,27.244687,3.576460,3.174764,10.351681,183,32680,0,0
175,0,16.082611,2.157776,45.741940,0.998166,17.157525,79.980242,7.240801,2.946181,23.938412,2.981194,2.652408,8.969042,157,27801,0,0
176,0,2.975304,2.146491,51.258094,0.998674,4.712314,59.944387,8.199100,3.321696,27.434730,3.462941,3.265957,10.542291,183,32680,0,0
177,0,7.248315,2.202365,46.291277,1.002540,5.423740,59.965871,7.246338,2.994914,23.986159,3.135956,2.815687,9.019040,157,27801,0,0
178,0,2.986277,2.125990,51.109901,1.003801,4.865696,59.965675,8.052999,3.433831,27.363027,3.593404,3.094723,10.569661,183,32680,0,0
179,0,6.896820,2.220432,46.027523,1.003883,6.037164,59.965390,7.506612,2.901964,24.029806,3.104428,2.787014,9.158749,157,27801,0,0
180,0,2.990407,2.169040,51.435381,1.000044,4.540473,59.966305,8.310330,3.380602,27.418820,3.625851,3.094371,10.175327,183,32680,0,0
181,0,7.634674,2.234212,45.996579,0.997169,5.336460,59.964881,7.479394,2.937439,23.767565,3.146427,2.832947,8.849745,157,27801,0,0
182,0,3.033600,2.164870,51.239946,0.999854,4.692376,59.965776,8.134505,3.387438,27.408030,3.605316,3.141324,10.540093,183,32680,0,0
183,0,3.018233,2.226630,45.989200,0.998728,9.959493,59.965654,7.373627,2.918728,24.042992,3.017571,2.824761,9.067091,157,27801,0,0
