frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,30.617672,2.047017,40.149804,1.007263,8.191881,79.966621,5.218418,3.235006,23.594137,3.018568,2.936669,8.508040,169,28090,0,0
121,0,6.922889,2.017924,35.133711,1.000393,16.925049,59.982042,4.468641,2.795322,20.154446,2.791531,2.483283,6.991926,143,23211,0,0
122,0,2.857113,1.997810,40.344425,1.028714,15.744893,59.975145,5.160190,3.375932,23.678277,3.317888,3.009186,8.419501,169,28090,0,0
123,0,2.812578,2.026476,34.875736,1.002265,1.247437,39.938015,4.690843,2.696136,20.102027,2.769752,2.413123,6.943987,143,23211,0,0
124,0,2.854156,2.031684,40.279063,1.005215,15.798950,59.937385,4.966271,3.415656,23.714572,3.346313,2.888540,8.602451,169,28090,0,0
125,0,7.214311,2.032756,35.145145,1.031765,16.574036,59.965257,4.538042,2.824439,19.897861,2.604852,2.501428,7.086378,143,23211,0,0
126,0,2.852637,2.036160,39.954464,0.999830,16.158122,59.965054,5.152408,3.074070,23.704166,3.102112,2.985406,8.540324,169,28090,0,0
127,0,2.837684,1.977091,34.736779,1.036913,1.346890,39.958266,4.518487,2.718211,20.087501,2.673713,2.682600,7.150347,143,23211,0,0
128,0,2.819353,2.031182,40.158403,1.053826,15.958232,59.989814,5.204447,3.263312,23.632935,3.341641,2.967960,8.380419,169,28090,0,0
129,0,10.870399,1.999803,35.158654,1.003255,12.908230,59.940538,4.446920,2.909471,20.005497,2.638869,2.522861,7.055261,143,23211,0,0
130,0,2.854794,2.033617,40.267195,1.000983,15.842244,59.965217,5.057682,3.308000,23.819031,3.366784,3.090773,8.476369,169,28090,0,0
131,0,2.815162,2.030477,34.806502,1.025065,1.345181,39.991909,4.468116,2.824988,19.822815,2.852627,2.422506,6.718397,143,23211,0,0
132,0,2.822072,2.034790,40.076786,1.002903,16.036228,59.937988,5.075467,3.353831,23.487003,3.219910,3.052083,8.397549,169,28090,0,0
133,0,7.210853,2.041361,35.313236,0.998976,16.442396,59.965461,4.595412,2.779266,20.218113,2.710470,2.424360,7.226481,143,23211,0,0
134,0,2.823273,2.035007,40.070641,1.000475,16.070821,59.965210,4.941182,3.419081,23.621226,3.433899,2.934408,8.333778,169,28090,0,0
