scene,object,stage,milliseconds
0,-1,Total,39.998
0,-1,"Portal",0.018
0,-1,"Sky",0.376
0,-1,"Terrain",4.990
0,-1,"Static_batches",0.891
0,-1,"Procedural",5.358
0,1,"Object",2.313
0,3,"Object",0.116
0,7,"Object",0.049
0,8,"Object",0.044
0,9,"Object",0.043
0,10,"Object",0.044
0,11,"Object",0.016
0,12,"Object",0.016
0,13,"Object",0.016
0,14,"Object",0.015
0,15,"Object",0.016
0,16,"Object",0.015
0,17,"Object",0.015
0,18,"Object",0.016
0,19,"Object",0.016
0,20,"Object",0.016
0,21,"Object",0.016
0,26,"Object",0.043
0,29,"Object",0.083
0,31,"Object",0.043
0,33,"Object",0.042
0,34,"Object",1.843
0,35,"Object",0.168
0,36,"Object",1.868
0,38,"Object",0.471
0,40,"Object",1.461
0,41,"Object",0.090
0,42,"Object",0.994
0,51,"Object",0.045
0,58,"Object",0.051
0,59,"Object",0.044
0,60,"Object",0.301
0,61,"Object",0.270
0,62,"Object",0.089
0,63,"Object",0.045
0,64,"Object",0.046
0,65,"Object",0.266
0,66,"Object",0.304
0,67,"Object",0.054
0,68,"Object",0.050
0,69,"Object",0.336
0,70,"Object",0.306
0,71,"Object",0.122
0,72,"Object",0.306
0,74,"Object",0.559
0,75,"Object",0.352
0,76,"Object",0.352
0,77,"Object",0.291
0,78,"Object",0.347
0,79,"Object",0.351
0,98,"Object",0.068
0,99,"Object",0.077
0,100,"Object",0.079
0,101,"Object",0.078
0,102,"Object",0.110
0,103,"Object",0.069
0,107,"Object",0.255
0,108,"Object",0.298
0,109,"Object",0.072
0,110,"Object",0.053
0,111,"Object",0.052
0,112,"Object",0.052
0,113,"Object",0.118
0,114,"Object",0.018
0,115,"Object",0.016
0,116,"Object",0.016
0,117,"Object",0.016
0,118,"Object",0.016
0,119,"Object",0.016
0,120,"Object",1.276
0,121,"Object",2.286
0,133,"Object",0.296
0,134,"Object",0.019
0,135,"Object",0.016
0,136,"Object",0.016
0,137,"Object",0.016
0,138,"Object",0.016
0,139,"Object",0.016
0,140,"Object",0.016
0,141,"Object",0.016
0,-1,"Objects",20.951
0,-1,"Wheels",4.136
0,-1,"Animation",0.015
0,-1,"Shadow_decals",0.014
0,-1,"Mirrors",0.049
0,-1,"Portal_surfaces",0.016
0,-1,"Light_pools",0.026
0,-1,"Projected_shadows",2.645
0,-1,"Blob_shadows",0.222
0,-1,"Light_beams",0.025
0,-1,"Highlights_and_outlines",0.014
0,-1,"Particles",0.224
0,-1,"DMA_submit_included",2.389
0,-1,"Packet_build_included",2.916
0,-1,"Bounds_included",6.798
0,-1,"Prepare_included",2.823
0,-1,"Dispatch_included",19.728
0,-1,"VU1_wait_included",6.478
0,-1,"Program_swap_wait_included",0.000
