scene,object,stage,milliseconds
0,-1,Total,52.920
0,-1,"Reflections_shared_probe",6.211
0,-1,"Portal",0.015
0,-1,"Sky",1.071
0,-1,"Terrain",5.252
0,-1,"Static_batches",0.889
0,-1,"Procedural",5.492
0,1,"Object",2.281
0,3,"Object",0.057
0,7,"Object",0.048
0,8,"Object",0.083
0,9,"Object",0.044
0,10,"Object",0.044
0,11,"Object",0.016
0,12,"Object",0.016
0,13,"Object",0.016
0,14,"Object",0.016
0,15,"Object",0.016
0,16,"Object",0.016
0,17,"Object",0.016
0,18,"Object",0.016
0,19,"Object",0.016
0,20,"Object",0.016
0,21,"Object",0.016
0,26,"Object",0.042
0,29,"Object",0.045
0,31,"Object",0.077
0,33,"Object",0.046
0,34,"Object",1.903
0,35,"Object",0.174
0,36,"Object",1.911
0,38,"Object",0.481
0,40,"Object",1.470
0,41,"Object",0.093
0,42,"Object",1.060
0,51,"Object",0.046
0,58,"Object",0.048
0,59,"Object",0.085
0,60,"Object",0.274
0,61,"Object",0.272
0,62,"Object",0.050
0,63,"Object",0.045
0,64,"Object",0.046
0,65,"Object",0.302
0,66,"Object",0.273
0,67,"Object",0.050
0,68,"Object",0.048
0,69,"Object",0.374
0,70,"Object",0.300
0,71,"Object",0.073
0,72,"Object",0.311
0,74,"Object",0.560
0,75,"Object",0.370
0,76,"Object",0.371
0,77,"Object",0.339
0,78,"Object",0.306
0,79,"Object",0.355
0,98,"Object",0.068
0,99,"Object",0.071
0,100,"Object",0.072
0,101,"Object",0.113
0,102,"Object",0.069
0,103,"Object",0.067
0,107,"Object",0.265
0,108,"Object",0.302
0,109,"Object",0.071
0,110,"Object",0.050
0,111,"Object",0.050
0,112,"Object",0.049
0,113,"Object",0.052
0,114,"Object",0.016
0,115,"Object",0.016
0,116,"Object",0.016
0,117,"Object",0.016
0,118,"Object",0.016
0,119,"Object",0.016
0,120,"Object",1.282
0,121,"Object",2.331
0,122,"Object",0.108
0,123,"Object",0.100
0,124,"Object",0.099
0,125,"Object",0.138
0,126,"Object",0.104
0,127,"Object",0.098
0,128,"Object",0.097
0,129,"Object",0.099
0,130,"Object",0.091
0,131,"Object",0.052
0,132,"Object",0.050
0,133,"Object",0.293
0,134,"Object",0.016
0,135,"Object",0.016
0,136,"Object",0.016
0,137,"Object",0.055
0,138,"Object",0.016
0,139,"Object",0.016
0,140,"Object",0.016
0,141,"Object",0.016
0,-1,"Objects",22.167
0,-1,"Wheels",4.100
0,-1,"Animation",0.017
0,-1,"Shadow_decals",0.015
0,-1,"Mirrors",0.014
0,-1,"Portal_surfaces",0.015
0,-1,"Light_pools",2.381
0,-1,"Projected_shadows",2.756
0,-1,"Blob_shadows",0.272
0,-1,"Light_beams",1.708
0,-1,"Highlights_and_outlines",0.014
0,-1,"Particles",0.228
0,-1,"DMA_submit_included",3.522
0,-1,"Packet_build_included",3.483
0,-1,"Bounds_included",9.128
0,-1,"Prepare_included",5.411
0,-1,"Dispatch_included",24.714
0,-1,"VU1_wait_included",7.721
0,-1,"Program_swap_wait_included",0.000
