frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.694936,2.214362,42.115333,1.028961,9.127563,59.966793,6.993140,3.489278,23.481723,3.186069,3.076209,8.221985,169,28090,0,0
121,0,7.469330,2.245721,36.884213,1.004954,14.607544,59.966041,6.532993,2.970059,19.671794,2.525879,2.536153,6.888679,143,23211,0,0
122,0,3.072357,2.282166,42.131141,1.030589,13.724630,59.958716,6.900489,3.429843,23.620527,3.247301,3.066989,8.229204,169,28090,0,0
123,0,3.031504,2.207635,36.794939,0.974152,19.165975,59.966570,6.498847,2.878343,19.769250,2.649811,2.449765,6.827070,143,23211,0,0
124,0,2.984121,2.199110,42.367855,1.000526,13.612908,59.965410,7.043203,3.476122,23.627743,3.412055,2.926883,8.166277,169,28090,0,0
125,0,22.396610,2.201667,37.023597,0.998179,19.547465,79.965851,6.434408,2.983934,19.835642,2.760773,2.632060,6.892069,143,23211,0,0
126,0,2.963531,2.145006,42.400713,1.032633,13.569004,59.965881,7.217428,3.349887,23.403178,3.283366,2.995555,8.080807,169,28090,0,0
127,0,3.077077,2.255018,37.222490,0.981727,18.684787,59.966081,6.406148,3.081570,19.609812,2.501560,2.668081,6.815735,143,23211,0,0
128,0,2.975854,2.190016,41.953325,1.028222,13.979458,59.936859,6.921889,3.459357,23.100739,3.369317,2.884054,8.085137,169,28090,0,0
129,0,10.776052,2.199693,36.945472,1.001482,11.243056,59.966061,6.522203,2.941433,19.812700,2.689891,2.633348,6.763821,143,23211,0,0
130,0,3.020437,2.197849,42.000159,1.018504,13.946533,59.985633,7.032094,3.510122,23.227271,3.231510,3.046468,8.149272,169,28090,0,0
131,0,2.993249,2.175429,36.927466,0.980082,19.038466,59.939263,6.491340,2.862061,19.658342,2.803318,2.631287,6.629886,143,23211,0,0
