scene,object,stage,milliseconds
0,-1,Total,20.845
0,-1,"Portal",0.022
0,-1,"Sky",1.104
0,-1,"Terrain",3.243
0,-1,"Static_batches",0.304
0,-1,"Procedural",8.000
0,3,"Object",0.148
0,7,"Object",0.051
0,8,"Object",0.043
0,9,"Object",0.043
0,10,"Object",0.048
0,11,"Object",0.016
0,12,"Object",0.016
0,13,"Object",0.016
0,14,"Object",0.016
0,15,"Object",0.016
0,16,"Object",0.016
0,17,"Object",0.016
0,18,"Object",0.016
0,19,"Object",0.016
0,20,"Object",0.016
0,21,"Object",0.016
0,26,"Object",0.044
0,29,"Object",0.043
0,31,"Object",0.041
0,33,"Object",0.042
0,35,"Object",0.042
0,41,"Object",0.046
0,42,"Object",0.607
0,51,"Object",0.046
0,59,"Object",0.045
0,60,"Object",0.044
0,61,"Object",0.045
0,62,"Object",0.044
0,63,"Object",0.045
0,64,"Object",0.086
0,65,"Object",0.046
0,66,"Object",0.045
0,69,"Object",0.062
0,70,"Object",0.062
0,72,"Object",0.064
0,77,"Object",0.449
0,78,"Object",0.345
0,86,"Object",0.352
0,93,"Object",0.316
0,98,"Object",0.068
0,102,"Object",0.064
0,103,"Object",0.069
0,107,"Object",0.065
0,108,"Object",0.066
0,109,"Object",0.064
0,113,"Object",0.046
0,114,"Object",0.016
0,115,"Object",0.016
0,116,"Object",0.016
0,117,"Object",0.016
0,118,"Object",0.016
0,119,"Object",0.016
0,120,"Object",0.090
0,121,"Object",0.077
0,122,"Object",0.046
0,123,"Object",0.045
0,124,"Object",0.045
0,125,"Object",0.045
0,126,"Object",0.046
0,127,"Object",0.046
0,128,"Object",0.045
0,129,"Object",0.078
0,130,"Object",0.051
0,131,"Object",0.046
0,132,"Object",0.046
0,133,"Object",0.048
0,134,"Object",0.016
0,135,"Object",0.016
0,136,"Object",0.049
0,137,"Object",0.019
0,138,"Object",0.016
0,139,"Object",0.016
0,140,"Object",0.016
0,141,"Object",0.016
0,-1,"Objects",5.562
0,-1,"Wheels",0.028
0,-1,"Animation",0.015
0,-1,"Shadow_decals",0.015
0,-1,"Mirrors",0.015
0,-1,"Portal_surfaces",0.018
0,-1,"Light_pools",0.845
0,-1,"Projected_shadows",0.031
0,-1,"Blob_shadows",0.178
0,-1,"Light_beams",0.897
0,-1,"Highlights_and_outlines",0.015
0,-1,"Particles",0.148
0,-1,"DMA_submit_included",1.115
0,-1,"Packet_build_included",1.393
0,-1,"Bounds_included",4.932
0,-1,"Prepare_included",1.513
0,-1,"Dispatch_included",9.670
0,-1,"VU1_wait_included",3.548
0,-1,"Program_swap_wait_included",0.000
