frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,32.446096,2.219706,42.025509,1.028971,4.465875,79.966451,6.927534,3.338365,23.568176,3.192525,2.966295,8.049808,169,28090,0,0
121,0,7.950484,2.199415,37.479224,1.057773,13.490702,59.978183,6.551019,2.931736,19.940257,2.671288,2.551639,6.693458,143,23211,0,0
122,0,3.017832,2.192735,42.453061,0.997531,13.485107,59.953532,7.216515,3.450901,23.421078,3.214362,2.861925,8.332998,169,28090,0,0
123,0,2.974206,2.187297,37.114580,0.971612,18.905538,59.965936,6.473294,2.967272,19.808845,2.512329,2.502346,6.713664,143,23211,0,0
124,0,3.009362,2.144958,42.132870,0.999776,13.816664,59.958672,7.051809,3.490977,23.217912,3.139587,3.026215,8.085849,169,28090,0,0
125,0,7.647770,2.186178,36.818620,0.994744,14.504333,59.965468,6.446648,2.932895,19.734148,2.590074,2.523987,6.790337,143,23211,0,0
126,0,3.008223,2.194288,42.422543,0.997002,13.538472,59.966241,7.098389,3.416497,23.665995,3.352919,3.001801,8.017605,169,28090,0,0
127,0,2.959964,2.171204,37.020403,1.003703,18.980889,59.964959,6.658044,2.892571,19.771905,2.802243,2.572940,6.634379,143,23211,0,0
128,0,3.018314,2.189663,42.095232,1.000217,13.851786,59.965549,6.926921,3.383335,23.625943,3.210741,3.087887,8.170359,169,28090,0,0
129,0,9.908044,2.196140,37.055335,1.028720,11.973877,59.965976,6.562300,2.878723,20.028503,2.639313,2.694329,6.669854,143,23211,0,0
130,0,2.958276,2.169630,42.314185,1.000142,13.692986,59.965590,7.030158,3.344082,23.386807,3.398888,2.896023,7.847015,169,28090,0,0
131,0,3.078902,2.249200,36.914730,0.975844,18.995951,59.965427,6.320706,2.978882,19.902937,2.728187,2.581635,6.774624,143,23211,0,0
132,0,3.008596,2.169549,42.115821,0.997633,13.843770,59.965820,7.014136,3.303087,23.634837,3.203837,3.084452,8.316372,169,28090,0,0
133,0,8.034732,2.177294,36.820757,1.028341,14.074944,59.958774,6.525482,2.699273,19.939558,2.708008,2.606466,6.779026,143,23211,0,0
134,0,3.059207,2.193325,42.308896,0.999593,13.598097,59.965793,7.025306,3.370151,23.591061,3.462189,2.798031,7.978597,169,28090,0,0
135,0,3.024560,2.230414,36.913591,2.579386,17.448012,59.965549,6.349101,3.029195,19.740017,2.626678,2.592187,6.773746,143,23211,0,0
136,0,3.014387,2.148878,42.046973,2.589023,12.314982,59.965366,6.947408,3.446933,23.309577,3.126509,2.869334,8.023346,169,28090,0,0
137,0,73.856245,2.193502,36.959612,1.035007,8.114665,119.965529,6.718669,2.905206,19.743466,2.551100,2.629428,6.704692,143,23211,0,0
138,0,3.013614,2.181783,42.105730,1.043491,13.803040,59.965875,7.099748,3.246250,23.478244,3.518602,2.947727,7.949944,169,28090,0,0
139,0,3.002791,2.161960,37.251482,1.004659,18.706414,59.965346,6.598426,2.924520,19.852597,2.709351,2.569333,6.551500,143,23211,0,0
140,0,2.972911,2.185072,42.336443,1.028748,13.627719,59.965820,7.288286,3.390686,23.438266,3.145667,2.899746,8.211734,169,28090,0,0
141,0,11.348440,2.202833,36.838416,1.029270,10.742839,59.958964,6.540293,2.980357,19.653236,2.671478,2.426476,6.792596,143,23211,0,0
142,0,2.991662,2.161994,42.037086,1.032335,13.904568,59.965651,6.733195,3.259379,23.794769,3.255198,3.013082,8.167647,169,28090,0,0
143,0,2.977441,2.150269,37.091122,0.977058,18.884610,59.930230,6.504669,2.857510,20.039015,2.690077,2.528252,6.698730,143,23211,0,0
144,0,3.028385,2.235514,42.172523,1.028653,13.735887,59.965447,6.981205,3.398248,23.483697,3.367815,3.006717,8.066284,169,28090,0,0
145,0,37.150767,2.176208,36.807451,0.996318,5.011081,79.965617,6.547404,2.812113,19.701331,2.674971,2.499373,6.673069,143,23211,0,0
146,0,3.031742,2.166660,42.537147,1.029643,13.367140,59.965671,7.438775,3.263611,23.551249,3.342767,2.895837,8.041043,169,28090,0,0
147,0,2.964583,2.135335,37.234717,1.007677,18.758837,59.965814,6.642225,2.974894,19.676290,2.846147,2.449544,6.650553,143,23211,0,0
148,0,3.059635,2.191969,42.355425,0.995985,13.554342,59.965386,7.055854,3.375536,23.600315,3.268222,3.120131,8.013557,169,28090,0,0
149,0,8.741981,2.256361,36.917179,1.049818,13.249919,59.958896,6.577681,2.824307,19.818112,2.502509,2.641337,6.819333,143,23211,0,0
150,0,3.009566,2.157362,42.151201,0.998101,13.806864,59.965732,6.922248,3.381856,23.446872,3.316522,2.996562,8.246613,169,28090,0,0
