host_unix_seconds,frame,rolling_fps
1789395257.990133,1621,33.3
1789395258.4915767,1646,34.0
1789395258.9919739,1671,33.3
1789395259.9931998,1696,32.7
1789395260.4935012,1721,32.0
1789395261.4949727,1746,34.6
1789395261.9957008,1771,31.5
1789395262.9976406,1796,34.6
1789395263.9981978,1821,32.0
1789395264.4989157,1846,34.6
1789395265.5004823,1871,28.8
1789395266.0011559,1896,30.8
1789395267.0023043,1921,31.0
1789395267.5026977,1946,34.6
1789395268.5043688,1971,32.0
1789395269.0048642,1996,33.3
1789395270.0063965,2021,32.7
1789395270.5113373,2046,36.0
1789395271.5127475,2071,32.0
1789395272.513788,2096,32.7
1789395273.01423,2121,32.7
1789395274.0154994,2146,36.0
1789395274.5162752,2171,31.5
1789395275.517411,2196,36.0
1789395276.0179703,2221,30.0
1789395277.0194345,2246,36.5
1789395277.5199354,2271,31.5
1789395278.5209017,2296,26.0
1789395279.5217724,2321,22.0
1789395280.5229847,2346,21.2
1789395281.5243623,2371,36.5
1789395282.5257428,2396,30.8
