frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.855116,2.043979,40.129201,1.006931,15.974297,59.965546,7.171176,3.340373,21.131775,3.294783,2.701009,8.497850,169,28090,0,0
121,0,2.806363,1.950514,35.296234,1.006856,0.845798,39.955251,6.588599,2.744944,18.005144,2.823300,2.403612,6.988525,143,23211,0,0
122,0,2.816284,1.974759,40.151086,1.032240,15.965183,59.964793,7.182753,3.073205,21.561225,3.317464,3.013228,8.772220,169,28090,0,0
123,0,2.795620,2.011712,35.514537,0.975681,0.653191,39.939029,6.423726,2.840515,17.991072,2.655860,2.392253,7.053453,143,23211,0,0
124,0,2.859199,2.011163,39.952443,1.028232,16.124220,59.964094,7.090797,3.139540,21.213986,3.490207,3.039113,8.318651,169,28090,0,0
125,0,2.800869,2.015333,35.553538,1.001072,0.624973,39.980452,6.358076,2.704498,18.379581,2.850566,2.460300,7.112929,143,23211,0,0
126,0,2.822293,2.021179,40.196014,0.999424,15.930698,59.948429,7.125661,3.357608,21.217251,3.159359,2.838915,8.631656,169,28090,0,0
127,0,2.834113,1.975911,35.572194,0.979160,0.578871,39.964339,6.667955,2.748518,17.926883,2.742476,2.397756,7.071615,143,23211,0,0
128,0,2.793037,1.976162,40.163076,1.038222,15.987956,59.982290,7.122264,3.245650,21.368903,3.466892,2.917101,8.498525,169,28090,0,0
129,0,2.814901,2.009074,35.507592,0.975789,0.648085,39.946367,6.686384,2.662062,17.854241,2.652540,2.392992,7.107378,143,23211,0,0
130,0,2.808234,2.023987,40.212236,0.996772,15.922336,59.939579,7.039897,3.352834,21.316379,3.334679,2.909190,8.296906,169,28090,0,0
131,0,2.806532,1.994364,35.405528,1.001234,0.750014,39.963308,6.619517,2.693705,18.015981,2.730835,2.365557,7.054213,143,23211,0,0
132,0,2.803718,2.015557,40.187327,1.000156,15.966566,59.957767,7.068102,3.068339,21.521881,3.202677,3.174791,8.608392,169,28090,0,0
133,0,2.828396,1.987854,35.569427,0.979716,0.586012,39.963552,6.383542,2.743351,18.153327,2.609741,2.563863,7.144111,143,23211,0,0
134,0,2.829949,2.010274,39.981659,1.025018,16.127414,59.964040,7.069990,3.183634,21.437358,3.289605,3.017660,8.462684,169,28090,0,0
135,0,2.791192,2.004496,35.545237,0.982802,0.645155,39.964386,6.505174,2.739031,18.252004,2.946381,2.436581,7.095669,143,23211,0,0
136,0,2.844937,2.034336,40.198802,1.002679,15.917820,59.964237,7.061351,3.110891,21.562768,3.293223,3.078674,8.615329,169,28090,0,0
137,0,2.840278,1.997660,35.556142,0.981771,0.585687,39.963877,6.535573,2.857761,18.084456,2.699565,2.515099,6.947320,143,23211,0,0
138,0,2.834852,1.977614,40.035634,1.029541,16.065769,59.965797,7.142147,3.217099,21.265537,3.333883,2.961619,8.423479,169,28090,0,0
139,0,2.786146,2.003153,35.526954,1.005588,0.669386,39.988074,6.688388,2.655226,17.932685,2.689178,2.494141,7.164049,143,23211,0,0
140,0,2.818041,2.010966,40.142059,1.005669,15.974033,59.939802,7.147244,3.279378,21.430613,3.408030,2.908379,8.536814,169,28090,0,0
141,0,2.790785,1.972426,35.344337,1.010573,0.817824,39.963518,6.632643,2.776547,17.810825,2.733226,2.547204,6.844815,143,23211,0,0
142,0,2.827589,2.000929,40.133372,1.036682,15.967339,59.964983,7.249485,3.309594,20.991608,3.119029,2.852976,8.553752,169,28090,0,0
143,0,2.803942,2.020101,35.575348,0.975416,0.575127,39.929833,6.702026,2.839501,17.809519,2.679108,2.465271,7.136610,143,23211,0,0
144,0,2.855476,2.008965,39.958934,1.028578,16.121067,59.964054,7.022942,3.197656,21.340970,3.354092,2.971537,8.393551,169,28090,0,0
145,0,2.807705,2.021742,35.598419,0.968458,0.606174,39.980757,6.593333,2.739597,18.020599,2.640988,2.483558,7.079112,143,23211,0,0
146,0,2.822456,2.015177,40.266429,1.006056,15.852980,59.947920,7.143555,3.268904,21.273380,3.268619,2.838545,8.642704,169,28090,0,0
147,0,2.795139,1.977363,35.389821,1.002068,0.777174,39.964203,6.651727,2.833296,17.816511,2.612305,2.473446,7.022152,143,23211,0,0
