frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,4.903781,1.489383,23.193309,0.559669,11.333927,39.990685,3.810554,1.246860,10.588128,2.412177,1.497023,0.143714,169,28090,0,0
121,0,2.179864,1.474748,19.304145,0.563246,17.919295,39.966549,3.475766,1.076704,9.072147,2.003798,1.292057,0.119185,143,23211,0,0
122,0,2.559428,1.467146,22.465441,0.576304,14.377316,39.978488,3.765934,1.291389,10.600237,2.512424,1.479621,0.131731,169,28090,0,0
123,0,2.256205,1.495789,19.433109,0.557393,17.731791,39.978499,3.446194,1.080058,9.091139,1.973894,1.289178,0.122111,143,23211,0,0
124,0,2.914795,1.470686,23.159919,0.564348,13.339410,39.978472,3.721191,1.167450,10.738163,2.479329,1.583479,0.132636,169,28090,0,0
125,0,2.167335,1.485389,19.313639,0.567824,17.929704,39.978502,3.460866,1.074778,9.007311,1.964366,1.294301,0.137407,143,23211,0,0
126,0,4.747196,1.465956,22.921271,0.571289,11.738732,39.978488,3.702742,1.248315,10.690192,2.430817,1.542992,0.132636,169,28090,0,0
127,0,2.191413,1.488658,19.206224,0.607629,17.973229,39.978495,3.514143,1.066911,9.036346,1.999797,1.287340,0.113217,143,23211,0,0
128,0,2.693739,1.489180,22.891388,0.583496,13.818627,39.987250,3.750559,1.220676,10.671766,2.525648,1.528063,0.121562,169,28090,0,0
129,0,2.185669,1.473409,19.349033,0.557397,17.877621,39.969720,3.459618,1.046088,9.135807,2.043403,1.303986,0.122111,143,23211,0,0
130,0,2.846022,1.498789,23.504625,0.577830,13.050018,39.978495,3.685045,1.167752,10.753452,2.435116,1.544295,0.135562,169,28090,0,0
131,0,2.177673,1.485087,19.572072,0.578244,17.648451,39.976440,3.521871,1.036319,9.006680,2.048743,1.272563,0.128421,143,23211,0,0
132,0,4.856649,1.452460,22.874312,0.560883,11.686632,39.978475,3.685035,1.211080,10.774400,2.519504,1.552839,0.135562,169,28090,0,0
133,0,2.165938,1.490231,19.440036,0.567837,17.804684,39.978495,3.523302,1.053704,9.036953,1.977651,1.286808,0.122111,143,23211,0,0
134,0,2.537106,1.485243,22.308465,0.565182,14.567746,39.978499,3.740909,1.205828,10.670132,2.417111,1.538232,0.132636,169,28090,0,0
135,0,2.279219,1.494419,19.576745,0.567830,17.554698,39.978492,3.435554,1.065175,9.093068,2.019613,1.318566,0.122111,143,23211,0,0
