frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,9.273733,2.032722,40.779687,0.963064,8.948062,59.964545,5.228444,3.389197,23.713420,2.953627,2.991279,8.488441,169,28090,0,0
121,0,7.033932,2.031501,35.492984,0.964406,16.441166,59.932488,4.611365,2.863820,19.923930,2.370260,2.516588,7.159634,143,23211,0,0
122,0,2.902089,1.973416,40.501895,0.958350,15.600833,59.963169,5.137858,3.201684,23.830546,2.922004,3.051612,8.551188,169,28090,0,0
123,0,2.892080,2.031779,35.000858,0.960792,1.108761,39.962491,4.369822,2.877842,19.993449,2.448208,2.637092,7.111705,143,23211,0,0
124,0,2.888031,2.025926,40.406355,0.991872,15.676700,59.962958,5.112837,3.270660,23.508884,2.934564,3.157623,8.369008,169,28090,0,0
125,0,20.114126,2.042182,35.359236,0.971771,3.488712,59.933845,4.421037,2.873695,20.104584,2.503977,2.465183,7.114312,143,23211,0,0
126,0,2.929128,1.991258,40.491133,0.968326,15.574331,59.962918,5.025865,3.510885,23.715312,2.910197,3.178111,8.617143,169,28090,0,0
127,0,2.882992,2.021634,35.140995,0.976376,0.955204,39.955566,4.459473,2.765967,20.206173,2.544081,2.711728,7.159797,143,23211,0,0
128,0,2.895192,2.030809,40.494673,0.997555,15.606422,59.993842,5.284156,3.190620,23.571791,2.982188,2.970384,8.582896,169,28090,0,0
129,0,11.232086,2.026720,35.353600,0.961097,12.385746,59.932529,4.675696,2.874359,19.808536,2.461656,2.499888,7.045987,143,23211,0,0
130,0,2.896745,2.031114,40.422285,0.989363,15.683326,59.991720,5.126651,3.236023,23.655412,2.941247,3.077945,8.504696,169,28090,0,0
131,0,2.886587,2.032355,35.303836,0.943654,0.799930,39.934007,4.324422,2.835161,20.396135,2.469781,2.561096,7.056847,143,23211,0,0
132,0,2.889353,2.027147,40.367496,0.959307,15.747189,59.963345,5.042969,3.378998,23.613369,3.257090,3.009596,8.419573,169,28090,0,0
133,0,7.180247,1.992255,35.619002,0.989722,16.173608,59.962579,4.511827,2.843486,20.419223,2.296770,2.744636,7.145294,143,23211,0,0
134,0,2.849742,2.022508,40.316125,0.960575,15.807044,59.933485,5.169732,3.248539,23.484785,3.043281,3.044668,8.592292,169,28090,0,0
135,0,2.884898,2.021064,35.310367,0.943478,0.824358,39.963101,4.667555,2.834039,20.048231,2.367038,2.549299,7.090841,143,23211,0,0
136,0,2.873749,2.027364,40.671817,0.990631,15.427148,59.963345,5.350627,3.428087,23.654026,2.844265,3.065881,8.550873,169,28090,0,0
137,0,75.981137,2.032898,35.543460,0.977136,7.454763,119.956495,4.557129,2.863407,20.179128,2.450216,2.567932,7.305461,143,23211,0,0
138,0,2.919586,2.060242,40.607737,0.965315,15.470849,59.963487,5.281118,3.464851,23.432210,2.928643,2.996613,8.569814,169,28090,0,0
139,0,2.890513,2.027961,35.573103,0.941199,0.557214,39.962029,4.493659,2.831228,20.185415,2.468231,2.590424,7.249288,143,23211,0,0
140,0,2.922624,1.994798,40.520491,0.957170,15.563500,59.963786,5.062344,3.490384,23.520779,2.916684,3.038656,8.491031,169,28090,0,0
141,0,10.112986,2.029887,35.567773,0.987030,13.294437,59.962226,4.478112,2.968475,20.056179,2.462019,2.609148,7.193014,143,23211,0,0
142,0,2.881643,1.994331,40.621687,0.959476,15.500702,59.963508,5.023332,3.377875,23.726756,3.090125,3.050734,8.558485,169,28090,0,0
143,0,2.902110,2.039435,35.118717,0.957109,0.985050,39.962986,4.464532,2.876746,19.799245,2.280952,2.558502,7.178006,143,23211,0,0
144,0,2.949575,2.054430,40.496728,0.960168,15.557044,59.963515,5.114526,3.382541,23.704729,2.939385,2.982246,8.592512,169,28090,0,0
145,0,11.444516,1.992635,35.363325,0.959944,12.188514,59.956299,4.293142,2.971602,20.018280,2.422065,2.677677,7.093387,143,23211,0,0
146,0,2.890845,2.034776,40.602651,0.959686,15.509179,59.962362,5.114526,3.387814,23.576792,2.931251,3.024933,8.617093,169,28090,0,0
147,0,2.901872,2.039883,35.101261,0.974131,1.013228,39.990492,4.470259,2.849664,19.936144,2.408162,2.693502,7.224745,143,23211,0,0
148,0,2.893626,2.031311,40.391300,0.985755,15.688704,59.959384,5.022722,3.350511,23.817030,2.948931,3.012258,8.678677,169,28090,0,0
149,0,7.376211,2.034003,35.545881,0.961653,16.055593,59.939338,4.557790,3.053535,19.812741,2.399102,2.602292,7.007368,143,23211,0,0
150,0,17.131765,2.027717,40.584720,0.958798,1.274655,59.949938,4.995755,3.492628,23.769962,3.033983,3.114556,8.480211,169,28090,0,0
151,0,2.854624,2.028809,35.327030,0.978411,0.821042,39.981106,4.377119,2.831255,20.308787,2.463959,2.561384,7.089515,143,23211,0,0
152,0,2.867767,2.041755,40.643985,0.962073,15.455441,59.929267,4.825836,3.525750,23.831892,3.167877,3.230143,8.369229,169,28090,0,0
153,0,8.256175,2.034220,35.645694,0.989031,15.100766,59.991665,4.401679,2.966237,20.064979,2.562405,2.640123,7.104058,143,23211,0,0
154,0,6.518280,2.031094,40.221378,0.957570,12.230167,59.927395,4.799184,3.327586,23.647051,3.018592,3.099684,8.440063,169,28090,0,0
155,0,2.858063,2.027120,35.235579,0.951155,0.918291,39.963087,4.491360,2.954742,20.076789,2.386522,2.566779,6.954858,143,23211,0,0
156,0,2.863881,2.034627,40.678002,0.960758,15.460507,59.963148,5.111508,3.398180,23.807543,2.876600,2.948290,8.638238,169,28090,0,0
157,0,7.454966,2.059638,35.580977,0.966834,15.960046,59.962823,4.413696,2.895403,20.401828,2.495100,2.538127,7.187049,143,23211,0,0
158,0,2.867855,2.038920,40.209293,0.960080,15.925317,59.962545,4.964732,3.243540,23.736176,3.239994,3.011325,8.472565,169,28090,0,0
159,0,2.946428,2.015055,35.189599,0.948822,0.878238,39.963087,4.550829,2.801748,20.176653,2.539181,2.614139,7.171390,143,23211,0,0
160,0,2.852841,2.024685,40.623579,0.961375,15.525109,59.962904,5.051351,3.586155,23.553718,3.064189,2.886180,8.441026,169,28090,0,0
161,0,7.396739,2.028442,35.669152,0.970700,15.926185,59.962775,4.374373,2.799279,20.474545,2.575416,2.614159,7.098585,143,23211,0,0
162,0,74.480937,2.026774,40.247593,0.963077,4.271196,119.962802,5.101128,3.309130,23.620321,2.878723,3.009125,8.511237,169,28090,0,0
163,0,2.921078,2.057766,35.568180,0.944305,0.522078,39.955641,4.623298,2.844357,20.046292,2.405908,2.636817,7.162686,143,23211,0,0
164,0,2.931386,2.037584,40.401289,0.995683,15.668054,59.996412,5.054399,3.406698,23.455065,2.885790,3.059591,8.398363,169,28090,0,0
165,0,6.975067,2.022081,35.556949,0.958974,16.438907,59.929898,4.628269,2.879900,19.968764,2.461093,2.603841,7.115563,143,23211,0,0
166,0,9.130931,2.036546,40.397424,0.959544,9.474837,59.962735,5.052541,3.276160,23.719608,2.800937,3.124376,8.645667,169,28090,0,0
167,0,2.856666,2.029622,35.005381,0.954132,1.116153,39.932332,4.502465,2.886315,19.776316,2.485948,2.565345,7.043260,143,23211,0,0
168,0,2.891354,2.029100,40.324222,0.962297,15.785241,59.963114,5.081163,3.298659,23.600684,2.889014,3.021478,8.515357,169,28090,0,0
169,0,7.058224,2.027798,35.357995,0.962101,16.584510,59.962830,4.739424,2.799761,19.818542,2.453637,2.426381,7.053945,143,23211,0,0
170,0,7.378435,2.009623,40.508182,0.972409,11.103573,59.962599,5.134813,3.359843,23.669349,2.918026,3.110057,8.563782,169,28090,0,0
171,0,2.858409,2.029609,35.336612,0.950836,0.828637,39.974494,4.394823,2.836436,20.318746,2.580526,2.660224,7.045770,143,23211,0,0
172,0,2.884674,2.059408,40.709354,0.960954,15.396427,59.951409,5.107110,3.446686,23.670566,3.021400,3.090240,8.418033,169,28090,0,0
173,0,6.940013,2.055610,35.355615,0.956051,16.704573,59.956251,4.623559,2.764340,19.952274,2.542511,2.648200,7.102824,143,23211,0,0
174,0,2.862417,2.036587,40.222131,0.960873,15.917484,59.962904,4.973643,3.258613,23.629591,2.954197,3.155016,8.485304,169,28090,0,0
175,0,17.994544,2.035014,35.120812,0.969642,5.878889,59.963888,4.466570,2.768192,20.249769,2.466838,2.700877,7.227258,143,23211,0,0
176,0,2.869687,2.044149,40.237959,0.959930,15.894067,59.961643,5.023590,3.332879,23.526123,2.984768,3.050144,8.415982,169,28090,0,0
177,0,8.139828,2.033088,35.146467,0.968319,15.708594,59.963209,4.545600,2.838911,19.883877,2.320282,2.523129,7.205451,143,23211,0,0
178,0,2.867950,2.041972,40.261539,0.959462,15.873376,59.962328,5.050727,3.401618,23.470686,2.999644,3.050493,8.464298,169,28090,0,0
179,0,7.156423,2.048401,35.157311,0.963545,16.698157,59.975437,4.512624,2.845703,20.010674,2.493978,2.495934,7.183875,143,23211,0,0
180,0,2.870093,2.042426,40.261071,0.966237,15.853295,59.950697,5.156806,3.320747,23.504435,2.966112,3.066871,8.469130,169,28090,0,0
181,0,8.044993,1.991435,35.225447,0.966821,15.725908,59.963169,4.282688,2.984582,20.178416,2.733354,2.563100,7.095493,143,23211,0,0
182,0,2.866018,2.039639,40.261234,0.961605,15.866879,59.955736,5.255313,3.292352,23.538903,2.999264,3.055871,8.452535,169,28090,0,0
183,0,2.927500,2.001831,35.228356,0.943356,0.863339,39.962552,4.578993,2.880517,20.082947,2.414174,2.581475,7.211673,143,23211,0,0
184,0,2.857778,2.027913,40.603214,0.958364,15.543766,59.963121,5.254642,3.463854,23.440179,3.253276,2.936920,8.384569,169,28090,0,0
185,0,9.233897,2.029833,35.499047,0.978207,14.251990,59.963142,4.473690,2.885369,20.034715,2.308160,2.726993,7.215861,143,23211,0,0
186,0,2.857391,2.029582,40.246382,1.005686,15.852176,59.961636,4.735616,3.491774,23.861742,3.130859,3.285668,8.343821,169,28090,0,0
187,0,72.855906,2.042650,34.989770,0.963437,11.154361,119.963474,4.215183,2.998769,20.035377,2.452145,2.496724,7.101742,143,23211,0,0
188,0,2.891103,2.036580,40.604882,0.963803,15.503177,59.962965,5.149750,3.420997,23.579637,2.887946,3.086412,8.404945,169,28090,0,0
189,0,7.474294,2.016052,35.524092,0.968123,15.996457,59.962965,4.327342,2.866804,20.240268,2.579349,2.555200,7.201898,143,23211,0,0
190,0,2.907752,1.990377,40.526635,0.965573,15.556196,59.956156,4.942417,3.493686,23.757731,3.016222,3.147488,8.568837,169,28090,0,0
191,0,8.878042,1.987569,35.275679,0.963464,14.845537,59.962721,4.377119,2.975884,20.223633,2.499162,2.700355,7.115346,143,23211,0,0
192,0,2.868425,1.992208,40.593733,0.961090,15.539636,59.962884,4.972951,3.453959,23.703661,2.884430,3.065491,8.648790,169,28090,0,0
193,0,7.739187,2.010050,34.959110,0.959788,16.305037,59.963121,4.403520,2.743276,20.092306,2.633521,2.573961,6.925371,143,23211,0,0
194,0,2.893422,2.038540,40.641076,0.968482,15.459673,59.962653,5.156325,3.494954,23.515276,3.009606,3.049561,8.559645,169,28090,0,0
195,0,7.277517,2.033434,35.314721,0.961334,16.408939,59.962511,4.486979,2.833533,20.216475,2.626675,2.522156,7.058624,143,23211,0,0
196,0,2.865122,2.010586,40.639550,0.965417,15.492971,59.963060,5.052043,3.500658,23.686879,2.833950,3.190474,8.675327,169,28090,0,0
197,0,7.388092,1.996521,35.296960,1.787476,15.491713,59.964240,4.376177,2.938924,20.066220,2.498237,2.562012,7.129890,143,23211,0,0
198,0,2.864716,2.026191,40.547713,0.966292,15.582842,59.961561,4.884627,3.409919,23.789391,2.996748,2.998654,8.410672,169,28090,0,0
199,0,2.895932,2.033454,35.120548,0.949724,0.989783,39.955987,4.355882,2.999051,20.001577,2.409878,2.691169,7.132918,143,23211,0,0
200,0,17.569692,2.017015,40.381270,0.949900,1.062829,59.963691,4.900245,3.368774,23.714210,3.045410,3.109758,8.429142,169,28090,0,0
201,0,7.976369,2.032349,35.501305,0.968740,15.516869,59.963284,4.556047,3.053850,20.129839,2.534793,2.569282,7.050123,143,23211,0,0
202,0,2.925568,1.996826,40.531192,0.961422,15.544735,59.962918,5.122850,3.469235,23.573096,2.824276,3.209388,8.453773,169,28090,0,0
203,0,2.904165,2.041165,35.109358,0.946923,1.002377,39.962823,4.690820,2.930257,19.697581,2.367330,2.591936,7.144433,143,23211,0,0
204,0,7.577450,2.038072,40.422387,0.966224,10.970076,59.936137,5.096703,3.393331,23.499807,2.847958,3.019477,8.576931,169,28090,0,0
205,0,7.108775,2.047696,35.503442,0.959754,16.390771,59.962741,4.578481,2.874291,19.957828,2.426205,2.605316,7.163639,143,23211,0,0
206,0,2.887034,2.028897,40.599470,0.958655,15.517412,59.962572,5.012861,3.504710,23.809333,2.997053,3.104099,8.580675,169,28090,0,0
207,0,2.891734,2.028836,35.160160,0.946557,0.964508,39.962958,4.644728,2.782552,19.967428,2.460666,2.612261,7.159125,143,23211,0,0
208,0,2.838450,1.978719,40.580000,0.960500,15.584252,59.963203,5.159465,3.207065,23.719445,2.952627,3.050323,8.685310,169,28090,0,0
209,0,7.721697,2.027595,35.389550,0.967838,15.877133,59.956217,4.506100,3.025889,19.798845,2.340997,2.506100,7.075914,143,23211,0,0
210,0,2.858965,2.003364,40.630252,0.961673,15.512224,59.963114,5.156542,3.294851,23.793616,2.888418,3.096866,8.607720,169,28090,0,0
211,0,2.900686,2.036465,35.109765,0.955482,0.996314,39.962246,4.518290,2.803714,19.998389,2.447459,2.622002,7.213097,143,23211,0,0
212,0,75.582550,2.038968,40.636539,0.994280,2.783919,119.997287,5.204074,3.331509,23.696764,3.073218,3.111806,8.525764,169,28090,0,0
213,0,7.012339,2.057685,35.440352,0.966400,16.509850,59.928942,4.512665,2.930939,19.822476,2.241092,2.493130,7.191562,143,23211,0,0
214,0,2.896189,2.032823,40.406559,0.974796,15.719879,59.997423,5.002580,3.439317,23.490106,2.959127,2.943424,8.654270,169,28090,0,0
215,0,2.857493,2.031474,34.994795,0.953094,1.122955,39.928338,4.336612,2.767093,20.364020,2.615170,2.601379,7.023502,143,23211,0,0
216,0,6.701616,2.030870,40.639855,0.971120,11.650557,59.963148,5.062622,3.445102,23.595106,2.885200,2.954525,8.673689,169,28090,0,0
217,0,7.343943,2.045634,35.626061,0.960052,16.033288,59.963345,4.728153,2.896952,19.863237,2.336134,2.552100,7.204017,143,23211,0,0
218,0,2.905779,2.018311,40.362267,0.962650,15.743730,59.974426,4.840858,3.439467,23.590159,2.852251,3.027764,8.644199,169,28090,0,0
219,0,2.870026,2.044088,35.014306,0.996341,1.063636,39.944309,4.133769,3.077721,20.134399,2.421112,2.638607,7.108775,143,23211,0,0
220,0,7.375905,1.990621,40.501631,0.957923,11.128014,59.963474,5.101030,3.336633,23.690094,2.884962,3.147542,8.435069,169,28090,0,0
221,0,6.934357,2.012878,35.472985,0.956363,16.598874,59.962579,4.443515,2.799618,20.125926,2.340037,2.567959,7.048713,143,23211,0,0
222,0,2.922197,2.034329,40.347456,0.965736,15.747067,59.982456,5.064446,3.333693,23.556766,3.039636,3.008681,8.563738,169,28090,0,0
223,0,2.847524,2.021708,35.336470,0.952098,0.806746,39.942837,4.162957,2.974809,20.271539,2.554287,2.456953,7.168477,143,23211,0,0
224,0,2.889435,2.030524,40.643517,0.967248,15.434031,59.934231,4.924991,3.381666,23.868998,3.135495,3.050696,8.377906,169,28090,0,0
225,0,22.348480,2.026638,35.427412,0.966719,1.220001,59.962613,4.690396,2.805925,19.947164,2.526642,2.592380,7.136227,143,23211,0,0
226,0,2.934357,2.042406,40.230615,0.960446,15.837589,59.963006,5.202148,3.312439,23.379303,2.915097,2.981354,8.517005,169,28090,0,0
227,0,2.838084,2.007833,35.289798,0.942325,0.892873,39.963081,4.262777,2.945740,20.238939,2.505425,2.704088,7.026082,143,23211,0,0
228,0,2.890540,2.031949,40.651594,0.959408,15.455075,59.956618,5.068685,3.473216,23.749407,3.056430,3.027629,8.559455,169,28090,0,0
229,0,10.989817,2.038968,35.414697,0.961043,12.617015,59.982571,4.530341,3.004961,19.828230,2.472938,2.556990,6.989695,143,23211,0,0
230,0,2.884796,2.026944,40.569543,0.958181,15.530053,59.942573,4.950494,3.387075,23.901622,3.060584,3.251356,8.475996,169,28090,0,0
231,0,2.895437,1.989034,35.240258,0.945628,0.881602,39.962925,4.631290,2.846781,20.064145,2.609745,2.707923,7.101613,143,23211,0,0
232,0,2.872284,2.043220,40.648746,0.961402,15.480248,59.962680,5.119059,3.265174,23.779283,2.983398,3.149109,8.495355,169,28090,0,0
233,0,7.365814,2.050076,35.336083,0.959639,16.320302,59.981839,4.432682,3.002913,19.861037,2.465237,2.606537,7.027985,143,23211,0,0
234,0,2.839406,2.010281,40.528161,0.965064,15.612105,59.944736,4.829817,3.574242,23.769535,3.038466,2.888536,8.463664,169,28090,0,0
235,0,2.900957,2.036872,35.158756,0.948313,0.954471,39.962497,4.523488,2.842872,19.991282,2.494629,2.601349,7.139967,143,23211,0,0
236,0,2.856578,2.026774,40.633650,0.961551,15.511648,59.963426,4.963423,3.364709,23.883287,2.928073,3.040361,8.581428,169,28090,0,0
237,0,82.677568,2.027432,35.412255,0.949019,0.917294,119.956136,4.537971,2.964657,19.769616,2.386542,2.604519,7.076179,143,23211,0,0
238,0,2.887550,2.025723,40.625064,0.961544,15.489241,59.963399,4.910255,3.388011,23.849521,2.925930,3.010983,8.494161,169,28090,0,0
239,0,2.889272,2.027059,35.542504,0.950111,0.580746,39.962633,4.415246,2.905721,20.154738,2.348751,2.603519,7.255747,143,23211,0,0
240,0,2.922462,1.990323,40.502567,0.961700,15.576257,59.962986,5.194095,3.293823,23.573646,2.965539,3.069645,8.469730,169,28090,0,0
241,0,11.232229,2.031413,35.479557,0.960459,12.291019,59.963264,4.493500,2.939236,19.843567,2.373647,2.562554,7.179769,143,23211,0,0
242,0,2.922838,1.996134,40.560635,0.965681,15.513418,59.962572,5.144989,3.274417,23.708099,2.996616,3.051202,8.708513,169,28090,0,0
243,0,2.905528,2.042833,35.083398,0.956926,1.016605,39.962457,4.564972,2.768721,19.898804,2.559170,2.532104,7.205112,143,23211,0,0
244,0,2.928728,2.035224,40.470971,0.963321,15.600522,59.963542,5.087484,3.462816,23.607344,2.893575,3.057804,8.521074,169,28090,0,0
245,0,11.769345,2.050334,35.499108,0.958059,11.736454,59.962965,4.552768,2.932393,19.986471,2.384223,2.524848,7.122996,143,23211,0,0
246,0,2.920705,1.993306,40.500248,0.960297,15.575219,59.956468,5.022207,3.357242,23.823490,3.078189,3.100362,8.635189,169,28090,0,0
247,0,2.878204,2.015401,35.094079,0.948015,1.042497,39.962796,4.425106,2.914734,19.966451,2.457116,2.639689,7.056210,143,23211,0,0
248,0,2.910797,1.991462,40.478132,0.967438,15.606720,59.963087,5.114193,3.244385,23.610487,2.964281,3.135654,8.515652,169,28090,0,0
249,0,7.951962,2.026822,35.588036,0.969771,15.422095,59.931864,4.573615,3.025675,19.869093,2.455319,2.643850,7.115061,143,23211,0,0
250,0,16.717234,2.041328,40.626550,0.959144,1.660404,59.963331,5.063161,3.241560,23.837999,2.828847,3.133304,8.554555,169,28090,0,0
251,0,2.901506,2.042542,35.076196,0.951141,1.033837,39.962680,4.482744,2.958859,19.863563,2.439504,2.627852,7.171407,143,23211,0,0
252,0,2.899261,1.992391,40.470564,0.962982,15.630395,59.963203,4.944841,3.450840,23.727949,3.058899,3.014526,8.578993,169,28090,0,0
253,0,8.083079,2.013170,35.485762,0.963850,15.429921,59.962613,4.348223,2.839250,20.135861,2.419868,2.533129,7.054989,143,23211,0,0
254,0,8.488230,2.040839,40.612857,0.962290,9.899763,59.963142,4.779673,3.366926,24.066684,3.054057,3.101274,8.719879,169,28090,0,0
255,0,2.902951,2.013679,35.061201,0.954566,1.037296,39.956014,4.660492,2.796939,20.003072,2.437771,2.604384,7.160760,143,23211,0,0
256,0,2.896481,2.032233,40.399763,0.962019,15.724091,59.982354,5.126489,3.357212,23.526825,2.870141,2.979716,8.515272,169,28090,0,0
257,0,7.108470,2.038378,35.406009,0.956329,16.472924,59.943732,4.255958,2.864661,20.227559,2.415066,2.553799,7.205200,143,23211,0,0
258,0,2.892019,1.991943,40.488386,0.968191,15.614912,59.963508,5.168766,3.390666,23.706648,3.079573,3.154226,8.499196,169,28090,0,0
259,0,2.902964,2.024767,35.060449,0.951087,1.047265,39.961765,4.745721,2.790324,19.864119,2.497732,2.430959,7.000366,143,23211,0,0
260,0,2.918833,2.057170,40.450585,0.957381,15.636349,59.963148,5.104285,3.305339,23.682797,2.938097,3.038045,8.623705,169,28090,0,0
261,0,7.557444,2.057909,35.528039,0.963647,15.883745,59.932875,4.467160,2.838182,20.059750,2.418650,2.533169,7.019121,143,23211,0,0
262,0,77.438751,2.041646,40.377526,0.964664,1.181637,119.962579,5.039263,3.288242,23.850379,2.981222,3.143711,8.653958,169,28090,0,0
263,0,2.858490,2.032206,35.526940,0.944997,0.623281,39.953708,4.536255,2.996009,19.886722,2.373077,2.607334,7.136512,143,23211,0,0
264,0,2.894243,2.031725,40.720503,0.960005,15.361257,59.936008,5.070550,3.457547,23.750376,3.192586,3.204444,8.482398,169,28090,0,0
265,0,7.150197,1.965176,35.315291,0.962094,16.535682,59.963264,4.389760,3.006331,19.957974,2.550483,2.638774,7.012692,143,23211,0,0
266,0,8.104238,2.050035,40.323598,1.002777,10.564145,59.994758,5.057234,3.369378,23.629567,2.906542,3.066566,8.748793,169,28090,0,0
267,0,2.851783,2.026333,35.091373,0.950599,1.037167,39.930922,4.604068,2.761637,20.015581,2.377672,2.777249,6.922845,143,23211,0,0
268,0,2.896495,2.035224,40.418460,0.964834,15.683699,59.963487,5.001594,3.326752,23.598863,3.027496,3.062788,8.534539,169,28090,0,0
269,0,8.102922,2.046861,35.382592,0.966780,15.509857,59.962151,4.495473,2.909068,19.923835,2.405250,2.590871,7.127679,143,23211,0,0
270,0,10.469981,2.032742,40.627445,0.959049,7.906871,59.963345,5.032749,3.416473,23.767202,2.974918,3.144430,8.642751,169,28090,0,0
271,0,2.921132,2.024760,35.048689,0.949622,1.043074,39.962518,4.523570,2.905541,19.958622,2.324575,2.524346,7.147932,143,23211,0,0
272,0,2.889848,2.028063,40.449202,0.981693,15.665334,59.986077,5.032769,3.407179,23.687768,2.985148,3.004778,8.711843,169,28090,0,0
273,0,8.371552,2.007148,35.640669,0.962663,14.958499,59.933384,4.723609,2.819990,20.028107,2.425646,2.647261,7.048801,143,23211,0,0
274,0,2.893409,2.030158,40.496362,0.962012,15.610938,59.962721,5.016239,3.403032,23.740119,3.013306,3.097758,8.558441,169,28090,0,0
275,0,17.598033,2.044623,35.250715,0.958167,6.156226,59.963142,4.510139,2.987810,19.987305,2.454912,2.490906,7.020308,143,23211,0,0
276,0,2.908301,2.010763,40.533715,0.961029,15.559879,59.962925,5.084113,3.288255,23.767944,2.864014,2.986304,8.604289,169,28090,0,0
277,0,7.294668,2.048998,35.255944,0.964115,16.448354,59.963081,4.347236,3.030012,20.113844,2.408769,2.577362,7.215854,143,23211,0,0
278,0,2.853587,1.993347,40.600162,0.961823,15.547000,59.962572,5.172930,3.277123,23.822161,2.921977,3.032888,8.752696,169,28090,0,0
279,0,7.195384,2.029338,34.966434,0.960670,16.840593,59.963081,4.155558,2.953271,20.050418,2.705987,2.463911,6.972260,143,23211,0,0
280,0,2.857981,2.029548,40.529199,0.964596,15.610762,59.962538,4.965563,3.453206,23.765021,2.858927,3.153500,8.425568,169,28090,0,0
281,0,7.740061,2.023458,34.959741,0.959897,16.303118,59.962816,4.314273,2.837392,20.061384,2.424455,2.674500,7.092963,143,23211,0,0
282,0,2.851457,2.006795,40.541812,0.966875,15.596174,59.956319,4.974355,3.373617,23.877669,3.214861,2.967509,8.443329,169,28090,0,0
283,0,2.897491,2.034648,35.109948,0.985579,0.969716,39.962735,4.531294,2.878493,20.032884,2.376526,2.652018,7.130741,143,23211,0,0
284,0,2.953054,2.004747,40.433821,0.968394,15.608300,59.963569,5.169868,3.235182,23.577101,2.924062,3.073869,8.571252,169,28090,0,0
285,0,7.453467,2.014689,35.630029,0.961470,15.918081,59.963047,4.370639,3.043691,20.107907,2.371785,2.733765,7.236023,143,23211,0,0
286,0,2.933990,2.006070,40.443729,0.968869,15.616187,59.962775,5.355326,3.182370,23.493818,2.967048,3.077043,8.566840,169,28090,0,0
287,0,73.058360,2.048591,35.114343,0.965620,10.824582,119.962904,4.419607,2.984433,19.929576,2.382904,2.497355,7.223131,143,23211,0,0
288,0,2.894196,1.993632,40.394270,0.960900,15.733429,59.982795,5.165951,3.385796,23.584574,3.015591,3.115075,8.490787,169,28090,0,0
289,0,6.628347,2.021430,35.353132,0.959530,17.001645,59.942654,4.849464,2.803460,19.759003,2.327287,2.486057,7.046248,143,23211,0,0
290,0,2.890174,1.989855,40.411218,0.968631,15.685971,59.955994,5.137777,3.483907,23.559526,3.082465,3.114122,8.473636,169,28090,0,0
291,0,7.782481,1.992961,35.230004,0.962196,15.959978,59.934658,4.475555,3.044149,19.929030,2.406491,2.583510,7.206024,143,23211,0,0
292,0,2.889882,1.990763,40.437503,0.960351,15.674693,59.962429,4.954739,3.466882,23.569760,2.956173,3.030880,8.591064,169,28090,0,0
293,0,7.082652,2.030443,35.241845,0.960025,16.648936,59.933458,4.384810,2.898749,20.323958,2.496887,2.571730,7.044369,143,23211,0,0
294,0,2.903392,2.040222,40.405134,0.964271,15.711734,59.984531,4.993683,3.505052,23.613508,2.843113,3.124315,8.561015,169,28090,0,0
295,0,7.403778,2.028646,35.050215,0.962019,16.525136,59.941149,4.349745,2.795346,20.097032,2.479451,2.669691,7.094774,143,23211,0,0
