label,start_ticks,duration_ticks,frame,value
VIF1_FRAME_START,42,0,1500,64
GIF_STATE,42,0,1500,0
Pad,315,7932,1500,0
Update,8719,2067342,1500,0
Portal,2359309,162,1500,0
Bounds,2360766,22679,1500,0
VIF1_WAIT_START,2438087,0,1500,64
GIF_STATE,2438087,0,1500,0
VIF1_WAIT_END,2438510,0,1500,64
GIF_STATE,2438510,0,1500,0
VIF1_DMA_wait,2437935,748,1500,0
GIF_DMA_wait,2438945,102,1500,0
Packet_qwords,2443542,0,1500,88
VIF1_submit,2443531,5138,1500,0
Dispatch,2390833,59120,1500,0
Static_bag,2360223,89850,1500,0
Bounds,2452856,8547,1500,0
Static_bag,2452327,9245,1500,0
Sky,2359758,102405,1500,0
Bounds,2466014,4097,1500,0
VIF1_WAIT_START,2555129,0,1500,64
GIF_STATE,2555129,0,1500,0
VIF1_WAIT_END,2555552,0,1500,64
GIF_STATE,2555552,0,1500,0
VIF1_DMA_wait,2554977,680,1500,0
GIF_DMA_wait,2555921,92,1500,0
Packet_qwords,2562768,0,1500,141
VIF1_submit,2562757,5148,1500,0
VIF1_WAIT_START,2575290,0,1500,150995018
GIF_STATE,2575290,0,1500,1536
VIF1_WAIT_END,2701181,0,1500,198
GIF_STATE,2701181,0,1500,0
VIF1_DMA_wait,2575224,126123,1500,0
GIF_DMA_wait,2701572,99,1500,0
Packet_qwords,2704500,0,1500,36
VIF1_submit,2704492,4744,1500,0
Dispatch,2478499,231826,1500,0
Static_bag,2465681,244806,1500,0
Bounds,2712730,5851,1500,0
Static_bag,2711899,6835,1500,0
Bounds,2719346,3671,1500,0
VIF1_WAIT_START,2763383,0,1500,192
GIF_STATE,2763383,0,1500,0
VIF1_WAIT_END,2763866,0,1500,192
GIF_STATE,2763866,0,1500,0
VIF1_DMA_wait,2763229,780,1500,0
GIF_DMA_wait,2764295,102,1500,0
Packet_qwords,2767112,0,1500,57
VIF1_submit,2767101,5146,1500,0
Dispatch,2730505,42832,1500,0
Static_bag,2719130,54301,1500,0
Bounds,2775230,5489,1500,0
VIF1_WAIT_START,2806841,0,1500,192
GIF_STATE,2806841,0,1500,0
VIF1_WAIT_END,2807210,0,1500,192
GIF_STATE,2807210,0,1500,0
VIF1_DMA_wait,2806693,566,1500,0
GIF_DMA_wait,2807527,43,1500,0
Packet_qwords,2810400,0,1500,57
VIF1_submit,2810389,4848,1500,0
Dispatch,2787611,28752,1500,0
Static_bag,2774635,41906,1500,0
Bounds,2817901,5148,1500,0
Static_bag,2817537,5663,1500,0
Bounds,2824142,2437,1500,0
Static_bag,2823866,2800,1500,0
Bounds,2827304,3272,1500,0
VIF1_WAIT_START,2854896,0,1500,192
GIF_STATE,2854896,0,1500,0
VIF1_WAIT_END,2855170,0,1500,192
GIF_STATE,2855170,0,1500,0
VIF1_DMA_wait,2854831,437,1500,0
GIF_DMA_wait,2855389,93,1500,0
Packet_qwords,2862122,0,1500,141
VIF1_submit,2862111,4894,1500,0
VIF1_WAIT_START,2875614,0,1500,150995142
GIF_STATE,2875614,0,1500,0
VIF1_WAIT_END,2935839,0,1500,70
GIF_STATE,2935839,0,1500,0
VIF1_DMA_wait,2875548,60445,1500,0
GIF_DMA_wait,2936214,99,1500,0
Packet_qwords,2939559,0,1500,43
VIF1_submit,2939551,4525,1500,0
Dispatch,2835259,109846,1500,0
Static_bag,2826973,118262,1500,0
Bounds,2946944,5921,1500,0
VIF1_WAIT_START,3016883,0,1500,192
GIF_STATE,3016883,0,1500,0
VIF1_WAIT_END,3017294,0,1500,192
GIF_STATE,3017294,0,1500,0
VIF1_DMA_wait,3016735,718,1500,0
GIF_DMA_wait,3017671,90,1500,0
Packet_qwords,3024428,0,1500,141
VIF1_submit,3024417,5038,1500,0
VIF1_WAIT_START,3036702,0,1500,195
GIF_STATE,3036702,0,1500,0
VIF1_WAIT_END,3098327,0,1500,70
GIF_STATE,3098327,0,1500,0
VIF1_DMA_wait,3036636,61806,1500,0
GIF_DMA_wait,3098700,99,1500,0
Packet_qwords,3101606,0,1500,36
VIF1_submit,3101598,4406,1500,0
