frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.274553,2.024319,40.312748,1.000634,11.375932,59.963867,5.134511,3.471249,23.265310,2.883698,3.011861,8.363688,169,28090,0,0
121,0,6.945587,2.030558,35.573124,0.999291,16.445004,59.963006,4.290385,2.879720,20.254069,2.389828,2.660285,7.208110,143,23211,0,0
122,0,2.885841,1.996752,40.531660,1.009620,15.535648,59.962769,4.851895,3.479451,23.717241,2.976183,3.018558,8.411272,169,28090,0,0
123,0,2.886505,2.023966,35.047082,0.998484,1.030318,39.962389,4.415955,2.927124,19.965230,2.370731,2.592339,7.120856,143,23211,0,0
124,0,2.939646,2.049418,40.392663,1.000356,15.630558,59.963223,5.144579,3.428480,23.395718,3.089583,3.048242,8.512326,169,28090,0,0
125,0,19.371287,2.028971,35.559207,1.001807,4.002140,59.934441,4.558499,2.995317,20.002177,2.414100,2.626448,7.124139,143,23211,0,0
126,0,2.927609,2.003052,40.473372,1.000804,15.561181,59.962965,5.124773,3.305108,23.615472,2.810059,3.066908,8.427077,169,28090,0,0
127,0,2.892615,2.030151,35.080916,0.987457,0.994775,39.955763,4.575080,2.886332,19.937632,2.369927,2.562100,7.199622,143,23211,0,0
128,0,2.927358,2.036791,40.371992,1.034509,15.655813,59.989671,5.071435,3.458544,23.383830,2.935215,3.044902,8.499905,169,28090,0,0
129,0,11.213145,2.034654,35.420034,0.998172,12.305138,59.936490,4.329725,2.810381,20.105669,2.422411,2.572347,7.097507,143,23211,0,0
130,0,2.909075,1.961616,40.438134,1.005422,15.610152,59.962782,5.197347,3.384054,23.353193,2.798971,2.991045,8.609843,169,28090,0,0
131,0,2.857717,2.030477,35.077721,1.011546,0.985362,39.932346,4.261180,2.969872,20.059720,2.448608,2.602943,7.250071,143,23211,0,0
132,0,2.920692,2.032742,40.428986,1.028025,15.616045,59.993747,4.971232,3.397875,23.550151,2.844760,3.153798,8.481578,169,28090,0,0
133,0,7.487973,2.021756,35.518009,1.002235,15.923791,59.932007,4.575979,2.968065,20.002614,2.450646,2.597721,7.122216,143,23211,0,0
134,0,2.937354,2.049601,40.397281,1.010298,15.617652,59.962585,5.100152,3.216678,23.688202,2.959167,3.011403,8.572079,169,28090,0,0
135,0,2.833710,2.007514,34.987003,1.001197,1.109799,39.931708,4.416918,2.990607,19.883386,2.408508,2.533657,7.125522,143,23211,0,0
136,0,2.918203,2.025153,40.327823,1.000851,15.716047,59.962925,4.995192,3.402459,23.542894,3.026615,3.146857,8.318414,169,28090,0,0
137,0,76.810293,2.015184,35.367150,1.004791,6.775394,119.957628,4.453871,2.830950,20.247942,2.560967,2.595771,7.022525,143,23211,0,0
138,0,2.862640,2.036567,40.586002,1.007626,15.473406,59.929674,5.046821,3.347588,23.905640,3.240428,2.923611,8.409400,169,28090,0,0
139,0,2.880144,1.994120,35.592411,0.986684,0.503340,39.962579,4.391724,2.905623,20.449046,2.608236,2.601593,7.129557,143,23211,0,0
140,0,2.861603,2.033271,40.596419,1.007945,15.517995,59.983961,5.127353,3.441694,23.582123,2.907467,3.054569,8.638163,169,28090,0,0
141,0,12.174774,2.044678,35.600182,1.006073,11.161441,59.942471,4.375817,3.034139,20.094018,2.454498,2.570655,7.215271,143,23211,0,0
142,0,2.858490,2.028673,40.506880,1.037628,15.587548,59.990546,5.210022,3.450016,23.532966,2.810282,3.041840,8.437242,169,28090,0,0
143,0,2.885800,2.028002,35.068729,0.989933,0.992347,39.936808,4.379205,2.777835,20.126875,2.486050,2.552738,7.083513,143,23211,0,0
144,0,2.906735,2.033468,40.437931,1.013791,15.602678,59.961134,5.184062,3.278286,23.517921,2.792874,3.106778,8.677378,169,28090,0,0
145,0,12.134186,2.026699,35.598555,1.006066,11.223724,59.962531,4.441895,3.038639,20.096720,2.290812,2.769090,7.187015,143,23211,0,0
146,0,2.908240,1.999349,40.488549,1.009593,15.549747,59.956129,5.039039,3.319563,23.426103,2.824812,3.100091,8.515218,169,28090,0,0
147,0,2.888418,2.025499,35.033390,0.997189,1.043786,39.962782,4.423075,2.917843,20.019531,2.561639,2.626248,7.118720,143,23211,0,0
148,0,2.939321,2.049425,40.378971,1.000641,15.659203,59.978136,5.172580,3.431810,23.378703,2.885593,3.086344,8.563934,169,28090,0,0
149,0,7.931488,2.045044,35.545210,1.002418,15.469038,59.948154,4.433495,2.787659,20.052751,2.410909,2.553806,7.147759,143,23211,0,0
150,0,17.431773,2.013611,40.346012,0.998308,1.185896,59.961989,4.986755,3.447890,23.614278,2.835290,3.054542,8.570065,169,28090,0,0
151,0,2.847605,2.021749,35.026676,0.993724,1.065616,39.933621,4.282284,2.893436,20.063721,2.505347,2.532789,7.054671,143,23211,0,0
152,0,2.911957,2.019070,40.706160,1.007124,15.338206,59.963447,5.050737,3.415351,23.916216,3.159556,2.990343,8.406972,169,28090,0,0
153,0,7.517731,2.026428,35.436649,1.002967,16.005436,59.962782,4.378106,2.924381,20.045671,2.467017,2.504978,7.186106,143,23211,0,0
154,0,7.702484,2.017822,40.224653,1.000980,11.034705,59.962823,5.017754,3.273132,23.540300,3.138618,3.086022,8.437035,169,28090,0,0
155,0,2.858639,2.032335,34.898034,1.057126,1.189246,40.003045,4.533078,2.811812,19.728478,2.457282,2.582492,6.991326,143,23211,0,0
156,0,2.880503,2.054348,40.744286,1.000892,15.290321,59.916002,5.164090,3.504130,23.670532,2.900119,2.960144,8.549055,169,28090,0,0
