label,start_ticks,duration_ticks,frame,value
VIF1_FRAME_START,44,0,1500,64
GIF_STATE,44,0,1500,0
Pad,309,7946,1500,0
Update,8763,2086992,1500,0
Portal,2379483,162,1500,0
Bounds,2380992,22719,1500,0
VIF1_WAIT_START,2445901,0,1500,64
GIF_STATE,2445901,0,1500,0
VIF1_WAIT_END,2446372,0,1500,64
GIF_STATE,2446372,0,1500,0
VIF1_DMA_wait,2445735,780,1500,0
GIF_DMA_wait,2446735,102,1500,0
Packet_qwords,2451046,0,1500,88
VIF1_submit,2451035,5404,1500,0
Dispatch,2411193,46340,1500,0
Static_bag,2380415,77238,1500,0
Bounds,2460310,8279,1500,0
Static_bag,2459951,8807,1500,0
Sky,2379950,89433,1500,0
Bounds,2485212,5685,1500,0
VIF1_WAIT_START,2576311,0,1500,64
GIF_STATE,2576311,0,1500,0
VIF1_WAIT_END,2576842,0,1500,64
GIF_STATE,2576842,0,1500,0
VIF1_DMA_wait,2576157,790,1500,0
GIF_DMA_wait,2577217,92,1500,0
Packet_qwords,2584028,0,1500,141
VIF1_submit,2584017,5148,1500,0
VIF1_WAIT_START,2608831,0,1500,150995142
GIF_STATE,2608831,0,1500,0
VIF1_WAIT_END,2721235,0,1500,198
GIF_STATE,2721235,0,1500,0
VIF1_DMA_wait,2608673,112773,1500,0
GIF_DMA_wait,2721674,99,1500,0
Packet_qwords,2724464,0,1500,36
VIF1_submit,2724456,4798,1500,0
Dispatch,2499251,231064,1500,0
Static_bag,2484670,245815,1500,0
Bounds,2732600,6119,1500,0
Static_bag,2731877,6995,1500,0
Bounds,2739484,3653,1500,0
VIF1_WAIT_START,2771005,0,1500,192
GIF_STATE,2771005,0,1500,0
VIF1_WAIT_END,2771362,0,1500,192
GIF_STATE,2771362,0,1500,0
VIF1_DMA_wait,2770833,654,1500,0
GIF_DMA_wait,2771727,96,1500,0
Packet_qwords,2774446,0,1500,57
VIF1_submit,2774435,5110,1500,0
Dispatch,2750595,30052,1500,0
Static_bag,2739268,41503,1500,0
Bounds,2782257,17646,1500,0
VIF1_WAIT_START,2827447,0,1500,192
GIF_STATE,2827447,0,1500,0
VIF1_WAIT_END,2827888,0,1500,192
GIF_STATE,2827888,0,1500,0
VIF1_DMA_wait,2827299,678,1500,0
GIF_DMA_wait,2828235,96,1500,0
Packet_qwords,2831198,0,1500,57
VIF1_submit,2831187,4914,1500,0
Dispatch,2807371,29848,1500,0
Static_bag,2781861,55544,1500,0
Bounds,2839211,5000,1500,0
Static_bag,2838611,5709,1500,0
Bounds,2845102,2425,1500,0
Static_bag,2844808,2806,1500,0
Bounds,2848228,3262,1500,0
VIF1_WAIT_START,2869858,0,1500,192
GIF_STATE,2869858,0,1500,0
VIF1_WAIT_END,2870136,0,1500,192
GIF_STATE,2870136,0,1500,0
VIF1_DMA_wait,2869799,435,1500,0
GIF_DMA_wait,2870324,94,1500,0
Packet_qwords,2876920,0,1500,141
VIF1_submit,2876909,4972,1500,0
VIF1_WAIT_START,2889596,0,1500,198
GIF_STATE,2889596,0,1500,0
VIF1_WAIT_END,2952373,0,1500,70
GIF_STATE,2952373,0,1500,0
VIF1_DMA_wait,2889524,63051,1500,0
GIF_DMA_wait,2952879,98,1500,0
Packet_qwords,2956211,0,1500,43
VIF1_submit,2956203,4633,1500,0
Dispatch,2856211,105732,1500,0
Static_bag,2847921,114148,1500,0
Bounds,2963716,5739,1500,0
VIF1_WAIT_START,3033253,0,1500,192
GIF_STATE,3033253,0,1500,0
VIF1_WAIT_END,3033664,0,1500,192
GIF_STATE,3033664,0,1500,0
VIF1_DMA_wait,3033113,694,1500,0
GIF_DMA_wait,3034023,96,1500,0
Packet_qwords,3040742,0,1500,141
VIF1_submit,3040731,5076,1500,0
VIF1_WAIT_START,3052880,0,1500,195
GIF_STATE,3052880,0,1500,0
VIF1_WAIT_END,3114691,0,1500,70
GIF_STATE,3114691,0,1500,0
VIF1_DMA_wait,3052812,62042,1500,0
GIF_DMA_wait,3115118,95,1500,0
Packet_qwords,3118028,0,1500,36
VIF1_submit,3118020,4486,1500,0
Dispatch,2976981,146656,1500,0
