frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.592417,2.041673,40.722232,1.002397,10.647403,59.964450,4.896674,3.339874,24.024329,2.886353,3.056498,8.529399,169,28090,0,0
121,0,7.370677,2.047187,35.635522,1.003937,15.952518,59.962653,4.590817,2.757005,20.035760,2.441911,2.550215,7.129201,143,23211,0,0
122,0,2.917491,2.028429,40.426212,1.009816,15.609236,59.962755,4.964552,3.485274,23.659990,2.931095,3.253845,8.595320,169,28090,0,0
123,0,2.869883,2.043315,35.024967,0.990278,1.047279,39.932407,4.570506,2.826196,19.923815,2.504222,2.561896,6.958788,143,23211,0,0
124,0,2.919952,2.030579,40.383223,1.011349,15.671207,59.985731,5.182838,3.372830,23.426219,2.997847,3.077911,8.477848,169,28090,0,0
125,0,20.188412,2.005378,35.580875,1.003354,3.168033,59.940674,4.250990,2.965780,20.355058,2.597907,2.472670,7.173411,143,23211,0,0
126,0,2.939674,2.050361,40.390038,1.008887,15.617713,59.956312,5.074392,3.324870,23.625871,3.002825,3.064111,8.510471,169,28090,0,0
127,0,2.839779,2.012987,35.076847,0.991147,1.025570,39.933343,4.394470,2.789039,20.083062,2.441647,2.629659,7.059211,143,23211,0,0
128,0,2.907176,2.015713,40.430912,1.006948,15.618086,59.963121,5.142714,3.347843,23.657376,2.925117,3.086972,8.434747,169,28090,0,0
129,0,11.237722,2.032152,35.417728,1.001875,12.276662,59.933987,4.611186,2.919668,19.731845,2.470381,2.538645,7.067128,143,23211,0,0
130,0,2.897858,1.965115,40.504622,1.006629,15.553830,59.962938,4.914168,3.416260,23.683702,3.056909,2.945418,8.463749,169,28090,0,0
131,0,2.899445,2.036018,35.113610,0.984941,0.964176,39.962172,4.506036,2.881324,20.029249,2.529293,2.541036,7.203983,143,23211,0,0
132,0,2.891551,1.993476,40.497297,1.016774,15.557437,59.963060,5.271976,3.276211,23.646725,2.999244,3.131782,8.574019,169,28090,0,0
133,0,7.537221,2.043538,35.679406,1.004398,15.741709,59.962735,4.461717,2.964372,20.156219,2.580512,2.427839,7.141615,143,23211,0,0
134,0,2.856089,2.030782,40.516463,1.030846,15.559621,59.963019,5.000756,3.375427,23.927561,3.098636,3.000692,8.530636,169,28090,0,0
135,0,2.909563,2.030016,35.112512,0.978126,0.955712,39.955912,4.697534,2.914046,19.795570,2.381734,2.584863,6.945980,143,23211,0,0
136,0,2.915103,2.049581,40.534373,1.004493,15.509016,59.962986,5.111705,3.274160,23.678036,2.951369,3.084781,8.485416,169,28090,0,0
137,0,73.804175,2.016744,35.427636,1.002628,9.728756,119.963196,4.604380,2.855272,19.936829,2.534834,2.600840,7.031301,143,23211,0,0
138,0,2.905392,2.013957,40.502770,1.003191,15.551490,59.962843,5.238515,3.184747,23.740272,3.061961,3.145891,8.419630,169,28090,0,0
139,0,2.902334,2.039212,35.599104,0.980113,0.481144,39.962694,4.445221,2.920746,20.125264,2.417955,2.600745,7.232602,143,23211,0,0
140,0,2.934316,2.006165,40.485545,1.001000,15.542694,59.963555,5.169189,3.178894,23.682231,2.923943,2.999115,8.644250,169,28090,0,0
