label,start_ticks,duration_ticks,frame,value
Pad,177,7910,1500,0
Update,8559,2284902,1500,0
Portal,2563407,107,1500,0
Bounds,2564748,33837,1500,0
VIF1_DMA_wait,2652071,472,1500,0
GIF_DMA_wait,2652895,102,1500,0
Packet_qwords,2657276,0,1500,88
VIF1_submit,2657265,5354,1500,0
Dispatch,2606059,57682,1500,0
Static_bag,2564241,99602,1500,0
Bounds,2666771,8504,1500,0
Static_bag,2666193,9251,1500,0
Sky,2563839,112232,1500,0
Bounds,2679988,3999,1500,0
VIF1_DMA_wait,2781717,480,1500,0
GIF_DMA_wait,2782515,96,1500,0
Packet_qwords,2789390,0,1500,141
VIF1_submit,2789379,5280,1500,0
VIF1_DMA_wait,2801972,125165,1500,0
GIF_DMA_wait,2927402,99,1500,0
Packet_qwords,2930308,0,1500,36
VIF1_submit,2930300,4394,1500,0
Dispatch,2692227,243624,1500,0
Static_bag,2679655,256320,1500,0
Bounds,2937868,5979,1500,0
Static_bag,2937185,6851,1500,0
Bounds,2944648,3129,1500,0
VIF1_DMA_wait,2975259,410,1500,0
GIF_DMA_wait,2975835,43,1500,0
Packet_qwords,2978600,0,1500,57
VIF1_submit,2978589,4932,1500,0
Dispatch,2955081,29506,1500,0
Static_bag,2944432,40309,1500,0
Bounds,2986155,5337,1500,0
VIF1_DMA_wait,3017132,429,1500,0
GIF_DMA_wait,3017823,43,1500,0
Packet_qwords,3020648,0,1500,57
VIF1_submit,3020637,4866,1500,0
Dispatch,2998451,28344,1500,0
Static_bag,2985819,41066,1500,0
Bounds,3028227,16730,1500,0
Static_bag,3027851,17457,1500,0
Bounds,3046276,3891,1500,0
Static_bag,3045931,4322,1500,0
Bounds,3050852,3121,1500,0
VIF1_DMA_wait,3073575,358,1500,0
GIF_DMA_wait,3074073,96,1500,0
Packet_qwords,3080804,0,1500,141
VIF1_submit,3080793,5394,1500,0
VIF1_DMA_wait,3093852,60985,1500,0
GIF_DMA_wait,3154982,43,1500,0
Packet_qwords,3157588,0,1500,43
VIF1_submit,3157580,3890,1500,0
Dispatch,3059185,103242,1500,0
Static_bag,3050579,111947,1500,0
Bounds,3163973,5125,1500,0
VIF1_DMA_wait,3252777,480,1500,0
GIF_DMA_wait,3253641,96,1500,0
Packet_qwords,3260510,0,1500,141
VIF1_submit,3260499,5274,1500,0
VIF1_DMA_wait,3273216,61477,1500,0
GIF_DMA_wait,3334838,41,1500,0
Packet_qwords,3336964,0,1500,36
VIF1_submit,3336956,3914,1500,0
Dispatch,3175593,166306,1500,0
Static_bag,3163499,178496,1500,0
Bounds,3343864,16611,1500,0
VIF1_DMA_wait,3419793,401,1500,0
GIF_DMA_wait,3420537,43,1500,0
Packet_qwords,3427214,0,1500,141
VIF1_submit,3427203,5238,1500,0
VIF1_DMA_wait,3440214,61183,1500,0
GIF_DMA_wait,3501536,41,1500,0
Packet_qwords,3515437,0,1500,43
VIF1_submit,3515429,4750,1500,0
Dispatch,3367845,153584,1500,0
Static_bag,3343193,178332,1500,0
Bounds,3523598,5329,1500,0
Static_bag,3522867,6163,1500,0
Bounds,3529706,2666,1500,0
Static_bag,3529404,3123,1500,0
Bounds,3533218,2339,1500,0
Static_bag,3532964,2680,1500,0
Bounds,3536540,2255,1500,0
Static_bag,3536164,2773,1500,0
Bounds,3539512,2496,1500,0
Static_bag,3539332,2806,1500,0
Bounds,3542750,2255,1500,0
Static_bag,3542518,2573,1500,0
Bounds,3545698,2348,1500,0
Static_bag,3545476,2656,1500,0
Bounds,3548686,2831,1500,0
VIF1_DMA_wait,3570951,320,1500,0
GIF_DMA_wait,3571461,43,1500,0
Packet_qwords,3578050,0,1500,141
VIF1_submit,3578039,4966,1500,0
VIF1_DMA_wait,3590577,61312,1500,0
GIF_DMA_wait,3651984,41,1500,0
Packet_qwords,3654468,0,1500,43
VIF1_submit,3654460,14281,1500,0
Dispatch,3556621,113500,1500,0
Static_bag,3548508,121709,1500,0
Bounds,3672376,5871,1500,0
Static_bag,3671743,6641,1500,0
Bounds,3678982,3327,1500,0
Static_bag,3678773,3680,1500,0
Bounds,3682966,3071,1500,0
VIF1_DMA_wait,3726183,395,1500,0
GIF_DMA_wait,3726927,43,1500,0
Packet_qwords,3733640,0,1500,141
VIF1_submit,3733629,5298,1500,0
VIF1_DMA_wait,3746665,60798,1500,0
GIF_DMA_wait,3807600,41,1500,0
Packet_qwords,3810042,0,1500,43
VIF1_submit,3810034,14651,1500,0
Dispatch,3692791,133448,1500,0
Static_bag,3682786,143541,1500,0
Bounds,3828292,5927,1500,0
VIF1_DMA_wait,3884029,457,1500,0
GIF_DMA_wait,3884761,43,1500,0
Packet_qwords,3891404,0,1500,141
VIF1_submit,3891393,5370,1500,0
VIF1_DMA_wait,3904639,61038,1500,0
GIF_DMA_wait,3965772,41,1500,0
Packet_qwords,3968224,0,1500,43
VIF1_submit,3968216,14547,1500,0
Dispatch,3851709,132290,1500,0
Static_bag,3827619,156488,1500,0
Bounds,3986050,5691,1500,0
Static_bag,3985403,6443,1500,0
Bounds,3992468,2114,1500,0
Static_bag,3992236,2502,1500,0
Bounds,3995578,2847,1500,0
VIF1_DMA_wait,4059573,398,1500,0
GIF_DMA_wait,4060323,43,1500,0
Packet_qwords,4066868,0,1500,134
VIF1_submit,4066857,4932,1500,0
Dispatch,4006363,66564,1500,0
Static_bag,3995388,77633,1500,0
Bounds,4074423,5535,1500,0
VIF1_DMA_wait,4153061,466,1500,0
GIF_DMA_wait,4153831,98,1500,0
Packet_qwords,4160030,0,1500,127
VIF1_submit,4160019,5142,1500,0
Dispatch,4087105,79362,1500,0
Static_bag,4074033,92544,1500,0
Terrain,2676261,1491152,1500,0
Bounds,4169577,5562,1500,0
VIF1_DMA_wait,4193319,31296,1500,0
GIF_DMA_wait,4224823,100,1500,0
Packet_qwords,4226536,0,1500,34
VIF1_submit,4226525,4967,1500,0
Dispatch,4182207,50152,1500,0
Static_bag,4168995,63470,1500,0
Bounds,4234077,4354,1500,0
Static_bag,4233641,4895,1500,0
Bounds,4239391,2646,1500,0
VIF1_DMA_wait,4265041,352,1500,0
GIF_DMA_wait,4265661,43,1500,0
Packet_qwords,4267576,0,1500,40
VIF1_submit,4267565,5087,1500,0
Dispatch,4248093,25756,1500,0
Static_bag,4239143,34812,1500,0
Bounds,4275508,5068,1500,0
VIF1_DMA_wait,4302507,402,1500,0
GIF_DMA_wait,4303219,98,1500,0
Packet_qwords,4305008,0,1500,36
VIF1_submit,4304997,5304,1500,0
Dispatch,4298423,13014,1500,0
Static_bag,4275107,36486,1500,0
Bounds,4313314,5176,1500,0
VIF1_DMA_wait,4338487,356,1500,0
GIF_DMA_wait,4339094,97,1500,0
Packet_qwords,4341952,0,1500,57
VIF1_submit,4341941,5117,1500,0
Dispatch,4325019,23438,1500,0
Static_bag,4312819,35812,1500,0
Bounds,4350304,5164,1500,0
VIF1_DMA_wait,4386121,343,1500,0
GIF_DMA_wait,4386771,43,1500,0
Packet_qwords,4388734,0,1500,43
VIF1_submit,4388723,5135,1500,0
Dispatch,4362393,32734,1500,0
Static_bag,4349687,45552,1500,0
Bounds,4396935,4841,1500,0
VIF1_DMA_wait,4425803,306,1500,0
GIF_DMA_wait,4426335,43,1500,0
Packet_qwords,4428334,0,1500,40
VIF1_submit,4428323,4835,1500,0
Dispatch,4408135,26250,1500,0
Static_bag,4396433,38118,1500,0
Bounds,4449869,5354,1500,0
Static_bag,4435691,19939,1500,0
Static_batches,4167529,288446,1500,0
Bounds,4457113,2434,1500,0
Static_bag,4456753,3024,1500,0
Bounds,4460320,2284,1500,0
Static_bag,4460085,2710,1500,0
Bounds,4463386,2312,1500,0
Static_bag,4463170,2751,1500,0
Bounds,4466516,2224,1500,0
Static_bag,4466249,2676,1500,0
Bounds,4469516,2058,1500,0
Static_bag,4469229,2530,1500,0
Bounds,4472354,2328,1500,0
Static_bag,4472081,2838,1500,0
Bounds,4475540,2484,1500,0
Static_bag,4475223,3038,1500,0
Bounds,4478938,2038,1500,0
Static_bag,4478631,2530,1500,0
Bounds,4481800,2390,1500,0
Static_bag,4481501,2912,1500,0
Bounds,4484992,2140,1500,0
Static_bag,4484741,2576,1500,0
Bounds,4487996,2424,1500,0
Static_bag,4487715,2920,1500,0
Bounds,4491226,2348,1500,0
Static_bag,4490949,2816,1500,0
Bounds,4494376,2222,1500,0
Static_bag,4494075,2710,1500,0
Bounds,4497410,2238,1500,0
Static_bag,4497131,2702,1500,0
Bounds,4500442,2396,1500,0
Static_bag,4500147,2924,1500,0
Bounds,4503652,2428,1500,0
Static_bag,4503443,2862,1500,0
Bounds,4506976,2577,1500,0
Static_bag,4506623,3212,1500,0
Bounds,4510450,2595,1500,0
Static_bag,4510174,3109,1500,0
Bounds,4513846,2583,1500,0
Static_bag,4513641,3056,1500,0
Bounds,4517266,2259,1500,0
Static_bag,4517015,2696,1500,0
Bounds,4520282,2259,1500,0
Static_bag,4520075,2592,1500,0
Bounds,4523288,2255,1500,0
Static_bag,4522989,2822,1500,0
Bounds,4526320,2691,1500,0
Static_bag,4526085,3052,1500,0
Bounds,4529692,2415,1500,0
Static_bag,4529463,2770,1500,0
Bounds,4532836,2497,1500,0
Static_bag,4532609,2910,1500,0
Bounds,4536112,2587,1500,0
Static_bag,4535872,3001,1500,0
Bounds,4539464,2615,1500,0
Static_bag,4539231,3032,1500,0
Bounds,4542836,2947,1500,0
VIF1_DMA_wait,4582919,460,1500,0
GIF_DMA_wait,4583683,102,1500,0
Packet_qwords,4586836,0,1500,64
VIF1_submit,4586825,4986,1500,0
Dispatch,4553781,51455,1500,0
Static_bag,4542575,62880,1500,0
Bounds,4606652,5581,1500,0
VIF1_DMA_wait,4673619,402,1500,0
GIF_DMA_wait,4674319,98,1500,0
Packet_qwords,4681024,0,1500,141
VIF1_submit,4681013,5357,1500,0
VIF1_DMA_wait,4695987,65508,1500,0
GIF_DMA_wait,4761758,137,1500,0
Packet_qwords,4765357,0,1500,57
VIF1_submit,4765349,4816,1500,0
Dispatch,4620393,150802,1500,0
Static_bag,4606121,165170,1500,0
Bounds,4772938,6239,1500,0
VIF1_DMA_wait,4801257,314,1500,0
GIF_DMA_wait,4801755,90,1500,0
