frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,6.867835,2.025072,40.766951,1.034203,11.295610,59.964600,4.751909,3.442386,24.107544,3.165263,3.111362,8.734395,169,28090,0,0
121,0,6.966732,2.026659,35.745121,1.004093,16.247555,59.963501,4.399773,3.037231,20.204787,2.478434,2.616475,7.316962,143,23211,0,0
122,0,2.854848,2.024746,40.576826,1.002397,15.529314,59.963386,4.879218,3.422574,23.759776,3.138255,3.007375,8.486894,169,28090,0,0
123,0,2.857452,2.027486,35.226546,0.980025,0.899567,39.963589,4.313616,2.743642,20.290321,2.706177,2.511369,7.247562,143,23211,0,0
124,0,2.830048,1.974915,40.667714,1.037465,15.428382,59.963609,4.789303,3.496552,23.823602,3.182671,2.987817,8.590637,169,28090,0,0
125,0,20.515004,2.027941,35.569380,1.006717,2.872250,59.963352,4.389045,2.913845,20.289341,2.594832,2.640120,7.277117,143,23211,0,0
126,0,2.829010,2.003011,40.702362,1.005083,15.426551,59.963006,4.749756,3.487247,23.998515,3.090732,3.011966,8.743137,169,28090,0,0
127,0,2.871206,2.042216,35.155935,0.986928,0.942440,39.956509,4.305227,2.908729,20.149451,2.385820,2.543803,7.195431,143,23211,0,0
128,0,2.892303,2.022705,40.553023,1.001177,15.517107,59.963609,4.963450,3.353997,23.902785,3.174035,3.021640,8.736983,169,28090,0,0
129,0,11.315589,2.020060,35.469615,1.036679,12.141978,59.963860,4.247616,2.908769,20.169305,2.528609,2.477739,7.175517,143,23211,0,0
130,0,2.839549,2.027161,40.699799,1.033546,15.390513,59.963406,4.832760,3.535889,23.927531,3.015839,3.076114,8.730689,169,28090,0,0
131,0,2.867259,2.036384,35.143741,0.988705,0.963152,39.962857,4.184957,2.834449,20.249722,2.565087,2.778883,7.213081,143,23211,0,0
132,0,2.891090,2.025472,40.484806,1.003584,15.584144,59.963623,4.714945,3.449365,23.752499,3.025377,3.116581,8.610548,169,28090,0,0
133,0,7.411407,2.019314,35.538401,1.002431,16.011085,59.963325,4.117388,3.028954,20.207591,2.401449,2.543291,7.180491,143,23211,0,0
134,0,2.870541,2.035400,40.313561,1.004534,15.744992,59.933628,4.817346,3.243490,23.801544,3.135630,3.228027,8.506880,169,28090,0,0
135,0,2.820017,2.022054,35.268843,0.982751,0.911862,39.983473,4.169786,3.027907,20.236447,2.485152,2.668806,7.085927,143,23211,0,0
136,0,2.821164,2.022868,40.667708,1.002160,15.452037,59.943068,4.826294,3.352807,24.070865,3.248471,2.980072,8.512061,169,28090,0,0
137,0,70.947520,2.046000,35.524662,1.008955,12.476620,119.957757,4.184404,2.948781,20.289964,2.502618,2.646356,7.249040,143,23211,0,0
138,0,2.819509,2.024482,40.705692,1.006148,15.431169,59.962518,4.744524,3.442379,24.008755,3.290137,3.092465,8.441518,169,28090,0,0
139,0,2.857032,1.982347,35.684357,0.984039,0.437924,39.963352,4.336416,2.974260,20.153507,2.514181,2.636939,7.041612,143,23211,0,0
140,0,2.848521,1.990662,40.642222,1.031369,15.441884,59.963996,4.905775,3.441742,23.825619,3.105832,3.087897,8.601166,169,28090,0,0
141,0,22.091095,2.047919,35.434879,1.037113,1.368663,59.931749,4.147692,3.002804,20.152534,2.480279,2.593740,7.139282,143,23211,0,0
