frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.168162,2.030253,40.441152,1.064490,11.321469,59.995273,4.688341,3.401357,24.070394,3.017046,3.209513,8.612762,169,28090,0,0
121,0,6.356415,2.022793,35.616587,1.001617,16.957191,59.931810,4.212826,3.041158,20.380456,2.515208,2.737617,7.407423,143,23211,0,0
122,0,2.846839,2.020447,40.331879,1.007809,15.746416,59.932943,4.721110,3.433685,23.844842,3.207937,3.001377,8.581946,169,28090,0,0
123,0,2.809825,1.981486,35.408417,0.983938,0.761064,39.963243,4.281538,2.909465,20.545542,2.403273,2.783410,7.371246,143,23211,0,0
124,0,2.844493,1.987834,40.620853,1.032739,15.465790,59.963874,4.740892,3.580329,23.817600,3.175056,3.078725,8.522040,169,28090,0,0
125,0,44.175873,2.046509,35.601735,0.979672,19.205766,99.963047,4.071459,2.893575,20.490136,2.906772,2.595181,7.057970,143,23211,0,0
126,0,2.806305,2.013028,40.403853,1.084924,15.662187,59.957269,4.926958,3.401201,23.720310,3.089257,3.124919,8.614485,169,28090,0,0
127,0,2.853268,1.987651,35.672000,0.979916,0.427324,39.932509,4.323547,2.908573,20.371535,2.553816,2.701094,7.098100,143,23211,0,0
128,0,2.827586,2.032274,40.629669,1.035723,15.489600,59.982578,4.665656,3.506019,23.813270,3.186578,3.085619,8.510420,169,28090,0,0
129,0,11.519385,2.014404,35.531525,1.002906,11.890208,59.944024,4.328016,3.019684,20.085487,2.536672,2.675103,7.226349,143,23211,0,0
130,0,2.849457,2.023505,40.353804,1.004832,15.755137,59.963230,4.766608,3.417308,23.830597,3.037526,3.139476,8.646115,169,28090,0,0
131,0,2.892202,1.997314,35.199046,1.008433,0.863909,39.963589,4.315186,2.863556,20.366035,2.548242,2.586439,7.294715,143,23211,0,0
132,0,2.814240,1.988430,40.534773,1.003089,15.610613,59.962714,4.829451,3.686700,23.520260,3.066471,3.011498,8.664154,169,28090,0,0
133,0,7.315420,2.016771,35.744334,1.050473,15.877438,59.987664,4.300229,2.968536,20.475389,2.436717,2.765445,7.461863,143,23211,0,0
134,0,2.817318,2.023729,40.286930,1.002865,15.831519,59.938633,4.563649,3.551331,23.923045,3.166812,3.160807,8.577318,169,28090,0,0
135,0,2.899607,2.032715,35.123762,1.012468,0.921261,39.957099,4.042270,3.123383,20.187792,2.587162,2.654195,7.274865,143,23211,0,0
136,0,2.881927,2.004686,40.527740,1.054399,15.498227,59.962294,4.718099,3.382189,24.105818,3.007277,3.186181,8.875821,169,28090,0,0
137,0,74.646969,2.024821,35.656030,1.003272,8.656999,119.963270,4.238003,2.973406,20.210527,2.470815,2.551192,7.190121,143,23211,0,0
138,0,2.852434,2.024726,40.409210,1.004066,15.669227,59.934937,4.771013,3.407942,23.757812,3.050886,3.058607,8.676765,169,28090,0,0
139,0,2.819285,2.022244,35.413422,1.011736,0.718821,39.963264,4.160665,2.860535,20.424828,2.524855,2.753452,7.142144,143,23211,0,0
140,0,2.860260,2.034878,40.685388,1.032494,15.385495,59.963637,4.764228,3.601315,23.885081,3.085320,3.120429,8.635579,169,28090,0,0
141,0,10.800222,2.020630,35.766123,1.006955,12.358348,59.931647,4.289395,2.975332,20.371609,2.688724,2.554240,7.049940,143,23211,0,0
142,0,2.884450,2.023417,40.395172,1.007077,15.676876,59.963576,4.763757,3.232836,23.987908,3.124546,3.220561,8.749949,169,28090,0,0
143,0,2.815731,2.017849,35.331506,0.981869,0.834490,39.963596,4.259071,3.117235,20.263645,2.464562,2.713359,7.202165,143,23211,0,0
144,0,2.874542,2.045051,40.621897,1.006568,15.453915,59.956923,4.926375,3.367778,23.792148,3.151126,3.075585,8.405128,169,28090,0,0
145,0,11.294756,2.026733,35.654409,1.003170,11.982656,59.934991,4.198842,2.948347,20.312239,2.570031,2.536967,7.113322,143,23211,0,0
146,0,2.853824,2.012105,40.378130,1.003964,15.727631,59.963548,4.791487,3.417046,23.682760,3.195706,3.180488,8.608297,169,28090,0,0
147,0,2.831845,2.034858,35.319651,0.984107,0.827654,39.963257,4.247701,2.857425,20.409543,2.600789,2.871653,7.232242,143,23211,0,0
148,0,2.857880,2.033813,40.607283,1.004601,15.514435,59.984199,4.910736,3.650289,23.731839,3.038652,3.170668,8.575663,169,28090,0,0
149,0,7.064382,2.025967,35.493337,1.035655,16.348833,59.942206,4.085493,2.869334,20.411546,2.521667,2.662350,7.220856,143,23211,0,0
150,0,16.813059,2.017843,40.667328,1.011342,1.471412,59.963142,4.669135,3.534176,24.129001,3.134684,3.069760,8.565423,169,28090,0,0
151,0,2.813487,2.017192,35.252655,0.982486,0.914683,39.963311,4.202596,2.873284,20.227837,2.552175,2.573100,7.263173,143,23211,0,0
152,0,2.848216,2.019145,40.573042,1.001841,15.540212,59.963311,4.740865,3.573947,23.680501,3.185642,3.044783,8.528612,169,28090,0,0
153,0,7.263540,1.964322,35.663089,1.021976,16.029985,59.978590,4.350833,2.940077,20.239197,2.472809,2.562571,7.225040,143,23211,0,0
154,0,6.839712,2.042996,40.426151,1.005822,11.669267,59.940952,4.696628,3.470306,23.913459,3.168274,3.076558,8.689962,169,28090,0,0
155,0,2.860118,1.987373,35.250777,0.980791,0.871579,39.963264,4.173387,2.985992,20.256768,2.441071,2.711809,7.184574,143,23211,0,0
156,0,2.858226,2.028585,40.621830,1.031789,15.471751,59.983595,4.770762,3.488346,23.903449,3.081370,3.106252,8.754896,169,28090,0,0
157,0,7.422299,2.014676,35.511783,1.031281,16.003754,59.969116,4.222371,2.783973,20.258443,2.436208,2.586399,7.211239,143,23211,0,0
158,0,2.857981,2.035082,40.301910,1.005632,15.771108,59.936632,4.732622,3.365472,23.783569,3.177622,3.055237,8.438602,169,28090,0,0
159,0,2.852183,1.981649,35.228397,0.984372,0.898007,39.962958,4.228868,2.971968,20.227129,2.545776,2.630334,7.261098,143,23211,0,0
160,0,2.822093,1.964844,40.632979,1.004846,15.518789,59.978706,4.791758,3.460063,23.853906,3.247362,2.975633,8.615885,169,28090,0,0
161,0,7.618988,2.020637,35.385915,1.034271,15.909705,59.948880,4.285817,2.895901,20.183061,2.558679,2.615950,7.064785,143,23211,0,0
162,0,74.975908,2.030904,40.259003,1.032895,3.686439,119.954244,4.644928,3.356059,23.745351,3.327894,3.164622,8.354502,169,28090,0,0
163,0,2.867096,2.040371,35.457645,1.006222,0.603797,39.934760,4.265530,3.138431,19.902147,2.550201,2.544342,7.185655,143,23211,0,0
164,0,2.846507,2.017992,40.351044,1.023577,15.741533,59.962660,4.706797,3.436781,23.687459,3.075226,3.143199,8.515099,169,28090,0,0
165,0,7.357296,2.020616,35.558807,1.005693,16.041704,59.963501,4.212999,2.786865,20.262126,2.531443,2.734378,7.128564,143,23211,0,0
166,0,6.577138,1.980977,40.520877,1.000973,11.864478,59.963467,4.941047,3.384220,23.764245,3.199229,3.085093,8.525492,169,28090,0,0
167,0,2.845652,2.018256,35.133352,1.033362,0.951243,39.963609,4.283315,2.893341,20.295169,2.519572,2.574202,7.330526,143,23211,0,0
168,0,2.897512,2.034227,40.475555,1.029416,15.560781,59.963264,4.777042,3.539083,23.555393,3.056803,2.981164,8.440809,169,28090,0,0
169,0,6.925771,2.024136,35.441491,1.033207,16.562700,59.963169,4.276933,2.804501,20.294766,2.727251,2.654012,7.159987,143,23211,0,0
170,0,7.424713,2.028571,40.535322,1.005110,10.998647,59.963793,4.649807,3.584846,23.888804,3.100847,2.941284,8.566549,169,28090,0,0
171,0,2.810584,2.015774,35.418277,0.975766,0.721737,39.926364,4.168776,3.001709,20.141320,2.604306,2.531935,7.045030,143,23211,0,0
172,0,2.893951,2.036031,40.411774,1.030616,15.627716,59.964057,4.844838,3.344364,23.797584,3.093811,3.293725,8.459527,169,28090,0,0
173,0,7.437781,2.043220,35.355777,1.007056,16.162147,59.962762,4.382222,2.930359,19.890496,2.589335,2.516683,6.962121,143,23211,0,0
174,0,2.854950,2.031413,40.689823,1.033593,15.385529,59.963894,4.863583,3.583442,23.894345,3.119344,3.077359,8.787242,169,28090,0,0
175,0,16.742625,2.010383,35.408824,1.008664,6.773326,59.933438,4.166846,2.995544,20.391313,2.727898,2.601634,7.091437,143,23211,0,0
176,0,2.886227,2.019253,40.325063,1.006534,15.745656,59.963481,4.696886,3.375197,23.734111,3.260006,3.250773,8.514855,169,28090,0,0
177,0,7.261871,2.001431,35.367564,1.003293,16.330665,59.963392,4.284546,2.898407,20.274540,2.533953,2.564843,7.099291,143,23211,0,0
178,0,2.822323,1.964376,40.631534,1.033430,15.476132,59.963420,4.742713,3.427477,23.978268,3.206146,2.976702,8.573646,169,28090,0,0
179,0,7.163510,1.989807,35.327009,1.061486,16.440996,59.993001,4.137224,3.076023,20.246372,2.554491,2.534163,7.226654,143,23211,0,0
180,0,2.848480,2.022868,40.286204,1.037994,15.753801,59.926480,4.702240,3.275808,23.920953,3.286543,3.150258,8.572018,169,28090,0,0
181,0,7.255049,2.039374,35.357154,0.998627,16.352515,59.963345,4.282027,3.018653,20.207893,2.624644,2.573856,7.145857,143,23211,0,0
182,0,2.863495,1.961127,40.528269,1.007233,15.564490,59.963487,4.670671,3.439270,23.918962,3.056081,3.032077,8.677524,169,28090,0,0
183,0,2.819611,2.026618,35.177717,0.988970,0.986915,39.973212,4.052829,3.179447,20.318156,2.719991,2.637305,6.977376,143,23211,0,0
184,0,2.812286,2.017619,40.627750,1.007938,15.505307,59.953281,4.743974,3.477590,24.016317,3.194946,3.117252,8.250203,169,28090,0,0
185,0,7.574602,2.018541,35.612091,1.053904,15.722836,59.963433,4.212019,2.939345,20.506755,2.530457,2.635417,7.279236,143,23211,0,0
186,0,2.864254,1.986660,40.476891,1.002913,15.619585,59.963643,4.777456,3.424723,23.731208,3.011603,2.977403,8.482090,169,28090,0,0
187,0,72.734080,2.028280,35.315074,1.032725,10.881772,119.963650,4.214796,2.861908,20.505575,2.749207,2.564616,7.079274,143,23211,0,0
188,0,2.874366,2.018046,40.414581,1.007294,15.659970,59.956211,4.869185,3.378682,23.749237,3.159047,3.045041,8.448022,169,28090,0,0
189,0,7.501475,2.025675,35.670088,1.004289,15.787513,59.963365,4.415300,2.975101,20.237349,2.610775,2.570292,7.077186,143,23211,0,0
190,0,2.858327,1.989671,40.573883,1.013682,15.517839,59.963732,4.727651,3.641856,23.857707,3.220235,3.067159,8.387977,169,28090,0,0
191,0,7.450701,2.050646,35.072859,1.030657,16.380022,59.934238,4.106574,2.944950,20.194973,2.650191,2.659732,7.001689,143,23211,0,0
192,0,2.831967,2.010647,40.345462,1.009057,15.744883,59.931369,4.720367,3.536492,23.756646,3.090132,3.057638,8.643694,169,28090,0,0
193,0,7.252736,2.023363,35.223195,1.005632,16.481137,59.962701,4.063782,3.168474,20.248888,2.678782,2.567064,6.951657,143,23211,0,0
194,0,2.893545,1.999369,40.476715,2.561785,14.052887,59.984931,4.769891,3.615356,23.586399,3.069553,3.018714,8.453525,169,28090,0,0
195,0,7.278839,1.980679,35.177005,1.001611,16.483802,59.941257,4.169196,2.892880,20.237000,2.565026,2.720835,7.227997,143,23211,0,0
196,0,2.824412,2.001594,40.357303,1.007267,15.744788,59.933770,4.597368,3.634447,23.580994,3.103648,2.975576,8.540534,169,28090,0,0
197,0,7.616648,2.023709,35.202647,1.867435,15.272227,59.958957,4.224152,2.942407,20.176219,2.517758,2.712894,7.181264,143,23211,0,0
198,0,2.823049,2.028002,40.533966,1.023475,15.580502,59.960992,4.855062,3.398848,23.927249,3.255358,3.002736,8.469611,169,28090,0,0
199,0,2.833411,2.012865,35.146617,1.009104,0.942888,39.932020,3.974637,2.824090,20.718479,2.592241,2.681651,7.336717,143,23211,0,0
200,0,18.413510,2.020494,40.672774,0.981605,19.894548,79.962436,4.785288,3.543308,23.942071,3.215685,3.129822,8.594632,169,28090,0,0
201,0,7.193899,2.031745,35.717133,1.029293,16.023468,59.963793,4.381870,2.872328,20.370724,2.600464,2.819767,7.229553,143,23211,0,0
202,0,2.821849,2.028286,40.651655,1.007083,15.483022,59.963609,4.709883,3.514181,23.792107,2.955421,3.071615,8.614868,169,28090,0,0
203,0,2.861908,2.010403,35.139089,1.008745,0.953671,39.963413,4.044532,2.864268,20.664666,2.577125,2.642795,7.225776,143,23211,0,0
204,0,7.050181,2.015266,40.378855,1.008738,11.525387,59.963162,4.734643,3.409644,23.778547,3.322679,3.116228,8.493646,169,28090,0,0
205,0,6.917775,2.031114,35.455455,1.009559,16.580502,59.963291,4.357849,2.981845,19.973745,2.600861,2.473562,7.017799,143,23211,0,0
206,0,2.853912,2.020637,40.613651,1.008664,15.480547,59.956774,4.687320,3.586355,23.953949,3.138716,3.060482,8.526550,169,28090,0,0
207,0,2.848297,2.020142,35.052968,0.998715,1.063534,39.963515,4.274475,2.941945,20.002448,2.641069,2.628370,7.145721,143,23211,0,0
208,0,2.909190,2.044047,40.397118,1.000471,15.656694,59.963474,4.831943,3.469645,23.452199,3.059153,3.120307,8.437636,169,28090,0,0
209,0,8.243757,2.024929,35.624969,1.006087,15.088396,59.963209,4.208313,3.068237,20.360389,2.486477,2.744093,7.295905,143,23211,0,0
210,0,2.829322,2.006436,40.720462,1.031579,15.382300,59.963664,4.763516,3.402134,24.113770,3.192447,3.091370,8.748098,169,28090,0,0
211,0,2.821543,2.027147,35.230106,0.982276,0.898861,39.932787,4.287347,2.913113,20.236186,2.596351,2.645382,7.207438,143,23211,0,0
212,0,74.035187,2.018195,40.590424,1.005469,4.332225,119.963304,4.919881,3.485196,23.801843,3.234490,2.974772,8.230231,169,28090,0,0
213,0,7.005992,2.018989,35.557037,1.011349,16.358924,59.933302,4.335276,2.928416,20.203464,2.517721,2.534973,7.296000,143,23211,0,0
214,0,2.853017,2.023729,40.470117,1.034854,15.599016,59.957004,4.855272,3.385345,23.854309,3.050700,3.044959,8.688083,169,28090,0,0
215,0,2.832021,2.035482,35.314233,0.998735,0.787391,39.932380,4.289056,3.160350,19.992086,2.587175,2.469333,7.227142,143,23211,0,0
216,0,7.308197,2.034648,40.303836,1.028988,11.322588,59.963609,4.729584,3.395738,23.559892,3.095164,3.135173,8.530850,169,28090,0,0
217,0,6.701385,2.022549,35.376448,1.003211,16.882728,59.963772,4.354584,2.960520,20.036377,2.549822,2.599382,7.075911,143,23211,0,0
218,0,2.856415,2.021796,40.394908,1.001767,15.710704,59.963793,4.877106,3.494520,23.536004,3.074046,3.018043,8.543674,169,28090,0,0
219,0,2.833160,2.020772,35.248884,0.982364,0.898861,39.963270,4.127072,2.944397,20.280104,2.428555,2.674323,7.126767,143,23211,0,0
220,0,6.795570,2.025940,40.647057,1.020084,11.500871,59.963582,4.940938,3.562737,23.821245,3.324785,2.930369,8.400252,169,28090,0,0
221,0,6.967336,2.018460,35.523936,1.008358,16.433834,59.933465,4.233446,3.092682,20.138980,2.542701,2.660299,7.269867,143,23211,0,0
222,0,2.861664,2.033813,40.330875,1.004859,15.766049,59.963447,4.724250,3.306278,23.951372,3.086975,3.285672,8.546899,169,28090,0,0
223,0,2.856069,2.030545,35.263594,0.980052,0.864044,39.963759,4.102041,3.010590,20.241458,2.597253,2.729594,7.193966,143,23211,0,0
224,0,2.821991,2.024665,40.633616,1.007382,15.493256,59.956245,4.857486,3.505859,23.797930,3.122267,3.074619,8.706706,169,28090,0,0
225,0,20.628577,2.017483,35.717316,1.025652,2.591753,59.963298,4.142022,3.004696,20.543803,2.596120,2.742917,7.194583,143,23211,0,0
226,0,2.817664,1.988403,40.592051,1.008257,15.566783,59.984755,4.903215,3.455644,23.833635,3.148560,3.074609,8.485246,169,28090,0,0
227,0,2.826223,2.031413,35.370995,0.982357,0.761756,39.941332,4.076436,2.999162,20.577471,2.686974,2.687690,7.226105,143,23211,0,0
228,0,2.824331,2.001492,40.385183,1.007985,15.713640,59.931139,4.820336,3.379008,23.676229,3.174554,2.983751,8.389720,169,28090,0,0
229,0,10.749929,2.024075,35.665578,1.006805,12.541114,59.963426,4.222439,2.903493,20.365980,2.603458,2.889686,7.174286,143,23211,0,0
230,0,2.848223,2.021796,40.647146,0.997074,15.471039,59.963481,4.603054,3.531087,23.861410,3.018826,2.965959,8.574202,169,28090,0,0
231,0,2.853282,2.024129,35.107778,0.993446,1.008867,39.963372,4.230625,3.094398,19.998186,2.642897,2.556732,7.016771,143,23211,0,0
232,0,2.893246,2.025655,40.490122,1.032684,15.547401,59.963454,4.753876,3.279758,23.945411,3.248105,3.184269,8.651581,169,28090,0,0
233,0,7.862016,2.041775,35.508752,1.007863,15.594167,59.972799,4.116604,2.951121,20.190925,2.515628,2.663540,7.209252,143,23211,0,0
234,0,2.852915,2.026069,40.334564,1.028581,15.731116,59.947177,4.500098,3.618344,23.887834,3.207896,3.146230,8.393816,169,28090,0,0
235,0,2.864146,1.985419,35.202098,0.978702,0.918711,39.963657,4.327525,2.875410,20.052311,2.524472,2.590556,7.194061,143,23211,0,0
236,0,2.887441,1.981669,40.515656,1.005083,15.554949,59.963128,4.905128,3.511013,23.841051,3.055491,3.196560,8.667677,169,28090,0,0
237,0,73.421180,2.032274,35.439707,1.002296,10.068824,119.932007,4.209863,2.944502,20.021342,2.479340,2.761715,7.291094,143,23211,0,0
238,0,2.825599,2.025865,40.660248,1.006941,15.511281,60.004069,4.806054,3.527707,23.904243,3.050364,3.121623,8.780924,169,28090,0,0
239,0,2.820146,2.025350,35.504825,0.979780,0.617876,39.922628,4.285489,3.025937,20.125882,2.576670,2.709907,7.217319,143,23211,0,0
240,0,2.862864,2.036852,40.329064,1.004479,15.767283,59.963691,4.772363,3.431722,23.658990,3.195407,3.158207,8.425025,169,28090,0,0
241,0,10.974721,2.037842,35.538564,1.083940,12.397702,59.994927,4.271725,2.865306,20.361070,2.625827,2.637177,7.211334,143,23211,0,0
242,0,2.820926,2.027228,40.382273,1.031742,15.689551,59.924493,4.479333,3.350203,24.405046,3.205332,3.187381,8.670553,169,28090,0,0
243,0,2.871429,1.978963,35.291148,1.006480,0.794349,39.963406,4.103509,2.851169,20.743103,2.557336,2.776805,7.302243,143,23211,0,0
244,0,2.821360,2.024400,40.606639,1.034495,15.527849,59.990343,4.824002,3.559536,23.686435,3.119086,3.041938,8.557400,169,28090,0,0
245,0,11.073964,2.027873,35.668521,1.008013,12.185035,59.935533,4.191996,2.897776,20.376733,2.606093,2.847850,7.165019,143,23211,0,0
246,0,2.819265,1.989258,40.561466,1.028425,15.579078,59.988234,4.847148,3.489037,23.878716,3.211022,3.192417,8.537069,169,28090,0,0
247,0,2.796051,2.002665,35.316430,1.009769,0.830516,39.952766,4.159332,2.874118,20.516442,2.667426,2.602790,7.098541,143,23211,0,0
248,0,2.878082,2.053365,40.725732,1.001977,15.343543,59.949334,4.911845,3.494595,23.852349,2.925117,3.239468,8.697859,169,28090,0,0
249,0,7.350522,2.030640,35.799869,1.005164,15.807695,59.963250,4.298526,3.067223,20.366960,2.646657,2.657637,7.233988,143,23211,0,0
250,0,16.502797,2.025350,40.235131,1.003679,2.224219,59.965827,4.801832,3.403158,23.657020,3.087212,3.103149,8.403480,169,28090,0,0
251,0,2.829478,2.034634,35.333405,1.005822,0.817942,39.986647,4.112705,3.028042,20.474942,2.703257,2.652473,7.236033,143,23211,0,0
252,0,2.823917,2.001485,40.832353,1.031240,15.242917,59.930427,4.805501,3.436025,24.120372,3.229594,3.034593,8.773241,169,28090,0,0
253,0,7.332753,2.025411,35.719201,1.002703,15.908810,59.963467,4.113790,3.008582,20.408142,2.708130,2.624644,7.255656,143,23211,0,0
254,0,7.649363,2.022285,40.390174,1.027523,10.896278,59.963338,4.665731,3.589878,23.645277,3.166490,3.024906,8.477987,169,28090,0,0
255,0,2.867462,2.033773,35.298472,0.977488,0.820187,39.963609,4.159112,3.122009,20.110619,2.558529,2.566603,7.121467,143,23211,0,0
256,0,2.813141,2.020671,40.718245,1.006344,15.425513,59.963243,4.740004,3.538523,23.865458,3.179891,3.036960,8.477037,169,28090,0,0
257,0,7.236359,2.034064,35.450348,1.031043,16.246307,59.964057,4.309380,2.936096,20.093736,2.621002,2.712762,7.058740,143,23211,0,0
258,0,2.889516,1.987935,40.463749,1.009688,15.600149,59.963101,4.838515,3.529243,23.726203,3.050086,3.119704,8.663686,169,28090,0,0
259,0,2.826528,2.032694,35.283641,0.980750,0.872535,39.963454,4.303684,2.853689,20.303134,2.522871,2.530935,7.159241,143,23211,0,0
260,0,2.856422,2.029663,40.778249,1.029205,15.299537,59.963413,4.782047,3.393497,24.181495,3.060116,3.138367,8.786163,169,28090,0,0
261,0,7.472334,2.029460,35.715159,1.034156,15.741330,59.962979,4.258752,2.932719,20.413917,2.553555,2.856652,7.157494,143,23211,0,0
262,0,72.668169,2.037828,40.599009,1.007558,5.681536,119.956272,4.771359,3.550985,23.808414,3.173598,3.111738,8.331170,169,28090,0,0
263,0,2.895681,2.033759,35.640750,0.980092,0.447500,39.964023,4.290405,2.986569,20.335385,2.610952,2.770728,7.187904,143,23211,0,0
264,0,2.877981,1.999661,40.545312,1.058333,15.481503,59.963128,4.607975,3.449771,24.095686,3.083157,3.258786,8.843516,169,28090,0,0
265,0,7.422780,2.036953,35.572086,1.029687,15.952016,59.976569,4.340152,2.872091,20.141127,2.557780,2.609975,7.280914,143,23211,0,0
266,0,7.562883,2.016283,40.713145,1.029490,10.644731,59.950250,4.830651,3.438171,24.112179,3.237118,3.042033,8.738451,169,28090,0,0
267,0,2.865936,2.018582,35.211999,1.004154,0.881561,39.963650,4.011447,2.974674,20.671251,2.666378,2.715224,7.316166,143,23211,0,0
268,0,2.862132,1.986511,40.655202,1.025753,15.420013,59.963101,4.829017,3.340373,24.178365,3.001166,3.163584,8.711368,169,28090,0,0
269,0,7.730160,1.985053,35.745243,1.035370,15.473236,59.984009,4.368998,2.913388,20.417779,2.597907,2.662479,7.193834,143,23211,0,0
270,0,7.342987,2.034939,40.366587,1.000085,11.225779,59.935438,4.671027,3.433207,23.698154,3.083727,3.085588,8.624861,169,28090,0,0
271,0,2.858754,1.982083,35.147166,1.012950,0.944292,39.963162,4.071849,3.123572,20.120992,2.542735,2.671695,7.220625,143,23211,0,0
272,0,2.892215,1.998047,40.574778,1.032691,15.463701,59.963386,4.861131,3.393789,23.831696,3.003486,3.184920,8.666982,169,28090,0,0
273,0,7.091176,2.021098,35.777435,1.035878,16.088111,59.992601,4.109056,3.198330,20.308729,2.766496,2.604387,7.017456,143,23211,0,0
