label,start_ticks,duration_ticks,frame,value
Pad,177,7706,1500,0
Update,8361,2176868,1500,0
Portal,2468031,107,1500,0
Bounds,2469462,22719,1500,0
Package_classify,2501190,1971,1500,0
Package_classify,2503601,1409,1500,0
Package_classify,2505282,615,1500,0
Package_classify,2506086,494,1500,0
Package_classify,2506773,351,1500,0
Package_create,2499825,7426,1500,0
Package_classify,2508300,1163,1500,0
Package_classify,2509725,1128,1500,0
Package_classify,2511105,1050,1500,0
Package_classify,2512449,1130,1500,0
Package_classify,2513881,1048,1500,0
Package_classify,2515209,1058,1500,0
Package_create,2507833,8586,1500,0
Package_classify,2522526,1169,1500,0
Package_classify,2523945,1206,1500,0
Package_classify,2525481,1062,1500,0
Package_classify,2526801,1134,1500,0
Package_classify,2528187,180,1500,0
Package_classify,2528601,177,1500,0
Package_create,2522327,6511,1500,0
Packet_build,2531993,6234,1500,0
VIF1_DMA_wait,2538691,420,1500,0
GIF_DMA_wait,2539277,83,1500,0
Packet_qwords,2543506,0,1500,88
VIF1_submit,2543495,5596,1500,0
Dispatch,2499489,50756,1500,0
Static_bag,2468909,81440,1500,0
Bounds,2553047,7516,1500,0
Static_bag,2552523,8323,1500,0
Sky,2468451,92794,1500,0
Bounds,2565294,16041,1500,0
Package_classify,2592006,1227,1500,0
Package_classify,2593603,1884,1500,0
Package_classify,2595772,1483,1500,0
Package_classify,2597627,1517,1500,0
Package_classify,2599415,1522,1500,0
Package_classify,2601206,1593,1500,0
Package_classify,2603145,1655,1500,0
Package_classify,2605067,1691,1500,0
Package_classify,2607678,1579,1500,0
Package_classify,2609724,1538,1500,0
Package_classify,2611568,1514,1500,0
Package_classify,2613335,1548,1500,0
Package_classify,2615165,1591,1500,0
Package_classify,2617055,1515,1500,0
Package_classify,2618871,1626,1500,0
Package_classify,2620771,1602,1500,0
Package_classify,2623218,1561,1500,0
Package_classify,2625119,1669,1500,0
Package_classify,2627112,1243,1500,0
Package_classify,2628638,1197,1500,0
Package_classify,2630184,1162,1500,0
Package_classify,2631618,952,1500,0
Package_create,2590533,42204,1500,0
Package_classify,2634222,481,1500,0
Package_classify,2635027,315,1500,0
Package_classify,2635531,462,1500,0
Package_classify,2636217,462,1500,0
Package_classify,2636898,1165,1500,0
Package_classify,2638278,1067,1500,0
Package_create,2633653,5898,1500,0
QBuffer_copy,2640847,3718,1500,0
Package_classify,2647200,1279,1500,0
Package_classify,2648799,1089,1500,0
Package_classify,2650077,472,1500,0
Package_classify,2650738,406,1500,0
Package_classify,2651363,568,1500,0
Package_classify,2652127,509,1500,0
Package_create,2646780,5916,1500,0
QBuffer_copy,2653165,3146,1500,0
Packet_build,2661399,9656,1500,0
VIF1_DMA_wait,2671521,436,1500,0
GIF_DMA_wait,2672133,101,1500,0
Packet_qwords,2679040,0,1500,141
VIF1_submit,2679029,5380,1500,0
Packet_build,2688485,3391,1500,0
VIF1_DMA_wait,2692106,124759,1500,0
GIF_DMA_wait,2817144,186,1500,0
Packet_qwords,2820061,0,1500,36
VIF1_submit,2820050,4867,1500,0
Dispatch,2590155,235712,1500,0
Static_bag,2564887,261090,1500,0
Bounds,2828054,5213,1500,0
Static_bag,2827303,6169,1500,0
Bounds,2834131,3432,1500,0
Package_classify,2850078,1177,1500,0
Package_classify,2851565,1514,1500,0
Package_classify,2853276,1443,1500,0
Package_classify,2854912,1444,1500,0
Package_classify,2856606,806,1500,0
Package_classify,2857609,1256,1500,0
Package_create,2845497,13474,1500,0
Packet_build,2873339,3940,1500,0
VIF1_DMA_wait,2877721,420,1500,0
GIF_DMA_wait,2878335,85,1500,0
Packet_qwords,2881432,0,1500,57
VIF1_submit,2881421,14398,1500,0
Dispatch,2845167,51946,1500,0
Static_bag,2833972,63289,1500,0
Bounds,2899440,5275,1500,0
Package_classify,2916402,1941,1500,0
Package_classify,2918641,1552,1500,0
Package_classify,2920387,1539,1500,0
Package_classify,2922119,798,1500,0
Package_classify,2923110,1486,1500,0
Package_classify,2924842,524,1500,0
Package_create,2912229,13252,1500,0
Packet_build,2928977,3587,1500,0
VIF1_DMA_wait,2932923,400,1500,0
GIF_DMA_wait,2933505,85,1500,0
Packet_qwords,2936398,0,1500,57
VIF1_submit,2936387,5424,1500,0
Dispatch,2911885,31012,1500,0
Static_bag,2898495,44492,1500,0
Bounds,2944936,4703,1500,0
Static_bag,2944383,5491,1500,0
Bounds,2950676,2476,1500,0
Static_bag,2950468,2871,1500,0
Bounds,2954147,3052,1500,0
Packet_build,2967093,9127,1500,0
VIF1_DMA_wait,2976591,328,1500,0
GIF_DMA_wait,2977133,83,1500,0
Packet_qwords,2983534,0,1500,141
VIF1_submit,2983523,5280,1500,0
Packet_build,2992300,3733,1500,0
VIF1_DMA_wait,2996122,61395,1500,0
GIF_DMA_wait,3057770,184,1500,0
Packet_qwords,3061315,0,1500,43
VIF1_submit,3061304,4969,1500,0
Dispatch,2962267,104940,1500,0
Static_bag,2953896,113490,1500,0
Bounds,3069344,5269,1500,0
Package_classify,3084294,1324,1500,0
Package_classify,3086087,1703,1500,0
Package_classify,3088069,1606,1500,0
Package_classify,3089943,1813,1500,0
Package_classify,3092123,1679,1500,0
Package_classify,3094110,1600,1500,0
Package_classify,3095981,1607,1500,0
Package_classify,3097829,1607,1500,0
Package_classify,3100355,1631,1500,0
Package_classify,3102263,1601,1500,0
Package_classify,3104116,1608,1500,0
Package_classify,3106027,1689,1500,0
Package_classify,3107991,1733,1500,0
Package_classify,3109962,1690,1500,0
Package_classify,3111963,1678,1500,0
Package_classify,3113979,1600,1500,0
Package_classify,3116593,1608,1500,0
Package_classify,3118561,1648,1500,0
Package_classify,3120475,1594,1500,0
Package_classify,3122329,1582,1500,0
Package_classify,3124171,1590,1500,0
Package_classify,3126079,924,1500,0
Package_create,3082563,44554,1500,0
Packet_build,3133115,9448,1500,0
VIF1_DMA_wait,3142893,376,1500,0
GIF_DMA_wait,3143435,141,1500,0
Packet_qwords,3150434,0,1500,141
VIF1_submit,3150423,5336,1500,0
Packet_build,3159610,3445,1500,0
VIF1_DMA_wait,3163339,61371,1500,0
GIF_DMA_wait,3225069,183,1500,0
Packet_qwords,3228027,0,1500,36
VIF1_submit,3228016,4951,1500,0
Dispatch,3082045,151968,1500,0
Static_bag,3068643,165472,1500,0
Bounds,3236162,5563,1500,0
Package_classify,3251268,1851,1500,0
Package_classify,3253537,1446,1500,0
Package_classify,3255309,1429,1500,0
Package_classify,3257053,1521,1500,0
Package_classify,3258963,1437,1500,0
Package_classify,3260737,1416,1500,0
Package_classify,3262501,1403,1500,0
Package_classify,3264261,1405,1500,0
Package_classify,3266519,1393,1500,0
Package_classify,3268261,1410,1500,0
Package_classify,3270007,1421,1500,0
Package_classify,3271735,1422,1500,0
Package_classify,3273523,1385,1500,0
Package_classify,3275217,1449,1500,0
Package_classify,3277029,1557,1500,0
Package_classify,3278889,1401,1500,0
Package_classify,3281327,1385,1500,0
Package_classify,3283099,1428,1500,0
Package_classify,3284821,1415,1500,0
Package_classify,3286569,1393,1500,0
Package_classify,3288351,1060,1500,0
