frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.096812,1.978421,40.749725,1.003740,11.114438,59.964715,4.883484,3.453623,24.159936,3.306675,3.154327,8.406793,169,28090,0,0
121,0,6.944712,2.003886,35.777123,1.007409,16.204973,59.934218,4.338582,3.173421,20.366516,2.637465,2.676246,7.228739,143,23211,0,0
122,0,2.799781,1.978943,40.463504,1.002241,15.698137,59.963664,4.891856,3.368028,24.027527,3.182827,3.200741,8.420661,169,28090,0,0
123,0,2.827220,1.972778,35.725881,0.982296,0.421417,39.956814,4.499237,2.919345,20.489661,2.692430,2.583978,7.152245,143,23211,0,0
124,0,2.836680,2.008341,40.967010,1.000953,15.159332,59.963976,4.966743,3.489370,24.172441,3.401109,3.130771,8.433346,169,28090,0,0
125,0,20.818695,2.034878,36.020308,1.006344,2.118364,59.963711,4.377424,2.945648,20.583866,2.757823,2.760447,7.236650,143,23211,0,0
126,0,2.871104,2.017117,40.500044,1.006365,15.586300,59.963813,4.843377,3.638987,23.783244,3.262075,3.211595,8.404768,169,28090,0,0
127,0,2.831926,2.010159,35.431909,0.972578,0.726254,39.962667,4.186700,3.113227,20.564280,2.813049,2.687080,7.083679,143,23211,0,0
128,0,2.794444,2.008898,41.176192,1.017717,14.975684,59.964037,4.787262,3.454437,24.452399,3.398722,3.323758,8.660217,169,28090,0,0
129,0,10.172373,2.000916,35.886871,1.003062,12.872413,59.934720,4.389075,2.891985,20.633487,2.687171,2.581594,7.101217,143,23211,0,0
130,0,2.798899,1.977254,40.842031,1.029402,15.324717,59.995049,4.979957,3.573229,24.137929,3.103346,3.146759,8.538262,169,28090,0,0
131,0,2.777727,1.992235,35.436303,1.010481,0.738013,39.962524,4.216241,2.956251,20.532542,2.917765,2.634003,6.851149,143,23211,0,0
132,0,2.838979,2.025167,41.033674,1.006087,15.053524,59.932265,5.014289,3.274573,24.225172,3.454271,3.088487,8.435703,169,28090,0,0
133,0,7.593272,2.031677,36.067773,1.003523,15.292355,59.956923,4.400441,2.924639,20.760888,2.614600,2.762431,7.247426,143,23211,0,0
134,0,2.828305,2.005012,40.828576,1.008609,15.298194,59.963684,4.968170,3.303779,24.196625,3.149933,3.193648,8.543705,169,28090,0,0
135,0,2.829620,2.006619,35.286380,0.980167,0.835175,39.931342,4.244714,2.980774,20.416199,2.798713,2.635902,6.987857,143,23211,0,0
136,0,2.836843,1.975281,40.759728,1.003503,15.364003,59.964077,4.890930,3.598006,24.059011,3.288761,3.233144,8.445655,169,28090,0,0
137,0,75.265981,2.019836,35.770979,1.002560,7.924313,119.963833,4.396298,2.854296,20.514082,2.762037,2.678762,6.978505,143,23211,0,0
138,0,2.805288,2.019999,40.815982,1.006087,15.336382,59.963738,4.979594,3.558095,23.899150,3.289541,3.094099,8.379252,169,28090,0,0
139,0,2.866160,2.020447,35.699324,1.007972,0.388892,39.962348,4.517880,3.044935,20.135468,2.762180,2.662649,6.997074,143,23211,0,0
140,0,2.794810,1.971903,40.660424,1.030012,15.479156,59.964403,5.009952,3.482279,23.943268,3.181095,3.276852,8.454854,169,28090,0,0
141,0,11.046539,2.011685,35.952986,1.005334,11.958791,59.963650,4.561276,2.822452,20.471493,2.785302,2.633375,7.230231,143,23211,0,0
142,0,2.805946,2.018433,40.591129,1.004398,15.524302,59.925774,4.800785,3.608219,24.022441,3.235436,3.147759,8.483493,169,28090,0,0
143,0,2.792158,1.987081,35.577857,0.981483,0.612261,39.963759,4.319346,2.909285,20.723965,2.735497,2.768497,7.039480,143,23211,0,0
144,0,2.808021,2.018595,40.780867,1.002547,15.372433,59.963867,5.190870,3.518032,23.513865,3.299154,2.981439,8.283932,169,28090,0,0
145,0,11.082367,2.005147,35.793074,1.019962,12.068275,59.963677,4.444190,2.927046,20.473697,2.801364,2.617398,7.077915,143,23211,0,0
146,0,2.838932,1.974813,40.590240,1.029416,15.504554,59.963142,4.808150,3.491594,24.004022,3.425842,3.152140,8.490268,169,28090,0,0
147,0,2.808889,1.992574,35.265981,0.978939,0.909543,39.963352,4.450175,3.021915,20.228136,2.692003,2.591387,6.899550,143,23211,0,0
148,0,2.821387,2.034817,40.753869,1.005436,15.354794,59.935486,4.857340,3.453993,24.171004,3.388275,3.176534,8.351359,169,28090,0,0
149,0,7.603668,2.010681,35.820906,1.000451,15.538510,59.963535,4.232408,2.971419,20.642253,2.859297,2.749586,7.163486,143,23211,0,0
150,0,16.297434,1.966580,40.623213,1.036889,2.005693,59.963230,4.849257,3.573703,23.865716,3.227315,3.187937,8.464583,169,28090,0,0
151,0,2.881405,2.020962,35.316389,0.984846,0.781118,39.963759,4.179104,2.970991,20.551537,2.852315,2.678653,6.967231,143,23211,0,0
152,0,2.846018,1.976339,40.784793,1.006026,15.320465,59.957303,4.921865,3.535580,24.159139,3.289371,3.168742,8.469571,169,28090,0,0
153,0,7.254506,2.008769,35.764069,1.058692,15.916677,59.993944,4.426012,2.922713,20.224477,2.570682,2.723541,6.935530,143,23211,0,0
154,0,7.145559,1.975491,40.784407,1.008704,10.994015,59.932685,4.918057,3.378984,24.210270,3.228221,3.091359,8.551195,169,28090,0,0
155,0,2.824880,1.974996,35.532535,0.982608,0.623654,39.963677,4.331448,2.972453,20.570085,2.644914,2.881558,7.113810,143,23211,0,0
156,0,2.804738,2.015428,40.967166,1.014876,15.176897,59.963677,4.913066,3.553341,24.302311,3.224409,3.220025,8.584676,169,28090,0,0
157,0,7.218638,2.005256,35.710066,1.003455,16.031287,59.963447,4.416914,3.105869,20.291161,2.732171,2.540609,7.030151,143,23211,0,0
158,0,2.824412,1.995612,40.808523,1.002974,15.327403,59.963311,4.795753,3.344113,24.185140,3.263716,3.191661,8.518063,169,28090,0,0
159,0,2.832001,2.007568,35.728621,0.977861,0.424984,39.963467,4.432519,2.956757,20.571289,2.728895,2.661743,7.108185,143,23211,0,0
160,0,2.812551,2.026842,41.146840,1.003984,15.000302,59.963677,5.051192,3.531718,24.202250,3.199710,3.188836,8.608785,169,28090,0,0
161,0,6.965586,2.028035,36.014611,1.006534,15.970395,59.957126,4.418711,2.983158,20.590976,2.571682,2.811523,7.296319,143,23211,0,0
162,0,70.738922,2.009908,40.697879,1.003767,7.522498,119.963067,4.813412,3.465549,24.161282,3.446286,3.204251,8.502438,169,28090,0,0
163,0,2.770559,1.984782,35.890689,0.978743,0.323435,39.963426,4.547038,2.981106,20.460602,2.887550,2.562161,7.107205,143,23211,0,0
164,0,2.796946,2.009603,40.581770,1.004072,15.538523,59.921312,5.068410,3.378445,23.858795,3.266707,3.043230,8.181471,169,28090,0,0
165,0,12.374135,2.014221,35.763329,1.005958,10.820167,59.963589,4.336216,3.007494,20.503072,2.751333,2.626149,7.131171,143,23211,0,0
166,0,16.183421,2.009745,40.882450,1.005944,1.891374,59.963189,5.020688,3.371267,24.044271,3.403598,3.127452,8.549523,169,28090,0,0
167,0,2.863339,2.013272,35.464949,0.977068,0.657834,39.963189,4.399689,3.009644,20.365058,2.819729,2.474304,7.138563,143,23211,0,0
168,0,2.841502,1.971320,40.543542,1.034529,15.543793,59.963365,4.829515,3.410068,24.058926,3.458493,3.202223,8.338416,169,28090,0,0
169,0,7.147858,1.969510,35.769474,1.007083,16.039622,59.964037,4.458856,2.978604,20.360328,2.661641,2.696703,7.051185,143,23211,0,0
170,0,13.496023,2.032674,40.655928,1.002282,4.801626,59.955858,4.903314,3.533532,24.023671,3.430620,3.141195,8.521871,169,28090,0,0
171,0,2.877126,2.025499,35.563358,0.974572,0.548825,39.963881,4.319855,2.965956,20.535017,2.651401,2.646403,7.180396,143,23211,0,0
172,0,2.803287,2.012268,40.952952,1.030236,15.204017,59.990492,4.934465,3.597982,24.164090,3.483683,3.038116,8.493652,169,28090,0,0
173,0,7.294159,2.008979,35.727827,1.035139,15.879371,59.936496,4.480635,3.095761,20.290782,2.573530,2.581828,7.098043,143,23211,0,0
174,0,2.788055,2.000983,40.413150,1.000729,15.731015,59.932949,4.788201,3.388852,23.968689,3.322578,3.180620,8.490360,169,28090,0,0
175,0,15.820953,2.022746,35.390242,1.005842,7.746490,59.963528,4.125800,2.997060,20.587463,2.816115,2.782735,7.053457,143,23211,0,0
176,0,2.803070,2.012756,40.699873,1.031518,15.454010,59.988471,4.874793,3.526320,24.170712,3.411492,3.057407,8.279236,169,28090,0,0
177,0,7.313005,2.025804,35.550032,1.000471,16.046336,59.909844,4.280467,2.989400,20.489444,2.652100,2.763095,7.282423,143,23211,0,0
178,0,2.819380,1.997647,40.803904,1.025394,15.336843,59.985521,4.978156,3.411780,24.129696,3.093628,3.107446,8.733409,169,28090,0,0
179,0,7.024723,1.971219,35.553151,1.007735,16.349179,59.934787,4.404429,2.988976,20.463650,2.621524,2.807973,7.201630,143,23211,0,0
180,0,2.801544,2.011542,41.015689,1.001990,15.163306,59.982530,4.836199,3.405294,24.342421,3.390082,3.310306,8.566569,169,28090,0,0
181,0,7.115997,2.012031,35.530975,1.005998,16.291378,59.944350,4.470120,2.811985,20.635098,2.766615,2.669918,7.104797,143,23211,0,0
182,0,2.822059,2.000509,40.658756,1.004968,15.477821,59.963603,4.861250,3.615448,23.924028,3.293349,3.160149,8.469014,169,28090,0,0
183,0,2.789608,1.998867,35.383711,0.979821,0.809723,39.962863,4.286452,3.036655,20.262702,2.651404,2.711175,7.002079,143,23211,0,0
184,0,2.848582,2.026489,40.864899,1.006534,15.244436,59.964450,4.871989,3.638187,24.073649,3.233734,3.149455,8.446069,169,28090,0,0
185,0,7.125844,2.023987,35.908878,1.029890,15.872019,59.936632,4.254768,2.966895,20.769494,2.999702,2.600094,7.018565,143,23211,0,0
186,0,2.835602,2.010729,40.763045,1.036197,15.360552,59.995395,4.828234,3.593187,24.177507,3.369147,3.156511,8.510471,169,28090,0,0
187,0,71.941579,2.018433,35.420861,1.005049,11.563819,119.931308,4.442776,2.845252,20.475752,2.638943,2.616241,7.106167,143,23211,0,0
188,0,2.817434,2.026693,40.845625,1.002140,15.291562,59.956760,4.914836,3.404483,24.149862,3.454756,3.061513,8.568773,169,28090,0,0
189,0,7.470598,2.007548,35.813202,1.006426,15.642412,59.932638,4.335093,3.203746,20.410641,2.574917,2.673024,7.171156,143,23211,0,0
190,0,2.818987,1.988980,40.841217,1.001353,15.301958,59.963515,4.793240,3.398505,24.216783,3.197995,3.164313,8.444153,169,28090,0,0
