label,start_ticks,duration_ticks,frame,value
Pad,177,7688,1500,0
Update,8343,2158268,1500,0
Portal,2447877,107,1500,0
Bounds,2449242,24723,1500,0
Package_classify,2482792,2005,1500,0
Package_classify,2485159,1387,1500,0
Package_classify,2486782,654,1500,0
Package_classify,2487623,516,1500,0
Package_classify,2488333,376,1500,0
Package_create,2481435,7422,1500,0
Package_classify,2489995,1239,1500,0
Package_classify,2491422,1166,1500,0
Package_classify,2492776,1038,1500,0
Package_classify,2494045,1124,1500,0
Package_classify,2495398,1038,1500,0
Package_classify,2496652,118,1500,0
Package_create,2489541,7328,1500,0
Package_classify,2501524,1160,1500,0
Package_classify,2502872,1125,1500,0
Package_classify,2504229,12381,1500,0
Package_classify,2517249,1737,1500,0
Package_classify,2519174,240,1500,0
Package_classify,2519710,68,1500,0
Package_create,2501325,18516,1500,0
Packet_build,2522957,6517,1500,0
VIF1_DMA_wait,2529987,402,1500,0
GIF_DMA_wait,2530520,84,1500,0
Packet_qwords,2534794,0,1500,88
VIF1_submit,2534783,5482,1500,0
Dispatch,2481091,60258,1500,0
Static_bag,2448717,92744,1500,0
Bounds,2544207,8028,1500,0
Static_bag,2543613,8851,1500,0
Sky,2448297,104570,1500,0
Bounds,2556830,4025,1500,0
Package_classify,2571082,1318,1500,0
Package_classify,2572729,1917,1500,0
Package_classify,2574844,1478,1500,0
Package_classify,2576550,1504,1500,0
Package_classify,2578245,1611,1500,0
Package_classify,2580047,1542,1500,0
Package_classify,2581821,1735,1500,0
Package_classify,2583827,1557,1500,0
Package_classify,2586163,1590,1500,0
Package_classify,2588071,1634,1500,0
Package_classify,2589987,1519,1500,0
Package_classify,2591697,1526,1500,0
Package_classify,2593417,1560,1500,0
Package_classify,2595202,1504,1500,0
Package_classify,2596941,1632,1500,0
Package_classify,2598769,1571,1500,0
Package_classify,2601114,1684,1500,0
Package_classify,2603039,1643,1500,0
Package_classify,2604946,1179,1500,0
Package_classify,2606431,1302,1500,0
Package_classify,2608045,1167,1500,0
Package_classify,2609407,865,1500,0
Package_create,2569551,40838,1500,0
Package_classify,2611915,380,1500,0
Package_classify,2612599,147,1500,0
Package_classify,2612935,523,1500,0
Package_classify,2613690,62,1500,0
Package_classify,2614020,1082,1500,0
Package_classify,2615316,62,1500,0
Package_create,2611455,4054,1500,0
QBuffer_copy,2616709,3622,1500,0
Package_classify,2622839,1471,1500,0
Package_classify,2624691,62,1500,0
Package_classify,2624942,527,1500,0
Package_classify,2625658,62,1500,0
Package_classify,2625940,591,1500,0
Package_classify,2626727,62,1500,0
Package_create,2622491,4359,1500,0
QBuffer_copy,2627448,3170,1500,0
Packet_build,2635973,9946,1500,0
VIF1_DMA_wait,2646405,432,1500,0
GIF_DMA_wait,2646968,84,1500,0
Packet_qwords,2653703,0,1500,141
VIF1_submit,2653673,19244,1500,0
Packet_build,2677589,3896,1500,0
VIF1_DMA_wait,2681769,123744,1500,0
GIF_DMA_wait,2805624,139,1500,0
Packet_qwords,2808374,0,1500,36
VIF1_submit,2808363,4951,1500,0
Dispatch,2569219,245028,1500,0
Static_bag,2556577,257780,1500,0
Bounds,2826942,5253,1500,0
Static_bag,2826453,6053,1500,0
Bounds,2833225,3300,1500,0
Package_classify,2848852,1310,1500,0
Package_classify,2850497,1647,1500,0
Package_classify,2852417,1519,1500,0
Package_classify,2854195,1505,1500,0
Package_classify,2856017,802,1500,0
Package_classify,2857014,1262,1500,0
Package_create,2844171,14222,1500,0
Packet_build,2861903,3634,1500,0
VIF1_DMA_wait,2866027,386,1500,0
GIF_DMA_wait,2866544,84,1500,0
Packet_qwords,2869596,0,1500,57
VIF1_submit,2869585,5318,1500,0
Dispatch,2843871,31976,1500,0
Static_bag,2833069,42971,1500,0
Bounds,2877641,5278,1500,0
Package_classify,2894416,2030,1500,0
Package_classify,2896964,1530,1500,0
Package_classify,2898792,1543,1500,0
Package_classify,2900628,806,1500,0
Package_classify,2901788,1509,1500,0
Package_classify,2903682,505,1500,0
Package_create,2890063,14240,1500,0
Packet_build,2907281,3271,1500,0
VIF1_DMA_wait,2910879,396,1500,0
GIF_DMA_wait,2911406,86,1500,0
Packet_qwords,2914254,0,1500,57
VIF1_submit,2914243,5408,1500,0
Dispatch,2889733,30958,1500,0
Static_bag,2877189,43628,1500,0
Bounds,2922513,5158,1500,0
Static_bag,2922057,5879,1500,0
Bounds,2928622,2624,1500,0
Static_bag,2928408,2996,1500,0
Bounds,2932317,2908,1500,0
Packet_build,2945331,9363,1500,0
VIF1_DMA_wait,2955062,293,1500,0
GIF_DMA_wait,2955536,84,1500,0
Packet_qwords,2962132,0,1500,141
VIF1_submit,2962121,5136,1500,0
Packet_build,2970441,16500,1500,0
VIF1_DMA_wait,2987331,48522,1500,0
GIF_DMA_wait,3036000,151,1500,0
Packet_qwords,3039090,0,1500,43
VIF1_submit,3039079,4773,1500,0
Dispatch,2940469,104412,1500,0
Static_bag,2932078,112916,1500,0
Bounds,3046812,5857,1500,0
Package_classify,3062554,1432,1500,0
Package_classify,3064675,1838,1500,0
Package_classify,3066712,1745,1500,0
Package_classify,3068749,1636,1500,0
Package_classify,3070720,1555,1500,0
Package_classify,3072504,1565,1500,0
Package_classify,3074291,1599,1500,0
Package_classify,3076091,1604,1500,0
Package_classify,3078576,1553,1500,0
Package_classify,3080369,1554,1500,0
Package_classify,3082155,1649,1500,0
Package_classify,3084109,1711,1500,0
Package_classify,3086043,1610,1500,0
Package_classify,3087846,1785,1500,0
Package_classify,3089993,1593,1500,0
Package_classify,3091787,1577,1500,0
Package_classify,3094260,1589,1500,0
Package_classify,3096089,1554,1500,0
Package_classify,3097836,1580,1500,0
Package_classify,3099609,1542,1500,0
Package_classify,3101344,1571,1500,0
Package_classify,3103156,883,1500,0
Package_create,3060743,43408,1500,0
Packet_build,3110105,9500,1500,0
VIF1_DMA_wait,3120157,398,1500,0
GIF_DMA_wait,3120686,84,1500,0
Packet_qwords,3138886,0,1500,141
VIF1_submit,3138875,5618,1500,0
Packet_build,3148787,3997,1500,0
VIF1_DMA_wait,3153095,60327,1500,0
GIF_DMA_wait,3213572,86,1500,0
Packet_qwords,3215930,0,1500,36
VIF1_submit,3215922,4074,1500,0
Dispatch,3060251,160680,1500,0
Static_bag,3046155,174890,1500,0
Bounds,3223208,5753,1500,0
Package_classify,3238642,2086,1500,0
Package_classify,3241121,1439,1500,0
