frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.101640,2.052558,32.203067,1.003035,19.656898,59.964640,4.253550,2.727329,18.854414,2.437059,2.401035,6.558027,135,21665,0,0
121,0,7.476254,2.044156,32.530704,0.979468,18.976749,59.963175,4.486949,2.580743,18.841170,2.423387,2.340288,6.715193,135,21665,0,0
122,0,2.877913,2.050415,32.093163,1.003516,3.957340,39.931932,4.219974,2.832587,18.661499,2.487718,2.417565,6.368907,135,21665,0,0
123,0,2.893307,2.046509,32.682132,1.014177,3.373661,39.963277,4.351295,2.545898,19.146196,2.326430,2.450209,6.669959,135,21665,0,0
124,0,2.909298,2.073046,32.216678,1.004737,3.833154,39.963867,4.540331,2.418708,18.854014,2.554152,2.540351,6.611576,135,21665,0,0
125,0,20.493995,2.026937,32.348921,1.039934,6.110823,59.993673,4.146491,2.454637,19.243798,2.537160,2.501719,6.738427,135,21665,0,0
126,0,2.844323,2.054552,32.629846,1.002479,3.449649,39.926297,4.441186,2.456577,18.881209,2.480360,2.409437,6.564338,135,21665,0,0
127,0,2.918094,2.056241,32.630883,1.009993,3.404232,39.963203,4.334869,2.691522,18.791033,2.454766,2.292599,6.606384,135,21665,0,0
128,0,2.884179,2.052714,32.232140,1.009152,3.837731,39.963203,4.296346,2.633185,18.915873,2.395077,2.425439,6.750539,135,21665,0,0
129,0,10.564714,2.052395,32.355635,1.005978,16.036319,59.962646,4.389109,2.639615,19.006314,2.410767,2.387977,6.530192,135,21665,0,0
130,0,2.872901,2.051826,32.465593,1.011810,3.613339,39.963643,4.168050,2.605835,19.007762,2.525191,2.419508,6.571174,135,21665,0,0
131,0,2.858049,2.065898,32.593001,1.008582,3.502282,39.961914,4.322706,2.462952,18.979835,2.487810,2.426005,6.711928,135,21665,0,0
132,0,2.866085,2.038378,32.090769,1.006100,3.968469,39.931424,4.343604,2.498861,18.973772,2.591933,2.373220,6.426758,135,21665,0,0
133,0,7.064022,2.047275,32.118635,1.008019,19.772254,59.962931,4.385969,2.382724,18.902120,2.575494,2.398905,6.597158,135,21665,0,0
134,0,2.822364,2.028585,32.461450,1.000261,3.678775,39.962850,4.281904,2.497545,19.087053,2.482456,2.424476,6.610992,135,21665,0,0
135,0,2.877296,2.054321,32.474023,1.003720,3.607914,39.962952,4.201399,2.501587,19.133694,2.490577,2.340122,6.739678,135,21665,0,0
136,0,2.837562,2.047065,32.272505,1.004323,3.871552,39.985942,4.118690,2.482279,19.186110,2.529273,2.364753,6.602895,135,21665,0,0
137,0,75.896013,2.058268,32.358666,1.027303,10.680766,119.962748,4.442752,2.490390,18.947689,2.542243,2.290975,6.571604,135,21665,0,0
138,0,2.885942,2.055223,32.661604,1.006466,3.379479,39.933492,4.285078,2.647671,19.040605,2.594920,2.295542,6.698937,135,21665,0,0
139,0,2.903195,2.055528,32.524187,0.999434,3.536014,39.962830,4.224375,2.471503,19.269229,2.722649,2.364078,6.535638,135,21665,0,0
140,0,2.892351,2.028341,32.293521,1.008318,3.769413,39.963603,4.377075,2.624824,18.775014,2.448646,2.369795,6.605438,135,21665,0,0
141,0,10.827138,2.062242,32.245575,1.004066,15.886132,59.962911,4.225552,2.457791,19.238519,2.487135,2.419691,6.844649,135,21665,0,0
142,0,2.844038,2.051900,32.596052,1.036570,3.479156,39.955817,4.206024,2.674533,18.874366,2.441457,2.397196,6.619453,135,21665,0,0
143,0,2.890316,2.049547,32.666853,1.014238,3.368961,39.940369,4.267039,2.617920,19.106557,2.576521,2.395789,6.466254,135,21665,0,0
144,0,2.938432,2.086473,32.217716,1.002825,3.803470,39.962443,4.303223,2.417779,18.939328,2.521098,2.404433,6.653931,135,21665,0,0
145,0,11.507931,2.035319,32.231388,1.008080,15.216285,59.963684,4.303087,2.531996,19.002170,2.718730,2.328284,6.443142,135,21665,0,0
146,0,2.855038,2.045600,32.521773,1.027944,3.582638,39.987393,4.450514,2.625841,18.850040,2.531016,2.473921,6.561852,135,21665,0,0
147,0,2.856184,2.066223,32.568139,1.017270,3.497216,39.938809,4.430952,2.480733,18.871179,2.466068,2.365987,6.641049,135,21665,0,0
148,0,2.878476,2.054226,32.171451,1.006894,3.905908,39.962728,4.446004,2.427205,19.036489,2.442702,2.504968,6.636112,135,21665,0,0
149,0,7.354997,2.083272,32.213016,0.984677,19.410567,59.963257,4.202891,2.537591,19.098921,2.583577,2.384223,6.409275,135,21665,0,0
150,0,16.244056,2.048584,32.424747,1.005632,10.282210,59.956645,4.385071,2.657966,18.810683,2.493761,2.377150,6.601732,135,21665,0,0
151,0,2.870717,2.078579,32.266713,1.027788,3.822879,39.988098,4.147956,2.590997,19.223304,2.625773,2.294139,6.544179,135,21665,0,0
152,0,2.836755,2.046041,32.562707,1.007694,3.530514,39.937670,4.496467,2.579820,18.710164,2.441905,2.336378,6.601054,135,21665,0,0
153,0,7.558733,2.047696,32.083547,0.977726,19.311296,59.931302,4.321177,2.417853,19.028117,2.544671,2.317329,6.442735,135,21665,0,0
154,0,7.373552,2.035773,32.755863,0.985775,18.847456,59.962646,4.274641,2.514445,19.283525,2.546973,2.375444,6.531962,135,21665,0,0
155,0,2.832204,2.038479,32.234812,1.007158,3.889001,39.963175,4.277612,2.569350,18.945509,2.710337,2.255944,6.472972,135,21665,0,0
156,0,2.848609,2.057136,32.491052,1.006344,3.617191,39.963196,4.410038,2.540609,18.741201,2.502774,2.367642,6.635105,135,21665,0,0
157,0,7.680620,2.049099,32.391015,1.005907,18.886244,59.963786,4.468004,2.542548,18.811893,2.413344,2.428769,6.633131,135,21665,0,0
158,0,2.878801,2.051297,32.718916,1.019385,3.345523,39.962626,4.259569,2.553060,19.190633,2.405372,2.455492,6.635047,135,21665,0,0
159,0,2.914914,2.052884,32.612857,1.035302,3.399573,39.962646,4.488017,2.502401,18.844666,2.524034,2.363878,6.442101,135,21665,0,0
160,0,2.901954,1.996168,32.267215,1.026994,3.767114,39.963277,4.471412,2.503038,18.924544,2.389791,2.466281,6.707509,135,21665,0,0
161,0,6.820309,2.058573,32.251367,0.978451,19.907088,59.957214,4.284610,2.483005,19.152276,2.655758,2.460697,6.523482,135,21665,0,0
162,0,69.120216,1.996704,32.670068,1.008480,17.164290,119.963053,4.365177,2.528158,19.163971,2.562792,2.296967,6.682668,135,21665,0,0
163,0,2.859684,2.045905,32.541507,1.009335,3.521488,39.932014,4.326467,2.628615,18.919430,2.544993,2.268331,6.535339,135,21665,0,0
164,0,2.887044,2.061571,32.615360,1.037581,3.456139,39.996124,4.427256,2.511285,18.999315,2.496185,2.400706,6.696177,135,21665,0,0
165,0,7.108297,2.048245,32.180688,0.983924,19.656457,59.929365,4.322032,2.579644,19.041321,2.382328,2.468669,6.580753,135,21665,0,0
166,0,6.974158,2.052741,32.385135,0.979570,19.642337,59.981201,4.482720,2.485548,18.747793,2.519711,2.354173,6.465427,135,21665,0,0
167,0,2.854163,2.035468,32.053145,1.006819,4.029985,39.944112,4.280785,2.423272,18.951450,2.515652,2.440555,6.487779,135,21665,0,0
168,0,2.891151,2.065660,32.650435,1.013445,3.407108,39.962138,4.457038,2.479818,18.989295,2.360942,2.419478,6.621996,135,21665,0,0
169,0,7.401811,2.052429,32.338118,0.975888,19.247745,59.963562,4.262302,2.512607,19.126546,2.552070,2.393524,6.542904,135,21665,0,0
170,0,7.199521,2.070095,32.722395,1.004561,19.053321,59.979797,4.229479,2.615763,19.248817,2.524902,2.296254,6.643494,135,21665,0,0
171,0,2.874210,2.050944,32.047611,1.003760,4.013919,39.939501,4.247748,2.471890,18.901889,2.635885,2.325321,6.380137,135,21665,0,0
172,0,2.862749,2.070665,32.590607,1.007768,3.468672,39.929796,4.426520,2.505744,18.842353,2.475786,2.266032,6.681529,135,21665,0,0
173,0,7.291745,2.050951,32.191288,0.983008,19.497806,59.963847,4.055617,2.725301,18.957865,2.430437,2.618659,6.531721,135,21665,0,0
174,0,2.921933,2.065653,32.631473,1.036177,3.373043,39.962626,4.239095,2.530674,19.326253,2.569784,2.600928,6.463220,135,21665,0,0
175,0,17.035804,2.062724,32.665287,1.027022,9.235348,59.963460,4.230513,2.491136,19.037798,2.445587,2.515483,6.685184,135,21665,0,0
176,0,2.868161,2.057475,32.498355,1.010006,3.606815,39.983337,4.471985,2.529541,18.852217,2.408400,2.439982,6.513584,135,21665,0,0
177,0,7.305396,2.031108,32.500451,0.986508,19.149295,59.941650,4.195228,2.502055,19.168304,2.701450,2.403273,6.584802,135,21665,0,0
178,0,2.900692,2.042121,32.699039,1.007714,3.355303,39.962748,4.492927,2.580404,18.813429,2.306332,2.298445,6.588915,135,21665,0,0
179,0,7.014950,2.014364,32.507714,1.006148,19.457882,59.986694,4.376753,2.456909,19.160634,2.742218,2.404992,6.486416,135,21665,0,0
180,0,2.832170,2.041775,32.476322,1.006466,3.623274,39.938232,4.373010,2.613539,18.755873,2.429810,2.378476,6.507412,135,21665,0,0
181,0,7.316884,2.052409,32.570363,0.982602,19.087528,59.957377,4.249546,2.543037,19.200358,2.573564,2.488888,6.579329,135,21665,0,0
182,0,2.876746,2.050273,32.603316,1.035689,3.446937,39.962687,4.255429,2.497654,19.099565,2.519552,2.606571,6.401472,135,21665,0,0
183,0,2.925717,2.069017,32.686466,1.013852,3.337609,39.963643,4.303484,2.640394,19.102132,2.538951,2.248793,6.425113,135,21665,0,0
