label,start_ticks,duration_ticks,frame,value
VIF1_FRAME_START,9,0,1500,192
GIF_STATE,9,0,1500,0
Pad,287,8000,1500,0
Update,8783,2056072,1500,0
Portal,2255863,106,1500,0
Bounds,2257331,5710,1500,0
VIF1_WAIT_START,2306915,0,1500,192
GIF_STATE,2306915,0,1500,0
VIF1_WAIT_END,2307394,0,1500,192
GIF_STATE,2307394,0,1500,0
VIF1_DMA_wait,2306811,764,1500,0
GIF_DMA_wait,2307785,106,1500,0
Packet_qwords,2311973,0,1500,88
VIF1_submit,2311923,5382,1500,0
Dispatch,2270545,47978,1500,0
Static_bag,2256641,61927,1500,0
Bounds,2332879,8366,1500,0
Static_bag,2332255,9317,1500,0
Sky,2256200,85837,1500,0
Bounds,2346017,4310,1500,0
VIF1_WAIT_START,2449409,0,1500,192
GIF_STATE,2449409,0,1500,0
VIF1_WAIT_END,2449906,0,1500,192
GIF_STATE,2449906,0,1500,0
VIF1_DMA_wait,2449311,744,1500,0
GIF_DMA_wait,2450361,84,1500,0
Packet_qwords,2457255,0,1500,141
VIF1_submit,2457195,5200,1500,0
VIF1_WAIT_START,2470788,0,1500,150995146
GIF_STATE,2470788,0,1500,1536
VIF1_WAIT_END,2595139,0,1500,70
GIF_STATE,2595139,0,1500,0
VIF1_DMA_wait,2470735,124650,1500,0
GIF_DMA_wait,2595628,185,1500,0
Packet_qwords,2598377,0,1500,36
VIF1_submit,2598369,4553,1500,0
Dispatch,2358933,245082,1500,0
Static_bag,2345666,258394,1500,0
Bounds,2606497,5598,1500,0
Static_bag,2605595,6674,1500,0
Bounds,2612876,3935,1500,0
VIF1_WAIT_START,2658197,0,1500,64
GIF_STATE,2658197,0,1500,0
VIF1_WAIT_END,2658688,0,1500,64
GIF_STATE,2658688,0,1500,0
VIF1_DMA_wait,2658093,770,1500,0
GIF_DMA_wait,2659083,84,1500,0
Packet_qwords,2661851,0,1500,57
VIF1_submit,2661803,5312,1500,0
Dispatch,2624139,44088,1500,0
Static_bag,2612641,55631,1500,0
Bounds,2670505,5544,1500,0
VIF1_WAIT_START,2702777,0,1500,64
GIF_STATE,2702777,0,1500,0
VIF1_WAIT_END,2703178,0,1500,64
GIF_STATE,2703178,0,1500,0
VIF1_DMA_wait,2702673,594,1500,0
GIF_DMA_wait,2703492,42,1500,0
Packet_qwords,2706117,0,1500,57
VIF1_submit,2706068,4877,1500,0
Dispatch,2683125,28998,1500,0
Static_bag,2669669,42570,1500,0
Bounds,2713994,4889,1500,0
Static_bag,2713483,5556,1500,0
Bounds,2719940,2528,1500,0
Static_bag,2719661,2895,1500,0
Bounds,2723192,3185,1500,0
VIF1_WAIT_START,2744838,0,1500,64
GIF_STATE,2744838,0,1500,0
VIF1_WAIT_END,2745154,0,1500,64
GIF_STATE,2745154,0,1500,0
VIF1_DMA_wait,2744775,458,1500,0
GIF_DMA_wait,2745336,42,1500,0
Packet_qwords,2751801,0,1500,141
VIF1_submit,2751752,4913,1500,0
VIF1_WAIT_START,2764970,0,1500,150995014
GIF_STATE,2764970,0,1500,0
VIF1_WAIT_END,2825395,0,1500,198
GIF_STATE,2825395,0,1500,0
VIF1_DMA_wait,2764911,60842,1500,0
GIF_DMA_wait,2826054,133,1500,0
Packet_qwords,2829203,0,1500,43
VIF1_submit,2829195,4451,1500,0
Dispatch,2730841,103923,1500,0
Static_bag,2722881,111928,1500,0
Bounds,2837005,5870,1500,0
VIF1_WAIT_START,2906879,0,1500,64
GIF_STATE,2906879,0,1500,0
VIF1_WAIT_END,2907274,0,1500,64
GIF_STATE,2907274,0,1500,0
VIF1_DMA_wait,2906781,636,1500,0
GIF_DMA_wait,2907635,45,1500,0
Packet_qwords,2914137,0,1500,141
VIF1_submit,2914070,5081,1500,0
VIF1_WAIT_START,2926772,0,1500,67
GIF_STATE,2926772,0,1500,0
VIF1_WAIT_END,2987989,0,1500,198
GIF_STATE,2987989,0,1500,0
VIF1_DMA_wait,2926703,61532,1500,0
GIF_DMA_wait,2988496,143,1500,0
Packet_qwords,2991245,0,1500,36
VIF1_submit,2991237,4451,1500,0
Dispatch,2850123,146740,1500,0
Static_bag,2836164,160744,1500,0
Bounds,2999177,6214,1500,0
VIF1_WAIT_START,3079931,0,1500,192
GIF_STATE,3079931,0,1500,0
VIF1_WAIT_END,3080416,0,1500,192
GIF_STATE,3080416,0,1500,0
VIF1_DMA_wait,3079833,768,1500,0
GIF_DMA_wait,3080867,82,1500,0
Packet_qwords,3087585,0,1500,141
VIF1_submit,3087525,5512,1500,0
VIF1_WAIT_START,3102440,0,1500,150995142
GIF_STATE,3102440,0,1500,0
VIF1_WAIT_END,3162079,0,1500,70
GIF_STATE,3162079,0,1500,0
VIF1_DMA_wait,3102387,59938,1500,0
GIF_DMA_wait,3162588,88,1500,0
Packet_qwords,3165719,0,1500,43
VIF1_submit,3165711,4367,1500,0
Dispatch,3013197,157996,1500,0
Static_bag,2998187,173051,1500,0
Bounds,3173596,5415,1500,0
Static_bag,3172589,6550,1500,0
Bounds,3179752,3038,1500,0
Static_bag,3179477,3401,1500,0
Bounds,3183392,2954,1500,0
Static_bag,3183167,3348,1500,0
Bounds,3187514,2249,1500,0
Static_bag,3187210,2713,1500,0
Bounds,3190768,2586,1500,0
Static_bag,3190435,3007,1500,0
Bounds,3194062,2757,1500,0
Static_bag,3193831,3115,1500,0
Bounds,3197528,2454,1500,0
Static_bag,3197347,2758,1500,0
Bounds,3200702,3143,1500,0
VIF1_WAIT_START,3223130,0,1500,192
GIF_STATE,3223130,0,1500,0
VIF1_WAIT_END,3223450,0,1500,192
GIF_STATE,3223450,0,1500,0
VIF1_DMA_wait,3223075,516,1500,0
GIF_DMA_wait,3223733,45,1500,0
Packet_qwords,3230181,0,1500,141
VIF1_submit,3230132,4883,1500,0
VIF1_WAIT_START,3243468,0,1500,150995142
GIF_STATE,3243468,0,1500,0
VIF1_WAIT_END,3303877,0,1500,70
GIF_STATE,3303877,0,1500,0
VIF1_DMA_wait,3243409,60766,1500,0
GIF_DMA_wait,3304386,88,1500,0
Packet_qwords,3307561,0,1500,43
VIF1_submit,3307553,4431,1500,0
Dispatch,3208893,104182,1500,0
Static_bag,3200509,112611,1500,0
Bounds,3315277,5948,1500,0
Static_bag,3314442,6963,1500,0
Bounds,3321968,3612,1500,0
Static_bag,3321752,3947,1500,0
Bounds,3326264,3803,1500,0
VIF1_WAIT_START,3370853,0,1500,192
GIF_STATE,3370853,0,1500,0
VIF1_WAIT_END,3371188,0,1500,192
GIF_STATE,3371188,0,1500,0
VIF1_DMA_wait,3370755,522,1500,0
GIF_DMA_wait,3371529,45,1500,0
Packet_qwords,3378087,0,1500,141
VIF1_submit,3378028,5139,1500,0
VIF1_WAIT_START,3391692,0,1500,150995142
GIF_STATE,3391692,0,1500,0
VIF1_WAIT_END,3451849,0,1500,70
GIF_STATE,3451849,0,1500,0
VIF1_DMA_wait,3391633,60486,1500,0
