frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.860704,2.002299,40.560713,1.006982,15.535600,59.963999,4.932573,3.399733,24.055667,3.173370,3.072032,8.500997,169,28090,0,0
121,0,2.906338,1.989787,35.337813,0.976200,0.735653,39.956004,4.208140,2.887977,20.355506,2.613661,2.632226,7.090268,143,23211,0,0
122,0,2.856289,1.965698,40.411238,1.064253,15.683421,60.015201,4.939263,3.349419,23.952833,3.220696,2.894457,8.706245,169,28090,0,0
123,0,2.802945,1.996175,35.404056,0.990143,0.713938,39.911082,4.220086,2.868276,20.463253,2.771108,2.495490,7.080495,143,23211,0,0
124,0,2.884833,1.997904,40.229312,1.006093,15.842906,59.963145,4.813894,3.344089,23.849358,3.144887,2.885790,8.563307,169,28090,0,0
125,0,2.916572,1.999959,35.285383,0.982391,0.779612,39.963959,4.087348,2.966834,20.166575,2.649916,2.504052,7.191783,143,23211,0,0
126,0,2.822001,2.000834,40.235253,1.006846,15.897288,59.961388,4.810316,3.313022,23.820279,3.185937,3.015367,8.597680,169,28090,0,0
127,0,2.825202,2.008789,35.268721,0.984812,0.883840,39.962575,4.084123,3.065701,20.162448,2.583171,2.553260,7.140079,143,23211,0,0
128,0,2.863410,2.020121,40.517826,1.007334,15.575287,59.963857,4.795820,3.509630,23.983870,3.311805,3.014431,8.563483,169,28090,0,0
129,0,2.908108,1.992588,35.446862,0.983612,0.624318,39.962901,4.252519,3.010061,20.259457,2.706177,2.383409,7.133708,143,23211,0,0
130,0,2.878540,1.986430,40.437748,1.000987,15.645538,59.962813,4.816233,3.292148,24.007446,3.088003,3.229886,8.643022,169,28090,0,0
131,0,2.799967,1.992167,35.439802,0.978872,0.707774,39.926415,3.994059,2.800988,20.505052,2.643036,2.594120,7.187324,143,23211,0,0
132,0,2.864102,1.995585,40.226668,1.002085,15.870046,59.962901,4.579637,3.387858,23.846710,3.152690,3.126611,8.526116,169,28090,0,0
133,0,2.845181,2.003615,35.352461,0.981252,0.795074,39.973969,4.204037,2.986549,20.165304,2.613685,2.570689,7.130700,143,23211,0,0
134,0,2.807827,1.999268,40.215010,1.004832,15.923879,59.951548,4.862213,3.460822,23.662367,3.198598,2.846530,8.453773,169,28090,0,0
135,0,2.821377,1.970601,35.310978,0.982995,0.847531,39.962880,4.169925,2.914730,20.208082,2.590234,2.525282,7.118361,143,23211,0,0
136,0,2.832180,2.003011,40.619490,1.006866,15.504486,59.963023,4.942440,3.630751,23.784142,3.174822,2.922567,8.796027,169,28090,0,0
137,0,3.244778,1.971232,35.235294,0.981740,0.501007,39.962819,4.170705,3.097314,20.019908,2.540666,2.468906,6.996429,143,23211,0,0
138,0,2.854845,1.964986,40.398339,1.005700,15.674550,59.933434,4.680735,3.520230,23.810916,3.155562,3.154093,8.471500,169,28090,0,0
139,0,2.793742,1.987935,35.295414,0.979645,0.864288,39.933089,4.100976,2.976763,20.348117,2.801805,2.637563,6.971178,143,23211,0,0
140,0,2.867493,2.007236,40.377160,1.004344,15.714183,59.963179,4.756202,3.417745,23.980903,3.225701,2.991865,8.745466,169,28090,0,0
141,0,2.900764,2.009013,35.338220,0.973419,0.743439,39.955841,4.186947,2.980621,20.210720,2.581146,2.546082,7.129978,143,23211,0,0
142,0,2.807597,2.001139,40.306054,1.006188,15.811696,59.931536,4.543443,3.350071,23.950043,3.037940,3.121402,8.501801,169,28090,0,0
143,0,2.840074,2.000407,35.328067,0.983917,0.811025,39.963084,4.135474,2.870310,20.422841,2.902808,2.552578,7.093703,143,23211,0,0
144,0,2.808743,2.000916,40.613305,1.003137,15.537615,59.962799,4.749146,3.465990,24.102302,3.183268,2.963823,8.757595,169,28090,0,0
145,0,2.911709,1.949646,35.342289,0.989756,0.719391,39.963145,4.202101,3.016056,20.358609,2.621494,2.493154,7.197083,143,23211,0,0
146,0,2.834066,1.984619,40.529666,1.006026,15.592933,59.962691,4.817993,3.356839,24.064175,3.233192,3.068770,8.566118,169,28090,0,0
147,0,2.854133,1.993632,35.441613,0.980886,0.686452,39.963084,4.140659,3.083215,20.295681,2.712501,2.388580,7.068556,143,23211,0,0
148,0,2.865852,2.007114,40.344160,1.005646,15.747467,59.963125,4.619975,3.441118,24.009013,3.172011,2.950663,8.631822,169,28090,0,0
149,0,2.831930,1.998169,35.441681,0.981171,0.707815,39.962596,4.188215,2.996179,20.287832,2.627336,2.493700,7.180983,143,23211,0,0
150,0,2.884854,1.995992,40.208825,1.004079,15.835866,59.933624,4.764238,3.357605,23.840135,3.367377,2.994154,8.397617,169,28090,0,0
151,0,2.841824,1.997925,35.254703,0.982168,0.884572,39.963267,4.102858,2.798459,20.317512,2.496548,2.539812,7.121552,143,23211,0,0
152,0,2.823873,1.999959,40.567325,1.004723,15.560421,59.956343,4.710897,3.449944,24.119666,3.230777,3.069190,8.638536,169,28090,0,0
153,0,2.923340,2.011882,35.488841,0.981110,0.569550,39.962840,4.222663,2.896630,20.471598,2.577610,2.489183,7.210500,143,23211,0,0
154,0,2.886305,1.968648,40.427500,1.032800,15.616208,59.962813,4.929182,3.538459,23.830068,3.288072,3.003699,8.530860,169,28090,0,0
155,0,2.840522,1.976088,35.412540,0.980309,0.729855,39.963226,4.183553,2.961585,20.377404,2.618042,2.594869,7.273339,143,23211,0,0
156,0,2.854438,1.994507,40.286360,1.011037,15.811289,59.963125,4.821052,3.301426,23.967834,3.304470,2.820034,8.760390,169,28090,0,0
157,0,2.840461,2.007304,35.314741,0.985097,0.843048,39.983348,4.044108,2.859311,20.499115,2.601647,2.393911,7.165632,143,23211,0,0
158,0,2.825263,1.992269,40.234277,1.006724,15.876373,59.942637,4.811266,3.409892,23.676483,3.067349,2.880012,8.581434,169,28090,0,0
159,0,2.822842,2.008647,35.293867,0.983897,0.862071,39.962677,4.156891,3.028629,20.143999,2.696513,2.568634,7.113074,143,23211,0,0
160,0,2.853644,2.015299,40.525638,1.007314,15.576752,59.963348,4.814022,3.406230,24.082414,3.217112,2.967882,8.700816,169,28090,0,0
161,0,2.899807,2.014221,35.505639,0.980635,0.576942,39.963023,4.334988,2.956112,20.159570,2.704224,2.427178,7.075212,143,23211,0,0
162,0,3.234219,2.023926,40.474206,1.007050,15.218231,59.933706,4.680806,3.351640,24.062269,3.039853,3.177992,8.706563,169,28090,0,0
163,0,2.798692,1.993001,35.499149,0.983788,0.642717,39.924347,4.235152,3.006446,20.304396,2.582147,2.557671,7.128374,143,23211,0,0
164,0,2.868632,2.009087,40.365563,1.005117,15.723745,59.963057,4.682404,3.476593,24.002275,3.369069,3.017402,8.667080,169,28090,0,0
165,0,2.832018,1.998820,35.431156,0.980859,0.719472,39.963504,4.284661,3.104543,20.220232,2.630680,2.545393,7.177551,143,23211,0,0
166,0,2.823839,1.991699,40.247359,1.004954,15.856476,59.932627,4.859270,3.390645,23.747264,3.245951,2.846239,8.584408,169,28090,0,0
167,0,2.838284,1.963989,35.241947,0.982147,0.900543,39.962921,4.312714,2.899241,20.027466,2.527869,2.516686,7.210483,143,23211,0,0
168,0,2.817064,1.988281,40.517968,1.008162,15.620480,59.963674,4.722117,3.447001,24.224172,3.154212,3.080373,8.658288,169,28090,0,0
169,0,2.912272,1.994670,35.441389,0.980703,0.628408,39.962772,4.063443,2.952382,20.454071,2.579149,2.530863,7.089423,143,23211,0,0
170,0,2.881022,1.961690,40.408898,1.026974,15.669186,59.986081,4.910960,3.290507,24.094513,3.339606,3.049174,8.574236,169,28090,0,0
171,0,2.840271,2.004537,35.371524,0.980574,0.747616,39.939985,4.376665,2.897186,20.334669,2.771094,2.633528,7.004700,143,23211,0,0
172,0,2.832994,1.994893,40.240156,1.033152,15.856578,59.962880,4.938161,3.306159,23.886973,3.422584,2.884193,8.375949,169,28090,0,0
173,0,2.829420,1.992635,35.303396,0.988386,0.841773,39.962975,4.273085,2.827342,20.383603,2.596670,2.458811,7.212555,143,23211,0,0
174,0,2.834581,1.996216,40.233646,1.009728,15.878211,59.956167,4.677233,3.454149,23.795929,3.089793,2.938307,8.543291,169,28090,0,0
175,0,2.930888,1.959371,35.169824,0.985301,0.876455,39.962467,4.216899,3.044803,19.926995,2.667416,2.383321,7.150462,143,23211,0,0
