label,start_ticks,duration_ticks,frame,value
VIF1_FRAME_START,52,0,1500,64
GIF_STATE,52,0,1500,0
Pad,351,7991,1500,0
Update,8851,853592,1500,0
Portal,1153519,88,1500,0
Bounds,1154915,22818,1500,0
VIF1_WAIT_START,1217837,0,1500,64
GIF_STATE,1217837,0,1500,0
VIF1_WAIT_END,1218310,0,1500,64
GIF_STATE,1218310,0,1500,0
VIF1_DMA_wait,1217677,804,1500,0
GIF_DMA_wait,1218747,86,1500,0
Packet_qwords,1223245,0,1500,88
VIF1_submit,1223181,5322,1500,0
Dispatch,1185165,44696,1500,0
Static_bag,1154353,75588,1500,0
Bounds,1232629,7294,1500,0
Static_bag,1232158,7940,1500,0
Sky,1153953,86480,1500,0
Bounds,1244251,3780,1500,0
VIF1_WAIT_START,1342631,0,1500,64
GIF_STATE,1342631,0,1500,0
VIF1_WAIT_END,1343026,0,1500,64
GIF_STATE,1343026,0,1500,0
VIF1_DMA_wait,1342491,644,1500,0
GIF_DMA_wait,1343427,45,1500,0
Packet_qwords,1350128,0,1500,141
VIF1_submit,1350120,5185,1500,0
VIF1_WAIT_START,1368126,0,1500,150995018
GIF_STATE,1368126,0,1500,1536
VIF1_WAIT_END,1486939,0,1500,198
GIF_STATE,1486939,0,1500,0
VIF1_DMA_wait,1368021,119059,1500,0
GIF_DMA_wait,1487256,141,1500,0
Packet_qwords,1490090,0,1500,36
VIF1_submit,1490082,4952,1500,0
Dispatch,1256217,240054,1500,0
Static_bag,1243892,252495,1500,0
Bounds,1498423,5596,1500,0
Static_bag,1497674,6644,1500,0
Bounds,1504927,3028,1500,0
VIF1_WAIT_START,1537943,0,1500,192
GIF_STATE,1537943,0,1500,0
VIF1_WAIT_END,1538404,0,1500,192
GIF_STATE,1538404,0,1500,0
VIF1_DMA_wait,1537803,764,1500,0
GIF_DMA_wait,1538815,45,1500,0
Packet_qwords,1541705,0,1500,57
VIF1_submit,1541640,5041,1500,0
Dispatch,1515621,32208,1500,0
Static_bag,1504758,43165,1500,0
Bounds,1549342,4984,1500,0
VIF1_WAIT_START,1582403,0,1500,192
GIF_STATE,1582403,0,1500,0
VIF1_WAIT_END,1582784,0,1500,192
GIF_STATE,1582784,0,1500,0
VIF1_DMA_wait,1582257,634,1500,0
GIF_DMA_wait,1593985,95,1500,0
Packet_qwords,1597110,0,1500,57
VIF1_submit,1597102,5259,1500,0
Dispatch,1561779,41748,1500,0
Static_bag,1548820,54859,1500,0
Bounds,1605493,5524,1500,0
Static_bag,1604926,6368,1500,0
Bounds,1611968,2244,1500,0
Static_bag,1611784,2675,1500,0
Bounds,1615167,2884,1500,0
VIF1_WAIT_START,1638665,0,1500,192
GIF_STATE,1638665,0,1500,0
VIF1_WAIT_END,1639096,0,1500,192
GIF_STATE,1639096,0,1500,0
VIF1_DMA_wait,1638525,772,1500,0
GIF_DMA_wait,1639549,45,1500,0
Packet_qwords,1646227,0,1500,141
VIF1_submit,1646163,5230,1500,0
VIF1_WAIT_START,1672551,0,1500,67
GIF_STATE,1672551,0,1500,0
VIF1_WAIT_END,1720032,0,1500,70
GIF_STATE,1720032,0,1500,0
VIF1_DMA_wait,1672365,47720,1500,0
GIF_DMA_wait,1720278,127,1500,0
Packet_qwords,1723332,0,1500,43
VIF1_submit,1723324,4936,1500,0
Dispatch,1623759,105650,1500,0
Static_bag,1615001,114528,1500,0
Bounds,1731403,5758,1500,0
VIF1_WAIT_START,1812011,0,1500,192
GIF_STATE,1812011,0,1500,0
VIF1_WAIT_END,1812480,0,1500,192
GIF_STATE,1812480,0,1500,0
VIF1_DMA_wait,1811871,758,1500,0
GIF_DMA_wait,1812847,45,1500,0
Packet_qwords,1819577,0,1500,141
VIF1_submit,1819510,5121,1500,0
VIF1_WAIT_START,1832192,0,1500,195
GIF_STATE,1832192,0,1500,0
VIF1_WAIT_END,1893484,0,1500,70
GIF_STATE,1893484,0,1500,0
VIF1_DMA_wait,1832013,61523,1500,0
GIF_DMA_wait,1893682,42,1500,0
Packet_qwords,1906412,0,1500,36
VIF1_submit,1906404,4844,1500,0
Dispatch,1756209,156110,1500,0
Static_bag,1730786,181629,1500,0
Bounds,1914205,6106,1500,0
VIF1_WAIT_START,1981763,0,1500,64
GIF_STATE,1981763,0,1500,0
VIF1_WAIT_END,1982196,0,1500,64
GIF_STATE,1982196,0,1500,0
VIF1_DMA_wait,1981623,722,1500,0
GIF_DMA_wait,1982563,45,1500,0
Packet_qwords,1989329,0,1500,141
VIF1_submit,1989262,5115,1500,0
VIF1_WAIT_START,2002658,0,1500,150995014
GIF_STATE,2002658,0,1500,0
VIF1_WAIT_END,2063461,0,1500,198
GIF_STATE,2063461,0,1500,0
VIF1_DMA_wait,2002497,61060,1500,0
GIF_DMA_wait,2063780,143,1500,0
Packet_qwords,2067018,0,1500,43
VIF1_submit,2067010,4798,1500,0
Dispatch,1928511,144506,1500,0
Static_bag,1913606,159525,1500,0
Bounds,2075066,5661,1500,0
Static_bag,2074476,6534,1500,0
Bounds,2081684,2132,1500,0
Static_bag,2081462,2647,1500,0
Bounds,2084777,2327,1500,0
Static_bag,2084606,2713,1500,0
Bounds,2087931,2315,1500,0
Static_bag,2087708,2701,1500,0
Bounds,2090925,2365,1500,0
Static_bag,2090848,2603,1500,0
Bounds,2093982,2092,1500,0
Static_bag,2093858,2544,1500,0
Bounds,2096915,2139,1500,0
Static_bag,2096804,2413,1500,0
Bounds,2099708,2621,1500,0
VIF1_WAIT_START,2122787,0,1500,64
GIF_STATE,2122787,0,1500,0
VIF1_WAIT_END,2123178,0,1500,64
GIF_STATE,2123178,0,1500,0
VIF1_DMA_wait,2122647,730,1500,0
