frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,6.728994,2.022909,39.318790,0.666826,13.281735,59.996345,4.807207,3.276913,23.081268,3.049873,3.095890,7.816711,169,28090,0,0
121,0,6.964752,2.030151,34.280765,0.601173,18.082862,59.929552,4.315582,2.860996,19.284285,2.519565,2.628496,6.245127,143,23211,0,0
122,0,2.886614,2.027201,39.133019,0.600399,17.342716,59.962748,4.697625,3.407905,23.000064,2.996945,3.129713,7.781569,169,28090,0,0
123,0,2.804806,2.015015,34.004764,0.601512,2.551822,39.962904,4.157793,2.824490,19.444177,2.549527,2.574076,6.302209,143,23211,0,0
124,0,2.856801,2.035014,39.412743,0.630785,17.062568,59.962897,4.928223,3.345435,22.998715,2.932088,3.027635,7.816772,169,28090,0,0
125,0,19.342519,2.025818,34.441369,0.606354,5.573022,59.963264,4.160166,2.919715,19.285943,2.397712,2.440169,6.533390,143,23211,0,0
126,0,2.851240,2.026679,39.079580,0.636105,17.394894,59.961819,4.741716,3.428680,23.083306,3.038384,3.152669,7.831736,169,28090,0,0
127,0,2.778337,1.993022,33.920658,0.601891,2.632890,39.933777,4.143270,2.966861,19.071489,2.548164,2.595266,6.191071,143,23211,0,0
128,0,2.868140,2.024787,39.428104,0.633887,17.031938,59.962070,4.728651,3.251926,23.212935,2.969669,3.057760,7.938646,169,28090,0,0
129,0,10.418881,2.030090,34.035546,0.655677,14.874651,59.984755,4.125929,2.764455,19.360809,2.593387,2.524685,6.225477,143,23211,0,0
130,0,2.806163,2.021389,39.042280,0.601145,17.484968,59.934557,4.867438,3.344794,23.045926,2.970100,3.098348,7.951962,169,28090,0,0
131,0,2.831980,1.953518,33.981510,0.630897,2.518429,39.962816,4.289534,2.837711,19.255347,2.337243,2.515730,6.426324,143,23211,0,0
132,0,2.813527,2.022481,39.449934,0.598880,17.100623,59.962965,4.942040,3.353265,22.818617,2.976698,2.997247,7.845276,169,28090,0,0
133,0,7.210398,2.032450,34.560001,0.601383,17.560381,59.932163,4.261434,2.960554,19.555461,2.547499,2.474436,6.480191,143,23211,0,0
134,0,2.856523,1.988993,39.171410,0.601281,17.335609,59.964823,4.727308,3.393667,23.108683,2.887553,3.230160,7.736949,169,28090,0,0
135,0,2.818410,2.020677,34.147159,0.599782,2.395165,39.960517,4.105452,2.813256,19.652032,2.461450,2.832530,6.407800,143,23211,0,0
136,0,2.815325,2.029154,39.219404,0.598785,17.300052,59.933567,5.019674,3.282342,22.620460,2.967651,3.027486,7.693393,169,28090,0,0
137,0,70.162079,2.004361,34.571923,0.618405,14.628781,119.981188,4.146369,2.995795,19.504398,2.393704,2.580868,6.374539,143,23211,0,0
138,0,2.787004,2.002686,39.319665,0.652673,17.148597,59.907939,4.679162,3.149675,23.272125,2.992194,3.097582,7.822011,169,28090,0,0
139,0,2.815582,2.025764,34.598636,0.606096,1.943498,39.963813,4.476702,2.771979,19.413188,2.416222,2.732524,6.480465,143,23211,0,0
140,0,2.817861,2.027466,39.416833,0.606374,17.121667,59.962735,4.824599,3.263930,22.878513,2.996514,2.952311,7.896973,169,28090,0,0
141,0,11.057159,2.053935,34.370995,0.605479,13.929711,59.963345,4.211399,2.947425,19.114020,2.379737,2.551019,6.446320,143,23211,0,0
142,0,2.828522,1.966878,38.995222,0.631710,17.506934,59.962389,4.672919,3.321655,23.139357,2.929813,3.206896,7.730940,169,28090,0,0
143,0,2.851349,2.032600,34.206546,0.639299,2.299008,39.996202,4.173364,2.842478,19.585581,2.458357,2.623650,6.476423,143,23211,0,0
144,0,2.811635,2.026489,39.548893,0.605608,16.963620,59.929755,4.856778,3.356700,23.114383,2.832645,3.139381,8.063494,169,28090,0,0
145,0,10.969248,2.020426,34.463016,0.636044,13.893877,59.962185,4.167050,2.888791,19.556834,2.367059,2.840298,6.514462,143,23211,0,0
146,0,2.819916,2.035441,38.739749,0.626360,17.777727,59.963752,4.715722,3.198107,22.981303,3.044932,3.105089,7.785370,169,28090,0,0
147,0,2.852610,1.985074,33.972843,0.602597,2.534441,39.962491,4.145677,2.991455,19.147424,2.224976,2.614644,6.356364,143,23211,0,0
148,0,2.810577,2.021349,39.360965,0.606340,17.177812,59.955695,4.826755,3.306390,22.569095,2.838287,2.883511,7.887800,169,28090,0,0
149,0,6.886898,2.010701,34.321516,0.604997,18.122576,59.935988,4.207401,2.941311,19.103587,2.493232,2.483714,6.497186,143,23211,0,0
150,0,16.313751,2.023254,39.090824,0.600196,3.957333,59.962104,4.666419,3.303663,22.993005,2.959659,3.074588,7.735440,169,28090,0,0
151,0,2.843787,2.020311,33.890262,0.644379,2.583377,39.961806,4.144806,2.768416,19.365913,2.587097,2.592356,6.368679,143,23211,0,0
152,0,2.812307,2.026109,39.554101,0.602122,16.995161,59.963691,4.843645,3.281443,23.126099,3.004072,3.164296,7.972287,169,28090,0,0
153,0,7.240428,2.003601,34.459151,0.605221,17.658464,59.963264,4.335222,2.737447,19.466888,2.485067,2.666704,6.346137,143,23211,0,0
154,0,7.332326,2.017910,38.975528,0.600922,13.053755,59.962531,4.636871,3.662835,22.652022,3.040181,3.026503,7.569550,169,28090,0,0
155,0,2.855459,2.032355,34.354902,0.602088,2.121151,39.933601,4.269301,2.887739,19.282586,2.566189,2.601176,6.424506,143,23211,0,0
156,0,2.865489,2.020108,39.424198,0.605506,17.067603,59.962796,4.829271,3.333903,23.088518,2.892398,3.151564,7.974260,169,28090,0,0
157,0,7.650258,1.987366,34.210880,0.607276,17.487586,59.956000,4.309516,2.762658,19.427249,2.564623,2.450277,6.426592,143,23211,0,0
