label,start_ticks,duration_ticks,frame,value
VIF1_FRAME_START,44,0,1500,64
GIF_STATE,44,0,1500,0
Pad,309,7880,1500,0
Update,8697,2011568,1500,0
Portal,2305047,107,1500,0
Bounds,2306436,22959,1500,0
VIF1_WAIT_START,2371003,0,1500,64
GIF_STATE,2371003,0,1500,0
VIF1_WAIT_END,2371420,0,1500,64
GIF_STATE,2371420,0,1500,0
VIF1_DMA_wait,2370851,712,1500,0
GIF_DMA_wait,2371791,114,1500,0
Packet_qwords,2376106,0,1500,88
VIF1_submit,2376095,5596,1500,0
Dispatch,2336655,46228,1500,0
Static_bag,2305895,77148,1500,0
Bounds,2385728,8081,1500,0
Static_bag,2385279,8699,1500,0
Sky,2305448,89027,1500,0
Bounds,2398534,3869,1500,0
VIF1_WAIT_START,2504503,0,1500,64
GIF_STATE,2504503,0,1500,0
VIF1_WAIT_END,2505010,0,1500,64
GIF_STATE,2505010,0,1500,0
VIF1_DMA_wait,2504355,760,1500,0
GIF_DMA_wait,2505379,92,1500,0
Packet_qwords,2512256,0,1500,141
VIF1_submit,2512245,5250,1500,0
VIF1_WAIT_START,2525048,0,1500,150995142
GIF_STATE,2525048,0,1500,0
VIF1_WAIT_END,2580485,0,1500,198
GIF_STATE,2580485,0,1500,0
VIF1_DMA_wait,2524981,55762,1500,0
GIF_DMA_wait,2580912,149,1500,0
Packet_qwords,2583604,0,1500,36
VIF1_submit,2583596,4526,1500,0
Dispatch,2410877,178334,1500,0
Static_bag,2398287,191086,1500,0
Bounds,2591564,16413,1500,0
Static_bag,2590791,17587,1500,0
Bounds,2609366,3287,1500,0
VIF1_WAIT_START,2639989,0,1500,192
GIF_STATE,2639989,0,1500,0
VIF1_WAIT_END,2640502,0,1500,192
GIF_STATE,2640502,0,1500,0
VIF1_DMA_wait,2639841,765,1500,0
GIF_DMA_wait,2640873,47,1500,0
Packet_qwords,2643694,0,1500,57
VIF1_submit,2643683,5458,1500,0
Dispatch,2619799,30418,1500,0
Static_bag,2609029,41302,1500,0
Bounds,2651931,5388,1500,0
VIF1_WAIT_START,2682889,0,1500,192
GIF_STATE,2682889,0,1500,0
VIF1_WAIT_END,2683222,0,1500,192
GIF_STATE,2683222,0,1500,0
VIF1_DMA_wait,2682741,530,1500,0
GIF_DMA_wait,2683549,43,1500,0
Packet_qwords,2686424,0,1500,57
VIF1_submit,2686413,5034,1500,0
Dispatch,2663871,28640,1500,0
Static_bag,2651541,41156,1500,0
Bounds,2694111,5272,1500,0
Static_bag,2693667,5827,1500,0
Bounds,2700236,2034,1500,0
Static_bag,2700023,2333,1500,0
Bounds,2702891,2816,1500,0
VIF1_WAIT_START,2723818,0,1500,192
GIF_STATE,2723818,0,1500,0
VIF1_WAIT_END,2724005,0,1500,192
GIF_STATE,2724005,0,1500,0
VIF1_DMA_wait,2723759,342,1500,0
GIF_DMA_wait,2724234,90,1500,0
Packet_qwords,2730793,0,1500,141
VIF1_submit,2730785,5014,1500,0
VIF1_WAIT_START,2743244,0,1500,195
GIF_STATE,2743244,0,1500,0
VIF1_WAIT_END,2804659,0,1500,70
GIF_STATE,2804659,0,1500,0
VIF1_DMA_wait,2743148,61753,1500,0
GIF_DMA_wait,2805247,204,1500,0
Packet_qwords,2808610,0,1500,43
VIF1_submit,2808599,4325,1500,0
Dispatch,2710395,103612,1500,0
Static_bag,2702717,111386,1500,0
Bounds,2815964,5609,1500,0
VIF1_WAIT_START,2884189,0,1500,192
GIF_STATE,2884189,0,1500,0
VIF1_WAIT_END,2884594,0,1500,192
GIF_STATE,2884594,0,1500,0
VIF1_DMA_wait,2884049,649,1500,0
GIF_DMA_wait,2884953,47,1500,0
Packet_qwords,2891692,0,1500,141
VIF1_submit,2891681,5308,1500,0
VIF1_WAIT_START,2904008,0,1500,195
GIF_STATE,2904008,0,1500,0
VIF1_WAIT_END,2965921,0,1500,70
GIF_STATE,2965921,0,1500,0
VIF1_DMA_wait,2903933,62182,1500,0
GIF_DMA_wait,2966372,203,1500,0
Packet_qwords,2969278,0,1500,36
VIF1_submit,2969270,4490,1500,0
Dispatch,2828341,146622,1500,0
