frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.144541,2.030904,40.478519,1.013587,11.337480,59.974128,4.791823,3.227207,24.024485,2.821740,3.119164,8.554745,169,28090,0,0
121,0,7.165436,2.036377,35.298201,1.005727,16.483117,59.952481,4.596805,2.844065,19.792945,2.348680,2.533447,7.131070,143,23211,0,0
122,0,2.903595,2.018880,40.400455,1.026886,15.652408,59.983344,4.789090,3.485779,23.689050,2.957869,3.075907,8.465586,169,28090,0,0
123,0,2.848785,2.042521,35.336578,0.983287,0.773353,39.942003,4.265873,2.751746,20.578820,2.561754,2.618846,7.199273,143,23211,0,0
124,0,2.896908,2.029548,40.298119,1.008155,15.759864,59.963047,4.908529,3.322747,23.477119,3.087575,3.181278,8.376726,169,28090,0,0
125,0,21.827769,2.027534,35.548567,1.001482,1.584781,59.962599,4.279127,2.889292,20.308407,2.462023,2.572079,7.223931,143,23211,0,0
126,0,2.916704,2.027608,40.358693,1.001543,15.679196,59.956136,4.704678,3.399343,23.828264,3.053019,3.010881,8.728126,169,28090,0,0
127,0,2.815609,2.011583,34.935449,1.037303,1.204451,39.992811,4.453925,2.795736,19.867065,2.395728,2.598246,7.096788,143,23211,0,0
128,0,2.900096,2.027622,40.372732,1.005232,15.654992,59.933051,4.884728,3.230021,23.867499,3.216580,3.062351,8.290582,169,28090,0,0
129,0,10.203834,1.995246,35.522424,1.035756,13.229089,59.991102,4.267297,2.823988,20.363485,2.397878,2.530396,7.246884,143,23211,0,0
130,0,2.884104,2.024319,40.263065,1.002051,15.785112,59.934333,4.754154,3.325575,23.608236,2.857388,3.096748,8.576935,169,28090,0,0
131,0,2.843129,2.031806,35.204003,0.980099,0.935645,39.962877,4.331072,2.769623,20.184228,2.512933,2.565423,7.183882,143,23211,0,0
