label,start_ticks,duration_ticks,frame,value
VIF1_FRAME_START,44,0,1500,64
GIF_STATE,44,0,1500,0
Pad,309,7904,1500,0
Update,8691,2114238,1500,0
Portal,2406153,107,1500,0
Bounds,2407564,32999,1500,0
VIF1_WAIT_START,2495005,0,1500,64
GIF_STATE,2495005,0,1500,0
VIF1_WAIT_END,2495392,0,1500,64
GIF_STATE,2495392,0,1500,0
VIF1_DMA_wait,2494811,770,1500,0
GIF_DMA_wait,2495845,134,1500,0
Packet_qwords,2500104,0,1500,88
VIF1_submit,2500093,5404,1500,0
Dispatch,2448103,58586,1500,0
Static_bag,2406991,99794,1500,0
Bounds,2509699,8178,1500,0
Static_bag,2509083,9036,1500,0
Sky,2406578,112073,1500,0
Bounds,2522483,3754,1500,0
VIF1_WAIT_START,2610535,0,1500,64
GIF_STATE,2610535,0,1500,0
VIF1_WAIT_END,2610941,0,1500,64
GIF_STATE,2610941,0,1500,0
VIF1_DMA_wait,2610317,728,1500,0
GIF_DMA_wait,2611322,81,1500,0
Packet_qwords,2618070,0,1500,141
VIF1_submit,2618059,16378,1500,0
VIF1_WAIT_START,2643385,0,1500,150995018
GIF_STATE,2643385,0,1500,1536
VIF1_WAIT_END,2767028,0,1500,198
GIF_STATE,2767028,0,1500,0
VIF1_DMA_wait,2643231,123899,1500,0
GIF_DMA_wait,2767234,91,1500,0
Packet_qwords,2769802,0,1500,36
VIF1_submit,2769794,4796,1500,0
Dispatch,2534339,241254,1500,0
Static_bag,2522264,253427,1500,0
Bounds,2777861,16568,1500,0
Static_bag,2777035,17744,1500,0
Bounds,2795725,3020,1500,0
VIF1_WAIT_START,2826433,0,1500,192
GIF_STATE,2826433,0,1500,0
VIF1_WAIT_END,2826844,0,1500,192
GIF_STATE,2826844,0,1500,0
VIF1_DMA_wait,2826243,744,1500,0
GIF_DMA_wait,2827234,127,1500,0
Packet_qwords,2830026,0,1500,57
VIF1_submit,2830015,5332,1500,0
Dispatch,2805869,30662,1500,0
Static_bag,2795320,41307,1500,0
Bounds,2838071,5062,1500,0
VIF1_WAIT_START,2868895,0,1500,192
GIF_STATE,2868895,0,1500,0
VIF1_WAIT_END,2869264,0,1500,192
GIF_STATE,2869264,0,1500,0
VIF1_DMA_wait,2868711,602,1500,0
GIF_DMA_wait,2869558,97,1500,0
Packet_qwords,2872527,0,1500,57
VIF1_submit,2872516,5017,1500,0
Dispatch,2850013,28824,1500,0
Static_bag,2837659,41342,1500,0
Bounds,2880449,4654,1500,0
Static_bag,2879973,5308,1500,0
Bounds,2886192,2426,1500,0
Static_bag,2885927,2777,1500,0
Bounds,2889250,3365,1500,0
VIF1_WAIT_START,2911358,0,1500,192
GIF_STATE,2911358,0,1500,0
VIF1_WAIT_END,2911595,0,1500,192
GIF_STATE,2911595,0,1500,0
VIF1_DMA_wait,2911253,438,1500,0
GIF_DMA_wait,2911784,94,1500,0
Packet_qwords,2918296,0,1500,141
VIF1_submit,2918288,5169,1500,0
VIF1_WAIT_START,2931254,0,1500,195
GIF_STATE,2931254,0,1500,0
VIF1_WAIT_END,2992243,0,1500,70
GIF_STATE,2992243,0,1500,0
VIF1_DMA_wait,2931182,61176,1500,0
GIF_DMA_wait,2992576,199,1500,0
Packet_qwords,2996008,0,1500,43
VIF1_submit,2995997,4499,1500,0
Dispatch,2897311,104274,1500,0
Static_bag,2889029,112652,1500,0
Bounds,3003719,5584,1500,0
VIF1_WAIT_START,3084467,0,1500,192
GIF_STATE,3084467,0,1500,0
VIF1_WAIT_END,3084851,0,1500,192
GIF_STATE,3084851,0,1500,0
VIF1_DMA_wait,3084281,712,1500,0
GIF_DMA_wait,3085234,127,1500,0
Packet_qwords,3092028,0,1500,141
VIF1_submit,3092017,15052,1500,0
VIF1_WAIT_START,3115847,0,1500,150995142
GIF_STATE,3115847,0,1500,0
VIF1_WAIT_END,3176120,0,1500,70
GIF_STATE,3176120,0,1500,0
VIF1_DMA_wait,3115649,60520,1500,0
GIF_DMA_wait,3176312,99,1500,0
Packet_qwords,3178820,0,1500,36
VIF1_submit,3178812,4396,1500,0
Dispatch,3016499,167772,1500,0
