frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,8.011705,2.047519,39.762729,1.008124,11.168945,59.951504,4.661926,3.174883,23.844689,3.402520,2.996602,8.589827,169,28090,0,0
121,0,7.892619,2.050483,34.717706,1.006198,16.348626,59.965149,4.350901,2.656487,19.897576,2.747135,2.490353,7.108270,143,23211,0,0
122,0,2.847460,2.059733,39.560025,1.005941,16.551568,59.964993,4.566949,3.099209,23.823086,3.298855,3.020389,8.537333,169,28090,0,0
123,0,2.882046,2.031820,34.409804,1.002998,1.670559,39.965407,4.131521,2.702284,19.989573,2.735982,2.482914,7.239607,143,23211,0,0
124,0,2.907050,2.051737,39.711880,1.004469,16.342109,59.965508,4.624295,3.219211,23.729672,3.316037,2.956024,8.681586,169,28090,0,0
125,0,21.182821,2.042582,34.574795,1.034973,3.205424,59.998013,4.293298,2.761627,19.715936,2.641052,2.522247,6.994453,143,23211,0,0
126,0,2.873142,2.048706,39.700297,1.000068,16.358670,59.932176,4.685113,3.138000,23.737590,3.179443,3.037723,8.627970,169,28090,0,0
127,0,2.817308,2.029894,34.334337,1.002353,1.811503,39.965502,3.863403,2.810398,20.241343,2.620449,2.591916,7.140272,143,23211,0,0
128,0,2.890442,2.068929,39.808567,0.995544,16.270603,59.965156,4.721656,3.496304,23.602729,3.166680,2.963447,8.382650,169,28090,0,0
129,0,12.032477,2.023539,34.636013,1.001126,12.289117,59.958733,4.110328,2.692390,19.828752,2.799299,2.415375,7.068339,143,23211,0,0
130,0,2.909770,2.023051,39.544054,1.004049,16.507121,59.964993,4.742706,3.271525,23.547994,3.206441,2.951704,8.472307,169,28090,0,0
131,0,2.829881,2.042474,34.480157,1.004198,1.622274,39.936510,4.211558,2.824253,19.924978,2.626190,2.490343,7.219231,143,23211,0,0
132,0,2.898159,2.044956,39.625393,1.014804,16.426860,59.965217,5.017303,3.205983,23.459425,3.484453,2.957733,8.224335,169,28090,0,0
133,0,7.698168,2.060425,34.661960,1.002835,16.602478,59.965441,4.099355,2.602926,20.178212,2.888295,2.508887,7.081448,143,23211,0,0
134,0,2.866455,2.050883,39.210870,1.006931,16.880853,59.965108,4.704498,3.182604,23.217943,3.487244,2.901462,8.278995,169,28090,0,0
135,0,2.865546,2.036662,34.183404,1.003398,1.924411,39.976759,4.294824,2.714288,19.708123,2.637536,2.418535,6.912723,143,23211,0,0
136,0,2.833950,2.046109,39.567803,1.033522,16.544454,59.979730,4.877448,3.187975,23.465786,3.379473,2.825785,8.467770,169,28090,0,0
137,0,87.366333,2.056064,34.763075,1.001024,16.808614,139.939046,4.171953,2.750075,19.983582,2.577396,2.419484,7.152188,143,23211,0,0
138,0,2.828925,2.041829,39.782600,1.004272,16.342834,59.958632,4.602892,3.234745,23.830899,3.414476,3.000404,8.485881,169,28090,0,0
139,0,2.868144,2.045702,34.705695,1.004388,1.357381,39.935608,3.977902,2.787733,20.138638,2.684160,2.440606,7.248508,143,23211,0,0
140,0,2.861721,2.034607,39.747382,0.998250,16.358107,59.965461,4.871382,3.211578,23.506382,3.348555,3.129676,8.276466,169,28090,0,0
141,0,11.617581,2.033257,34.629327,1.010851,12.707845,59.965603,4.146888,2.860901,19.827644,2.739224,2.376309,7.042284,143,23211,0,0
142,0,2.888536,2.014269,39.548679,1.001912,16.526625,59.965752,4.766042,3.273261,23.557597,3.282138,2.899980,8.674069,169,28090,0,0
143,0,2.867839,2.046570,34.421617,1.004205,1.644938,39.938599,4.297028,2.614899,19.792616,2.609344,2.500142,7.127604,143,23211,0,0
144,0,2.884243,2.062520,39.827379,1.000854,16.254659,59.967136,4.839016,3.252272,23.563246,3.313500,2.971100,8.541843,169,28090,0,0
145,0,13.017259,2.054199,34.879449,0.999308,11.066922,59.962938,4.371565,2.726685,20.023343,2.748864,2.488905,7.045125,143,23211,0,0
146,0,2.820055,2.033468,39.666782,1.001641,16.477105,59.965583,4.792708,3.197534,23.695513,3.165900,2.892829,8.638872,169,28090,0,0
147,0,2.873115,2.007568,34.531216,0.999844,1.561334,39.965508,4.129937,2.905331,19.951457,2.663720,2.736108,6.980625,143,23211,0,0
148,0,2.911404,2.023817,39.553663,1.007399,16.486267,59.958733,5.099884,3.067308,23.389818,3.477654,2.937778,8.197527,169,28090,0,0
149,0,7.540697,2.038947,34.871921,1.000176,16.521932,59.934726,4.240580,2.628326,20.070506,2.765754,2.749695,7.039042,143,23211,0,0
150,0,19.716919,2.042745,39.472134,0.981330,19.795281,79.965664,4.457835,3.283203,23.580529,3.084364,2.872576,8.388357,169,28090,0,0
151,0,2.842794,2.058634,34.921394,0.997742,1.202291,39.964220,4.202226,2.759972,20.184967,2.683407,2.626055,7.208323,143,23211,0,0
152,0,2.878282,2.046034,39.699843,1.003750,16.354899,59.936774,4.760369,3.236104,23.487508,3.329312,3.018643,8.422356,169,28090,0,0
153,0,7.839586,2.022007,34.617954,1.028924,16.501804,59.988268,4.083479,2.822652,19.870216,2.631324,2.582479,6.978563,143,23211,0,0
154,0,7.828335,2.064616,39.475654,1.026957,11.611565,59.942512,4.774024,3.348558,23.426270,3.355476,2.973823,8.299347,169,28090,0,0
155,0,2.833096,2.044352,34.321153,1.002747,1.808512,39.965508,4.131439,2.808757,19.786533,2.718021,2.633474,6.959981,143,23211,0,0
156,0,2.872762,2.054260,39.701809,1.004184,16.386176,59.964932,4.695652,3.070570,23.815915,3.347344,2.881460,8.426348,169,28090,0,0
157,0,8.055223,2.059150,34.683112,1.032566,16.188666,59.959568,3.963009,2.755361,20.210480,2.627641,2.573001,7.004161,143,23211,0,0
158,0,2.865255,2.043477,39.641066,1.008002,16.450609,59.964932,4.673459,3.062876,23.911872,3.652069,3.038774,8.196459,169,28090,0,0
159,0,2.847887,2.029460,34.137173,1.007473,1.973850,39.966383,4.171316,2.805881,19.664086,2.661774,2.533112,7.031467,143,23211,0,0
160,0,2.920091,2.067688,39.464484,1.005995,16.574246,59.964817,4.779026,3.374122,23.365272,3.308285,2.951541,8.340118,169,28090,0,0
161,0,7.531582,2.046265,34.848260,1.002740,16.582886,59.965468,4.125777,2.588949,20.035563,2.657952,2.535109,7.152351,143,23211,0,0
162,0,80.770311,2.071452,39.548903,0.983310,18.662821,139.965346,4.382145,3.266293,23.811859,3.434723,2.851888,8.583011,169,28090,0,0
163,0,2.861192,2.044230,34.889553,1.001241,1.212850,39.964837,4.422418,2.744992,19.932817,2.739404,2.505944,7.080424,143,23211,0,0
164,0,2.832987,2.044657,39.832330,1.002557,16.270772,59.938646,4.718787,3.184743,23.806193,3.312646,2.951765,8.506015,169,28090,0,0
165,0,8.614705,2.042921,34.681166,1.002536,15.660645,59.959052,4.032511,2.597175,20.307712,2.718794,2.461897,7.237925,143,23211,0,0
166,0,7.578824,2.052470,39.594089,1.011468,11.780389,59.964769,4.446170,3.368557,23.776232,3.450022,2.932712,8.514197,169,28090,0,0
167,0,2.875129,2.053663,34.542433,0.999891,1.548381,39.965834,4.364217,2.891324,19.808085,2.697099,2.472968,7.042402,143,23211,0,0
168,0,2.935974,2.069987,39.454454,1.000346,16.589735,59.980509,4.698568,3.202274,23.337565,3.375668,3.049591,8.326460,169,28090,0,0
169,0,7.945014,2.039429,34.583544,1.032959,16.388875,59.950392,4.244324,2.916355,19.674544,2.546387,2.581512,7.004072,143,23211,0,0
170,0,7.396918,2.008518,39.546156,1.008613,12.013028,59.964715,4.691410,3.382826,23.391619,3.249715,2.925222,8.516774,169,28090,0,0
171,0,2.827827,2.042697,34.445685,1.006538,1.704095,39.984144,4.169874,2.893534,19.973636,2.731198,2.514859,7.081868,143,23211,0,0
172,0,2.866726,2.048584,39.618374,1.003120,16.457940,59.946160,4.714800,3.033268,23.756327,3.363152,2.998271,8.420156,169,28090,0,0
173,0,7.154141,2.039185,34.976997,0.999207,16.835347,59.965691,4.011841,2.636790,20.213735,2.575280,2.481082,7.294847,143,23211,0,0
174,0,2.847053,2.058343,39.599189,1.005208,16.477865,59.929315,4.676290,3.278920,23.618751,3.164951,2.820957,8.622420,169,28090,0,0
175,0,19.763292,2.040344,34.528998,1.003425,4.669468,59.965183,4.198900,2.839918,20.010552,2.660092,2.407569,7.050106,143,23211,0,0
