frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,8.086697,2.042094,39.763401,1.000054,11.116760,59.966912,4.969425,3.364648,23.335080,3.147932,2.995934,8.443190,169,28090,0,0
121,0,7.276374,2.050245,34.713108,1.030206,16.955139,59.974826,4.087457,2.782847,20.127852,2.799808,2.513906,6.996704,143,23211,0,0
122,0,2.837606,2.048937,39.380751,1.007806,16.700738,59.926900,4.571591,3.253092,23.621273,3.319702,2.997420,8.311547,169,28090,0,0
123,0,2.837450,2.048625,34.386122,1.004598,1.736911,39.965081,4.104753,2.659787,20.237000,2.772495,2.374112,7.123359,143,23211,0,0
124,0,2.849026,2.062025,39.683241,0.998610,16.434794,59.965671,4.577460,3.147536,23.860952,3.438327,2.919878,8.608598,169,28090,0,0
125,0,25.124742,2.041402,34.670661,1.006171,19.163242,79.964817,4.144114,2.864143,19.864980,2.584985,2.516690,6.972477,143,23211,0,0
126,0,2.848538,2.062351,39.766507,1.000712,16.350240,59.965997,4.840678,3.085107,23.704339,3.351108,2.958944,8.461941,169,28090,0,0
127,0,2.887865,2.035211,34.773770,1.033569,1.270142,39.965346,4.144240,2.759966,20.162852,2.968604,2.543304,6.918664,143,23211,0,0
128,0,2.835659,2.045390,39.695631,1.031915,16.395203,59.958408,4.629283,3.133558,23.788679,3.316298,2.902785,8.457116,169,28090,0,0
129,0,11.781582,2.056437,34.848497,1.006083,12.329054,59.965217,4.115150,2.675249,20.289975,2.787225,2.481361,7.265459,143,23211,0,0
130,0,2.869310,2.010464,39.606744,1.034600,16.454278,59.964932,4.570112,3.139476,23.900750,3.206950,3.006036,8.314256,169,28090,0,0
131,0,2.863898,2.046902,34.431166,1.002618,1.640198,39.937880,4.085870,2.776062,20.007616,2.612647,2.405457,7.173615,143,23211,0,0
132,0,2.864733,2.045024,39.787164,1.005079,16.308512,59.965488,4.791734,3.184458,23.686042,3.294569,2.965007,8.563083,169,28090,0,0
133,0,7.651286,2.026503,34.750495,1.009087,16.568970,59.979838,4.140744,2.656949,20.331763,2.774716,2.529521,7.178158,143,23211,0,0
134,0,2.811530,2.026177,39.680779,1.032698,16.457567,59.982574,4.611403,3.221378,23.690572,3.265232,3.012811,8.564846,169,28090,0,0
135,0,2.875536,2.050354,34.209703,1.007100,1.840610,39.932949,3.957503,2.822469,19.855479,2.769738,2.454525,6.993140,143,23211,0,0
136,0,2.835537,2.047750,39.678067,1.003418,16.448357,59.965380,4.496457,3.606869,23.488522,3.197150,2.820109,8.585239,169,28090,0,0
137,0,78.542324,2.046556,34.607001,1.022420,5.814813,119.986559,4.017151,2.796712,20.099932,2.730706,2.528086,7.005412,143,23211,0,0
138,0,2.822550,2.035563,39.640774,1.006463,16.467678,59.937466,4.766459,2.969137,23.758426,3.272898,2.888607,8.637563,169,28090,0,0
139,0,2.869514,2.048828,34.731615,1.028971,1.334995,39.965095,4.020640,2.878679,20.114292,2.726308,2.371070,7.044345,143,23211,0,0
140,0,2.840196,2.052450,39.659675,1.027717,16.438653,59.966241,4.972161,3.133457,23.397295,3.467058,2.842231,8.385342,169,28090,0,0
141,0,12.145230,2.051344,34.894436,1.008192,11.888652,59.936510,4.184157,2.732673,20.063531,2.707869,2.513156,7.265879,143,23211,0,0
142,0,2.874112,2.053426,39.475844,1.031915,16.583550,59.965420,4.531141,3.302931,23.552233,3.219682,2.969364,8.399438,169,28090,0,0
143,0,2.865180,2.047309,34.453518,1.053392,1.616950,39.989041,4.072527,2.880110,19.953678,2.836711,2.447774,7.017999,143,23211,0,0
144,0,2.835741,2.048747,39.745090,1.002794,16.357612,59.941237,4.623552,3.127899,23.892890,3.231639,3.111138,8.488000,169,28090,0,0
145,0,13.285407,2.066488,34.681200,1.002333,10.996792,59.965732,3.977600,2.788137,20.114136,2.641741,2.410377,7.161947,143,23211,0,0
146,0,2.837775,2.052165,39.589362,1.002882,16.535034,59.965054,4.609677,3.022702,23.698249,3.344910,2.933126,8.554718,169,28090,0,0
147,0,2.888068,2.035590,34.455858,1.002970,1.618958,39.965854,4.205777,2.708364,19.991496,2.626509,2.426524,7.056522,143,23211,0,0
148,0,2.894307,2.073059,39.510403,1.033027,16.520725,59.958462,4.635935,3.696198,23.121897,3.314731,2.925493,8.279246,169,28090,0,0
149,0,7.235250,2.026021,34.742079,1.000861,16.986633,59.964823,4.192128,2.788588,20.101491,2.790758,2.548062,7.089776,143,23211,0,0
150,0,19.543952,2.051778,39.646294,1.053802,19.745565,79.989614,4.502268,3.399187,23.718781,3.313158,2.870388,8.658332,169,28090,0,0
151,0,2.843892,2.055888,34.842665,1.003208,1.250407,39.940172,4.182437,2.825199,20.086049,2.755063,2.515659,7.092014,143,23211,0,0
152,0,2.869453,2.045844,39.895738,1.003533,16.196540,59.965264,4.683858,3.130758,24.122776,3.455102,2.974501,8.509786,169,28090,0,0
153,0,6.961473,2.052307,34.728360,0.998691,17.276713,59.965237,4.258274,2.778765,19.895087,2.750414,2.369849,7.099545,143,23211,0,0
