frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.737454,2.264553,39.955811,1.029772,11.244005,59.967041,5.186296,3.577582,23.041473,3.067084,2.741326,8.420315,169,28090,0,0
121,0,7.482015,2.245388,35.018717,1.029751,16.434903,59.965386,4.557614,2.849030,19.833371,2.377584,2.389513,7.163805,143,23211,0,0
122,0,3.076626,2.254862,39.665914,1.030280,16.192390,59.965210,4.765757,3.235206,23.426907,3.289764,2.951813,8.565623,169,28090,0,0
123,0,3.106750,2.255100,34.502991,1.029338,1.325697,39.964776,4.333910,2.733727,19.849664,2.571842,2.443437,7.262302,143,23211,0,0
124,0,3.092658,2.304857,39.759827,1.001139,16.112888,59.966512,4.932560,3.290741,23.381609,3.108521,2.866859,8.683434,169,28090,0,0
125,0,21.811205,2.232815,34.878398,1.038696,2.236606,59.964905,4.445940,2.732371,19.778792,2.574931,2.395616,7.181349,143,23211,0,0
126,0,3.122321,2.302639,39.823914,1.006436,16.030199,59.982869,4.996769,3.322174,23.408790,2.998359,3.137061,8.597958,169,28090,0,0
127,0,3.017463,2.231452,34.564718,1.004720,1.353265,39.940165,4.521006,2.640520,19.812737,2.559872,2.415371,7.104577,143,23211,0,0
128,0,3.100328,2.244520,39.891052,1.000149,15.974514,59.966044,5.103227,3.353919,23.135356,3.081577,2.892178,8.365865,169,28090,0,0
129,0,10.630107,2.265089,34.829325,1.003608,13.473884,59.936924,4.644426,2.745748,19.402452,2.448168,2.484121,7.123444,143,23211,0,0
130,0,3.024767,2.239868,39.764018,1.001940,16.147386,59.938110,4.879398,3.235626,23.457831,3.146111,2.884776,8.763102,169,28090,0,0
131,0,3.071255,2.226386,34.467122,1.026238,1.400289,39.964905,4.154209,2.829163,19.861471,2.589098,2.489017,7.175876,143,23211,0,0
132,0,3.095805,2.273356,39.868327,0.998684,16.003343,59.966159,4.916653,3.419223,23.500705,3.225837,2.869371,8.273827,169,28090,0,0
133,0,8.778300,2.287747,35.032959,1.030036,15.123745,59.965040,4.427263,2.775540,19.821208,2.680678,2.400696,7.225545,143,23211,0,0
134,0,3.075297,2.287740,39.798482,1.001187,16.090278,59.965244,5.098914,3.365926,23.201823,2.959001,2.976101,8.602159,169,28090,0,0
135,0,3.115255,2.295634,34.643602,1.020643,1.185133,39.964634,4.399214,2.870232,20.006063,2.475942,2.676588,7.297947,143,23211,0,0
136,0,3.106228,2.320543,39.794881,1.030602,16.063022,59.994734,5.103461,3.489770,22.960347,3.271708,2.902896,8.354143,169,28090,0,0
137,0,80.889221,2.230862,35.028381,1.001444,3.009922,119.928969,4.647068,2.691182,19.813178,2.640276,2.425629,7.100813,143,23211,0,0
138,0,3.121318,2.294990,39.874125,1.021681,15.952345,59.969469,4.955048,3.248945,23.652954,3.495294,3.040398,8.429311,169,28090,0,0
139,0,3.060798,2.235887,35.025472,0.976773,0.897915,39.960958,4.383809,2.920488,19.710337,2.511943,2.382874,7.203701,143,23211,0,0
140,0,3.087199,2.298136,39.999396,1.002686,15.877062,59.966343,4.939514,3.360280,23.475596,3.055959,3.067159,8.797170,169,28090,0,0
141,0,11.342109,2.279711,34.960327,1.001709,12.661085,59.965230,4.482337,2.694529,19.907311,2.599711,2.376506,7.088026,143,23211,0,0
142,0,3.086229,2.301256,39.851929,0.999410,16.028069,59.965637,5.031803,3.229740,23.640798,2.994510,2.994829,8.772505,169,28090,0,0
143,0,3.023098,2.238675,34.667867,0.999003,1.275302,39.965271,4.550578,2.782793,19.599837,2.447086,2.657481,7.126563,143,23211,0,0
144,0,3.089966,2.243096,39.832987,1.004381,16.038622,59.965956,5.163483,3.448588,22.783583,3.157511,2.803446,8.377306,169,28090,0,0
145,0,11.762682,2.239651,34.801439,1.026591,12.368761,59.959473,4.308384,2.863753,19.677907,2.794118,2.390096,7.042820,143,23211,0,0
146,0,3.099101,2.244500,39.918559,1.001472,15.916979,59.936110,5.042935,3.265581,23.372911,3.124678,2.991720,8.486179,169,28090,0,0
147,0,3.095262,2.237671,34.809408,0.989577,1.070265,39.964511,4.211039,2.929921,19.902507,2.540819,2.407477,7.214752,143,23211,0,0
148,0,3.067939,2.233676,39.738790,1.029785,16.129449,59.965963,5.017310,3.111667,23.519399,3.169108,3.042908,8.652734,169,28090,0,0
149,0,7.925808,2.249390,34.813497,1.007304,16.218797,59.965407,4.422065,2.780389,19.750943,2.495419,2.618981,7.258331,143,23211,0,0
150,0,18.264655,2.249179,39.821615,0.982035,0.896152,59.964457,4.969293,3.255093,23.293471,3.147010,2.963186,8.551351,169,28090,0,0
151,0,3.124152,2.306017,34.602946,0.999498,1.238614,39.965210,4.407413,2.810465,19.641649,2.601939,2.582153,7.226983,143,23211,0,0
152,0,3.076667,2.243720,39.919095,1.002082,15.987522,59.985365,5.055779,3.382819,23.308628,3.049913,2.931600,8.737345,169,28090,0,0
153,0,9.046434,2.272183,34.944580,1.048014,14.929009,59.968038,4.464637,2.817874,19.886119,2.496663,2.692586,7.277228,143,23211,0,0
154,0,7.219225,2.238993,39.832038,1.002808,11.889228,59.943298,5.112512,3.301283,23.264757,3.004367,2.980455,8.609151,169,28090,0,0
155,0,3.058906,2.237590,34.390808,1.028022,1.487149,39.964884,4.317403,2.856384,19.734731,2.713142,2.448076,6.936381,143,23211,0,0
156,0,3.092977,2.239102,39.746928,0.999410,16.119581,59.958896,4.760610,3.438578,23.304270,3.160855,2.802643,8.368130,169,28090,0,0
