frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,6.997542,2.056878,39.815216,1.037957,12.096035,59.946750,5.018745,2.871094,23.403822,2.912330,3.019355,8.800212,169,28090,0,0
121,0,7.585832,1.982408,35.012014,1.030714,16.337063,59.965624,4.393195,2.534444,20.211887,2.719272,2.375953,7.177762,143,23211,0,0
122,0,2.803796,2.021071,39.738312,1.001682,16.421760,59.965549,5.227834,2.727749,23.457479,2.952962,3.045573,8.589474,169,28090,0,0
123,0,2.904463,2.053982,34.625722,1.005134,1.430495,39.965814,4.384454,2.567308,19.788154,2.563602,2.401917,7.296312,143,23211,0,0
124,0,2.850996,2.048469,40.125722,1.003181,15.986382,59.966281,5.286438,3.116523,23.291311,2.916189,2.836175,8.682146,169,28090,0,0
125,0,21.539615,2.051324,34.900808,1.033190,2.492628,59.966241,4.439535,2.500224,20.009783,2.450684,2.453881,7.260847,143,23211,0,0
126,0,2.820411,2.032708,39.989187,1.004930,16.171665,59.986192,5.056719,3.067037,23.542653,3.003089,2.895942,8.521762,169,28090,0,0
127,0,2.795129,2.011915,34.510854,1.003838,1.605414,39.915236,4.428999,2.508711,19.808553,2.358185,2.529863,7.327260,143,23211,0,0
128,0,2.890445,2.033081,39.851552,1.003615,16.219693,59.965305,4.967360,3.107558,23.375512,3.122267,2.929867,8.572394,169,28090,0,0
129,0,15.037716,2.042575,34.969533,1.002109,8.970039,59.979397,4.558329,2.405996,19.758972,2.539103,2.449968,7.049208,143,23211,0,0
130,0,2.853431,2.031589,39.722056,1.006395,16.363634,59.945516,5.200887,2.760634,23.398977,2.840224,2.926141,8.626417,169,28090,0,0
131,0,2.801368,1.982890,34.705726,1.003086,1.455553,39.965732,4.264774,2.615692,20.187748,2.496636,2.498247,7.216454,143,23211,0,0
132,0,2.853417,2.034492,40.016144,1.020847,16.075446,59.965854,4.964749,3.166395,23.564816,3.059455,3.003964,8.467031,169,28090,0,0
133,0,8.256968,2.044807,34.864865,1.006178,15.837328,59.965339,4.238434,2.668054,19.825328,2.574087,2.599436,7.074707,143,23211,0,0
134,0,2.888492,2.005669,39.999054,1.024957,16.053738,59.966241,5.254751,3.053992,23.471703,3.097568,2.818966,8.649790,169,28090,0,0
135,0,2.815799,2.030429,34.469818,1.001797,1.648003,39.935418,4.560696,2.577766,19.659363,2.493778,2.420773,7.103553,143,23211,0,0
136,0,2.920312,2.070116,39.582896,1.000298,16.462063,59.965569,5.086005,2.973779,23.138811,3.043972,3.101946,8.232866,169,28090,0,0
137,0,86.392948,2.035617,34.917247,0.977322,17.678602,139.966119,4.481937,2.632592,19.756799,2.642900,2.455346,6.898217,143,23211,0,0
138,0,2.875410,2.054213,39.897654,1.003486,16.181776,59.958327,5.118974,3.036224,23.403358,3.033095,2.933668,8.575314,169,28090,0,0
