frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,3.064724,2.056057,28.127306,1.017405,7.754656,39.964091,2.710090,3.131042,16.014774,2.088030,2.248003,5.971015,133,45724,0,0
121,0,3.056037,2.057380,24.029324,1.048031,11.829749,39.963142,2.169223,2.657708,13.607507,1.723355,1.846463,5.122521,107,35280,0,0
122,0,3.082933,2.065762,28.067919,1.022993,7.789452,39.963298,2.699219,3.047072,16.088742,2.226841,2.221273,5.937866,133,45724,0,0
123,0,3.082648,2.056159,23.879544,1.048289,11.978960,39.989441,2.109399,2.589213,13.467682,1.734721,1.876309,4.999905,107,35280,0,0
124,0,3.022183,2.056281,28.094225,1.048547,7.771712,39.936666,2.649879,3.037967,16.309604,2.146830,2.366842,5.976217,133,45724,0,0
125,0,3.075487,2.080227,24.031664,1.018097,11.808834,39.934082,2.324507,2.668070,13.371490,1.797723,1.811276,5.041721,107,35280,0,0
126,0,3.079902,2.030545,28.321764,1.022715,7.538232,39.962613,2.726257,3.259918,16.016642,2.162120,2.179793,5.980157,133,45724,0,0
127,0,3.060350,2.023275,24.201179,1.020369,11.681380,39.963277,2.269914,2.763472,13.394541,1.720652,1.877713,4.988539,107,35280,0,0
128,0,3.083055,2.068949,28.086839,1.019643,7.773495,39.963033,2.599504,3.104228,16.220208,1.964762,2.273604,5.957418,133,45724,0,0
129,0,3.072333,2.072333,24.068427,1.022464,11.799523,39.962748,2.326372,2.591705,13.394850,1.734399,1.847500,4.972534,107,35280,0,0
130,0,3.046861,2.047818,28.224372,1.015330,7.676632,39.963196,2.631507,3.102044,16.101339,1.931444,2.328105,6.088525,133,45724,0,0
131,0,3.085680,2.058919,24.013577,1.049611,11.807397,39.956265,2.228499,2.582289,13.588633,1.841899,1.851613,4.996131,107,35280,0,0
132,0,3.052375,2.056993,28.139818,1.015567,7.754927,39.962687,2.582553,3.186785,16.141479,2.109307,2.341224,5.932576,133,45724,0,0
133,0,3.071601,2.077806,23.953864,1.057810,11.879798,39.963074,2.162008,2.499576,13.600423,1.722772,1.811554,5.013852,107,35280,0,0
134,0,3.041626,2.043382,28.068902,1.054915,7.766544,39.931986,2.721802,3.197018,15.987295,2.140384,2.179423,5.880429,133,45724,0,0
135,0,3.029853,2.063463,24.113614,1.022064,11.768856,39.934387,2.158366,2.661153,13.575273,1.812066,1.770301,5.087138,107,35280,0,0
136,0,3.089111,2.021023,28.415317,1.021576,7.436425,39.962429,2.616659,3.076026,16.388234,2.112200,2.328339,6.246738,133,45724,0,0
137,0,3.108846,2.080058,24.146640,1.025170,11.682437,39.963094,2.229173,2.686842,13.591824,1.717319,1.874990,5.113451,107,35280,0,0
