frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,3.275014,2.275323,28.150418,1.047380,7.490597,39.963409,2.471910,3.146061,16.427673,2.099714,2.404904,6.257802,133,46247,0,0
121,0,3.230099,2.229479,24.173489,1.026771,11.532603,39.962962,2.277751,2.601827,13.505561,1.667331,1.737369,5.178219,107,35675,0,0
122,0,3.274065,2.280362,28.223456,1.014971,7.418433,39.930925,2.444824,3.222114,16.322764,1.996409,2.270552,6.313212,133,46247,0,0
123,0,3.289948,2.290914,23.928311,1.048370,11.696143,39.962772,2.195251,2.465529,13.768507,1.695821,1.998247,5.235748,107,35675,0,0
124,0,3.224769,2.226203,28.293647,1.018612,7.426063,39.963091,2.480011,3.100518,16.313961,2.020925,2.375136,6.213487,133,46247,0,0
125,0,3.275489,2.281189,23.967556,1.018104,11.669695,39.930844,2.224962,2.525828,13.602912,1.664564,1.878075,5.040222,107,35675,0,0
126,0,3.264706,2.238213,28.315321,1.017568,7.365000,39.962596,2.472551,3.034292,16.724945,2.163479,2.424069,6.337867,133,46247,0,0
127,0,3.247555,2.246263,24.113512,1.053029,11.579349,39.993446,2.233951,2.674974,13.366808,1.667440,1.916178,5.157576,107,35675,0,0
128,0,3.278330,2.283780,28.224982,1.019908,7.408891,39.932112,2.799523,3.115913,15.911045,1.882907,2.314287,6.251750,133,46247,0,0
129,0,3.255042,2.241069,23.930488,1.023210,11.753577,39.962318,2.298686,2.556383,13.399980,1.713803,1.879622,5.132260,107,35675,0,0
130,0,3.231822,2.232035,28.228665,1.017595,7.484779,39.962860,2.628666,3.108226,16.297570,2.174723,2.246039,6.199114,133,46247,0,0
131,0,3.294145,2.301459,24.038215,1.044410,11.546885,39.923655,2.347246,2.617425,13.306817,1.547316,1.972711,5.049225,107,35675,0,0
132,0,3.256690,2.237793,28.351997,1.018158,7.336002,39.962847,2.633382,3.127458,16.295485,2.117245,2.284434,6.334456,133,46247,0,0
133,0,3.227264,2.226461,24.059380,1.024214,11.651730,39.962589,2.106266,2.586307,13.686347,1.754649,1.868100,5.269508,107,35675,0,0
134,0,3.264686,2.273173,28.250861,1.017941,7.399838,39.933326,2.724297,3.007874,16.076314,1.983470,2.354553,6.217085,133,46247,0,0
135,0,3.298492,2.268195,24.127204,1.022430,11.515133,39.963260,2.150716,2.494904,13.881873,1.672448,1.962901,5.225294,107,35675,0,0
136,0,3.231727,2.231832,28.246406,1.026974,7.457428,39.962535,2.496328,3.197957,16.409814,2.147729,2.370005,6.153781,133,46247,0,0
137,0,3.275543,2.265001,24.071235,1.022356,11.593136,39.962270,2.080085,2.522261,13.770308,1.693247,1.840407,5.253143,107,35675,0,0
138,0,3.272614,2.245633,28.076341,1.016774,7.596717,39.962446,2.687670,3.205302,15.926537,1.909105,2.273322,6.073025,133,46247,0,0
139,0,3.250627,2.249213,24.022407,1.054718,11.666582,39.994334,2.117330,2.688639,13.589878,1.637984,1.919301,5.173326,107,35675,0,0
140,0,3.233592,2.266791,28.263129,1.015866,7.392778,39.905365,2.681498,2.961914,16.305834,2.002245,2.181007,6.115217,133,46247,0,0
141,0,3.272051,2.244846,24.295865,1.020423,11.374095,39.962433,2.223033,2.672061,13.381365,1.574975,1.918983,5.034078,107,35675,0,0
142,0,3.238644,2.238736,28.233039,1.027401,7.462847,39.961931,2.609561,3.159336,16.305216,2.077399,2.304806,6.211728,133,46247,0,0
143,0,3.303294,2.292386,24.048754,1.019196,11.591590,39.962833,2.312720,2.765856,13.235192,1.589420,1.772773,5.049120,107,35675,0,0
144,0,3.261898,2.234748,28.097521,1.017473,7.579261,39.956153,2.744259,3.152001,15.935330,1.947144,2.281477,6.146434,133,46247,0,0
145,0,3.233185,2.233622,24.009427,1.023963,11.696082,39.962657,2.121792,2.669091,13.641585,1.748549,1.854384,5.164724,107,35675,0,0
146,0,3.243323,2.275825,28.241401,1.016049,7.411184,39.911957,2.835548,3.192997,15.968472,1.963257,2.395118,6.114332,133,46247,0,0
147,0,3.290944,2.265740,23.954942,1.016680,11.700233,39.962799,2.239739,2.687178,13.261251,1.581584,1.803216,5.123956,107,35675,0,0
148,0,3.229848,2.228828,28.268561,1.021311,7.442583,39.962304,2.628699,3.102448,16.297950,2.102180,2.203786,6.223256,133,46247,0,0
149,0,3.266191,2.232998,24.127163,1.016178,11.553375,39.962908,2.154049,2.706058,13.677687,1.575829,1.903486,5.269613,107,35675,0,0
150,0,3.269501,2.243313,28.101651,1.020993,7.570411,39.962555,2.567230,3.060184,16.181508,1.962314,2.456139,6.201538,133,46247,0,0
151,0,3.292111,2.248176,24.048652,1.026323,11.595551,39.962636,2.184913,2.732123,13.538927,1.682126,1.833428,5.192230,107,35675,0,0
152,0,3.273902,2.242540,28.325121,1.041236,7.345415,39.985674,2.623166,3.312063,16.145803,2.064785,2.275604,6.215607,133,46247,0,0
153,0,3.262651,2.278408,23.975939,1.021901,11.679074,39.939565,2.110253,2.612976,13.628710,1.664666,1.897810,5.140808,107,35675,0,0
154,0,3.246111,2.246121,28.089769,1.015479,7.611365,39.962724,2.705048,3.164419,15.991564,1.970039,2.290398,6.178260,133,46247,0,0
155,0,3.239960,2.215597,24.180467,1.020213,11.543352,39.983992,2.147790,2.570350,13.694661,1.620385,1.977234,5.170915,107,35675,0,0
156,0,3.276357,2.277018,28.168003,1.013255,7.483531,39.941145,2.597175,3.138394,16.257497,2.109768,2.334846,6.283366,133,46247,0,0
157,0,3.244707,2.245748,23.950426,1.016964,11.744117,39.956214,2.263106,2.570669,13.491279,1.681037,1.927375,5.186279,107,35675,0,0
158,0,3.244985,2.224799,28.457058,1.017039,7.243608,39.962691,2.755364,3.076199,16.374420,2.010654,2.291484,6.365319,133,46247,0,0
159,0,3.327430,2.300890,24.000251,1.014448,11.620717,39.962847,2.226301,2.689850,13.462918,1.616516,1.840023,5.258484,107,35675,0,0
160,0,3.255198,2.256517,28.123813,1.015228,7.568275,39.962514,2.561462,2.917077,16.456072,2.154758,2.321350,6.288113,133,46247,0,0
161,0,3.268205,2.245694,24.065945,1.051693,11.607005,39.992849,2.182566,2.494846,13.722646,1.706211,1.899214,5.174611,107,35675,0,0
162,0,3.274370,2.275560,28.259406,1.022173,7.376645,39.932593,2.541209,3.142395,16.287852,2.090380,2.388279,6.309635,133,46247,0,0
163,0,3.258189,2.258457,23.945787,1.018565,11.740557,39.963097,2.184021,2.747481,13.353600,1.657847,1.810364,5.149716,107,35675,0,0
164,0,3.275916,2.250129,28.294176,1.018450,7.374122,39.962663,2.702508,3.068366,16.123179,1.949090,2.279921,6.210778,133,46247,0,0
165,0,3.302568,2.277283,24.116970,1.021271,11.522078,39.962887,2.246552,2.692990,13.465963,1.630649,1.823239,5.175886,107,35675,0,0
166,0,3.234819,2.237000,28.127455,1.017385,7.583059,39.962718,2.524546,3.110402,16.230543,2.076870,2.346439,6.135773,133,46247,0,0
167,0,3.289771,2.263882,24.057644,1.056793,11.589739,39.993947,2.065518,2.680735,13.577260,1.673353,1.902452,5.101139,107,35675,0,0
168,0,3.275055,2.277527,28.173408,1.016510,7.467078,39.932051,2.718713,3.156474,16.087463,1.908766,2.291345,6.311679,133,46247,0,0
169,0,3.237016,2.231974,23.963508,1.015099,11.747019,39.962643,2.141605,2.586897,13.629859,1.677829,1.808350,5.223504,107,35675,0,0
170,0,3.232534,2.233853,28.285346,1.017371,7.389218,39.924469,2.555895,3.162432,16.222799,1.976020,2.349850,6.237434,133,46247,0,0
171,0,3.324276,2.298957,24.068285,1.017799,11.552968,39.963328,2.227587,2.548109,13.638204,1.579987,2.077579,5.312561,107,35675,0,0
172,0,3.236155,2.237623,28.113397,1.019345,7.593238,39.962134,2.667457,3.083116,16.149492,2.052785,2.271735,6.027157,133,46247,0,0
173,0,3.255544,2.228360,24.040046,1.022247,11.645545,39.963382,2.173638,2.559072,13.741275,1.888295,1.837070,5.238681,107,35675,0,0
174,0,3.263078,2.296855,28.271064,1.019324,7.376889,39.930355,2.732524,3.058536,16.126051,2.034519,2.331760,6.215644,133,46247,0,0
175,0,3.266232,2.299316,23.981452,1.013424,11.701942,39.963050,2.184675,2.565148,13.522061,1.627831,1.909342,5.137922,107,35675,0,0
176,0,3.257538,2.232022,28.370761,1.021237,7.313426,39.962962,2.607425,3.110664,16.355228,2.077457,2.232130,6.184143,133,46247,0,0
177,0,3.301083,2.304979,24.069465,1.021054,11.571103,39.962704,2.075826,2.623013,13.675737,1.781365,1.903453,5.225538,107,35675,0,0
178,0,3.246592,2.247050,28.190843,1.015635,7.509050,39.962121,2.587148,3.038374,16.273936,2.010542,2.227817,6.242164,133,46247,0,0
179,0,3.264523,2.245714,24.103563,1.021081,11.573781,39.962948,2.257270,2.649092,13.625583,1.750882,1.866492,5.155853,107,35675,0,0
180,0,3.311757,2.316528,28.268968,1.034746,7.370778,39.986250,2.714430,3.019555,16.176059,1.979414,2.315857,6.299411,133,46247,0,0
181,0,3.245785,2.279507,24.032457,1.016720,11.643890,39.938853,2.267663,2.620517,13.414653,1.679640,1.812619,5.148716,107,35675,0,0
182,0,3.249976,2.229370,28.050483,1.031084,7.630856,39.962399,2.463999,2.928094,16.392103,2.140805,2.215274,6.243707,133,46247,0,0
183,0,3.259267,2.232496,23.990282,1.025123,11.699724,39.974396,2.215318,2.614237,13.550337,1.539046,1.808411,5.268409,107,35675,0,0
184,0,3.243073,2.274523,28.188321,1.019874,7.493852,39.945119,2.510752,3.022576,16.411418,2.086070,2.428134,6.245477,133,46247,0,0
185,0,3.267812,2.243632,23.889431,1.014421,11.791134,39.962799,2.058834,2.499729,13.571832,1.683950,1.833272,5.123606,107,35675,0,0
186,0,3.253354,2.229011,28.406582,1.017432,7.284902,39.962270,2.433204,3.260200,16.372291,2.001628,2.238373,6.298520,133,46247,0,0
187,0,3.286740,2.289958,24.051480,1.020545,11.603980,39.962745,2.158213,2.583452,13.611504,1.626621,1.983582,5.190382,107,35675,0,0
188,0,3.273305,2.246406,28.119595,1.018531,7.551470,39.962901,2.716095,3.068119,16.062514,1.996121,2.453603,6.187049,133,46247,0,0
189,0,3.242632,2.229085,24.088793,1.022017,11.609507,39.962948,2.136600,2.685594,13.663798,1.554196,1.875271,5.278246,107,35675,0,0
190,0,3.265554,2.270264,28.217292,1.026771,7.456845,39.966461,2.561991,3.143633,16.083523,1.948286,2.199615,6.065999,133,46247,0,0
191,0,3.285309,2.260369,24.005500,1.017676,11.650462,39.958947,2.182441,2.564158,13.621324,1.773922,1.875719,5.142032,107,35675,0,0
192,0,3.250220,2.226590,28.270860,1.018328,7.423275,39.962684,2.683831,2.955685,16.495934,1.933601,2.479048,6.258141,133,46247,0,0
193,0,3.234955,2.236104,23.998827,1.051910,11.708086,39.993778,2.196730,2.604072,13.445157,1.564070,1.886071,5.168077,107,35675,0,0
194,0,3.231028,2.233012,28.203362,1.015459,7.482480,39.932329,2.696835,3.013702,16.056122,1.950334,2.285265,6.219744,133,46247,0,0
195,0,3.278534,2.252014,23.905911,1.044166,11.734616,39.963226,2.230557,2.581767,13.562341,1.775323,1.921275,5.236708,107,35675,0,0
196,0,3.226512,2.232307,28.393785,1.023332,7.312592,39.956221,2.552178,3.113502,16.363288,2.174733,2.303908,6.175256,133,46247,0,0
197,0,3.263384,2.230028,24.092801,1.018938,11.587196,39.962318,2.317006,2.660858,13.558556,1.573934,1.913605,5.230011,107,35675,0,0
198,0,3.267737,2.243652,28.116930,1.020749,7.557634,39.963050,2.596639,3.202430,16.142497,1.984273,2.291534,6.131137,133,46247,0,0
199,0,3.288001,2.250000,24.078986,1.025068,11.570608,39.962663,2.126845,2.598629,13.634745,1.674801,1.848206,5.272254,107,35675,0,0
200,0,3.276113,2.243537,28.335415,1.050181,7.331763,39.993473,2.658505,3.266368,16.207058,2.070923,2.310900,6.230977,133,46247,0,0
201,0,3.267799,2.280687,23.967312,1.020315,11.676531,39.931956,2.290029,2.563185,13.548041,1.623233,1.878123,5.091522,107,35675,0,0
202,0,3.269847,2.270657,28.066922,1.021176,7.603451,39.961395,2.610338,2.896183,16.411184,2.130934,2.283444,6.221029,133,46247,0,0
203,0,3.228546,2.229519,24.135403,1.020382,11.599152,39.983483,2.169457,2.824463,13.415941,1.513058,1.918437,5.159502,107,35675,0,0
204,0,3.260773,2.277778,28.153795,1.018606,7.509132,39.942305,2.615414,2.988529,16.248227,2.132785,2.345008,6.263411,133,46247,0,0
205,0,3.265127,2.264994,23.933255,1.051144,11.713294,39.962819,2.226535,2.494425,13.711534,1.560523,2.035305,5.145840,107,35675,0,0
206,0,3.231300,2.232286,28.334724,1.019467,7.376902,39.962392,2.702403,3.238475,16.131226,2.000315,2.319648,6.178880,133,46247,0,0
207,0,3.321835,2.299683,23.987800,1.019731,11.633928,39.963294,2.112491,2.579298,13.539771,1.709157,1.863875,5.129964,107,35675,0,0
208,0,3.270905,2.271735,28.105516,1.020891,7.565243,39.962555,2.701369,3.111881,16.138146,2.093825,2.272742,6.188555,133,46247,0,0
209,0,3.227210,2.228380,24.135220,1.019487,11.574127,39.956045,2.290351,2.591475,13.604319,1.636461,1.797139,5.183424,107,35675,0,0
210,0,3.299103,2.276306,28.241848,1.014381,7.407325,39.962657,2.556705,3.211806,16.262634,1.866408,2.353170,6.196130,133,46247,0,0
211,0,3.293352,2.294366,23.946459,1.048662,11.674245,39.962718,2.258864,2.490896,13.666890,1.595530,1.962982,5.255575,107,35675,0,0
212,0,3.225352,2.226508,28.266893,1.018694,7.452003,39.962941,2.624179,3.051066,16.285726,2.005863,2.286038,6.202803,133,46247,0,0
213,0,3.295705,2.271349,24.007067,1.017392,11.642432,39.962596,2.100152,2.739024,13.460558,1.812168,1.737847,5.129615,107,35675,0,0
214,0,3.268328,2.269165,28.121548,1.046417,7.526323,39.962616,2.470306,3.172340,16.342065,2.164832,2.424262,6.231072,133,46247,0,0
215,0,3.249563,2.249498,24.102790,1.023170,11.607595,39.983117,2.107981,2.572293,13.487827,1.672953,1.925958,5.192352,107,35675,0,0
216,0,3.270993,2.247145,28.181505,1.018083,7.472056,39.942637,2.730092,3.115285,16.167575,1.949761,2.305966,6.182705,133,46247,0,0
217,0,3.250302,2.223328,23.949816,1.048784,11.713966,39.962867,2.213369,2.550632,13.666538,1.556841,1.818607,5.239465,107,35675,0,0
218,0,3.232981,2.232442,28.215305,1.021942,7.492062,39.962290,2.579902,3.241933,16.170237,2.067122,2.318468,6.138696,133,46247,0,0
219,0,3.296465,2.303209,24.027540,1.018151,11.588437,39.930593,2.220486,2.579013,13.578759,1.620395,1.972609,5.125895,107,35675,0,0
220,0,3.243520,2.212809,28.310594,1.022580,7.386431,39.963125,2.480174,3.122915,16.617611,2.087975,2.467919,6.333713,133,46247,0,0
221,0,3.230364,2.231350,24.068570,1.051836,11.640513,39.991282,2.264750,2.637573,13.481174,1.552934,1.871579,5.088155,107,35675,0,0
222,0,3.272641,2.280138,28.223477,1.016476,7.414629,39.927222,2.707526,3.161458,16.074778,1.875305,2.210734,6.266181,133,46247,0,0
223,0,3.290558,2.261583,24.169400,1.019691,11.483273,39.962921,2.270983,2.611006,13.744568,1.613475,1.878564,5.284285,107,35675,0,0
224,0,3.231442,2.232890,28.245775,1.016293,7.469655,39.963165,2.522837,3.194377,16.088938,1.983324,2.244212,6.250505,133,46247,0,0
225,0,3.270403,2.277486,24.031908,1.022844,11.605608,39.930762,2.303684,2.714695,13.355503,1.588094,1.826433,5.089244,107,35675,0,0
226,0,3.254730,2.241686,28.188694,1.039853,7.478953,39.962229,2.452698,3.024773,16.292887,1.999244,2.536808,6.271247,133,46247,0,0
227,0,3.259559,2.259101,24.090990,1.024607,11.588036,39.963192,2.150201,2.424950,13.759433,1.779168,1.864312,5.217451,107,35675,0,0
228,0,3.270891,2.277690,28.253526,1.020728,7.385617,39.930762,2.850342,3.071866,15.993205,1.958228,2.281548,6.144518,133,46247,0,0
229,0,3.271888,2.244663,24.170885,1.020159,11.500437,39.963369,2.237701,2.578525,13.826945,1.756894,2.018331,5.257019,107,35675,0,0
230,0,3.229916,2.230414,28.028022,1.020688,7.683489,39.962114,2.494595,3.127831,16.225871,2.087531,2.181990,6.094309,133,46247,0,0
231,0,3.240089,2.220968,24.172553,1.017880,11.531932,39.962453,2.123189,2.656236,13.736125,1.531982,1.951362,5.282684,107,35675,0,0
232,0,3.269324,2.243096,28.134128,1.016673,7.542477,39.962602,2.592665,3.026872,16.239539,2.003571,2.389781,6.171082,133,46247,0,0
233,0,3.257599,2.257189,23.886074,1.019731,11.799435,39.962840,2.211639,2.529314,13.629439,1.652717,1.896084,5.203223,107,35675,0,0
234,0,3.282121,2.237488,28.371162,1.045773,7.294322,39.993378,2.625641,3.036313,16.406921,2.109951,2.262214,6.316711,133,46247,0,0
235,0,3.298106,2.299303,24.089064,1.019711,11.519019,39.925900,2.184736,2.541850,13.767663,1.870443,1.902473,5.257989,107,35675,0,0
236,0,3.246253,2.246908,28.095201,1.017086,7.604136,39.962677,2.560720,3.018589,16.347477,2.106293,2.250322,6.257409,133,46247,0,0
237,0,3.258257,2.234585,24.042101,1.047136,11.641008,39.988502,2.107273,2.703729,13.535940,1.709100,1.772861,5.173428,107,35675,0,0
238,0,3.275503,2.278524,28.232246,1.017778,7.411394,39.936920,2.600725,3.184360,16.277117,2.040290,2.405477,6.286716,133,46247,0,0
239,0,3.261227,2.261780,23.924832,1.014482,11.762421,39.962962,2.105706,2.489868,13.650747,1.799496,1.870575,5.116696,107,35675,0,0
240,0,3.254391,2.231330,28.424181,1.016130,7.267656,39.962358,2.597683,3.101990,16.400350,2.047526,2.174618,6.404544,133,46247,0,0
241,0,3.284047,2.287706,24.045220,1.017860,11.583018,39.930145,2.350003,2.597836,13.554667,1.696052,1.854631,5.224789,107,35675,0,0
242,0,3.238685,2.234117,28.072761,1.030026,7.621538,39.963009,2.576847,3.220744,16.101963,1.909854,2.394219,6.112498,133,46247,0,0
