kind,phase,producer,object,type,model,frames,hits,triangles,packages,packages_outside,packages_guard,vertices,flushes,bags
producer,0,rest,-1,-1,-1,240,15360,0,0,0,0,0,0,0
producer,0,env_probe_sky,-1,-1,-1,240,0,0,0,0,0,0,0,0
producer,0,env_probe_objs,-1,-1,-1,240,0,0,0,0,0,0,0,0
producer,0,camera_feed,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,portal_view,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,sky,-1,-1,-1,240,240,0,0,1440,0,0,0,480
producer,0,terrain,-1,-1,-1,240,240,0,0,48000,0,0,0,6000
producer,0,static_batches,-1,-1,-1,240,240,0,0,30000,0,0,0,6480
producer,0,roads,-1,-1,-1,240,14160,0,0,80880,0,0,0,14160
producer,0,proc_other,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,object_tests,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,object_submit,-1,-1,-1,240,10800,0,0,33300,0,0,0,5071
producer,0,wheels,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,anim,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,shadow_decals,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,mirrors,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,portal_surfaces,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,light_pools,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,proj_shadows,-1,-1,-1,240,294,10612,440,27,0,31836,34,54
producer,0,blob_shadows,-1,-1,-1,240,240,0,0,240,0,0,0,240
producer,0,light_beams,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,highlight,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,particles,-1,-1,-1,240,240,0,0,240,0,0,0,240
producer,0,proj_silhouette,-1,-1,-1,240,27,10612,440,0,0,31836,34,27
producer,0,proj_patch,-1,-1,-1,240,27,0,0,27,0,0,0,27
producer,0,proj_wall,-1,-1,-1,240,0,0,0,0,0,0,0,0
producer,0,proj_rest,-1,-1,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,3,0,-1,240,240,0,0,240,0,0,0,240
object,0,object_submit,7,5,13,240,240,0,0,5220,0,0,0,271
object,0,object_submit,8,0,-1,240,240,0,0,240,0,0,0,240
object,0,object_submit,9,0,-1,240,240,0,0,240,0,0,0,240
object,0,object_submit,10,0,-1,240,240,0,0,240,0,0,0,240
object,0,object_submit,11,17,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,12,17,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,13,17,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,14,17,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,15,22,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,16,22,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,17,22,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,18,22,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,19,22,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,20,22,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,21,22,-1,240,240,0,0,0,0,0,0,0
