kind,phase,producer,object,type,model,frames,hits,triangles,packages,packages_outside,packages_guard,vertices,flushes,bags
producer,0,rest,-1,-1,-1,240,18000,0,0,0,0,0,0,0
producer,0,env_probe_sky,-1,-1,-1,240,0,0,0,0,0,0,0,0
producer,0,env_probe_objs,-1,-1,-1,240,0,0,0,0,0,0,0,0
producer,0,camera_feed,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,portal_view,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,sky,-1,-1,-1,240,240,16080,2880,1440,0,48240,240,480
producer,0,terrain,-1,-1,-1,240,240,1299840,18240,29760,11520,1370880,2880,6000
producer,0,static_batches,-1,-1,-1,240,240,1238160,21360,44400,3840,1329840,4320,10800
producer,0,roads,-1,-1,-1,240,14160,786240,11520,69360,5040,843840,5280,14160
producer,0,proc_other,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,object_tests,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,object_submit,-1,-1,-1,240,13440,4340880,84960,29040,30480,6107760,9120,14880
producer,0,wheels,-1,-1,-1,240,240,361440,14640,4320,960,1084320,1440,720
producer,0,anim,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,shadow_decals,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,mirrors,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,portal_surfaces,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,light_pools,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,proj_shadows,-1,-1,-1,240,240,370560,16560,0,1680,1111680,1680,1440
producer,0,blob_shadows,-1,-1,-1,240,240,480,240,480,240,1440,240,720
producer,0,light_beams,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,highlight,-1,-1,-1,240,240,0,0,0,0,0,0,0
producer,0,particles,-1,-1,-1,240,240,960,240,0,0,2880,240,240
object,0,object_submit,1,5,11,240,240,450240,18240,0,0,1350720,960,960
object,0,object_submit,3,0,-1,240,240,0,0,240,0,0,0,240
object,0,object_submit,7,5,13,240,240,0,0,4800,0,0,0,240
object,0,object_submit,8,0,-1,240,240,0,0,240,0,0,0,240
object,0,object_submit,9,0,-1,240,240,0,0,240,0,0,0,240
object,0,object_submit,10,0,-1,240,240,0,0,240,0,0,0,240
object,0,object_submit,11,17,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,12,17,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,13,17,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,14,17,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,15,22,-1,240,240,0,0,0,0,0,0,0
object,0,object_submit,16,22,-1,240,240,0,0,0,0,0,0,0
