frame,phase,rsTotal_ms,rsHead_ms,rsEnvProbe_ms,rsPortal_ms,rsSky_ms,rsTerrain_ms,rsTerrainDraw_ms,rsBatches_ms,rsProc_ms,rsObjects_ms,rsObjSubmit_ms,rsWheels_ms,rsWheelSubmit_ms,rsAnim_ms,rsDecorate_ms,rsLightFx_ms,rsHighlight_ms,rsParticles_ms,dmPost_ms,dmHud_ms,spRender_ms,spHead_ms,spTail_ms,spCalls,spCulled,spPkgr_ms,spTex_ms,spProg_ms,spLight_ms,spBlss_ms,spObjData_ms,spGifWait_ms,bdSize_ms,bdProg_ms,bdSizeCalc_ms,bdXform_ms,bdCache_ms,bdPlanes_ms,bdMain_ms,bbHit,bbRecalc,bbFresh,bbProbe,bbEntries,bbFrameEnd_ms,bbRecalcT_ms,dsRetain_ms,dsDirect_ms,dsCreate_ms,dsClassify_ms,dsRender_ms,dsFlush_ms,dsDirectBags,dsPartialBags,dsPackages,dsMergeParts,dsMaskCalls
120,0,16.283437,0.081563,0.000000,0.000210,0.240373,2.177229,2.166402,1.930406,4.075436,6.714979,6.235019,0.384922,0.330085,0.000997,0.000281,0.472134,0.000003,0.202413,0.002380,0.005242,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
121,0,15.991302,0.003777,0.000000,0.000156,0.285743,2.149214,2.138353,1.801073,4.032949,6.664381,6.251241,0.387648,0.334269,0.000882,0.000275,0.499980,0.000003,0.162713,0.002502,0.005242,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
122,0,16.173214,0.080607,0.000000,0.000210,0.323849,2.140547,2.129673,1.804938,4.057098,6.739027,6.328295,0.349141,0.295390,0.001139,0.000173,0.472731,0.000003,0.201260,0.002421,0.005344,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
123,0,16.082998,0.003899,0.000000,0.000156,0.240089,2.161950,2.151008,1.909003,3.969371,6.736037,6.293159,0.391493,0.339606,0.001105,0.000281,0.504279,0.000003,0.162882,0.002380,0.005269,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
124,0,16.175222,0.081645,0.000000,0.000210,0.240211,2.130191,2.119249,1.965759,3.959259,6.774102,6.367764,0.388909,0.336555,0.001024,0.000281,0.468675,0.000003,0.162740,0.002401,0.005242,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
125,0,16.084591,0.003988,0.000000,0.000203,0.289975,2.172733,2.162096,1.868578,4.048757,6.673679,6.262160,0.349094,0.295926,0.001166,0.000173,0.472928,0.000003,0.200982,0.002462,0.005263,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
126,0,16.213674,0.081116,0.000000,0.000210,0.291297,2.160017,2.148933,1.848212,4.095957,6.665114,6.207845,0.395101,0.303257,0.000895,0.000281,0.466417,0.000003,0.206563,0.002360,0.005188,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
127,0,16.196279,0.003859,0.000000,0.000156,0.239987,2.224186,2.213236,1.874200,4.050147,6.772434,6.371775,0.386570,0.333327,0.000983,0.000281,0.479357,0.000003,0.161621,0.002462,0.005202,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
128,0,16.184947,0.116638,0.000000,0.000210,0.240679,2.155582,2.144680,1.935696,3.978912,6.727349,6.249034,0.392083,0.300585,0.001078,0.000261,0.470656,0.000003,0.163289,0.002401,0.005344,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
129,0,16.148671,0.003961,0.000000,0.000156,0.288306,2.173180,2.162320,1.805020,4.123220,6.709934,6.256829,0.344130,0.291551,0.001166,0.000173,0.492126,0.000003,0.204909,0.002421,0.005229,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
